,ticker,score,c_trend,c_rsi,c_atr,c_rvol,c_rs,c_pattern,c_obv,c_rr,price,rsi,atr_pct,rvol,trend_count,rs_avg_pct,obv_slope,adx,pattern,pattern_score,valid,entry,stop,target,risk_per_share,rr,shares,position_value,dollar_risk,risk_pct
1,DAL,75.4,0.8,0.709,0.993,0.0,1.0,0.877,1.0,0.0,70.43,51.3,4.48,0.43,4,9.41,35.88,14.6,pullback,0.877,False,70.43,65.7,76.39,4.73,1.26,2,140.86,11.0,6.72
2,CCL,72.6,1.0,0.774,0.966,0.0,1.0,0.777,0.0,0.0,32.2,53.2,4.4,0.37,5,11.15,-0.76,45.1,pullback,0.777,False,32.2,30.08,34.03,2.12,0.86,5,161.0,11.0,6.59
3,BK,71.3,0.8,0.699,0.652,0.0,1.0,0.829,1.0,0.0,121.18,51.0,3.46,0.55,4,6.62,11.45,14.0,pullback,0.829,False,121.18,114.9,128.76,6.28,1.21,1,121.18,11.0,5.18
4,TGT,70.7,1.0,0.926,0.471,0.0,1.0,0.563,1.0,0.0,114.64,57.8,2.91,0.36,5,19.29,94.99,45.7,pullback,0.563,False,114.64,109.63,118.98,5.01,0.87,2,229.28,11.0,4.37
5,MRK,69.3,1.0,0.648,0.292,0.0,1.0,0.709,1.0,0.0,119.55,49.5,2.38,0.34,5,21.05,23.22,46.8,pullback,0.709,False,119.55,115.29,125.14,4.26,1.31,2,239.1,11.0,3.56
6,CTRA,68.7,0.8,0.648,0.527,0.0,1.0,0.788,1.0,0.0,30.24,49.4,3.08,0.25,4,13.5,3.29,54.9,pullback,0.788,False,30.24,28.84,32.67,1.4,1.74,7,211.68,11.0,4.62
7,IBKR,68.3,0.6,0.87,0.958,0.0,1.0,0.684,1.0,0.0,72.7,56.1,4.37,0.26,3,5.43,3.82,10.6,pullback,0.684,False,72.7,67.93,79.18,4.77,1.36,2,145.4,11.0,6.56
8,LYB,68.0,0.8,0.853,0.916,0.0,1.0,0.748,0.0,0.0,55.61,55.6,4.25,0.37,4,7.05,-12.49,22.9,pullback,0.748,False,55.61,52.07,60.33,3.54,1.33,3,166.83,11.0,6.37
9,HLT,67.8,1.0,0.91,0.325,0.0,1.0,0.748,0.0,0.0,315.6,57.3,2.48,0.17,5,8.59,-15.75,48.7,pullback,0.748,False,315.6,303.88,333.86,11.72,1.56,0,0.0,11.0,3.71
10,BEN,67.8,0.8,0.743,0.423,0.0,1.0,0.74,1.0,0.0,27.15,52.3,2.77,0.39,4,8.84,7.28,36.8,pullback,0.74,False,27.15,26.02,28.32,1.13,1.04,9,244.35,11.0,4.15
11,SWK,67.1,0.8,0.722,0.798,0.0,1.0,0.82,0.0,0.0,86.41,51.7,3.89,0.22,4,13.47,-4.04,50.5,pullback,0.82,False,86.41,81.36,93.37,5.05,1.38,2,172.82,11.0,5.84
12,LUV,67.0,0.8,0.439,0.865,0.0,1.0,0.679,1.0,0.0,50.33,43.2,4.09,0.27,4,41.51,2.04,43.6,pullback,0.679,False,50.33,47.24,55.11,3.09,1.55,3,150.99,11.0,6.14
13,HAS,66.6,1.0,0.977,0.586,0.0,1.0,0.556,0.0,0.0,100.31,59.3,3.26,0.29,5,17.62,-2.9,42.6,pullback,0.556,False,100.31,95.41,106.98,4.9,1.36,2,200.62,11.0,4.89
14,EMR,65.5,0.6,0.636,0.762,0.0,1.0,0.755,1.0,0.0,150.05,49.1,3.78,0.31,3,7.12,17.19,14.8,pullback,0.755,False,150.05,141.53,165.15,8.52,1.77,1,150.05,11.0,5.68
15,NCLH,65.1,1.0,0.936,0.64,0.0,1.0,0.237,1.0,0.0,24.47,61.9,5.58,0.35,5,13.64,77.41,44.1,squeeze,0.237,True,24.47,23.1,27.2,1.37,2.0,8,195.76,11.0,5.58
16,D,64.3,1.0,0.845,0.273,0.0,0.805,0.788,0.0,0.0,63.57,55.4,2.32,0.24,5,3.05,-22.15,53.8,pullback,0.788,False,63.57,61.36,67.57,2.21,1.81,4,254.28,11.0,3.48
17,FANG,63.5,1.0,0.945,0.575,0.0,1.0,0.433,0.0,0.0,169.77,58.4,3.23,0.33,5,10.39,-10.09,34.0,pullback,0.433,False,169.77,161.55,177.25,8.22,0.91,1,169.77,11.0,4.84
18,PFE,63.4,1.0,0.948,0.197,0.0,1.0,0.581,0.0,0.0,27.07,58.4,2.09,0.29,5,5.06,-11.35,24.3,pullback,0.581,False,27.07,26.22,27.94,0.85,1.02,12,324.84,11.0,3.14
19,AMCR,63.3,0.8,0.911,0.338,0.0,1.0,0.735,0.0,0.0,47.99,57.3,2.51,0.2,4,10.41,-5.06,59.7,pullback,0.735,False,47.99,46.18,50.94,1.81,1.63,6,287.94,11.0,3.77
20,UPS,63.0,0.8,0.509,0.259,0.0,1.0,0.708,1.0,0.0,114.91,45.3,2.28,0.32,4,20.61,5.32,47.0,pullback,0.708,False,114.91,110.99,122.41,3.92,1.91,2,229.82,11.0,3.41
21,DVN,63.0,0.8,0.619,0.541,0.0,1.0,0.786,0.0,0.0,42.95,48.6,3.12,0.28,4,13.16,-0.75,49.7,pullback,0.786,False,42.95,40.94,46.15,2.01,1.59,5,214.75,11.0,4.68
22,ADM,62.3,0.8,0.978,0.445,0.0,0.969,0.638,0.0,0.0,67.24,59.3,2.83,0.23,4,4.69,-28.13,22.8,pullback,0.638,False,67.24,64.38,70.09,2.86,1.0,3,201.72,11.0,4.25
23,PSX,61.7,0.8,0.547,0.455,0.0,1.0,0.798,0.0,0.0,152.56,46.4,2.87,0.38,4,9.92,-20.76,57.8,pullback,0.798,False,152.56,146.0,163.79,6.56,1.71,1,152.56,11.0,4.3
24,FITB,61.6,0.8,0.339,0.503,0.0,1.0,0.629,1.0,0.0,51.63,40.2,3.01,0.33,4,9.78,14.56,30.8,pullback,0.629,False,51.63,49.3,55.44,2.33,1.64,4,206.52,11.0,4.51
25,IVZ,61.5,0.8,0.9,0.801,0.0,1.0,0.224,1.0,0.0,26.71,57.0,3.9,0.2,4,7.61,2.3,44.2,squeeze,0.224,True,26.71,25.67,28.8,1.04,2.0,10,267.1,11.0,3.9
26,WMT,61.3,0.8,0.55,0.538,0.0,1.0,0.748,0.0,0.0,124.66,46.5,3.11,0.3,4,12.76,-53.9,37.9,pullback,0.748,False,124.66,118.84,134.69,5.82,1.72,1,124.66,11.0,4.67
27,CHTR,60.9,0.6,0.769,0.702,0.0,1.0,0.753,0.0,0.0,227.46,53.1,3.61,0.21,3,6.92,-6.78,53.9,pullback,0.753,False,227.46,215.16,249.24,12.3,1.77,0,0.0,11.0,5.41
28,MU,60.7,1.0,0.981,0.581,0.0,1.0,0.286,0.0,0.0,416.21,60.6,5.76,0.62,5,100.58,-6.92,23.5,squeeze,0.286,False,416.21,392.25,464.13,23.96,2.0,0,0.0,11.0,5.76
29,ALB,59.7,1.0,0.823,0.628,0.0,1.0,0.051,1.0,0.0,184.01,65.3,5.62,0.49,5,56.18,9.72,25.7,squeeze,0.051,True,184.01,173.67,204.68,10.34,2.0,1,184.01,11.0,5.62
30,ETN,59.5,0.6,0.891,0.689,0.0,0.935,0.684,0.0,0.0,368.0,56.7,3.57,0.28,3,4.35,-64.97,58.3,pullback,0.684,False,368.0,348.31,408.45,19.69,2.05,0,0.0,11.0,5.35
31,RCL,59.5,0.8,0.521,0.938,0.0,0.855,0.629,0.0,0.0,316.81,45.6,4.31,0.47,4,3.55,-13.75,50.6,pullback,0.629,False,316.81,296.31,356.39,20.5,1.93,0,0.0,11.0,6.47
32,AKAM,58.9,1.0,0.944,0.512,0.0,1.0,0.0,1.0,0.0,99.5,58.3,5.96,0.17,5,10.85,7.09,20.8,none,0.0,True,99.5,93.57,111.37,5.93,2.0,1,99.5,11.0,5.96
33,VLO,58.8,1.0,0.935,0.507,0.0,1.0,0.0,1.0,0.0,204.56,61.9,3.02,0.46,5,17.86,11.93,42.4,none,0.0,True,204.56,198.38,216.92,6.18,2.0,1,204.56,11.0,3.02
34,T,58.4,0.8,0.79,0.293,0.0,0.814,0.732,0.0,0.0,27.63,53.7,2.38,0.27,4,3.14,-18.88,62.8,pullback,0.732,False,27.63,26.64,29.3,0.99,1.69,11,303.93,11.0,3.57
35,APA,58.2,0.8,0.857,0.922,0.08,1.0,0.0,1.0,0.0,29.04,64.3,4.27,1.16,4,15.63,5.0,17.3,none,0.0,True,29.04,27.8,31.52,1.24,2.0,8,232.32,11.0,4.27
