,ticker,score,c_trend,c_rsi,c_atr,c_rvol,c_rs,c_pattern,c_obv,c_rr,price,rsi,atr_pct,rvol,trend_count,rs_avg_pct,obv_slope,adx,pattern,pattern_score,valid,entry,stop,target,risk_per_share,rr,shares,position_value,dollar_risk,risk_pct
1,MCHP,73.8,0.8,0.813,0.943,0.0,1.0,0.771,1.0,0.0,77.73,54.4,4.33,0.55,4,21.3,124.37,16.2,pullback,0.771,False,77.73,72.68,83.35,5.05,1.11,2,155.46,11.0,6.49
2,CCL,72.4,1.0,0.939,0.965,0.0,1.0,0.686,0.0,0.0,31.99,58.2,4.61,0.75,5,6.76,-13.78,49.5,pullback,0.686,False,31.99,29.78,34.03,2.21,0.92,4,127.96,11.0,6.91
3,ADM,71.7,1.0,0.747,0.561,0.0,0.977,0.678,1.0,0.0,67.88,52.4,3.18,0.68,5,4.77,107.77,24.4,pullback,0.678,False,67.88,64.64,70.09,3.24,0.68,3,203.64,11.0,4.77
4,FCX,71.6,1.0,0.93,0.945,0.0,1.0,0.413,1.0,0.0,64.34,57.9,4.67,0.65,5,34.93,10.05,21.6,squeeze,0.413,True,64.34,61.34,70.34,3.0,2.0,3,193.02,11.0,4.67
5,XOM,71.6,1.0,0.906,0.421,0.0,1.0,0.632,1.0,0.0,147.28,57.2,2.76,0.99,5,18.34,1.19,68.4,pullback,0.632,False,147.28,141.17,156.93,6.11,1.58,1,147.28,11.0,4.15
6,KEY,71.6,0.8,0.949,0.437,0.791,1.0,0.583,0.0,0.0,22.2,58.5,2.81,2.58,4,10.44,-10.84,19.8,pullback,0.583,False,22.2,21.26,23.35,0.94,1.23,11,244.2,11.0,4.22
7,NEM,69.6,0.8,0.971,0.816,0.013,1.0,0.542,1.0,0.0,122.13,59.1,5.05,1.03,4,34.36,2.15,8.9,pullback,0.542,False,122.13,112.88,134.88,9.25,1.38,1,122.13,11.0,7.58
8,CHRW,67.5,1.0,0.544,0.88,0.0,1.0,0.695,0.0,0.0,190.06,46.3,4.86,0.62,5,22.74,-20.42,53.1,pullback,0.695,False,190.06,176.21,203.34,13.85,0.96,0,0.0,11.0,7.29
9,CSCO,66.9,0.8,0.718,0.765,0.009,0.959,0.85,0.0,0.0,79.2,51.6,3.8,1.02,4,4.59,-0.05,46.2,pullback,0.85,False,79.2,74.69,88.19,4.51,1.99,2,158.4,11.0,5.69
10,TXN,66.6,1.0,0.831,0.566,0.0,1.0,0.636,0.0,0.0,219.73,54.9,3.2,0.62,5,15.76,-10.8,60.5,pullback,0.636,False,219.73,209.19,231.32,10.54,1.1,1,219.73,11.0,4.8
11,NXPI,66.3,0.8,0.798,0.897,0.0,0.691,0.689,1.0,0.0,232.27,54.0,4.81,0.75,4,1.91,30.81,21.7,pullback,0.689,False,232.27,215.52,256.36,16.75,1.44,0,0.0,11.0,7.21
12,TFC,64.8,0.8,0.801,0.385,0.0,1.0,0.842,0.0,0.0,52.32,54.0,2.66,0.67,4,6.65,-30.68,23.7,pullback,0.842,False,52.32,50.24,56.2,2.08,1.86,5,261.6,11.0,3.98
13,IBKR,64.3,0.6,0.636,0.911,0.0,1.0,0.89,0.0,0.0,74.39,49.1,4.77,0.42,3,8.59,-11.0,16.4,pullback,0.89,False,74.39,69.07,79.18,5.32,0.9,2,148.78,11.0,7.15
14,PM,63.4,1.0,0.935,0.306,0.0,1.0,0.543,0.0,0.0,183.4,58.1,2.42,0.64,5,8.57,-1.02,35.3,pullback,0.543,False,183.4,176.75,190.98,6.65,1.14,1,183.4,11.0,3.63
15,WMT,63.0,0.8,0.841,0.61,0.252,1.0,0.5,0.0,0.0,122.99,55.2,3.33,1.5,4,12.73,-58.48,49.1,pullback,0.5,False,122.99,116.85,134.69,6.14,1.91,1,122.99,11.0,4.99
16,HBAN,63.0,0.8,0.857,0.556,0.0,0.692,0.894,0.0,0.0,18.01,55.7,3.17,0.62,4,1.92,-25.6,15.2,pullback,0.894,False,18.01,17.15,19.46,0.86,1.69,12,216.12,11.0,4.75
17,LYV,62.4,0.8,0.593,0.723,0.748,1.0,0.0,1.0,0.0,162.67,72.2,3.67,2.5,4,9.66,135.06,25.6,none,0.0,True,162.67,156.7,174.61,5.97,2.0,1,162.67,11.0,3.67
18,LUV,61.5,1.0,0.921,0.833,0.0,1.0,0.0,1.0,0.0,52.09,62.4,4.0,0.51,5,42.86,1.19,57.0,none,0.0,True,52.09,50.01,56.26,2.08,2.0,5,260.45,11.0,4.0
19,CF,61.3,0.8,0.891,0.754,0.397,1.0,0.0,1.0,0.0,97.18,56.7,3.76,1.79,4,11.01,13.34,30.4,none,0.0,True,97.18,93.52,104.49,3.66,2.0,3,291.54,11.0,3.76
20,MU,61.1,1.0,0.773,0.327,0.0,1.0,0.262,1.0,0.0,428.17,53.2,6.52,0.83,5,118.07,1.08,32.3,squeeze,0.262,False,428.17,400.26,484.0,27.91,2.0,0,0.0,11.0,6.52
21,SLB,60.9,1.0,0.996,0.551,0.0,1.0,0.3,0.0,0.0,50.85,59.9,3.15,0.54,5,24.03,-37.02,27.9,squeeze,0.3,True,50.85,49.25,54.06,1.6,2.0,6,305.1,11.0,3.15
22,OMC,60.8,0.8,0.94,0.982,0.272,0.916,0.0,1.0,0.0,83.26,58.2,4.45,1.54,4,4.16,90.48,47.7,none,0.0,True,83.26,79.56,90.66,3.7,2.0,2,166.52,11.0,4.45
23,LYB,60.1,0.8,0.762,0.811,0.375,1.0,0.0,1.0,0.0,56.67,67.1,5.07,1.75,4,8.99,7.89,21.4,none,0.0,False,56.67,53.8,62.41,2.87,2.0,3,170.01,11.0,5.07
24,EMR,59.6,0.6,0.719,0.833,0.0,0.978,0.681,0.0,0.0,148.62,51.6,4.0,0.57,3,4.78,-0.15,16.3,pullback,0.681,False,148.62,139.7,165.15,8.92,1.85,1,148.62,11.0,6.0
25,AMAT,59.5,1.0,0.705,0.822,0.042,1.0,0.0,1.0,0.0,375.38,68.9,5.03,1.08,5,67.18,35.56,27.5,none,0.0,False,375.38,356.49,413.16,18.89,2.0,0,0.0,11.0,5.03
26,NCLH,59.0,1.0,0.965,0.498,0.0,1.0,0.0,1.0,0.0,24.31,58.9,6.01,0.61,5,11.72,75.89,34.3,none,0.0,True,24.31,22.85,27.23,1.46,2.0,7,170.17,11.0,6.01
27,KR,58.9,0.8,0.997,0.698,0.0,0.294,0.627,1.0,0.0,66.36,59.9,3.59,0.78,4,-2.06,11.26,42.9,pullback,0.627,False,66.36,62.78,73.18,3.58,1.91,3,199.08,11.0,5.39
