ticker,pattern,score,regime,rr,entry_date,entry_bar,entry_price,stop_price,target_price,shares,risk_usd,exit_date,exit_price,exit_reason,pnl_usd,pnl_pct,pnl_r,bars_held,mae,mfe
RCL,pullback,54.8,neutral,4.63,2025-05-23,61,233.1165,228.22,255.8,2,9.79,2025-05-27,255.8,target,45.37,9.731,4.633,2,0.0,22.42349999999999
F,pullback,52.9,neutral,2.27,2025-05-23,61,10.3051,10.07,10.84,42,9.88,2025-06-02,10.07,stop,-9.87,-2.281,-1.0,6,-0.32509999999999906,0.0749000000000013
HBAN,pullback,54.1,neutral,6.76,2025-05-23,61,15.0975,14.93,16.23,59,9.89,2025-06-06,16.23,target,66.82,7.501,6.761,10,0.0,1.1224999999999987
AMAT,pullback,56.4,neutral,5.27,2025-05-23,61,156.7183,152.99,176.38,2,7.46,2025-06-16,176.38,target,39.32,12.546,5.274,16,0.0,19.831700000000012
CARR,pullback,52.2,neutral,3.85,2025-05-23,61,70.6753,69.13,76.63,6,9.27,2025-07-10,76.63,target,35.73,8.425,3.853,32,-0.8952999999999918,6.094700000000003
KVUE,pullback,55.4,neutral,1.36,2025-05-28,63,23.932,23.02,25.17,10,9.12,2025-06-03,23.02,stop,-9.12,-3.811,-1.0,5,-1.7219999999999978,0.0
D,pullback,49.9,neutral,0.73,2025-06-03,67,57.0285,54.81,58.64,4,8.87,2025-06-16,54.81,stop,-8.87,-3.89,-1.0,10,-2.298500000000004,0.0
DLTR,breakout,57.1,neutral,1.38,2025-06-04,68,90.9755,83.1,101.86,1,7.88,2025-07-02,101.86,target,10.88,11.964,1.382,20,-2.355499999999992,12.034500000000008
DXCM,squeeze,54.6,neutral,1.64,2025-06-09,71,86.9535,84.63,90.76,4,9.29,2025-06-10,84.63,stop,-9.29,-2.672,-1.0,2,-2.133500000000012,0.0
TEL,squeeze,62.9,neutral,1.38,2025-06-11,73,167.0735,163.77,171.63,3,9.91,2025-06-13,163.77,stop,-9.91,-1.977,-1.0,3,-4.453499999999991,0.0
EL,pullback,57.7,neutral,0.6,2025-06-16,76,68.8844,63.93,71.86,2,9.91,2025-06-16,71.86,target,5.95,4.32,0.601,1,0.0,5.705600000000004
ETN,squeeze,59.8,neutral,2.54,2025-06-17,77,336.7983,330.11,353.81,1,6.69,2025-06-17,330.11,stop,-6.69,-1.986,-1.0,1,-6.2882999999999925,0.0
AMD,squeeze,59.6,neutral,1.19,2025-06-17,77,128.064,121.88,135.42,1,6.18,2025-06-24,135.42,target,7.36,5.744,1.19,5,-1.2739999999999867,10.366000000000014
MGM,breakout,54.8,neutral,0.7,2025-06-17,77,34.017,30.57,36.43,2,6.89,2025-07-01,36.43,target,4.83,7.094,0.7,10,-0.767000000000003,2.8729999999999976
VTRS,pullback,55.4,neutral,1.29,2025-06-18,78,8.7344,8.38,9.19,28,9.92,2025-07-01,9.19,target,12.76,5.216,1.286,9,0.0,0.4455999999999989
CCL,breakout,62.0,neutral,0.46,2025-06-25,82,25.7829,22.11,27.47,2,7.35,2025-06-30,27.47,target,3.37,6.543,0.459,4,-0.30290000000000106,2.3370999999999995
HPE,breakout,61.5,neutral,0.47,2025-07-01,86,20.1301,17.02,21.59,3,9.33,2025-07-10,21.59,target,4.38,7.252,0.469,7,0.0,1.209900000000001
