date,open,high,low,close,volume
2025-02-27,128.78,131.32,125.81,127.08,1954960.0
2025-02-28,128.2,129.51,125.95,127.92,1178030.0
2025-03-03,129.0,129.0,125.64,126.33,1230704.0
2025-03-04,125.0,125.75,121.45,123.06,1222334.0
2025-03-05,122.48,127.3,122.29,126.51,994242.0
2025-03-06,126.0,129.5,125.76,126.55,1097802.0
2025-03-07,125.95,128.1,124.4,126.7,1219128.0
2025-03-10,125.21,126.66,121.62,121.9,1743396.0
2025-03-11,122.59,123.28,119.3,121.03,928788.0
2025-03-12,122.1,123.7,119.08,119.85,903138.0
2025-03-13,119.0,120.08,117.17,117.33,856941.0
2025-03-14,118.81,122.05,117.5,121.18,1291445.0
2025-03-17,121.1,123.5,120.78,122.49,1071507.0
2025-03-18,122.1,123.2,121.42,123.1,769082.0
2025-03-19,122.56,123.24,121.3,122.21,647864.0
2025-03-20,121.72,122.08,119.68,120.28,771759.0
2025-03-21,119.38,120.78,117.92,120.75,966519.0
2025-03-24,121.88,124.43,120.89,121.97,534853.0
2025-03-25,122.6,123.04,119.76,120.51,628030.0
2025-03-26,120.72,121.14,119.05,119.9,1067689.0
2025-03-27,120.0,120.33,118.73,118.97,993450.0
2025-03-28,119.21,119.66,116.36,116.69,614168.0
2025-03-31,116.36,117.73,113.76,116.98,828059.0
2025-04-01,116.42,116.47,113.36,114.05,1126784.0
2025-04-02,113.12,116.24,112.75,115.99,1070127.0
2025-04-03,113.1,113.9,109.57,109.67,1905686.0
2025-04-04,107.14,107.7,102.85,103.0,2312738.0
2025-04-07,102.63,107.0,98.51,103.59,1780392.0
2025-04-08,106.06,106.76,97.37,99.29,2669624.0
2025-04-09,98.06,107.3,96.43,107.05,2529242.0
2025-04-10,104.82,105.28,96.81,99.95,3212378.0
2025-04-11,101.15,103.34,98.86,102.71,1531926.0
2025-04-14,104.94,106.21,104.0,105.19,975710.0
2025-04-15,104.3,105.25,102.54,103.12,564112.0
2025-04-16,103.22,104.83,101.87,102.7,684552.0
2025-04-17,102.63,103.5,101.35,102.48,1018039.0
2025-04-21,101.85,102.04,99.12,100.26,1305216.0
2025-04-22,102.0,103.94,101.2,102.81,1177000.0
2025-04-23,106.67,109.62,104.75,105.0,1112965.0
2025-04-24,105.42,107.08,103.16,107.02,1070828.0
2025-04-25,105.87,106.43,104.35,106.28,490325.0
2025-04-28,107.35,108.56,105.39,106.87,669801.0
2025-04-29,106.5,108.02,105.78,107.46,524490.0
2025-04-30,106.96,107.95,105.45,107.6,535571.0
2025-05-01,107.25,108.23,104.1,106.46,631271.0
2025-05-02,109.24,110.33,107.45,108.63,582072.0
2025-05-05,108.1,109.25,107.46,108.37,672223.0
2025-05-06,107.25,108.21,104.35,105.24,933404.0
2025-05-07,106.69,107.6,104.79,107.52,941003.0
2025-05-08,108.0,110.65,106.55,108.7,1050779.0
2025-05-09,108.96,109.86,106.79,106.93,710747.0
2025-05-12,110.81,115.71,110.45,115.55,1554010.0
2025-05-13,115.43,116.88,114.81,115.42,1584957.0
2025-05-14,114.95,115.5,111.28,111.52,1436066.0
2025-05-15,111.28,112.4,108.93,112.4,943276.0
2025-05-16,112.28,113.83,110.82,113.77,906501.0
2025-05-19,112.5,113.47,112.03,113.44,1039197.0
2025-05-20,113.45,114.14,112.66,113.48,1175177.0
2025-05-21,112.0,112.61,108.7,108.91,1521953.0
2025-05-22,108.36,110.19,107.96,109.68,964153.0
2025-05-23,107.78,109.06,107.07,108.53,792147.0
2025-05-27,110.75,111.77,109.96,111.26,1078844.0
2025-05-28,110.83,111.58,110.14,110.88,1368400.0
2025-05-29,116.95,116.99,113.0,113.28,2377183.0
2025-05-30,112.03,112.91,110.78,111.92,1526023.0
2025-06-02,111.14,111.41,110.03,111.05,921988.0
2025-06-03,110.89,113.0,109.75,112.76,703099.0
2025-06-04,113.36,115.29,112.88,114.94,1384429.0
2025-06-05,115.42,115.5,113.64,113.94,898694.0
2025-06-06,115.41,116.02,114.78,115.8,637787.0
2025-06-09,116.61,118.47,115.77,116.74,1055690.0
2025-06-10,117.9,121.16,117.12,120.52,1658764.0
2025-06-11,121.16,122.83,119.67,119.72,1559002.0
2025-06-12,118.98,120.05,118.53,118.91,622931.0
2025-06-13,116.68,118.9,116.45,117.08,865999.0
2025-06-16,117.69,119.34,115.57,119.02,529154.0
2025-06-17,117.5,118.47,115.82,116.09,752766.0
2025-06-18,116.09,116.88,114.66,115.52,576554.0
2025-06-20,116.17,116.86,115.08,115.56,653719.0
2025-06-23,114.95,116.23,113.7,116.13,623310.0
2025-06-24,117.33,118.0,116.57,117.64,650161.0
2025-06-25,117.11,119.78,116.97,118.62,592605.0
2025-06-26,119.18,120.54,118.04,119.42,695286.0
2025-06-27,120.0,120.21,118.18,119.17,550010.0
2025-06-30,119.19,119.66,117.44,118.01,464215.0
2025-07-01,117.44,123.16,116.83,120.45,967805.0
2025-07-02,121.0,121.59,119.46,120.66,757670.0
2025-07-03,121.0,121.75,120.67,121.38,424814.0
2025-07-07,121.11,121.11,118.1,119.25,616744.0
2025-07-08,119.58,123.11,119.28,121.01,861145.0
2025-07-09,121.4,122.35,118.9,121.3,961692.0
2025-07-10,121.63,126.44,120.94,124.17,1019070.0
2025-07-11,122.93,123.66,122.33,123.28,667889.0
2025-07-14,121.84,121.86,119.27,120.08,862208.0
2025-07-15,118.0,119.76,111.93,112.94,2392883.0
2025-07-16,113.46,114.46,111.86,113.43,1056601.0
2025-07-17,114.1,116.57,113.25,116.36,718422.0
2025-07-18,116.82,117.2,113.53,113.99,682922.0
2025-07-21,113.23,113.66,110.75,112.04,1121087.0
2025-07-22,112.85,117.05,112.14,116.19,874766.0
2025-07-23,119.38,120.79,117.48,119.47,1028959.0
2025-07-24,119.43,122.75,119.43,120.35,848002.0
2025-07-25,120.5,121.01,119.02,120.18,1188254.0
2025-07-28,119.41,120.77,118.72,119.54,860523.0
2025-07-29,119.75,120.51,118.85,119.84,628877.0
2025-07-30,120.24,120.46,117.23,118.05,400211.0
2025-07-31,116.57,118.34,114.47,114.81,1031115.0
2025-08-01,113.45,114.32,111.19,113.5,899643.0
2025-08-04,113.17,115.03,112.01,114.84,608025.0
2025-08-05,114.81,115.43,114.25,114.89,499716.0
2025-08-06,115.08,115.08,112.56,113.23,371177.0
2025-08-07,114.5,114.92,113.16,113.98,537460.0
2025-08-08,114.31,115.0,113.39,114.62,555903.0
2025-08-11,115.04,115.67,113.73,114.13,526286.0
2025-08-12,114.51,117.37,114.39,117.32,416127.0
2025-08-13,118.06,120.4,117.86,120.29,442089.0
2025-08-14,119.23,119.41,118.15,118.87,436078.0
2025-08-15,119.61,119.96,118.49,119.2,631723.0
2025-08-18,119.12,119.6,118.15,118.15,413407.0
2025-08-19,117.83,120.59,117.83,120.11,730763.0
2025-08-20,119.87,120.46,118.28,119.11,595233.0
2025-08-21,118.49,118.7,117.03,117.15,336820.0
2025-08-22,118.27,122.41,117.46,121.63,627335.0
2025-08-25,121.5,121.69,118.48,119.15,681907.0
2025-08-26,119.23,119.63,118.1,118.3,574064.0
2025-08-27,118.5,119.2,117.51,118.69,872043.0
2025-08-28,118.8,125.43,118.2,124.96,2242466.0
2025-08-29,125.0,126.3,124.11,125.66,819389.0
2025-09-02,124.88,125.52,121.8,125.21,1480294.0
2025-09-03,124.96,125.83,123.72,125.22,1164392.0
2025-09-04,125.0,128.83,123.8,128.48,1408252.0
2025-09-05,128.72,131.0,128.39,128.75,806225.0
2025-09-08,127.48,128.42,126.28,128.13,1225918.0
2025-09-09,128.1,128.27,125.85,126.25,630003.0
2025-09-10,125.92,126.72,124.01,124.12,772218.0
2025-09-11,125.51,127.05,124.87,126.73,830929.0
2025-09-12,126.45,126.53,123.13,123.24,599643.0
2025-09-15,123.99,126.41,123.7,125.63,1219977.0
2025-09-16,125.63,127.59,125.02,127.19,933970.0
2025-09-17,127.72,130.08,126.38,126.72,929230.0
2025-09-18,127.76,128.54,126.76,127.62,610048.0
2025-09-19,128.28,128.55,126.01,126.32,884007.0
2025-09-22,125.5,126.62,125.17,126.33,437062.0
