date,open,high,low,close,volume
2025-02-27,37.76,38.69,36.43,36.96,3387623.0
2025-02-28,37.0,38.08,36.17,36.9,1666641.0
2025-03-03,37.11,37.22,35.02,35.41,2100920.0
2025-03-04,34.75,35.81,34.57,34.58,1849389.0
2025-03-05,34.5,35.18,33.94,34.35,1784188.0
2025-03-06,34.06,35.21,33.52,33.63,2030979.0
2025-03-07,33.5,35.6,33.07,35.37,2183772.0
2025-03-10,35.31,37.77,35.25,36.58,2820676.0
2025-03-11,37.38,38.2,36.34,36.52,1855566.0
2025-03-12,36.68,37.74,35.64,37.58,1402130.0
2025-03-13,37.61,38.55,37.16,38.14,1378585.0
2025-03-14,38.38,38.73,37.17,37.59,1113215.0
2025-03-17,37.48,38.33,37.0,37.84,1064097.0
2025-03-18,37.64,38.25,37.04,37.72,887809.0
2025-03-19,37.94,38.38,36.75,36.92,947903.0
2025-03-20,36.64,38.37,36.31,37.64,1004385.0
2025-03-21,37.33,37.98,37.09,37.46,877151.0
2025-03-24,37.66,38.81,37.63,38.59,1047682.0
2025-03-25,38.65,38.65,37.38,37.54,672872.0
2025-03-26,37.61,38.27,37.03,37.82,859731.0
2025-03-27,37.93,41.67,37.75,40.37,3492052.0
2025-03-28,40.0,40.48,38.39,38.95,1744816.0
2025-03-31,38.36,39.65,38.25,39.21,1439679.0
2025-04-01,38.87,39.8,38.58,39.02,846867.0
2025-04-02,38.45,39.76,38.35,39.32,1324253.0
2025-04-03,38.0,39.18,36.4,36.62,2341800.0
2025-04-04,35.79,36.92,34.48,35.01,1709266.0
2025-04-07,33.88,35.22,31.76,32.43,2771857.0
2025-04-08,33.38,33.88,30.17,30.31,2001137.0
2025-04-09,29.99,34.3,28.89,33.47,2541290.0
2025-04-10,32.67,32.67,30.79,32.17,1924293.0
2025-04-11,31.74,32.64,30.64,32.26,1984021.0
2025-04-14,32.97,33.05,31.75,32.88,901629.0
2025-04-15,32.83,33.56,32.26,32.39,808951.0
2025-04-16,32.18,32.61,30.68,30.88,1125434.0
2025-04-17,31.04,32.17,30.48,31.87,940378.0
2025-04-21,31.56,32.73,30.97,32.64,1207116.0
2025-04-22,33.13,33.63,32.58,32.94,1003634.0
2025-04-23,34.06,34.6,32.35,32.74,1361274.0
2025-04-24,32.68,33.14,31.5,32.94,911720.0
2025-04-25,32.5,33.08,32.31,32.88,679526.0
2025-04-28,32.88,33.3,32.17,32.63,620677.0
2025-04-29,32.33,33.34,31.89,33.31,753292.0
2025-04-30,33.01,33.01,31.8,32.72,720097.0
2025-05-01,32.91,33.64,32.61,32.97,881191.0
2025-05-02,33.59,34.28,33.15,33.41,861625.0
2025-05-05,33.25,33.25,31.76,31.81,1269570.0
2025-05-06,31.26,32.12,31.09,31.45,1056808.0
2025-05-07,31.7,32.35,31.26,31.36,996891.0
2025-05-08,31.7,32.02,31.06,31.39,1080937.0
2025-05-09,31.5,31.87,30.84,30.88,900057.0
2025-05-12,32.69,33.5,32.49,33.38,1646989.0
2025-05-13,33.72,34.06,32.99,33.23,912750.0
2025-05-14,33.0,33.3,32.23,32.72,1116052.0
2025-05-15,32.6,34.47,32.56,34.42,1089307.0
2025-05-16,34.66,35.62,34.66,35.03,1020466.0
2025-05-19,34.28,35.0,34.09,34.38,2091027.0
2025-05-20,34.36,35.29,34.11,34.16,1454990.0
2025-05-21,33.28,33.48,31.28,31.31,3265595.0
2025-05-22,43.07,50.04,41.62,49.17,20621118.0
2025-05-23,49.49,49.51,46.3,48.67,6648365.0
2025-05-27,49.75,49.94,47.95,49.6,3194964.0
2025-05-28,50.0,52.9,49.59,52.71,4510774.0
2025-05-29,52.86,53.13,47.01,48.36,3616487.0
2025-05-30,48.05,48.85,47.53,47.93,1579133.0
2025-06-02,47.9,49.97,47.07,49.73,1385191.0
2025-06-03,51.01,52.54,49.8,51.97,2024787.0
2025-06-04,51.91,52.2,50.86,51.68,1222308.0
2025-06-05,51.79,52.68,51.51,52.32,1149283.0
2025-06-06,52.84,52.94,52.01,52.5,911419.0
2025-06-09,52.9,53.32,51.4,52.1,1272817.0
2025-06-10,52.84,53.3,51.45,53.25,1336702.0
2025-06-11,53.31,53.6,51.43,51.52,993557.0
2025-06-12,51.02,51.74,50.49,50.81,1036595.0
2025-06-13,50.06,51.0,47.94,48.47,1196152.0
2025-06-16,49.0,49.33,48.03,48.46,1243718.0
2025-06-17,48.23,48.78,47.8,48.23,802078.0
2025-06-18,48.34,49.47,48.23,48.55,1142801.0
2025-06-20,48.79,49.53,48.43,49.42,728141.0
2025-06-23,49.35,52.03,48.86,51.93,1308398.0
2025-06-24,49.91,50.0,46.73,48.26,3744028.0
2025-06-25,48.31,48.31,46.2,46.68,1716672.0
2025-06-26,46.72,47.07,45.05,46.28,1522576.0
2025-06-27,46.71,47.46,45.85,46.5,1778189.0
2025-06-30,47.27,47.27,44.81,46.49,1466330.0
2025-07-01,46.4,50.75,46.09,49.47,2183820.0
2025-07-02,49.85,49.96,48.46,49.01,885375.0
2025-07-03,49.46,51.94,49.2,51.62,1077308.0
2025-07-07,51.03,54.34,50.8,54.22,1404196.0
2025-07-08,54.33,55.85,53.06,55.71,1962110.0
2025-07-09,55.98,58.48,55.74,58.37,1176939.0
2025-07-10,58.35,61.88,58.27,59.6,2178601.0
2025-07-11,58.84,63.26,58.68,62.56,1924488.0
2025-07-14,62.31,62.33,59.0,62.01,1660655.0
2025-07-15,62.82,62.96,61.39,62.4,1055001.0
2025-07-16,62.83,63.18,60.35,62.29,1314538.0
2025-07-17,62.77,63.46,60.91,61.08,1644993.0
2025-07-18,61.61,61.62,60.67,61.13,732306.0
2025-07-21,61.88,63.62,60.5,62.8,1176210.0
2025-07-22,62.96,66.49,61.8,65.63,1558081.0
2025-07-23,65.69,68.26,65.11,66.5,2339181.0
2025-07-24,70.0,70.0,59.3,59.65,3378390.0
2025-07-25,59.9,60.25,56.34,58.68,1845656.0
2025-07-28,58.13,58.81,56.47,57.5,991406.0
2025-07-29,57.51,57.51,55.81,56.74,1292181.0
2025-07-30,57.43,57.5,55.02,55.83,729313.0
2025-07-31,55.46,55.85,52.91,53.07,1040715.0
2025-08-01,53.0,53.56,51.84,52.71,1034020.0
2025-08-04,53.49,54.04,52.83,53.53,872024.0
2025-08-05,53.64,57.53,53.57,57.09,1754014.0
2025-08-06,57.09,61.19,56.53,60.43,1819201.0
2025-08-07,60.61,61.4,57.91,58.34,1193306.0
2025-08-08,58.43,59.1,57.47,59.08,612092.0
2025-08-11,60.0,60.5,58.46,59.36,833228.0
2025-08-12,59.69,60.89,58.81,59.11,779416.0
2025-08-13,59.1,62.36,58.92,61.81,1475714.0
2025-08-14,54.0,57.64,51.95,56.85,5311133.0
2025-08-15,56.85,59.21,56.34,56.84,2244469.0
2025-08-18,57.11,57.47,56.09,56.6,817417.0
2025-08-19,56.58,57.48,55.85,56.32,758897.0
2025-08-20,56.27,57.18,55.77,56.56,589046.0
2025-08-21,55.56,56.34,54.23,55.6,617883.0
2025-08-22,56.19,58.47,55.56,57.79,685329.0
2025-08-25,57.56,59.95,57.36,59.48,717955.0
2025-08-26,59.54,61.23,59.37,60.19,825982.0
2025-08-27,60.05,61.23,60.03,60.77,404516.0
