date,open,high,low,close,volume
2025-02-26,143.16,145.13,142.22,144.03,1665662.0
2025-02-27,144.84,145.69,139.05,139.45,2605313.0
2025-02-28,139.58,140.16,137.59,138.87,2390367.0
2025-03-03,140.34,144.75,139.9,140.98,3918547.0
2025-03-04,139.79,143.23,137.82,141.42,2609899.0
2025-03-05,141.87,142.79,139.21,142.58,1961981.0
2025-03-06,140.33,140.33,134.61,134.77,3221224.0
2025-03-07,134.75,134.75,130.37,134.39,2832425.0
2025-03-10,134.91,135.94,130.2,132.15,3820674.0
2025-03-11,129.98,130.77,123.7,125.44,4855414.0
2025-03-12,127.42,127.48,123.53,126.55,2601259.0
2025-03-13,124.99,126.22,119.15,119.38,4431579.0
2025-03-14,122.01,124.45,121.57,122.86,2615338.0
2025-03-17,123.94,128.0,123.75,126.94,2722498.0
2025-03-18,126.0,126.07,123.0,124.56,1689435.0
2025-03-19,125.1,127.08,124.12,126.0,2464027.0
2025-03-20,124.89,127.77,124.36,126.15,1886697.0
2025-03-21,124.66,129.25,123.3,128.8,2929436.0
2025-03-24,130.25,130.72,128.69,129.82,1911921.0
2025-03-25,129.55,130.76,128.55,129.88,1922519.0
2025-03-26,129.97,131.0,127.85,128.64,1786168.0
2025-03-27,126.2,127.09,123.43,125.65,2858596.0
2025-03-28,125.73,125.73,119.94,120.69,2087767.0
2025-03-31,118.81,119.95,115.68,119.46,3901052.0
2025-04-01,119.67,121.35,117.8,121.18,2092535.0
2025-04-02,119.48,124.59,119.08,122.8,3110169.0
2025-04-03,116.61,117.18,111.8,113.97,4892088.0
2025-04-04,109.69,110.42,104.73,106.66,6682193.0
2025-04-07,103.09,110.91,99.88,106.3,6352307.0
2025-04-08,110.74,112.97,104.15,105.69,4852222.0
2025-04-09,105.67,123.3,105.39,121.32,8369760.0
2025-04-10,117.75,118.5,110.06,113.91,4137592.0
2025-04-11,113.98,115.43,111.59,114.54,2599353.0
2025-04-14,117.3,118.29,112.55,113.22,2240912.0
