date,open,high,low,close,volume
2025-02-26,65.25,65.96,64.43,65.54,85892.0
2025-02-27,65.26,65.65,64.67,65.01,34751.0
2025-02-28,64.95,65.71,64.78,65.58,41730.0
2025-03-03,66.14,67.29,64.72,65.61,73282.0
2025-03-04,65.0,65.0,63.41,63.51,115476.0
2025-03-05,63.51,64.86,63.32,64.44,42149.0
2025-03-06,63.86,64.75,63.67,64.53,41946.0
2025-03-07,64.0,65.41,63.86,65.09,34881.0
2025-03-10,64.43,64.63,61.24,61.8,183482.0
2025-03-11,61.4,65.05,60.75,64.54,110832.0
2025-03-12,65.08,65.17,63.62,64.71,98781.0
2025-03-13,64.19,65.23,63.21,63.6,58047.0
2025-03-14,63.79,65.39,63.79,65.38,54387.0
2025-03-17,64.93,66.1,64.89,65.64,50325.0
2025-03-18,65.87,66.02,65.3,65.53,37155.0
2025-03-19,65.65,66.1,65.3,65.83,84633.0
2025-03-20,65.17,66.99,65.17,66.99,50947.0
2025-03-21,66.86,67.84,66.65,67.71,47846.0
2025-03-24,67.89,68.91,67.89,68.7,53728.0
2025-03-25,68.6,70.0,68.44,69.24,115961.0
2025-03-26,69.22,69.77,68.97,69.16,70239.0
2025-03-27,68.36,70.29,68.1,69.95,119291.0
2025-03-28,70.0,70.49,69.11,69.36,199442.0
2025-03-31,68.59,69.62,68.21,69.15,42643.0
2025-04-01,68.64,70.79,68.64,69.71,70800.0
2025-04-02,68.93,70.16,68.93,69.71,133618.0
2025-04-03,68.2,69.98,67.99,68.71,164984.0
2025-04-04,67.35,67.61,63.6,64.48,195579.0
2025-04-07,62.31,66.23,61.64,63.48,173724.0
2025-04-08,65.02,65.7,62.14,62.61,159295.0
2025-04-09,62.68,66.52,60.76,65.94,189229.0
2025-04-10,65.31,66.18,63.65,64.6,167107.0
2025-04-11,64.75,66.0,63.4,65.88,246854.0
2025-04-14,66.34,68.01,65.98,67.43,81908.0
2025-04-15,67.9,68.44,66.84,67.75,54111.0
2025-04-16,67.48,68.07,65.92,66.86,128012.0
2025-04-17,66.84,69.02,66.84,68.65,136495.0
2025-04-21,68.74,68.74,66.08,66.53,76872.0
2025-04-22,67.35,67.6,65.85,65.85,119278.0
2025-04-23,66.54,67.48,65.34,66.39,128667.0
2025-04-24,66.8,68.82,66.57,67.74,65434.0
2025-04-25,67.2,67.75,66.11,67.35,95904.0
2025-04-28,67.35,68.48,66.73,68.46,110087.0
2025-04-29,68.0,68.51,67.59,67.95,98669.0
2025-04-30,67.89,68.7,66.71,68.66,92675.0
2025-05-01,68.38,69.26,68.08,68.85,113596.0
2025-05-02,65.2,67.67,60.57,63.07,396739.0
2025-05-05,62.34,62.84,58.31,58.33,286165.0
2025-05-06,58.19,63.45,58.19,63.09,285498.0
2025-05-07,63.33,63.9,62.66,63.52,109791.0
2025-05-08,63.75,63.78,62.43,62.77,75181.0
2025-05-09,62.87,63.47,62.39,63.14,127862.0
2025-05-12,63.91,64.1,59.75,60.11,235637.0
2025-05-13,60.15,60.55,59.09,59.85,111993.0
2025-05-14,59.45,60.75,59.45,60.35,58273.0
2025-05-15,60.74,61.35,60.57,61.03,67392.0
2025-05-16,60.86,61.93,60.81,61.8,83726.0
2025-05-19,61.6,62.04,60.69,61.18,71139.0
2025-05-20,61.15,62.14,61.09,61.36,112961.0
2025-05-21,60.95,62.32,60.25,60.57,89421.0
2025-05-22,60.74,61.81,60.42,60.88,71197.0
2025-05-23,60.88,61.08,59.98,61.08,45817.0
2025-05-27,61.37,63.76,61.37,63.28,69527.0
2025-05-28,63.14,63.28,62.36,62.81,99700.0
2025-05-29,62.69,62.78,61.68,61.89,47924.0
2025-05-30,61.79,62.48,61.48,61.97,57747.0
