date,open,high,low,close,volume
2025-02-26,48.51,48.64,46.95,46.98,2371468.0
2025-02-27,46.78,47.25,46.51,46.59,1851511.0
2025-02-28,46.96,47.46,46.77,47.2,2436673.0
2025-03-03,47.32,47.65,46.33,46.58,1788301.0
2025-03-04,46.3,46.83,45.71,45.82,1892918.0
2025-03-05,45.85,46.34,45.31,45.8,1711132.0
2025-03-06,45.85,48.36,45.8,48.06,2439140.0
2025-03-07,47.93,50.27,47.88,49.44,2392547.0
2025-03-10,49.94,52.36,49.93,50.61,3875600.0
2025-03-11,50.77,51.03,48.5,48.64,2817303.0
2025-03-12,48.0,48.15,46.84,47.08,2340827.0
2025-03-13,47.0,48.12,46.75,47.25,2017055.0
2025-03-14,46.96,47.51,46.39,47.18,1555960.0
2025-03-17,47.49,48.67,47.49,47.99,2269062.0
2025-03-18,48.48,48.65,47.64,47.68,1731550.0
2025-03-19,47.54,47.92,46.49,46.93,2758505.0
2025-03-20,46.82,47.23,46.26,46.52,2401133.0
2025-03-21,46.6,46.96,45.98,46.1,4444634.0
2025-03-24,45.9,46.61,45.49,45.93,2137916.0
2025-03-25,45.96,46.58,45.8,46.05,1608436.0
2025-03-26,46.1,47.21,46.05,47.07,1496722.0
2025-03-27,47.29,48.48,47.25,48.28,2467965.0
2025-03-28,48.31,48.4,47.62,47.87,1078770.0
2025-03-31,47.82,48.54,47.68,48.01,1434006.0
2025-04-01,48.32,48.37,47.38,48.21,1545546.0
2025-04-02,48.14,48.35,47.2,47.97,1357727.0
2025-04-03,48.02,48.14,47.14,47.57,2231327.0
2025-04-04,45.75,46.08,43.01,43.32,4190618.0
2025-04-07,42.76,44.9,42.35,42.98,3566591.0
2025-04-08,43.75,44.08,41.17,41.79,2557996.0
2025-04-09,41.31,44.68,40.98,44.38,3537638.0
2025-04-10,44.38,44.78,43.18,44.48,3074271.0
2025-04-11,44.73,46.01,44.42,45.84,2118353.0
2025-04-14,46.04,46.71,45.44,46.43,1475171.0
2025-04-15,46.55,46.56,45.42,46.07,1442942.0
2025-04-16,46.21,47.04,45.86,46.13,2430897.0
2025-04-17,46.41,47.89,46.41,47.82,1656144.0
2025-04-21,47.83,48.12,47.21,48.09,1575368.0
2025-04-22,48.48,49.13,48.23,48.54,1731854.0
2025-04-23,48.56,49.04,47.78,48.12,1061472.0
2025-04-24,47.99,48.84,47.64,48.78,1070762.0
2025-04-25,48.75,48.75,47.87,48.25,1093611.0
2025-04-28,48.25,48.65,47.59,48.05,1044234.0
2025-04-29,47.92,48.11,47.56,47.78,971819.0
2025-04-30,47.79,47.89,47.13,47.75,1734263.0
2025-05-01,47.47,48.22,47.22,47.58,1184787.0
2025-05-02,48.1,48.15,47.33,47.85,1443370.0
2025-05-05,47.4,47.8,47.26,47.5,1857015.0
2025-05-06,48.33,49.8,47.71,48.32,2816263.0
2025-05-07,48.24,48.43,47.41,47.88,2533820.0
2025-05-08,47.1,47.97,47.1,47.7,1758572.0
2025-05-09,47.63,48.63,47.4,48.53,1630686.0
2025-05-12,49.42,50.37,49.15,49.9,2499621.0
