date,open,high,low,close,volume
2025-02-26,107.23,107.51,106.37,106.89,1366853.0
2025-02-27,106.2,106.78,104.8,105.16,1496500.0
2025-02-28,106.09,107.11,104.66,106.05,1406461.0
2025-03-03,105.77,107.82,105.69,107.7,1435461.0
2025-03-04,108.53,109.52,105.14,105.24,3382449.0
2025-03-05,104.5,105.46,103.19,103.39,1456820.0
2025-03-06,103.3,103.31,101.42,102.59,1285937.0
2025-03-07,102.84,104.88,102.67,104.62,1683866.0
2025-03-10,104.91,108.67,104.91,107.32,2928409.0
2025-03-11,107.67,107.99,104.39,104.43,1732868.0
2025-03-12,103.01,103.79,102.35,102.96,1571282.0
2025-03-13,102.81,104.29,102.69,104.24,865502.0
2025-03-14,103.99,105.95,103.59,105.56,2395061.0
2025-03-17,105.67,106.83,105.13,105.86,3214033.0
2025-03-18,106.29,106.49,105.38,105.99,1389294.0
2025-03-19,105.85,106.3,105.14,105.84,1137568.0
2025-03-20,105.8,106.59,105.55,106.21,1222439.0
2025-03-21,106.14,106.65,104.4,105.11,1700655.0
2025-03-24,105.25,105.69,104.02,104.18,1074930.0
2025-03-25,103.0,103.0,101.96,102.5,6165429.0
2025-03-26,102.78,104.31,102.56,103.9,2732617.0
2025-03-27,103.94,105.6,103.78,105.15,1959691.0
2025-03-28,105.89,107.41,105.37,106.96,2963502.0
2025-03-31,108.39,109.76,107.84,109.27,2996354.0
2025-04-01,108.61,108.88,107.52,108.37,1947155.0
2025-04-02,108.83,108.83,107.27,107.75,1317205.0
2025-04-03,109.76,110.46,107.75,109.11,2986421.0
2025-04-04,110.12,110.48,103.91,104.48,3570601.0
2025-04-07,104.48,104.79,100.67,101.57,3551247.0
2025-04-08,102.33,103.98,100.56,101.28,2918777.0
2025-04-09,100.95,103.82,98.35,102.35,2555008.0
2025-04-10,102.1,104.31,101.51,103.2,1495704.0
2025-04-11,103.64,105.17,101.86,104.63,1450232.0
2025-04-14,104.45,106.94,103.73,106.58,1189267.0
2025-04-15,107.05,107.51,106.21,106.68,1180719.0
2025-04-16,106.94,107.46,105.65,105.92,1049735.0
2025-04-17,106.75,109.03,106.67,107.71,1532425.0
2025-04-21,107.77,107.77,104.72,105.53,985130.0
2025-04-22,106.26,108.31,106.13,108.15,1017122.0
2025-04-23,107.64,108.13,105.56,107.02,1344080.0
2025-04-24,106.9,107.63,105.69,106.7,1238705.0
2025-04-25,106.87,106.88,105.58,106.74,1057778.0
2025-04-28,106.77,107.56,105.7,107.06,1346952.0
2025-04-29,107.2,108.58,106.29,108.5,1521137.0
2025-04-30,108.97,109.08,106.34,108.34,2496466.0
2025-05-01,108.0,108.76,107.12,107.54,1153279.0
2025-05-02,108.27,108.34,107.16,107.69,846713.0
2025-05-05,107.7,108.04,106.27,107.44,708914.0
2025-05-06,108.24,109.03,107.0,107.44,1415486.0
2025-05-07,107.43,108.16,106.5,107.48,1117718.0
2025-05-08,107.04,107.32,104.53,105.19,1589438.0
2025-05-09,104.43,104.84,103.72,104.68,1572367.0
2025-05-12,103.08,103.61,100.57,100.99,2070417.0
2025-05-13,100.92,101.28,99.38,99.56,2045040.0
2025-05-14,99.27,99.29,97.46,98.59,2389644.0
2025-05-15,99.37,101.7,99.35,101.61,2077073.0
2025-05-16,101.58,103.09,101.25,103.04,1068644.0
2025-05-19,102.68,103.9,102.52,103.78,745854.0
2025-05-20,103.64,104.24,103.59,103.73,807842.0
2025-05-21,103.56,103.92,102.43,102.93,1013133.0
