date,open,high,low,close,volume
2025-02-26,10.95,11.04,10.7,10.92,9150857.0
2025-02-27,10.97,10.97,10.38,10.38,12065585.0
2025-02-28,11.05,12.0,10.75,11.59,32636928.0
2025-03-03,11.15,11.62,10.98,11.19,18649148.0
2025-03-04,11.26,11.34,10.74,10.82,15800093.0
2025-03-05,10.8,11.02,10.65,10.96,9526639.0
2025-03-06,10.86,10.9,10.57,10.87,7301049.0
2025-03-07,10.88,11.48,10.83,11.25,16109933.0
2025-03-10,11.16,11.92,11.15,11.78,16343332.0
2025-03-11,11.85,12.08,11.72,11.99,12356250.0
2025-03-12,11.69,11.9,11.53,11.83,8045477.0
2025-03-13,11.87,12.43,11.87,12.28,10466874.0
2025-03-14,12.41,12.57,12.06,12.31,10302123.0
2025-03-17,12.44,13.18,12.26,13.05,13825252.0
2025-03-18,12.85,13.01,12.69,12.92,9790280.0
2025-03-19,12.88,13.05,12.8,12.98,6549350.0
2025-03-20,13.0,13.24,12.91,13.16,6348660.0
2025-03-21,13.11,13.17,12.74,13.05,10660412.0
2025-03-24,12.96,13.07,12.75,12.88,7267678.0
2025-03-25,12.9,12.92,12.48,12.66,8185930.0
2025-03-26,12.68,12.81,12.42,12.49,8084280.0
2025-03-27,12.49,12.63,12.36,12.43,4832154.0
2025-03-28,12.52,12.73,12.4,12.41,7918173.0
2025-03-31,12.16,12.53,12.03,12.42,7504701.0
2025-04-01,12.57,12.57,12.24,12.37,4665028.0
2025-04-02,12.35,12.52,12.27,12.48,5141262.0
2025-04-03,12.0,12.28,11.85,11.9,12796951.0
2025-04-04,11.45,11.45,10.52,10.78,15298094.0
2025-04-07,10.51,11.01,10.13,10.69,12975019.0
2025-04-08,10.93,11.0,10.15,10.23,12051945.0
2025-04-09,10.09,11.23,9.91,11.14,15815410.0
2025-04-10,10.6,10.73,10.05,10.3,13578150.0
2025-04-11,10.33,10.39,9.99,10.3,9234563.0
2025-04-14,10.47,10.65,10.3,10.48,9957145.0
