date,open,high,low,close,volume
2025-02-26,79.0,79.31,77.83,78.17,2352218.0
2025-02-27,78.51,80.51,78.27,79.69,3355319.0
2025-02-28,80.0,83.0,79.99,82.94,5437607.0
2025-03-03,82.94,83.77,81.82,82.59,4492913.0
2025-03-04,81.68,82.15,79.4,79.85,4925113.0
2025-03-05,80.83,81.97,79.91,81.31,2652099.0
2025-03-06,80.91,81.73,80.35,81.28,2540394.0
2025-03-07,80.72,81.81,80.22,81.52,2040680.0
2025-03-10,80.88,82.93,80.5,81.92,3129585.0
2025-03-11,81.92,82.17,80.66,81.63,3354151.0
2025-03-12,81.71,81.75,79.5,80.38,2654487.0
2025-03-13,80.75,82.11,80.17,81.55,4019697.0
2025-03-14,81.55,83.54,80.6,83.13,3651497.0
2025-03-17,82.63,84.29,82.49,83.9,2581908.0
2025-03-18,83.92,84.99,83.55,84.04,3904071.0
2025-03-19,84.07,84.53,83.21,83.66,4101061.0
2025-03-20,83.09,84.66,83.09,83.71,3219593.0
2025-03-21,83.27,83.99,82.59,83.18,4799095.0
2025-03-24,83.87,84.4,83.36,84.2,1931489.0
2025-03-25,84.48,84.89,83.3,83.92,1529451.0
2025-03-26,84.22,85.11,83.61,84.19,5114450.0
2025-03-27,84.57,85.05,83.57,84.42,3479940.0
2025-03-28,84.64,84.9,82.91,83.62,3798517.0
2025-03-31,84.52,87.51,84.3,86.94,5943628.0
2025-04-01,86.97,87.45,86.27,86.81,4307417.0
2025-04-02,86.02,88.07,85.82,87.72,2925183.0
2025-04-03,86.0,87.47,85.62,86.2,3695858.0
2025-04-04,84.17,84.56,78.27,78.95,3092118.0
2025-04-07,77.78,80.97,76.09,77.56,6221290.0
2025-04-08,79.04,81.22,76.64,77.67,4627300.0
2025-04-09,76.53,83.55,76.53,82.82,4638411.0
2025-04-10,81.15,83.07,79.64,81.35,2104506.0
2025-04-11,81.13,82.73,80.13,81.97,1879046.0
2025-04-14,83.0,83.92,81.37,81.5,3022345.0
2025-04-15,81.95,82.76,81.54,81.95,2697733.0
2025-04-16,82.38,82.9,80.65,80.97,1701405.0
2025-04-17,81.31,82.16,80.67,81.14,2114849.0
2025-04-21,81.09,81.18,78.61,79.38,1335246.0
2025-04-22,80.35,81.94,79.93,81.64,1807544.0
2025-04-23,82.28,82.37,81.16,81.65,1500124.0
2025-04-24,81.63,82.84,81.21,82.45,1321264.0
2025-04-25,82.06,82.33,80.79,81.22,1252272.0
2025-04-28,81.47,82.27,81.11,81.93,1331009.0
2025-04-29,81.58,82.55,81.58,82.0,1718403.0
2025-04-30,81.35,81.95,80.0,81.52,2938603.0
2025-05-01,80.6,81.41,80.35,80.84,3531896.0
2025-05-02,80.63,84.1,78.45,83.66,3234912.0
2025-05-05,83.41,84.05,82.65,83.05,1443557.0
2025-05-06,82.51,83.31,82.32,82.53,1201417.0
2025-05-07,82.71,83.18,81.52,81.69,1398846.0
2025-05-08,82.22,83.0,81.7,81.82,1895912.0
2025-05-09,82.13,82.91,81.68,82.41,2731634.0
2025-05-12,82.98,83.49,81.48,83.47,3109597.0
2025-05-13,83.65,84.59,83.41,83.64,1642964.0
2025-05-14,83.67,83.76,81.66,81.89,2314543.0
2025-05-15,82.0,83.35,81.86,83.23,1551538.0
2025-05-16,83.26,84.36,83.15,84.33,1169973.0
2025-05-19,84.33,84.58,83.85,84.34,832327.0
2025-05-20,83.96,84.57,83.85,84.08,1112605.0
2025-05-21,83.85,83.97,82.59,82.63,1054660.0
2025-05-22,82.75,82.9,81.4,82.02,1655576.0
2025-05-23,81.25,82.03,81.13,81.62,1425275.0
2025-05-27,82.05,83.39,81.62,83.17,1488526.0
2025-05-28,82.99,83.47,82.64,82.74,2019282.0
2025-05-29,82.59,83.78,82.59,83.59,1701920.0
2025-05-30,83.27,84.92,83.11,84.64,2297862.0
2025-06-02,84.11,85.76,83.96,85.76,1704634.0
2025-06-03,85.51,85.89,83.94,85.55,1391035.0
2025-06-04,85.55,85.68,84.83,85.01,2158662.0
2025-06-05,85.35,85.47,84.39,85.42,1396198.0
2025-06-06,86.25,87.46,86.12,87.34,1603739.0
2025-06-09,86.69,86.93,82.84,85.18,4145114.0
2025-06-10,84.73,85.21,83.88,84.33,1848624.0
2025-06-11,84.54,84.85,83.92,84.4,1859100.0
2025-06-12,83.73,85.88,83.72,85.8,1742089.0
2025-06-13,85.0,85.83,84.37,84.61,1799761.0
2025-06-16,85.32,85.88,84.68,85.44,1452011.0
2025-06-17,85.11,85.78,83.67,84.22,1697780.0
2025-06-18,84.19,85.06,84.01,84.25,1786461.0
2025-06-20,84.62,85.51,84.43,85.13,2582394.0
2025-06-23,85.01,85.96,84.44,85.82,1699711.0
2025-06-24,86.0,86.15,85.37,85.46,1569092.0
2025-06-25,85.16,85.53,83.77,83.9,2978108.0
2025-06-26,84.25,85.21,83.93,84.97,2601231.0
2025-06-27,85.02,85.63,84.48,84.59,3313894.0
2025-06-30,84.6,85.67,84.48,85.59,2323019.0
