date,open,high,low,close,volume
2025-02-26,78.12,79.94,77.64,79.58,2034782.0
2025-02-27,79.6,80.08,77.81,77.87,1515902.0
2025-02-28,79.67,81.66,79.12,80.68,2500354.0
2025-03-03,81.29,83.11,80.42,81.0,2016388.0
2025-03-04,80.49,82.73,79.9,82.18,1707944.0
2025-03-05,81.73,82.98,81.13,82.82,1124170.0
2025-03-06,81.86,83.45,81.73,82.81,1016426.0
2025-03-07,82.23,88.01,82.13,87.52,2554614.0
2025-03-10,86.48,87.38,83.81,84.15,1986183.0
2025-03-11,83.77,84.16,80.55,80.65,2356343.0
2025-03-12,81.34,81.71,79.32,79.66,2899746.0
2025-03-13,79.31,80.53,78.6,78.66,1195153.0
2025-03-14,79.75,81.51,79.27,80.73,1150792.0
2025-03-17,80.52,83.69,80.38,82.79,1338986.0
2025-03-18,83.37,83.38,81.71,82.06,802639.0
2025-03-19,82.46,83.07,81.44,82.41,588220.0
2025-03-20,81.81,82.58,81.35,81.55,531446.0
2025-03-21,80.87,81.42,80.25,81.04,836012.0
2025-03-24,82.35,83.02,81.73,82.77,620444.0
2025-03-25,82.96,83.28,81.58,81.85,536533.0
2025-03-26,81.9,82.22,80.79,81.47,475567.0
2025-03-27,81.13,82.0,80.25,81.56,544210.0
2025-03-28,80.95,81.2,79.33,80.05,848261.0
2025-03-31,79.39,80.97,78.36,80.5,726833.0
2025-04-01,80.22,81.0,79.33,80.6,693538.0
2025-04-02,79.48,81.99,79.17,81.63,429860.0
2025-04-03,79.57,80.88,78.56,78.78,767211.0
2025-04-04,77.14,77.23,73.41,73.69,1341561.0
2025-04-07,72.64,74.8,69.5,70.93,1931278.0
2025-04-08,73.77,73.85,67.63,68.21,2058369.0
2025-04-09,67.6,76.8,67.51,76.35,2138818.0
2025-04-10,74.32,74.95,70.75,72.56,1082167.0
2025-04-11,72.72,74.51,71.81,74.05,683049.0
2025-04-14,74.67,75.15,73.39,74.15,573654.0
2025-04-15,74.17,74.84,73.85,74.51,364468.0
2025-04-16,73.84,75.58,73.25,73.81,647805.0
2025-04-17,73.88,74.3,73.2,73.46,596927.0
2025-04-21,72.77,73.01,71.28,71.92,514150.0
2025-04-22,73.48,74.02,72.38,73.67,613950.0
2025-04-23,75.89,77.0,75.02,75.87,898776.0
2025-04-24,75.87,79.57,75.55,79.2,1012547.0
2025-04-25,79.2,80.38,78.76,79.79,432510.0
2025-04-28,79.85,81.04,79.32,80.18,649457.0
2025-04-29,80.06,81.47,79.53,80.98,474338.0
2025-04-30,79.61,80.8,78.95,80.58,345705.0
2025-05-01,81.36,81.93,80.33,81.11,459291.0
2025-05-02,82.21,83.04,81.64,82.54,582676.0
2025-05-05,82.17,84.05,81.91,83.1,682613.0
2025-05-06,82.54,83.56,82.15,82.87,379341.0
2025-05-07,82.84,83.44,82.17,82.86,832201.0
2025-05-08,83.7,86.15,83.35,85.44,1336843.0
2025-05-09,83.0,83.89,76.2,76.25,3216693.0
2025-05-12,78.94,79.7,77.61,78.79,1934855.0
2025-05-13,79.3,79.5,78.11,78.94,903678.0
2025-05-14,77.74,79.11,77.25,77.51,1451581.0
2025-05-15,77.39,77.39,74.85,76.51,3802219.0
2025-05-16,76.95,78.05,76.23,78.03,1565064.0
2025-05-19,76.8,78.2,76.41,77.87,1080930.0
2025-05-20,77.72,78.9,77.21,77.49,1117149.0
2025-05-21,76.53,77.79,76.2,76.42,684474.0
2025-05-22,76.38,78.06,76.24,77.08,1150252.0
2025-05-23,76.24,76.71,75.75,75.84,558721.0
2025-05-27,76.95,78.04,76.01,77.89,749981.0
2025-05-28,77.75,77.75,76.25,76.42,507384.0
2025-05-29,76.86,77.0,75.5,76.09,597866.0
2025-05-30,75.78,76.21,74.75,75.93,600228.0
2025-06-02,75.56,76.35,74.69,76.17,546255.0
2025-06-03,75.91,77.1,75.17,77.09,681520.0
2025-06-04,77.03,77.86,76.55,76.6,517221.0
2025-06-05,76.9,77.14,75.8,76.14,817132.0
2025-06-06,76.38,77.11,76.01,77.03,542226.0
2025-06-09,77.51,78.7,77.28,78.08,809725.0
2025-06-10,78.22,78.85,77.92,78.27,482719.0
2025-06-11,78.5,79.66,77.94,78.19,1344593.0
2025-06-12,77.97,79.57,77.88,78.51,864412.0
2025-06-13,77.67,78.33,76.86,77.03,700653.0
2025-06-16,77.52,80.03,77.17,79.99,1769618.0
2025-06-17,79.52,79.72,78.43,78.68,1211434.0
2025-06-18,78.76,79.29,77.93,78.7,1209210.0
2025-06-20,78.7,79.31,77.62,78.38,1253730.0
2025-06-23,78.05,79.38,77.2,79.28,1254040.0
2025-06-24,79.76,80.29,78.72,80.06,1294191.0
2025-06-25,80.03,80.38,79.21,79.53,726051.0
2025-06-26,80.0,80.25,79.15,79.6,695846.0
2025-06-27,79.73,80.27,78.77,79.6,817108.0
2025-06-30,80.0,80.28,79.19,79.76,643558.0
2025-07-01,79.7,80.92,79.23,79.61,634073.0
2025-07-02,79.62,79.89,78.81,79.46,521171.0
2025-07-03,80.33,80.54,79.07,79.48,621727.0
