date,open,high,low,close,volume
2025-02-26,78.9,79.15,77.0,77.53,1325175.0
2025-02-27,77.47,79.53,76.92,78.97,1539633.0
2025-02-28,77.37,78.0,75.7,77.03,1487987.0
2025-03-03,78.77,78.77,69.81,69.95,3303703.0
2025-03-04,69.06,74.17,67.23,72.16,1982395.0
2025-03-05,73.14,74.85,72.35,74.21,1341114.0
2025-03-06,72.73,76.9,72.73,76.48,1547400.0
2025-03-07,74.28,78.38,74.28,75.51,1721785.0
2025-03-10,75.6,79.63,75.54,76.39,1657212.0
2025-03-11,77.05,77.42,71.88,72.67,1307306.0
2025-03-12,72.16,73.83,71.05,72.81,1173289.0
2025-03-13,72.63,74.11,71.1,72.4,771163.0
2025-03-14,74.19,75.58,72.4,75.23,1477876.0
2025-03-17,76.17,79.75,76.17,79.34,1442508.0
2025-03-18,79.0,79.37,77.41,78.5,986550.0
2025-03-19,78.62,80.15,78.3,79.49,1029375.0
2025-03-20,77.41,78.52,76.3,77.03,1037535.0
2025-03-21,75.76,77.74,75.13,77.56,1102432.0
2025-03-24,78.22,79.37,77.22,77.55,845988.0
2025-03-25,77.86,79.93,77.15,77.67,714642.0
2025-03-26,77.68,78.31,74.25,75.72,600709.0
2025-03-27,74.58,75.34,73.12,74.75,953598.0
2025-03-28,74.16,74.96,71.46,72.19,1002589.0
2025-03-31,70.51,72.8,69.9,72.02,856596.0
2025-04-01,71.73,72.54,69.95,71.82,883316.0
2025-04-02,70.7,73.64,70.33,72.25,971341.0
2025-04-03,69.23,69.76,66.15,66.5,2193586.0
2025-04-04,63.24,64.98,57.53,58.51,3655360.0
2025-04-07,56.91,64.3,55.5,58.1,4210061.0
2025-04-08,60.22,60.28,49.43,50.76,4776334.0
2025-04-09,50.67,62.09,50.23,60.47,6324786.0
2025-04-10,57.11,57.5,53.55,54.71,3536764.0
2025-04-11,54.55,56.95,52.78,56.67,2110042.0
2025-04-14,57.95,59.24,56.07,57.39,1412665.0
2025-04-15,56.0,57.64,53.65,54.01,2115099.0
2025-04-16,53.05,54.84,51.46,52.57,2265515.0
2025-04-17,53.29,53.87,51.92,52.91,1973957.0
2025-04-21,52.5,53.21,50.85,53.02,1537978.0
2025-04-22,53.71,56.0,53.33,54.77,1423056.0
2025-04-23,57.37,59.93,55.37,55.64,1881790.0
2025-04-24,55.95,58.46,55.95,58.17,1296988.0
2025-04-25,57.39,58.25,56.65,57.73,1784390.0
2025-04-28,57.88,60.31,57.43,58.55,1413809.0
2025-04-29,58.84,59.96,58.65,59.46,1629921.0
2025-04-30,57.0,58.68,56.21,58.55,1622544.0
2025-05-01,61.37,63.46,58.38,59.32,3066582.0
2025-05-02,60.47,62.06,58.63,60.3,1962276.0
2025-05-05,59.59,60.2,57.64,57.94,1486122.0
2025-05-06,56.77,58.67,56.74,57.49,1302523.0
2025-05-07,58.0,58.0,55.64,56.06,1502045.0
2025-05-08,57.01,58.75,56.5,57.44,1795985.0
2025-05-09,57.71,58.62,57.07,57.93,1108645.0
2025-05-12,62.4,63.64,60.8,61.57,2216563.0
2025-05-13,61.58,62.35,60.97,61.86,2115236.0
2025-05-14,62.49,62.79,60.46,61.08,1704562.0
2025-05-15,60.33,60.35,58.57,60.32,1563350.0
2025-05-16,59.91,60.78,57.83,60.21,1920579.0
2025-05-19,58.48,59.86,57.36,59.24,2153781.0
2025-05-20,59.12,60.49,58.63,59.32,1282747.0
2025-05-21,58.55,58.97,56.38,56.44,1362515.0
2025-05-22,56.5,58.14,55.48,57.94,1489648.0
2025-05-23,56.61,57.9,56.31,57.61,1557012.0
2025-05-27,58.38,58.89,56.67,58.79,1860973.0
2025-05-28,58.6,59.17,57.34,58.05,1122303.0
2025-05-29,58.5,59.03,56.75,57.49,1414264.0
2025-05-30,56.65,56.69,54.81,55.76,2283267.0
2025-06-02,56.4,56.4,54.28,55.09,1934056.0
2025-06-03,55.04,57.22,53.7,57.01,1509312.0
2025-06-04,57.77,60.16,57.49,59.7,2223813.0
2025-06-05,61.0,62.19,57.83,58.64,2082433.0
2025-06-06,60.04,60.77,59.29,59.83,1145275.0
2025-06-09,60.61,63.35,60.47,62.3,1776302.0
2025-06-10,63.21,64.55,62.72,64.2,1616797.0
2025-06-11,65.61,65.75,63.84,65.08,2123547.0
2025-06-12,64.02,64.23,62.22,62.48,1711634.0
2025-06-13,61.2,62.99,60.28,60.72,1308911.0
2025-06-16,62.0,62.23,60.7,60.96,1135433.0
2025-06-17,60.65,60.68,58.8,59.69,1308676.0
2025-06-18,59.15,60.52,59.04,59.4,1325817.0
2025-06-20,59.49,59.83,56.65,56.66,2531121.0
2025-06-23,56.65,57.97,55.9,57.82,1981241.0
2025-06-24,58.65,61.23,58.6,60.18,1620197.0
2025-06-25,60.16,61.15,58.85,60.38,1717870.0
2025-06-26,62.37,65.12,62.09,63.75,2439693.0
2025-06-27,65.28,66.67,64.04,64.95,1977534.0
2025-06-30,64.81,64.81,62.05,62.67,1407328.0
2025-07-01,62.25,64.02,60.64,62.9,1781767.0
2025-07-02,65.52,68.93,64.41,67.99,2591627.0
2025-07-03,68.61,69.49,66.84,67.21,1456311.0
2025-07-07,66.55,67.28,64.24,65.5,1567960.0
