date,open,high,low,close,volume
2025-02-26,167.38,170.25,166.42,168.51,2180157.0
2025-02-27,170.0,170.57,156.37,156.64,4586132.0
2025-02-28,157.29,160.05,153.95,158.07,4222972.0
2025-03-03,159.6,160.32,150.67,152.13,5026340.0
2025-03-04,153.24,156.23,149.55,152.87,4212642.0
2025-03-05,153.23,155.87,150.0,155.32,2466951.0
2025-03-06,151.77,154.05,149.6,151.54,3312202.0
2025-03-07,151.72,156.35,150.19,155.68,2614840.0
2025-03-10,152.42,154.45,147.88,149.99,3386914.0
2025-03-11,148.97,150.52,145.37,146.99,3669990.0
2025-03-12,151.72,151.72,148.44,149.06,4989578.0
2025-03-13,149.11,153.06,148.37,149.95,2975369.0
2025-03-14,152.13,156.51,152.13,155.66,2299981.0
2025-03-17,152.95,157.21,152.84,155.46,2004669.0
2025-03-18,154.69,154.94,151.81,153.51,1810216.0
2025-03-19,153.18,157.08,152.79,154.46,1805257.0
2025-03-20,152.22,155.62,151.68,154.38,2198693.0
2025-03-21,150.56,152.19,149.01,152.12,4102220.0
2025-03-24,155.49,156.27,154.6,154.95,2477649.0
2025-03-25,154.84,154.95,152.52,153.64,2389610.0
2025-03-26,153.05,153.99,149.51,150.68,1947167.0
2025-03-27,149.83,149.91,146.94,147.68,3583755.0
2025-03-28,148.72,149.8,144.12,145.06,3586932.0
2025-03-31,143.15,145.68,141.16,145.12,3084556.0
2025-04-01,144.32,146.11,141.8,145.66,2899564.0
2025-04-02,144.03,149.31,143.84,147.75,2426662.0
2025-04-03,141.0,141.87,135.4,135.51,5955731.0
2025-04-04,129.11,132.46,123.94,126.95,8416331.0
2025-04-07,124.97,141.57,123.73,132.85,11336992.0
2025-04-08,138.41,140.7,127.5,128.96,9605458.0
2025-04-09,129.09,150.97,128.6,149.73,12229450.0
2025-04-10,142.23,143.81,133.49,138.24,10039444.0
2025-04-11,138.57,146.23,135.5,144.94,6122367.0
2025-04-14,146.8,147.7,142.14,144.53,3933046.0
2025-04-15,144.97,147.05,144.24,145.45,2730601.0
2025-04-16,137.82,141.08,134.35,138.19,4651444.0
2025-04-17,138.99,139.65,136.94,137.46,3305956.0
2025-04-21,135.13,136.02,132.8,135.56,3687390.0
2025-04-22,137.18,139.08,136.32,138.3,2307805.0
2025-04-23,145.32,147.83,142.74,143.58,3851920.0
2025-04-24,147.68,150.4,145.35,150.17,3523588.0
2025-04-25,148.2,152.61,147.87,151.55,2350879.0
2025-04-28,150.79,151.87,147.51,150.79,2435777.0
2025-04-29,149.01,151.07,147.9,149.55,2857216.0
2025-04-30,146.33,151.04,144.71,150.71,3576210.0
2025-05-01,151.64,152.28,148.74,148.96,2993273.0
2025-05-02,152.79,156.7,152.68,155.1,3125696.0
2025-05-05,154.4,156.64,153.84,154.61,2009558.0
2025-05-06,152.15,154.48,151.8,153.03,1718732.0
2025-05-07,153.36,156.2,151.51,155.81,2784137.0
2025-05-08,157.76,158.8,155.81,156.0,2531682.0
2025-05-09,157.14,158.0,154.65,155.61,2045725.0
2025-05-12,166.44,169.8,165.65,167.99,6699265.0
2025-05-13,168.56,174.18,168.47,173.03,4695253.0
2025-05-14,173.45,175.28,173.05,174.14,3441488.0
2025-05-15,171.75,176.38,171.2,174.75,5310094.0
2025-05-16,168.43,169.47,161.92,165.57,9320330.0
2025-05-19,162.54,166.0,162.37,165.94,2912931.0
2025-05-20,165.45,165.94,164.23,165.73,2431798.0
2025-05-21,163.54,166.29,161.66,162.23,2453008.0
2025-05-22,160.69,163.3,160.28,160.52,2847232.0
2025-05-23,156.64,158.41,155.66,157.51,2936441.0
2025-05-27,160.63,162.48,159.17,161.83,3923478.0
2025-05-28,161.91,163.67,160.88,161.59,3359761.0
2025-05-29,165.46,165.54,158.45,159.48,3874947.0
2025-05-30,159.04,159.23,153.47,156.75,4868716.0
2025-06-02,155.79,157.62,155.43,157.27,2563447.0
2025-06-03,157.01,161.95,156.36,161.74,2995239.0
