date,open,high,low,close,volume
2025-02-26,51.2,51.45,50.3,50.45,6169377.0
2025-02-27,50.3,50.7,50.1,50.3,3577184.0
2025-02-28,50.35,50.7,50.1,50.6,4682756.8
2025-03-03,50.9,51.9,50.5,50.65,4550775.4
2025-03-04,50.4,50.6,49.7,49.8,5607114.2
2025-03-05,50.0,50.7,49.85,50.35,4117591.2
2025-03-06,50.0,50.6,49.85,50.55,4420255.6
2025-03-07,50.4,51.65,50.3,51.45,4425173.2
2025-03-10,51.6,52.25,51.0,51.3,5295758.4
2025-03-11,51.35,51.35,49.75,50.0,4705881.8
2025-03-12,49.85,50.1,49.4,49.65,3640873.2
2025-03-13,49.6,50.05,47.95,48.15,3812847.4
2025-03-14,48.7,48.95,48.25,48.9,2645155.0
2025-03-17,48.9,49.4,48.9,49.2,2618752.6
2025-03-18,49.15,49.65,48.8,49.6,4153735.2
2025-03-19,49.35,49.55,48.7,49.2,3531715.6
2025-03-20,49.1,49.2,48.4,48.6,4385082.2
2025-03-21,48.3,48.3,46.25,47.2,6071890.0
2025-03-24,47.6,47.9,47.05,47.75,3799473.4
2025-03-25,47.8,48.2,46.9,47.2,3947734.2
2025-03-26,46.95,48.5,46.95,48.0,3864126.8
2025-03-27,48.15,48.85,47.95,48.55,3395660.0
2025-03-28,49.0,49.1,47.85,48.2,3493469.0
2025-03-31,48.1,48.6,47.9,48.5,3520920.6
2025-04-01,48.75,49.1,47.9,49.05,6055509.4
2025-04-02,48.15,49.05,47.45,49.0,6262198.4
2025-04-03,48.35,48.5,47.7,47.85,6128973.0
2025-04-04,47.05,47.65,45.5,46.1,8580659.8
2025-04-07,44.7,46.25,43.55,44.6,11957794.6
2025-04-08,45.35,45.5,42.2,42.85,7695515.2
2025-04-09,42.3,45.4,41.85,45.1,9372523.2
2025-04-10,44.7,45.15,43.65,45.1,10494717.2
2025-04-11,45.0,46.9,44.75,46.65,12812757.8
2025-04-14,46.9,47.75,46.7,47.7,6462652.2
2025-04-15,47.55,47.9,46.75,46.8,4735469.4
2025-04-16,46.9,47.05,46.05,46.25,5731305.0
2025-04-17,46.3,47.4,46.3,46.95,5247405.0
2025-04-21,46.75,46.95,46.1,46.55,3948830.8
2025-04-22,46.75,48.1,46.55,47.8,7204381.8
2025-04-23,47.9,48.45,47.25,47.6,5637616.8
2025-04-24,47.45,48.45,47.2,48.3,5268571.8
2025-04-25,48.1,48.35,47.45,47.7,4662581.4
2025-04-28,48.1,48.15,47.05,48.15,5741308.2
2025-04-29,47.9,48.4,45.95,46.65,19889867.0
2025-04-30,46.35,46.75,45.35,46.0,10197685.4
2025-05-01,45.95,46.6,45.25,45.4,9417400.0
2025-05-02,46.65,46.85,45.55,46.6,5125973.8
2025-05-05,46.45,46.95,46.35,46.55,4206280.4
2025-05-06,46.05,46.35,45.6,45.9,4861038.8
2025-05-07,45.95,46.25,45.4,45.55,7659999.0
2025-05-08,45.9,46.45,45.7,45.85,4802220.6
2025-05-09,45.65,45.9,45.55,45.6,1876253.6
2025-05-12,46.25,46.95,46.1,46.7,4774353.6
2025-05-13,46.45,46.7,45.75,45.85,4223389.6
2025-05-14,45.75,46.15,45.35,45.9,6354711.2
2025-05-15,45.95,46.75,45.95,46.55,4708544.4
2025-05-16,46.55,47.3,46.5,47.2,3324955.0
2025-05-19,46.8,47.35,46.8,47.2,3540100.8
2025-05-20,47.05,47.25,46.4,46.5,4392780.6
2025-05-21,46.2,46.5,45.85,45.9,3048465.4
2025-05-22,45.35,45.5,44.8,45.15,4523684.2
2025-05-23,44.75,44.95,44.25,44.8,3521431.4
2025-05-27,45.6,46.1,45.4,45.85,3376381.8
2025-05-28,45.85,46.0,45.1,45.15,4118599.2
2025-05-29,45.35,45.75,44.95,45.4,5097032.0
2025-05-30,45.4,45.8,45.0,45.55,4047019.0
2025-06-02,45.35,45.6,44.75,45.15,5078324.0
2025-06-03,45.05,45.65,44.95,45.5,3612090.4
2025-06-04,45.55,45.8,45.3,45.35,3779655.2
2025-06-05,45.4,45.45,45.0,45.2,3276416.6
2025-06-06,45.55,45.9,45.25,45.55,2476884.4
2025-06-09,45.7,46.35,45.5,45.9,3052843.8
2025-06-10,46.1,46.5,45.95,46.2,4179411.0
2025-06-11,46.25,46.3,45.55,45.8,3409605.0
2025-06-12,45.7,46.2,45.45,46.2,3535397.8
2025-06-13,45.65,46.2,45.3,45.5,3294964.8
2025-06-16,45.55,46.1,45.5,45.95,2851786.2
2025-06-17,45.6,45.95,45.3,45.35,3363327.2
2025-06-18,45.55,45.8,45.2,45.25,4387621.4
2025-06-20,45.3,45.55,44.85,44.85,5842518.4
2025-06-23,45.0,45.45,44.55,45.35,3888534.6
2025-06-24,45.65,46.3,45.5,45.9,3394575.2
2025-06-25,45.9,46.1,45.05,45.25,3775487.0
2025-06-26,46.2,46.6,45.9,46.05,3445383.0
2025-06-27,46.05,46.55,45.8,45.95,2589067.8
2025-06-30,45.9,46.25,45.75,45.95,3222001.0
2025-07-01,46.1,47.7,45.95,47.35,6355582.0
2025-07-02,48.5,48.8,47.75,48.45,3818738.2
2025-07-03,48.6,48.65,48.15,48.15,3366708.6
2025-07-07,48.3,49.45,48.2,48.4,5400472.0
2025-07-08,48.6,49.35,48.55,49.1,5762285.2
2025-07-09,49.5,49.7,48.6,49.0,3180045.6
2025-07-10,49.0,50.0,48.95,49.15,3127689.6
2025-07-11,48.55,48.75,48.1,48.3,2155149.8
2025-07-14,48.05,48.3,47.95,48.1,2135240.2
2025-07-15,48.25,48.45,47.2,47.2,2634206.6
2025-07-16,47.2,47.45,46.9,47.3,1787490.2
2025-07-17,47.3,47.75,47.1,47.55,2217613.8
2025-07-18,47.65,47.75,47.2,47.7,2904159.6
2025-07-21,47.6,47.7,46.95,47.05,1942688.0
2025-07-22,47.25,48.5,47.15,48.45,2623682.4
2025-07-23,48.8,49.25,48.7,49.05,2945226.0
2025-07-24,48.8,49.3,48.6,48.8,2792291.2
2025-07-25,48.85,48.95,48.2,48.7,2004080.4
2025-07-28,48.7,48.7,48.0,48.15,2293493.8
2025-07-29,48.05,48.5,47.8,48.3,4836310.2
2025-07-30,48.15,48.45,47.45,47.65,5426961.8
2025-07-31,47.4,47.45,46.6,46.75,3665418.4
2025-08-01,46.95,47.3,46.0,46.5,3570534.4
2025-08-04,46.55,47.1,46.4,47.0,2481507.4
2025-08-05,47.1,47.25,46.4,46.9,2547055.0
2025-08-06,46.9,47.2,46.65,47.05,4028045.4
2025-08-07,47.4,48.35,47.2,48.2,4434992.6
2025-08-08,48.3,48.6,48.2,48.35,2306687.0
