date,open,high,low,close,volume
2025-02-26,104.98,105.8,103.99,104.74,20520663.0
2025-02-27,105.08,105.76,99.5,99.51,27515991.0
2025-02-28,99.59,101.8,98.69,99.86,27563423.0
2025-03-03,101.52,102.34,97.09,98.23,25983499.0
2025-03-04,96.0,103.18,95.89,100.75,34620900.0
2025-03-05,100.39,101.84,98.87,101.67,18951083.0
2025-03-06,99.05,101.08,98.27,98.85,19153134.0
2025-03-07,98.87,100.65,96.39,100.31,23438578.0
2025-03-10,98.79,101.29,95.83,96.63,26404451.0
2025-03-11,96.82,98.16,94.73,96.76,22112591.0
2025-03-12,99.06,101.72,98.17,100.79,22460612.0
2025-03-13,99.61,100.07,97.27,98.11,18505099.0
2025-03-14,99.62,101.22,99.58,100.97,16562390.0
2025-03-17,102.69,106.15,102.6,104.59,31211694.0
2025-03-18,103.81,104.55,102.97,103.51,18485230.0
2025-03-19,104.35,107.9,101.96,106.23,22885199.0
2025-03-20,105.17,108.26,105.12,107.14,18475018.0
2025-03-21,105.39,107.25,104.33,106.44,17750497.0
2025-03-24,109.69,114.85,109.4,113.85,37403984.0
2025-03-25,113.27,114.95,112.71,114.81,19734175.0
2025-03-26,114.11,115.9,108.68,110.19,28130797.0
2025-03-27,106.13,107.62,105.54,106.65,23026751.0
2025-03-28,105.53,106.51,102.48,103.22,20212224.0
2025-03-31,100.37,102.82,98.8,102.74,17697466.0
2025-04-01,102.23,102.83,100.93,102.78,16184781.0
2025-04-02,101.52,104.19,100.76,102.96,13273755.0
2025-04-03,97.79,99.45,93.64,93.8,32197850.0
2025-04-04,90.1,91.08,83.67,85.76,41775765.0
2025-04-07,80.69,89.0,77.75,83.64,49486869.0
2025-04-08,86.12,88.93,76.48,78.21,45805959.0
2025-04-09,79.22,97.91,78.87,96.84,65895400.0
2025-04-10,91.0,92.95,85.06,88.7,42675897.0
2025-04-11,90.51,94.76,90.5,93.4,42217881.0
2025-04-14,97.03,97.37,93.45,94.5,23306621.0
2025-04-15,94.61,96.85,94.61,95.29,18367874.0
2025-04-16,87.6,90.47,85.29,88.29,41509841.0
2025-04-17,88.84,89.03,86.51,87.5,23948125.0
2025-04-21,86.02,86.14,83.75,85.56,20986242.0
2025-04-22,86.12,87.17,85.17,86.26,22975456.0
2025-04-23,91.89,93.74,90.12,90.39,26802781.0
2025-04-24,91.59,94.75,90.37,94.47,23141680.0
2025-04-25,93.29,97.1,92.85,96.64,19804274.0
2025-04-28,95.59,97.49,94.27,96.39,15858938.0
2025-04-29,95.81,97.18,95.33,96.06,13383381.0
2025-04-30,92.7,97.55,91.87,97.35,17792482.0
2025-05-01,99.31,100.1,96.45,96.65,19029025.0
2025-05-02,98.39,99.88,98.3,98.8,21087119.0
2025-05-05,99.0,102.05,98.76,100.59,25460631.0
2025-05-06,98.4,100.07,97.44,98.62,28155718.0
2025-05-07,100.75,103.42,96.88,100.36,66122099.0
2025-05-08,101.9,105.44,101.56,101.7,39072689.0
2025-05-09,102.59,103.54,101.6,102.84,22770509.0
2025-05-12,110.35,110.67,106.98,108.12,34416026.0
2025-05-13,109.63,113.13,109.0,112.46,38404344.0
2025-05-14,119.87,122.52,116.59,117.72,61648377.0
2025-05-15,117.02,117.5,114.01,114.99,30568346.0
2025-05-16,118.07,118.24,116.01,117.17,28011613.0
2025-05-19,114.96,115.53,114.06,114.74,22633097.0
2025-05-20,114.35,114.51,112.08,113.51,19826653.0
2025-05-21,113.92,116.1,111.09,112.06,31915544.0
2025-05-22,111.91,112.64,110.61,110.71,21935274.0
2025-05-23,108.08,111.02,107.66,110.31,19347643.0
2025-05-27,113.18,115.4,112.27,114.56,26559965.0
2025-05-28,114.92,114.95,112.66,112.86,17205472.0
2025-05-29,115.46,115.59,112.13,113.03,22087854.0
2025-05-30,111.65,112.11,108.61,110.73,21410522.0
2025-06-02,111.09,114.86,111.01,114.63,22962010.0
2025-06-03,114.49,117.68,113.28,117.31,23904852.0
2025-06-04,117.4,119.3,115.73,118.58,21835107.0
2025-06-05,118.91,119.25,114.71,115.69,22931616.0
2025-06-06,117.69,118.38,115.88,116.19,19074492.0
2025-06-09,119.18,122.37,119.04,121.73,39467524.0
2025-06-10,121.11,124.08,120.8,123.24,29676936.0
2025-06-11,124.44,124.47,119.88,121.14,22812412.0
2025-06-12,120.64,122.25,118.03,118.5,33793700.0
2025-06-13,116.04,117.89,115.06,116.16,27723034.0
2025-06-16,118.66,128.14,117.78,126.39,78333578.0
2025-06-17,128.0,130.7,126.58,127.1,64377079.0
2025-06-18,128.01,129.21,125.77,126.79,38082759.0
2025-06-20,129.0,132.81,127.55,128.24,54048783.0
2025-06-23,130.47,133.25,126.82,129.58,48574221.0
2025-06-24,133.49,138.79,132.93,138.43,58337986.0
2025-06-25,140.94,144.18,139.46,143.4,54340169.0
2025-06-26,145.97,145.99,141.91,143.68,40330678.0
2025-06-27,144.23,147.76,141.63,143.81,43172053.0
2025-06-30,144.04,146.0,141.01,141.9,30488326.0
2025-07-01,138.77,140.23,135.12,136.11,39581845.0
2025-07-02,135.47,139.78,135.22,138.52,27322034.0
2025-07-03,139.06,139.5,137.32,137.91,19459481.0
2025-07-07,136.5,137.44,133.5,134.8,25534005.0
2025-07-08,137.32,139.15,135.91,137.82,25409787.0
2025-07-09,138.7,140.65,137.59,138.41,27756985.0
2025-07-10,142.94,145.82,141.85,144.16,44693296.0
2025-07-11,142.62,147.4,141.6,146.42,37137297.0
2025-07-14,145.09,147.58,141.9,146.24,31768619.0
2025-07-15,153.8,158.68,153.56,155.61,65819053.0
2025-07-16,155.32,160.36,152.85,160.08,43707066.0
2025-07-17,161.75,161.96,158.68,160.41,35266207.0
2025-07-18,159.59,160.83,155.81,156.99,35189378.0
2025-07-21,157.62,160.34,156.92,157.0,28348070.0
2025-07-22,156.29,156.29,149.34,154.72,36133042.0
2025-07-23,156.39,159.45,156.0,158.65,30824585.0
2025-07-24,159.08,163.93,158.36,162.12,36123172.0
2025-07-25,163.48,167.18,162.36,166.47,41161050.0
2025-07-28,169.05,174.7,168.67,173.66,50742247.0
2025-07-29,175.2,182.31,174.68,177.44,86339691.0
2025-07-30,175.55,180.37,173.8,179.51,48171286.0
2025-07-31,182.06,182.5,173.0,176.31,51457486.0
2025-08-01,170.16,174.4,166.82,171.7,53858472.0
2025-08-04,174.61,177.86,173.56,176.78,37699412.0
2025-08-05,177.56,177.99,171.8,174.31,52170859.0
2025-08-06,165.04,166.18,157.8,163.12,101628509.0
2025-08-07,166.84,175.75,166.7,172.4,76322433.0
2025-08-08,174.04,176.48,170.52,172.76,53226340.0
2025-08-11,170.02,178.82,169.38,172.28,54530016.0
2025-08-12,173.33,175.16,168.5,174.95,39308576.0
2025-08-13,180.0,186.65,179.38,184.42,82586041.0
2025-08-14,180.0,185.44,179.56,180.95,52130090.0
2025-08-15,179.87,180.25,176.25,177.51,35151621.0
2025-08-18,176.74,178.8,174.36,176.14,27094336.0
2025-08-19,173.17,173.17,166.1,166.55,48437349.0
2025-08-20,164.07,166.65,158.25,165.2,43107519.0
2025-08-21,165.87,165.89,162.25,163.71,25469790.0
2025-08-22,162.17,168.53,161.8,167.76,32228032.0
2025-08-25,165.61,165.61,161.72,163.36,27395976.0
2025-08-26,168.7,169.77,164.91,166.62,39078425.0
2025-08-27,166.07,167.68,164.65,167.13,23018301.0
2025-08-28,168.67,170.99,166.65,168.58,27223596.0
2025-08-29,166.8,168.57,161.9,162.63,26860349.0
2025-09-02,158.42,162.4,156.62,162.32,28531424.0
2025-09-03,161.84,164.75,160.58,162.13,21200814.0
2025-09-04,159.93,162.05,157.79,161.79,23135300.0
2025-09-05,157.15,157.15,150.18,151.14,59648027.0
2025-09-08,151.8,152.64,149.22,151.41,31132840.0
2025-09-09,151.98,156.66,151.93,155.82,31608724.0
2025-09-10,163.54,164.53,158.0,159.54,37102624.0
2025-09-11,158.59,160.21,155.0,155.67,32674638.0
2025-09-12,157.06,160.41,154.92,158.57,31504404.0
2025-09-15,160.01,162.3,157.6,161.16,26222915.0
2025-09-16,161.37,161.95,159.22,160.46,19516341.0
2025-09-17,159.23,161.63,155.76,159.16,29975527.0
2025-09-18,150.89,158.77,149.85,157.92,55193801.0
2025-09-19,157.29,159.84,155.9,157.39,31237027.0
2025-09-22,157.4,162.68,157.33,159.79,33194912.0
2025-09-23,160.52,163.39,159.21,160.9,28457287.0
2025-09-24,162.98,165.1,158.43,160.88,28808253.0
2025-09-25,157.14,161.63,154.77,161.27,26139199.0
2025-09-26,160.52,162.11,157.05,159.46,22344531.0
2025-09-29,160.12,164.3,159.9,161.36,27624056.0
2025-09-30,160.8,162.28,159.33,161.79,21321554.0
2025-10-01,160.93,164.18,160.49,164.01,28056976.0
2025-10-02,168.66,171.06,166.12,169.73,39248707.0
2025-10-03,170.62,170.68,163.14,164.67,29019441.0
2025-10-06,226.46,226.7,203.01,203.71,156893232.0
2025-10-07,214.85,218.9,209.28,211.51,83690946.0
2025-10-08,212.95,235.87,210.69,235.56,118125315.0
2025-10-09,236.3,240.01,229.53,232.89,69953973.0
2025-10-10,232.77,234.22,213.2,214.9,84620291.0
2025-10-13,220.1,224.19,214.9,216.42,42309305.0
2025-10-14,219.17,224.98,215.9,218.09,49397522.0
2025-10-15,222.71,239.24,220.76,238.6,84452663.0
2025-10-16,236.26,241.2,232.24,234.56,52100597.0
2025-10-17,233.29,235.38,227.91,233.08,39524252.0
2025-10-20,236.35,242.88,234.4,240.56,40706223.0
2025-10-21,239.39,242.26,234.02,238.03,35881016.0
2025-10-22,236.85,240.14,224.93,230.23,43965023.0
2025-10-23,230.07,235.9,228.54,234.99,27100405.0
2025-10-24,243.39,253.39,241.95,252.92,51812011.0
2025-10-27,258.0,260.42,249.8,259.67,46705840.0
2025-10-28,259.14,264.58,257.0,258.01,36093712.0
2025-10-29,264.18,267.08,257.4,264.33,34692820.0
2025-10-30,259.92,263.88,252.31,254.84,28992684.0
2025-10-31,259.5,262.13,253.4,256.12,21644372.0
2025-11-03,259.33,260.91,253.89,259.65,23934218.0
2025-11-04,250.35,257.38,247.39,250.05,30955766.0
