date,open,high,low,close,volume
2025-02-26,311.95,313.63,305.55,306.38,1057457.0
2025-02-27,305.3,311.0,303.1,305.82,784329.0
2025-02-28,308.05,308.62,303.52,308.06,869628.0
2025-03-03,307.34,312.48,307.34,310.78,980200.0
2025-03-04,315.83,319.82,312.1,312.19,1805265.0
2025-03-05,310.63,318.94,310.14,316.57,1060143.0
2025-03-06,316.42,318.68,312.5,317.82,1374163.0
2025-03-07,318.28,328.19,317.78,324.86,1857140.0
2025-03-10,324.13,335.88,322.77,327.36,1812808.0
2025-03-11,329.01,329.1,318.41,318.89,1303466.0
2025-03-12,311.39,316.02,308.64,312.5,1612100.0
2025-03-13,313.66,316.75,311.99,312.64,911253.0
2025-03-14,312.15,314.51,310.3,313.71,1070642.0
2025-03-17,314.64,318.66,311.78,317.17,826154.0
2025-03-18,317.27,319.31,315.18,318.65,921659.0
2025-03-19,317.51,318.92,313.4,315.75,586124.0
2025-03-20,314.18,315.99,312.24,315.04,914250.0
2025-03-21,311.45,316.49,311.16,316.04,1925622.0
2025-03-24,315.01,317.59,313.43,314.38,730115.0
2025-03-25,313.98,314.22,303.51,306.86,1185478.0
2025-03-26,306.44,309.09,304.35,305.71,695193.0
2025-03-27,306.43,307.57,304.29,305.77,655489.0
2025-03-28,307.44,308.17,304.71,306.95,632093.0
2025-03-31,307.59,315.0,305.55,311.55,1211554.0
2025-04-01,310.58,312.62,305.0,306.92,1053467.0
2025-04-02,305.41,306.76,300.1,305.7,795514.0
2025-04-03,311.18,314.9,306.7,309.85,1436983.0
2025-04-04,312.11,312.11,293.72,294.39,2115458.0
2025-04-07,291.17,296.94,281.69,289.69,1940607.0
2025-04-08,289.25,294.02,277.51,280.26,1567670.0
2025-04-09,268.91,291.5,267.4,291.09,2346166.0
2025-04-10,287.98,288.53,269.67,281.41,2255074.0
2025-04-11,282.5,287.9,277.1,285.98,1168057.0
2025-04-14,286.63,295.18,285.21,293.92,940141.0
2025-04-15,293.71,296.17,292.14,295.3,1239797.0
2025-04-16,294.74,294.75,281.03,282.64,1028354.0
2025-04-17,277.04,278.68,268.5,277.29,1847686.0
2025-04-21,277.29,278.26,270.36,273.68,660727.0
2025-04-22,275.89,278.73,274.49,278.4,838630.0
2025-04-23,279.61,283.6,276.42,277.9,1040329.0
2025-04-24,278.47,282.26,274.42,279.84,811057.0
2025-04-25,279.47,282.19,276.44,280.84,761390.0
2025-04-28,280.63,284.1,280.0,283.09,647341.0
2025-04-29,281.12,289.9,279.06,288.56,850858.0
2025-04-30,289.44,292.0,286.09,290.92,736168.0
2025-05-01,286.69,287.89,282.07,283.78,1119243.0
2025-05-02,291.5,291.61,275.19,281.22,2159030.0
2025-05-05,281.26,281.97,276.09,280.06,1159876.0
2025-05-06,277.36,277.61,268.81,270.44,1489411.0
2025-05-07,272.03,276.68,270.44,275.84,920959.0
2025-05-08,270.15,274.78,266.02,272.05,1726088.0
2025-05-09,270.7,273.48,265.66,265.86,1758631.0
2025-05-12,266.47,276.09,262.99,274.76,2098510.0
2025-05-13,273.77,273.92,268.53,270.45,1018758.0
2025-05-14,269.84,270.34,261.43,262.28,1831385.0
2025-05-15,265.06,271.69,264.15,271.69,1596595.0
2025-05-16,270.66,272.54,267.73,272.41,972258.0
2025-05-19,272.61,276.0,271.99,275.85,934868.0
2025-05-20,275.91,276.9,274.28,275.01,938682.0
2025-05-21,274.49,275.59,270.51,271.34,792492.0
2025-05-22,271.34,272.44,269.1,271.9,853848.0
2025-05-23,269.84,272.52,269.12,271.66,865165.0
2025-05-27,273.7,279.63,273.11,279.45,1370604.0
2025-05-28,278.8,281.34,276.62,278.4,1549389.0
2025-05-29,279.22,283.82,278.4,283.54,1453973.0
2025-05-30,282.61,288.81,281.04,288.18,1648324.0
2025-06-02,285.58,289.45,284.77,288.47,914343.0
2025-06-03,286.11,291.76,283.04,289.57,846833.0
2025-06-04,290.19,293.21,286.89,287.01,898930.0
2025-06-05,286.33,291.36,284.99,287.1,1218239.0
2025-06-06,290.08,293.57,289.01,290.33,796562.0
2025-06-09,290.47,291.66,287.53,289.98,611565.0
2025-06-10,290.3,295.64,289.79,293.43,888764.0
