date,open,high,low,close,volume
2025-02-26,204.59,205.4,199.59,200.73,1378497.0
2025-02-27,200.05,204.17,199.32,203.97,1325483.0
2025-02-28,205.0,206.34,202.6,205.62,1400878.0
2025-03-03,205.0,210.29,204.98,209.61,1057831.0
2025-03-04,211.75,215.15,206.93,207.12,2082888.0
2025-03-05,204.4,209.57,202.71,208.69,851838.0
2025-03-06,208.37,209.02,204.28,206.93,1253335.0
2025-03-07,208.0,212.99,206.89,212.29,2073784.0
2025-03-10,213.49,217.32,212.31,213.07,1962458.0
2025-03-11,213.11,214.6,209.22,209.78,1378861.0
2025-03-12,208.01,208.83,205.19,206.69,1288721.0
2025-03-13,206.94,209.0,205.01,207.77,1286677.0
2025-03-14,207.77,211.23,205.98,210.93,1977352.0
2025-03-17,212.2,216.33,211.35,212.69,1782132.0
2025-03-18,212.69,216.29,211.36,214.87,2632610.0
2025-03-19,214.26,215.62,211.64,213.76,1004915.0
2025-03-20,214.9,215.13,212.66,214.27,772423.0
2025-03-21,213.86,219.59,212.64,216.23,2911696.0
2025-03-24,213.91,217.01,212.41,212.8,1384777.0
2025-03-25,212.02,212.58,208.19,209.5,1329490.0
2025-03-26,209.5,211.55,207.65,210.02,559423.0
2025-03-27,210.92,215.05,209.66,214.04,1260098.0
2025-03-28,215.64,215.82,213.36,215.56,792274.0
2025-03-31,216.55,219.37,215.72,217.6,1368417.0
2025-04-01,220.08,220.7,217.6,219.44,1067366.0
2025-04-02,219.88,220.48,216.29,217.9,1310747.0
2025-04-03,225.0,231.03,220.0,228.19,3653669.0
2025-04-04,233.15,233.8,220.03,220.17,6005382.0
2025-04-07,216.52,221.91,211.64,213.39,2629706.0
2025-04-08,215.09,216.69,202.01,204.66,2989684.0
2025-04-09,202.11,211.94,197.5,207.48,3410033.0
2025-04-10,207.75,213.17,203.49,208.32,1681037.0
2025-04-11,206.52,213.75,205.15,213.22,1194634.0
2025-04-14,213.0,218.83,211.15,217.79,980027.0
2025-04-15,219.28,220.82,216.02,218.01,2098342.0
2025-04-16,220.3,220.54,216.51,218.0,1974220.0
2025-04-17,218.94,224.36,218.26,222.66,1497429.0
2025-04-21,221.33,223.55,215.13,217.99,1219081.0
2025-04-22,219.78,222.22,217.83,220.97,1477418.0
2025-04-23,219.77,219.92,209.37,212.6,4417084.0
2025-04-24,214.33,215.29,210.76,210.91,1457612.0
2025-04-25,211.48,211.79,208.45,210.82,1414683.0
2025-04-28,210.45,213.6,209.36,211.3,1758096.0
2025-04-29,211.64,221.77,210.36,221.33,1635522.0
2025-04-30,221.36,226.09,220.59,225.41,1528195.0
2025-05-01,224.87,225.84,223.07,224.03,1013084.0
2025-05-02,225.0,225.98,221.19,223.6,1460809.0
2025-05-05,225.1,226.02,222.44,223.87,771044.0
2025-05-06,224.31,225.62,222.36,223.81,712634.0
2025-05-07,222.58,224.96,219.27,219.49,1869370.0
2025-05-08,218.94,219.9,217.55,217.88,1193666.0
2025-05-09,217.07,220.59,216.58,219.97,1297703.0
2025-05-12,217.44,217.44,206.92,207.92,2323190.0
2025-05-13,208.5,208.5,201.72,203.96,2503648.0
2025-05-14,202.9,205.19,201.01,204.5,2297644.0
2025-05-15,206.24,211.77,205.0,211.68,1462694.0
2025-05-16,212.96,213.46,211.4,213.38,1216955.0
2025-05-19,213.64,215.5,211.95,215.13,744058.0
2025-05-20,213.51,215.86,213.42,215.4,697911.0
2025-05-21,215.64,216.56,213.46,213.73,1059433.0
2025-05-22,214.43,215.66,209.07,210.27,933957.0
2025-05-23,213.12,213.53,210.55,211.86,548490.0
2025-05-27,211.02,214.99,211.02,213.7,847135.0
2025-05-28,213.0,213.1,210.73,212.46,827384.0
2025-05-29,211.66,214.1,210.65,213.71,799383.0
2025-05-30,212.5,215.37,212.32,214.65,1040687.0
