date,open,high,low,close,volume
2025-02-26,95.76,97.74,94.53,96.38,7673827.0
2025-02-27,97.93,98.09,91.39,91.57,7170012.0
2025-02-28,90.97,93.18,90.35,93.05,6453331.0
2025-03-03,93.07,93.07,84.85,86.01,9692379.0
2025-03-04,82.54,86.95,81.45,85.52,12145812.0
2025-03-05,87.19,88.39,85.37,87.82,6368057.0
2025-03-06,83.88,86.53,83.3,84.34,6150983.0
2025-03-07,85.81,86.43,80.21,83.36,8178251.0
2025-03-10,80.0,80.58,76.0,77.56,11450136.0
2025-03-11,77.81,81.14,76.71,79.13,7268352.0
2025-03-12,82.44,83.0,79.34,80.25,8160805.0
2025-03-13,79.65,80.76,78.47,80.14,4399634.0
2025-03-14,82.0,84.25,81.8,83.51,5503151.0
2025-03-17,83.88,85.74,83.77,85.09,4333232.0
2025-03-18,83.51,84.84,83.23,83.99,6332140.0
2025-03-19,84.43,85.0,82.35,84.42,6313714.0
2025-03-20,83.14,84.58,82.81,82.97,4033160.0
2025-03-21,81.64,83.84,80.75,83.13,4235309.0
2025-03-24,85.67,87.64,85.31,87.51,4920888.0
2025-03-25,87.51,88.37,86.66,86.94,4589279.0
2025-03-26,85.74,86.04,80.01,81.66,9032626.0
2025-03-27,80.25,81.05,78.0,78.96,8239240.0
2025-03-28,79.44,80.23,77.07,77.94,6010834.0
2025-03-31,75.22,77.68,74.53,77.48,6238271.0
2025-04-01,77.15,78.55,75.9,78.49,4078009.0
2025-04-02,75.37,81.21,75.37,80.16,4273699.0
2025-04-03,73.22,75.55,71.14,71.27,12353980.0
2025-04-04,67.52,68.8,62.59,64.37,14788834.0
2025-04-07,59.8,70.69,59.43,68.17,14330945.0
2025-04-08,72.64,74.46,67.78,69.5,13593714.0
2025-04-09,68.91,77.65,68.59,76.0,16129499.0
2025-04-10,74.0,74.5,69.89,72.65,7801735.0
2025-04-11,72.99,73.8,70.62,72.67,7568349.0
2025-04-14,76.5,76.78,73.18,73.59,6971498.0
2025-04-15,73.17,74.01,72.41,73.2,4924461.0
2025-04-16,69.13,73.14,69.12,71.87,5372194.0
2025-04-17,72.51,72.51,70.41,71.2,5718955.0
2025-04-21,68.68,69.3,66.59,67.67,5068224.0
2025-04-22,67.67,69.26,67.16,68.67,5042012.0
2025-04-23,73.21,73.64,70.36,70.76,7525950.0
2025-04-24,71.56,75.98,71.56,75.29,8208943.0
2025-04-25,76.41,79.0,76.01,77.91,9132990.0
2025-04-28,76.95,79.25,76.88,78.31,4695400.0
