date,open,high,low,close,volume
2025-02-26,22.48,22.5,21.74,22.01,5717940.0
2025-02-27,22.07,22.07,20.09,20.42,14114728.0
2025-02-28,20.11,21.04,19.84,20.7,10664193.0
2025-03-03,20.89,21.2,18.66,18.89,8277303.0
2025-03-04,18.56,19.02,18.0,18.57,8174881.0
2025-03-05,18.38,18.67,17.66,18.54,8899901.0
2025-03-06,18.54,19.02,18.01,18.75,5453055.0
2025-03-07,19.0,19.54,18.67,18.84,5754069.0
2025-03-10,18.6,19.42,18.58,19.02,6097686.0
2025-03-11,19.1,19.42,18.55,19.2,6027024.0
2025-03-12,19.27,19.77,19.22,19.65,4692493.0
2025-03-13,19.51,19.92,18.78,19.04,3906630.0
2025-03-14,19.24,19.65,19.1,19.61,3876376.0
2025-03-17,19.71,20.19,19.71,20.03,4544739.0
2025-03-18,20.25,20.38,19.7,20.17,3485335.0
2025-03-19,20.2,21.04,20.16,20.81,5188593.0
2025-03-20,20.65,20.89,20.43,20.57,3021651.0
2025-03-21,20.4,20.64,20.23,20.61,4299736.0
2025-03-24,20.66,21.12,20.58,20.84,2806981.0
2025-03-25,20.95,21.28,20.74,20.89,2813777.0
2025-03-26,21.12,21.49,21.0,21.1,3378162.0
2025-03-27,21.12,21.33,20.83,21.2,2925954.0
2025-03-28,21.2,21.23,20.71,20.92,3410451.0
2025-03-31,20.69,21.12,20.57,21.02,3064405.0
2025-04-01,20.94,21.2,20.67,21.13,3426224.0
2025-04-02,20.85,21.3,20.73,21.24,3852944.0
2025-04-03,19.76,19.78,17.67,17.74,9316879.0
2025-04-04,16.9,16.99,14.86,15.18,16082786.0
2025-04-07,14.85,16.03,14.36,14.96,12856969.0
2025-04-08,15.44,15.54,13.72,14.03,9885909.0
2025-04-09,13.72,16.92,13.58,16.71,12138845.0
2025-04-10,15.71,15.83,14.16,14.6,11634159.0
2025-04-11,14.55,15.21,14.1,15.04,8593824.0
2025-04-14,15.42,15.51,14.81,15.2,6252914.0
2025-04-15,15.17,15.54,14.81,14.89,5486118.0
2025-04-16,14.95,15.74,14.83,15.37,5343196.0
2025-04-17,15.66,16.27,15.62,16.11,5450731.0
2025-04-21,15.73,15.73,15.15,15.5,5184201.0
2025-04-22,15.65,16.11,15.51,15.86,4947839.0
2025-04-23,16.13,16.6,15.4,15.65,8025482.0
2025-04-24,15.97,16.34,15.71,16.26,4496674.0
2025-04-25,16.05,16.55,16.03,16.35,3034800.0
2025-04-28,16.36,16.65,16.3,16.55,3338493.0
2025-04-29,16.22,16.47,15.99,16.24,3816227.0
2025-04-30,16.01,16.01,15.33,15.54,4747723.0
2025-05-01,15.44,16.45,15.44,16.22,6432772.0
2025-05-02,16.42,16.59,16.03,16.46,4384416.0
2025-05-05,16.1,16.13,15.48,15.5,5958470.0
2025-05-06,15.65,16.04,15.63,15.73,4819574.0
2025-05-07,15.77,15.82,15.2,15.48,5547120.0
2025-05-08,15.91,16.37,15.59,16.18,9766351.0
2025-05-09,16.5,16.99,16.31,16.72,4827047.0
2025-05-12,17.84,18.28,17.57,17.71,6023945.0
2025-05-13,17.78,18.73,17.7,18.46,5547490.0
2025-05-14,18.26,18.45,18.05,18.17,4007165.0
2025-05-15,17.66,17.8,17.37,17.76,4333066.0
2025-05-16,17.89,17.89,17.29,17.59,3336405.0
2025-05-19,17.33,17.35,16.95,17.32,2729839.0
2025-05-20,17.44,17.44,17.16,17.25,2676582.0
2025-05-21,17.25,17.25,16.69,16.71,3796208.0
2025-05-22,16.55,16.86,16.15,16.74,3153270.0
2025-05-23,16.31,16.88,16.25,16.85,2739387.0
2025-05-27,17.12,17.33,16.75,17.31,3028453.0
2025-05-28,17.51,17.59,17.1,17.18,2798219.0
2025-05-29,17.45,17.45,17.04,17.34,3185703.0
2025-05-30,17.2,17.27,16.88,17.01,3735361.0
2025-06-02,17.7,17.79,17.23,17.33,4431343.0
2025-06-03,17.38,18.34,17.03,18.27,4095744.0
2025-06-04,18.27,18.73,17.76,17.92,3874880.0
2025-06-05,18.07,18.15,17.74,17.85,3089901.0
2025-06-06,18.22,18.69,18.1,18.5,4323916.0
2025-06-09,18.58,19.0,18.49,18.63,4813837.0
2025-06-10,18.84,19.8,18.83,19.28,7383463.0
2025-06-11,19.51,19.83,19.07,19.61,5637904.0
2025-06-12,19.32,20.03,19.02,19.95,5937557.0
2025-06-13,20.89,21.1,20.17,21.01,9036316.0
2025-06-16,20.61,20.99,20.12,20.5,5992793.0
2025-06-17,20.69,21.34,20.4,20.78,6678389.0
2025-06-18,20.78,21.27,20.24,20.31,5111306.0
2025-06-20,20.4,20.51,19.74,19.97,5881514.0
2025-06-23,20.21,20.28,18.37,18.39,12318836.0
2025-06-24,18.05,18.48,17.93,18.18,7015589.0
2025-06-25,18.1,18.2,17.73,17.8,4598802.0
2025-06-26,17.94,18.68,17.88,18.45,4314776.0
2025-06-27,18.46,18.85,18.27,18.56,5511967.0
2025-06-30,18.48,18.59,18.16,18.29,3395250.0
2025-07-01,18.33,19.22,18.13,18.94,5253874.0
2025-07-02,19.28,19.59,18.9,19.49,3832870.0
2025-07-03,19.59,19.66,19.38,19.53,2453575.0
2025-07-07,19.45,19.83,19.03,19.41,4366167.0
2025-07-08,19.39,20.74,19.37,20.5,6025866.0
2025-07-09,20.52,20.67,20.18,20.45,3373015.0
2025-07-10,20.24,20.5,19.83,20.4,3479817.0
2025-07-11,20.32,20.55,20.1,20.11,3263514.0
2025-07-14,20.01,20.04,19.16,19.47,3833449.0
2025-07-15,19.46,19.63,18.62,18.65,5108450.0
2025-07-16,18.66,18.73,18.05,18.14,4742950.0
2025-07-17,18.24,18.94,18.08,18.84,4014907.0
2025-07-18,19.08,19.3,18.68,18.82,3375634.0
2025-07-21,18.93,19.04,18.47,18.6,3829466.0
2025-07-22,18.44,18.9,18.44,18.74,3620668.0
2025-07-23,18.85,19.38,18.73,19.2,3347084.0
2025-07-24,19.12,19.58,18.87,19.3,3627000.0
2025-07-25,19.28,19.48,18.84,19.1,2568278.0
2025-07-28,19.4,19.7,19.32,19.57,3595838.0
2025-07-29,19.49,19.88,19.15,19.68,4046618.0
2025-07-30,19.52,19.62,19.11,19.48,5485916.0
2025-07-31,19.11,19.67,19.1,19.29,4346175.0
2025-08-01,19.09,19.14,18.24,18.46,5365048.0
2025-08-04,18.38,18.6,18.21,18.27,4290970.0
2025-08-05,18.3,18.62,17.98,18.59,4545471.0
2025-08-06,18.91,18.98,17.86,18.06,6175815.0
2025-08-07,19.32,20.38,18.84,19.46,16721001.0
2025-08-08,19.62,20.21,19.32,20.01,7170540.0
2025-08-11,20.22,20.56,19.77,19.92,5133867.0
2025-08-12,20.03,20.49,19.84,20.44,3978591.0
2025-08-13,20.31,20.71,20.2,20.56,5128140.0
2025-08-14,20.44,20.55,20.05,20.49,4342062.0
2025-08-15,20.43,20.79,20.33,20.48,4410354.0
2025-08-18,20.44,20.53,20.06,20.41,2678418.0
2025-08-19,20.32,20.95,20.18,20.24,3635550.0
2025-08-20,20.5,20.77,20.17,20.34,3068215.0
2025-08-21,20.21,20.73,19.96,20.63,3171500.0
2025-08-22,20.74,21.7,20.71,21.64,4650344.0
2025-08-25,21.65,22.44,21.47,22.36,4389058.0
2025-08-26,22.09,22.32,21.88,22.12,2724589.0
2025-08-27,22.15,22.79,21.95,22.59,3455884.0
2025-08-28,22.75,23.06,22.45,22.98,4656417.0
2025-08-29,22.98,23.41,22.87,23.22,2941799.0
2025-09-02,23.21,23.87,23.05,23.84,4626913.0
2025-09-03,23.37,23.69,22.55,22.68,5932829.0
2025-09-04,22.74,23.5,22.45,23.44,4256766.0
2025-09-05,23.01,23.48,22.56,22.75,4136055.0
2025-09-08,23.1,23.1,22.17,22.26,4806300.0
2025-09-09,22.34,22.89,21.65,21.66,4688466.0
2025-09-10,21.8,23.33,21.57,23.29,6015784.0
2025-09-11,22.96,23.05,22.66,22.98,3607734.0
2025-09-12,23.35,23.71,22.82,22.84,3167450.0
2025-09-15,23.01,23.24,22.64,22.91,3205076.0
2025-09-16,23.25,24.97,23.1,24.51,8177997.0
2025-09-17,24.31,24.99,24.13,24.16,5463513.0
2025-09-18,24.14,24.28,23.64,23.9,3243836.0
2025-09-19,23.88,23.94,23.29,23.48,4083350.0
2025-09-22,23.23,23.82,23.0,23.61,4087448.0
2025-09-23,23.85,24.92,23.74,23.99,4186155.0
2025-09-24,24.55,25.0,24.39,24.42,12007168.0
2025-09-25,24.09,24.5,24.08,24.34,5803444.0
2025-09-26,24.48,25.81,24.3,24.69,5584805.0
2025-09-29,24.41,24.41,23.73,24.34,4834271.0
2025-09-30,24.0,24.38,23.61,24.28,3810469.0
2025-10-01,23.9,25.11,23.87,25.06,3394061.0
2025-10-02,24.95,25.38,23.85,23.88,5451290.0
2025-10-03,24.11,24.7,23.89,24.54,3914905.0
2025-10-06,24.61,25.53,24.61,25.12,4421621.0
2025-10-07,25.02,25.44,24.81,25.08,3796884.0
2025-10-08,25.08,25.1,24.38,24.6,4074730.0
2025-10-09,24.78,25.25,23.58,23.66,5109989.0
2025-10-10,23.48,23.48,21.86,21.94,5669550.0
2025-10-13,22.65,22.85,22.14,22.82,3563391.0
