date,open,high,low,close,volume
2025-02-26,66.11,66.85,65.46,66.23,4698663.0
2025-02-27,66.4,66.98,65.3,65.46,4612888.0
2025-02-28,65.11,66.62,64.64,66.6,5203997.0
2025-03-03,66.65,66.78,63.16,63.45,5082254.0
2025-03-04,62.51,64.2,61.43,63.05,5801464.0
2025-03-05,63.5,64.78,62.74,64.71,3816243.0
2025-03-06,62.81,63.32,61.47,61.75,5578196.0
2025-03-07,61.75,63.31,60.01,62.93,5222982.0
2025-03-10,61.38,62.2,60.69,61.79,5603681.0
2025-03-11,62.06,62.86,61.05,61.64,3415152.0
2025-03-12,63.21,63.84,62.13,62.83,5021823.0
2025-03-13,62.77,63.19,61.36,61.62,4624441.0
2025-03-14,62.71,63.45,62.07,63.0,4500636.0
2025-03-17,62.6,64.58,62.6,63.86,4031404.0
2025-03-18,63.16,64.28,62.81,63.85,5137664.0
2025-03-19,65.38,68.05,64.7,67.41,10445941.0
2025-03-20,66.11,67.49,66.11,66.36,3968272.0
2025-03-21,65.6,67.05,64.64,66.6,5614111.0
2025-03-24,67.85,69.43,67.79,69.3,4673383.0
2025-03-25,69.17,69.82,68.71,69.49,2675240.0
2025-03-26,69.31,69.65,67.17,67.58,3827782.0
2025-03-27,67.27,68.62,66.66,68.17,4909718.0
2025-03-28,67.54,68.16,66.21,66.59,5831296.0
2025-03-31,65.47,66.1,64.4,65.59,4478774.0
2025-04-01,65.57,66.64,65.12,66.07,3783344.0
2025-04-02,64.92,68.09,64.85,67.9,3374301.0
2025-04-03,64.34,64.81,62.18,62.66,6334824.0
2025-04-04,60.54,60.57,57.12,59.09,10379818.0
2025-04-07,57.5,63.18,56.45,60.9,9006499.0
2025-04-08,63.18,63.97,59.16,60.07,6914800.0
2025-04-09,59.79,67.06,59.16,66.18,7098821.0
2025-04-10,64.13,65.34,62.0,64.13,7734117.0
2025-04-11,63.34,65.64,63.02,65.4,3584565.0
2025-04-14,67.02,67.19,65.0,65.46,4129086.0
2025-04-15,65.67,66.82,65.41,65.76,3559105.0
2025-04-16,64.64,65.79,63.75,64.77,2837788.0
2025-04-17,65.02,66.0,64.57,65.06,3822869.0
2025-04-21,63.94,64.75,62.55,63.59,3090992.0
2025-04-22,64.34,65.98,64.25,65.75,4517698.0
2025-04-23,76.02,76.43,70.92,71.15,12833720.0
2025-04-24,72.48,76.56,70.83,76.03,9464681.0
2025-04-25,75.15,76.64,74.14,75.85,9555373.0
2025-04-28,76.08,76.6,74.95,75.88,3073799.0
2025-04-29,75.82,76.89,75.66,76.68,2956014.0
2025-04-30,74.63,77.17,74.31,76.95,3150950.0
2025-05-01,78.49,79.35,78.12,78.63,4920402.0
2025-05-02,79.63,81.0,78.76,80.66,4921123.0
2025-05-05,80.1,80.89,79.66,80.17,4390240.0
2025-05-06,79.65,80.05,79.1,79.71,3266843.0
2025-05-07,79.71,81.08,79.27,80.84,4164070.0
2025-05-08,81.81,81.82,80.11,80.58,4856161.0
2025-05-09,80.95,81.44,80.32,80.88,4705551.0
2025-05-12,83.38,84.98,82.87,84.46,5865165.0
2025-05-13,84.76,86.8,84.62,85.78,5009678.0
2025-05-14,86.0,86.07,85.37,85.63,3133446.0
2025-05-15,85.37,86.15,84.72,85.97,3573050.0
2025-05-16,86.3,86.96,85.83,86.88,3960201.0
2025-05-19,84.84,86.77,84.84,86.41,4380593.0
2025-05-20,86.01,86.52,85.63,86.29,2576318.0
2025-05-21,85.67,87.22,85.39,85.69,3934145.0
2025-05-22,85.44,85.94,84.78,85.26,3201016.0
2025-05-23,83.87,86.0,83.44,85.55,2514114.0
2025-05-27,86.91,88.5,86.75,88.33,3880400.0
2025-05-28,88.2,88.78,87.84,88.13,3149788.0
2025-05-29,89.0,89.14,87.95,88.92,4326203.0
2025-05-30,89.04,89.98,88.15,89.93,4958008.0
2025-06-02,89.55,90.38,88.77,90.36,3510357.0
2025-06-03,90.89,91.88,90.7,91.68,4122103.0
2025-06-04,91.96,92.41,91.48,91.91,3425859.0
2025-06-05,92.36,93.33,91.88,92.52,3728600.0
2025-06-06,93.26,93.68,92.82,93.36,2298121.0
2025-06-09,93.55,93.9,92.77,92.96,4281522.0
2025-06-10,93.44,94.11,91.06,92.49,4041701.0
2025-06-11,92.56,93.3,91.61,93.07,4657423.0
2025-06-12,92.73,94.83,92.34,94.6,2960054.0
2025-06-13,93.01,93.77,92.08,92.49,4321470.0
2025-06-16,93.3,94.04,93.11,93.38,2802652.0
2025-06-17,92.59,93.73,92.22,92.8,5092861.0
2025-06-18,92.78,94.2,92.54,93.47,3666952.0
2025-06-20,94.14,94.51,92.98,93.82,5307252.0
2025-06-23,93.45,95.28,92.98,95.25,3939050.0
2025-06-24,96.17,96.69,94.88,95.8,4882976.0
2025-06-25,96.13,97.41,95.8,97.02,3199792.0
2025-06-26,97.03,97.99,96.88,96.98,4406788.0
2025-06-27,97.09,98.07,96.45,97.67,5417776.0
2025-06-30,97.97,99.01,97.38,98.75,4369333.0
2025-07-01,98.6,98.7,96.41,97.39,3965050.0
2025-07-02,96.74,98.52,96.17,98.52,3549587.0
2025-07-03,99.23,99.71,98.81,99.46,1649510.0
2025-07-07,99.35,99.99,98.19,98.55,4262935.0
2025-07-08,98.75,99.14,96.64,97.41,5329020.0
2025-07-09,97.89,98.79,97.44,98.21,3241015.0
2025-07-10,98.56,98.83,97.13,98.31,2979980.0
2025-07-11,98.21,98.97,97.92,98.76,3720181.0
2025-07-14,98.83,100.79,98.32,100.21,4975334.0
2025-07-15,100.74,101.0,98.88,99.44,2916891.0
2025-07-16,99.8,100.58,98.61,100.55,3195078.0
2025-07-17,100.09,102.08,100.09,101.96,3689841.0
2025-07-18,103.0,103.7,102.34,103.34,3185470.0
2025-07-21,103.04,104.16,102.52,103.71,3916578.0
2025-07-22,103.77,103.88,101.1,101.78,5144542.0
2025-07-23,107.23,108.85,95.19,100.71,19805226.0
2025-07-24,102.79,105.1,102.18,104.46,8215818.0
2025-07-25,104.79,106.02,104.67,105.02,3761476.0
2025-07-28,105.91,107.15,105.04,106.7,4952243.0
2025-07-29,107.82,108.55,104.97,105.31,6050972.0
2025-07-30,105.31,106.01,104.28,105.49,4287581.0
2025-07-31,106.8,108.2,106.27,106.51,10066244.0
2025-08-01,105.29,105.32,102.76,104.31,5515252.0
2025-08-04,108.56,108.75,106.41,108.63,5639021.0
2025-08-05,108.66,109.9,107.01,107.93,7247021.0
2025-08-06,108.25,109.5,107.53,109.5,4090593.0
2025-08-07,109.59,110.38,107.83,108.55,3292352.0
2025-08-08,109.16,110.6,108.5,109.98,3057739.0
2025-08-11,110.25,111.0,109.25,109.81,2976805.0
2025-08-12,110.16,111.87,109.79,111.85,4504615.0
2025-08-13,112.14,112.35,107.67,109.83,6096375.0
2025-08-14,109.01,110.83,108.77,110.74,3890671.0
2025-08-15,110.55,110.72,107.52,109.21,3951360.0
2025-08-18,110.0,111.38,109.72,111.06,4460233.0
2025-08-19,110.81,112.02,109.18,109.98,4135638.0
2025-08-20,109.3,109.46,104.71,108.65,5665122.0
2025-08-21,108.52,109.48,107.89,108.81,3592765.0
2025-08-22,109.01,111.17,108.43,109.36,4029934.0
2025-08-25,109.58,111.48,109.55,109.73,2199616.0
2025-08-26,109.82,110.78,109.73,109.9,2650970.0
2025-08-27,109.67,110.66,109.4,110.13,2462910.0
2025-08-28,110.1,112.06,109.55,111.94,2761922.0
2025-08-29,111.02,111.29,107.92,108.86,3287536.0
2025-09-02,106.89,109.32,105.45,109.25,4378746.0
2025-09-03,109.43,110.73,108.89,110.69,4190602.0
2025-09-04,111.1,112.78,110.26,112.75,5033640.0
2025-09-05,113.0,113.69,108.68,110.45,8658195.0
2025-09-08,111.1,111.97,110.38,110.54,5038007.0
2025-09-09,110.9,117.24,110.6,116.79,9547753.0
2025-09-10,118.0,120.8,116.64,119.09,11021273.0
2025-09-11,118.83,120.23,118.83,119.47,6415292.0
2025-09-12,119.03,119.59,117.81,118.68,3996336.0
2025-09-15,118.49,120.51,118.22,119.24,2737879.0
2025-09-16,119.18,119.82,118.21,119.04,4678737.0
2025-09-17,119.11,119.5,117.34,118.41,5180167.0
2025-09-18,119.0,122.79,118.88,122.07,4733947.0
2025-09-19,122.47,124.39,121.29,123.94,4965515.0
2025-09-22,123.0,123.94,121.19,123.69,4367197.0
2025-09-23,124.01,126.06,123.85,125.4,5413298.0
2025-09-24,125.6,126.01,121.53,123.13,5180111.0
2025-09-25,121.1,122.38,119.62,122.33,5900091.0
2025-09-26,122.78,123.08,121.32,122.6,3415959.0
2025-09-29,123.83,124.24,120.27,121.01,4149206.0
2025-09-30,121.4,123.87,121.31,123.75,4262344.0
2025-10-01,123.42,125.54,121.8,124.66,4188100.0
2025-10-02,125.3,125.81,121.9,123.58,3143097.0
2025-10-03,124.15,124.69,122.13,122.22,3053817.0
2025-10-06,124.41,125.04,122.51,123.4,3479503.0
2025-10-07,124.35,124.75,122.92,124.53,4612830.0
2025-10-08,124.48,126.11,123.83,125.79,3111769.0
2025-10-09,126.11,126.49,124.36,126.25,1790155.0
2025-10-10,127.06,127.5,121.39,121.7,2941981.0
2025-10-13,123.5,125.16,122.83,123.91,2928684.0
2025-10-14,121.73,124.44,120.03,122.64,2920484.0
2025-10-15,126.67,127.48,124.1,125.6,4023943.0
2025-10-16,126.96,128.12,126.46,127.36,3809401.0
2025-10-17,126.24,127.05,124.46,125.65,2873579.0
2025-10-20,126.57,127.94,125.7,127.67,2567248.0
2025-10-21,127.81,128.09,124.35,124.44,4038860.0
2025-10-22,135.35,135.94,125.0,128.93,14834425.0
2025-10-23,129.6,136.52,129.1,135.31,6840908.0
2025-10-24,137.19,137.65,133.3,133.82,5796418.0
2025-10-27,135.69,137.01,135.16,135.91,4737554.0
2025-10-28,135.99,137.55,134.68,137.29,3233620.0
2025-10-29,139.2,141.72,137.51,139.75,4960667.0
2025-10-30,139.0,140.76,137.66,139.11,4381148.0
2025-10-31,140.58,141.69,138.33,139.34,3484102.0
2025-11-03,140.31,142.5,139.98,141.55,5817795.0
2025-11-04,136.63,138.58,135.86,136.7,4916055.0
2025-11-05,136.68,141.05,136.5,138.87,4830149.0
2025-11-06,139.41,139.99,135.67,138.11,4692431.0
2025-11-07,136.76,139.21,134.51,139.09,5429810.0
2025-11-10,141.25,144.37,140.76,143.85,4393577.0
2025-11-11,142.5,143.9,140.68,143.47,4208451.0
2025-11-12,143.98,144.05,140.75,141.92,3624745.0
2025-11-13,141.18,141.35,134.83,135.25,6522859.0
2025-11-14,130.34,136.7,130.15,133.74,4966635.0
2025-11-17,132.59,135.42,131.25,132.33,2689007.0
2025-11-18,132.32,133.19,129.76,132.44,3940771.0
2025-11-19,132.2,136.76,131.69,136.66,4651348.0
2025-11-20,140.69,140.69,130.21,130.36,6499880.0
2025-11-21,130.36,132.19,127.19,131.6,4257003.0
2025-11-24,132.67,138.31,132.53,137.88,5350287.0
2025-11-25,137.51,138.34,133.93,137.81,3917109.0
2025-11-26,138.92,139.44,137.76,138.72,3161466.0
2025-11-28,139.49,140.96,138.3,140.9,1426446.0
2025-12-01,139.64,140.09,137.3,139.22,4035765.0
2025-12-02,142.0,143.48,140.9,141.49,4675153.0
2025-12-03,140.93,141.06,137.31,138.65,4799596.0
2025-12-04,137.99,140.33,137.68,139.46,3365953.0
2025-12-05,139.96,139.96,137.01,139.36,3449850.0
2025-12-08,140.0,142.27,139.64,140.06,2017752.0
2025-12-09,139.66,140.93,137.8,138.58,2752692.0
2025-12-10,138.55,139.43,136.36,138.68,3237238.0
2025-12-11,137.8,139.15,134.16,139.09,3389633.0
2025-12-12,138.11,138.21,128.28,129.24,8595464.0
2025-12-15,130.15,131.28,129.41,129.9,4456158.0
2025-12-16,129.06,130.42,127.81,129.13,4643182.0
2025-12-17,129.46,129.91,125.38,126.51,6453724.0
2025-12-18,129.21,130.51,127.89,129.61,3905859.0
2025-12-19,130.07,136.84,129.93,135.29,8216895.0
2025-12-22,137.0,137.21,133.28,135.14,2967165.0
2025-12-23,133.66,137.25,133.28,137.12,2582801.0
2025-12-24,137.18,138.15,136.64,137.94,1036351.0
2025-12-26,137.94,138.32,136.84,137.43,1497902.0
2025-12-29,136.2,137.59,135.82,136.9,2330445.0
2025-12-30,137.27,137.85,135.94,136.2,1950400.0
2025-12-31,136.64,137.15,135.03,135.14,1193839.0
