date,open,high,low,close,volume
2025-02-26,206.91,213.54,206.0,212.94,11832155.0
2025-02-27,217.28,219.25,197.4,197.8,14803506.0
2025-02-28,195.74,201.19,193.15,199.43,22272645.0
2025-03-03,204.01,204.06,184.53,187.37,22335564.0
2025-03-04,189.15,193.95,180.48,187.48,23043854.0
2025-03-05,191.91,194.08,187.1,191.58,14581834.0
2025-03-06,181.04,186.83,177.61,179.45,31570019.0
2025-03-07,187.73,195.48,181.56,194.96,50976617.0
2025-03-10,189.6,191.98,180.43,184.45,27746228.0
2025-03-11,188.13,195.62,185.34,190.09,24356817.0
2025-03-12,196.22,199.98,192.45,194.23,18198035.0
2025-03-13,193.15,196.32,189.46,191.36,13602178.0
2025-03-14,196.01,197.5,193.2,195.54,14178943.0
2025-03-17,188.01,196.72,187.5,194.5,13127119.0
2025-03-18,190.44,192.89,186.9,188.67,13538458.0
2025-03-19,189.22,198.27,186.9,195.57,13560174.0
2025-03-20,191.72,193.84,188.94,190.54,13301217.0
2025-03-21,188.21,192.07,187.37,191.66,13745628.0
2025-03-24,194.56,196.69,190.67,191.25,12955376.0
2025-03-25,191.0,191.6,187.68,188.26,11181420.0
2025-03-26,186.71,188.06,177.58,179.27,18603634.0
2025-03-27,177.62,178.38,170.46,171.99,19564302.0
2025-03-28,171.93,173.3,166.47,169.12,15058229.0
2025-03-31,164.49,167.94,160.62,167.43,18541484.0
2025-04-01,166.37,168.71,163.42,168.52,11441666.0
2025-04-02,166.26,173.43,165.5,172.09,11305933.0
2025-04-03,160.33,163.43,153.7,154.01,24417879.0
2025-04-04,148.4,152.8,139.17,146.29,46098173.0
2025-04-07,144.69,160.43,138.1,154.14,43907392.0
2025-04-08,167.51,169.78,153.09,156.03,34851260.0
2025-04-09,160.51,187.33,157.51,185.15,41894351.0
2025-04-10,175.15,176.95,166.4,172.3,30756067.0
2025-04-11,173.62,182.66,173.31,181.94,20576396.0
2025-04-14,185.15,186.0,175.82,178.36,15092412.0
