date,open,high,low,close,volume
2025-02-26,179.39,179.51,171.83,173.04,4911632.0
2025-02-27,174.52,177.15,173.59,173.83,2871646.0
2025-02-28,174.36,176.3,173.48,174.63,2685309.0
2025-03-03,177.0,178.4,169.46,170.06,3895131.0
2025-03-04,167.37,168.38,156.69,158.9,11290163.0
2025-03-05,159.96,164.33,158.81,163.16,4550595.0
2025-03-06,161.42,162.69,157.94,158.43,4244069.0
2025-03-07,157.19,158.36,149.05,154.18,8851949.0
2025-03-10,150.08,150.39,146.3,148.15,6684559.0
2025-03-11,148.0,155.01,145.45,154.06,6438654.0
2025-03-12,157.0,159.54,153.61,158.8,5510815.0
2025-03-13,159.22,161.74,157.25,159.32,3739400.0
2025-03-14,160.92,162.32,159.2,161.81,2984592.0
2025-03-17,160.58,162.77,159.62,161.85,3099016.0
2025-03-18,161.44,162.23,158.79,161.57,2474663.0
2025-03-19,165.32,174.2,165.0,172.62,8586382.0
2025-03-20,171.14,173.1,170.31,172.83,2699986.0
2025-03-21,172.06,183.46,170.77,178.11,16756374.0
2025-03-24,182.03,184.4,180.44,180.9,6303906.0
2025-03-25,182.16,183.85,180.36,182.59,4357515.0
2025-03-26,182.53,183.23,177.28,178.55,4110505.0
2025-03-27,178.53,182.22,178.03,179.11,2836366.0
2025-03-28,177.75,178.5,172.45,173.31,4744407.0
2025-03-31,170.65,172.21,166.79,170.55,3691965.0
2025-04-01,170.0,170.98,164.21,168.17,5262203.0
2025-04-02,166.4,170.38,165.55,168.56,3333859.0
2025-04-03,160.0,160.21,150.41,150.91,10766399.0
2025-04-04,143.3,146.0,132.79,136.59,15372664.0
2025-04-07,132.05,143.98,128.88,138.86,12500753.0
2025-04-08,146.85,147.77,137.4,139.39,9520486.0
2025-04-09,138.84,162.43,137.94,160.82,11220761.0
2025-04-10,154.98,157.35,149.41,155.52,6630098.0
2025-04-11,154.62,157.59,152.0,156.84,5551824.0
2025-04-14,159.82,162.55,157.6,159.28,4224557.0
2025-04-15,155.28,159.13,155.27,155.52,7371462.0
2025-04-16,154.46,157.66,153.54,156.47,4460776.0
2025-04-17,157.13,163.9,157.0,161.9,5414287.0
2025-04-21,160.0,160.0,156.47,159.34,3257918.0
2025-04-22,162.5,163.09,158.5,162.52,5589037.0
2025-04-23,174.0,176.58,169.91,172.37,10458156.0
2025-04-24,171.2,177.4,169.0,176.26,6868227.0
2025-04-25,176.5,180.33,175.86,177.95,5083578.0
2025-04-28,182.75,184.53,180.75,182.3,5552827.0
2025-04-29,182.52,184.25,181.2,182.0,3605552.0
2025-04-30,178.47,183.79,177.63,183.24,3592692.0
2025-05-01,182.85,184.75,182.03,182.89,4612648.0
2025-05-02,185.0,187.58,184.08,185.46,5401170.0
2025-05-05,184.39,187.58,184.39,186.46,3277564.0
2025-05-06,184.71,186.2,183.63,185.96,2655758.0
2025-05-07,185.0,186.72,183.5,185.56,3646899.0
2025-05-08,186.76,194.75,186.22,191.7,10661101.0
2025-05-09,193.55,195.3,192.18,194.85,4683491.0
2025-05-12,198.16,198.78,193.06,198.53,5580645.0
2025-05-13,200.3,205.73,199.67,203.42,8642633.0
2025-05-14,205.8,209.66,204.05,204.72,10404475.0
2025-05-15,207.35,208.6,205.42,206.24,6210986.0
2025-05-16,205.69,206.24,203.02,205.82,4991800.0
2025-05-19,203.0,205.6,202.3,205.25,3156617.0
2025-05-20,205.0,208.62,205.0,207.67,3584310.0
2025-05-21,206.6,207.12,202.43,203.21,3538849.0
2025-05-22,202.53,204.73,201.85,203.41,1963980.0
2025-05-23,199.95,203.2,198.75,202.36,2758088.0
2025-05-27,204.28,205.0,200.88,201.03,3649068.0
2025-05-28,201.95,202.45,200.21,201.5,3476359.0
2025-05-29,201.78,212.28,201.5,208.18,11408056.0
2025-05-30,206.77,207.7,204.35,207.32,3766624.0
2025-06-02,210.98,212.35,207.9,211.47,4839211.0
2025-06-03,212.0,215.8,211.77,213.43,4886512.0
2025-06-04,214.77,214.99,211.03,211.98,3335627.0
2025-06-05,212.5,212.99,208.22,209.02,2969478.0
2025-06-06,210.24,211.11,208.04,210.8,3157804.0
2025-06-09,211.23,218.8,211.09,217.51,5990047.0
2025-06-10,217.58,217.91,213.25,215.73,4830509.0
2025-06-11,215.5,216.21,212.21,214.0,3264846.0
2025-06-12,202.17,206.34,201.28,203.75,17063489.0
2025-06-13,200.68,202.23,195.28,200.32,10845041.0
2025-06-16,200.57,204.0,199.08,201.7,4094613.0
2025-06-17,201.31,205.31,198.87,200.26,6694401.0
2025-06-18,199.0,201.06,196.8,197.68,5210879.0
2025-06-20,198.66,200.68,197.45,198.75,3921905.0
2025-06-23,197.83,202.2,197.47,201.31,3648482.0
2025-06-24,203.0,203.51,200.18,200.94,3104199.0
2025-06-25,201.0,201.13,198.3,198.9,2516310.0
2025-06-26,200.41,204.39,199.75,202.58,4019270.0
2025-06-27,205.11,214.81,204.38,214.55,8171593.0
2025-06-30,213.8,214.71,208.02,209.53,5301367.0
2025-07-01,209.5,211.87,206.76,209.79,3597728.0
2025-07-02,210.4,214.4,208.25,212.03,3777486.0
2025-07-03,211.78,217.68,211.67,215.92,2763373.0
2025-07-07,215.6,218.63,214.5,218.63,3280598.0
2025-07-08,219.0,220.0,214.72,218.52,4282516.0
2025-07-09,220.12,230.2,220.01,226.6,10781032.0
2025-07-10,226.65,228.5,223.92,226.09,3856633.0
2025-07-11,225.43,228.74,225.42,226.84,3974334.0
2025-07-14,231.4,233.05,227.27,230.51,4971565.0
2025-07-15,230.12,233.61,228.42,230.0,4921737.0
2025-07-16,232.13,233.57,227.3,229.9,4358596.0
2025-07-17,230.11,232.59,227.75,231.0,4766560.0
2025-07-18,231.43,232.25,227.52,229.34,3423976.0
2025-07-21,229.4,232.5,228.02,229.32,2223039.0
2025-07-22,228.3,230.31,225.55,228.48,2710797.0
2025-07-23,230.32,235.27,229.31,233.88,4050119.0
2025-07-24,233.91,235.23,231.05,231.27,3389310.0
2025-07-25,232.02,233.31,228.84,233.06,2455460.0
2025-07-28,233.24,236.63,232.91,236.41,4605090.0
2025-07-29,239.5,242.69,225.26,226.08,12947968.0
2025-07-30,227.84,231.72,224.35,225.84,5959128.0
2025-07-31,224.35,225.0,221.15,221.84,4695702.0
2025-08-01,219.45,222.46,215.9,221.9,4867838.0
2025-08-04,220.15,222.85,218.03,222.34,3784258.0
2025-08-05,222.37,226.03,221.06,224.86,3424338.0
2025-08-06,225.7,226.57,224.04,225.04,1989995.0
2025-08-07,226.15,230.39,224.58,227.33,2656694.0
2025-08-08,227.5,230.9,227.38,229.12,2766298.0
2025-08-11,229.0,229.32,225.17,225.96,2891274.0
2025-08-12,226.95,232.61,226.46,232.61,4648599.0
2025-08-13,233.25,235.6,229.33,233.37,3891374.0
2025-08-14,231.65,233.97,230.86,233.19,2822898.0
2025-08-15,233.36,236.45,231.42,235.26,3461758.0
2025-08-18,234.47,235.16,229.11,232.41,4323509.0
2025-08-19,232.0,232.44,223.75,225.0,5979432.0
2025-08-20,224.49,226.38,223.6,225.62,2690426.0
2025-08-21,227.13,227.58,223.71,224.46,3793591.0
2025-08-22,225.41,233.7,225.24,230.12,5602595.0
2025-08-25,229.6,230.25,226.6,226.87,2541373.0
2025-08-26,228.0,234.83,227.98,234.83,4594921.0
2025-08-27,235.36,236.34,232.4,235.62,2797119.0
2025-08-28,235.85,237.35,234.49,236.16,1899858.0
2025-08-29,236.13,238.05,233.17,234.68,3201058.0
2025-09-02,231.28,238.33,230.8,237.38,3939136.0
2025-09-03,237.01,237.06,230.76,232.38,3725452.0
2025-09-04,233.01,233.1,229.21,230.75,2421272.0
2025-09-05,231.8,232.23,225.5,229.61,5525386.0
2025-09-08,231.7,232.2,228.09,230.95,3590855.0
2025-09-09,231.01,232.28,228.45,229.52,2908014.0
2025-09-10,229.6,230.1,226.58,227.52,3084773.0
2025-09-11,228.0,229.69,219.69,219.99,8129326.0
2025-09-12,219.89,220.0,215.7,215.94,7015684.0
2025-09-15,216.25,217.26,214.07,215.75,4094060.0
2025-09-16,216.86,217.13,213.75,215.02,3462342.0
2025-09-17,215.59,218.05,213.13,214.63,3628631.0
2025-09-18,215.23,217.4,213.7,215.66,4120857.0
2025-09-19,217.73,217.73,213.62,215.65,5215469.0
2025-09-22,215.17,215.9,211.42,212.09,4513370.0
2025-09-23,217.12,219.82,214.01,216.34,7875330.0
2025-09-24,217.56,218.19,214.77,215.1,4591452.0
2025-09-25,214.87,216.86,211.98,213.53,3791769.0
2025-09-26,223.36,224.1,219.11,221.26,11060600.0
2025-09-29,222.37,222.81,215.12,217.08,6943362.0
2025-09-30,217.09,217.68,212.83,215.83,5770015.0
2025-10-01,214.01,215.63,213.7,215.2,4306094.0
2025-10-02,215.45,218.86,215.31,217.43,5043064.0
2025-10-03,216.75,218.83,215.25,216.3,3783209.0
2025-10-06,217.87,221.8,215.9,219.73,5150073.0
2025-10-07,220.11,223.95,219.2,221.82,4625913.0
2025-10-08,222.73,226.19,221.47,225.32,3567310.0
2025-10-09,225.7,225.7,215.9,216.0,8382024.0
2025-10-10,217.0,217.9,210.73,210.73,6510577.0
2025-10-13,212.09,215.8,212.06,215.56,3408855.0
2025-10-14,213.54,217.95,212.23,214.3,3230267.0
2025-10-15,215.03,215.89,212.48,214.0,3045868.0
2025-10-16,214.66,214.96,210.66,211.89,3072270.0
2025-10-17,210.91,214.68,210.75,212.94,2848663.0
2025-10-20,215.13,217.38,214.56,216.82,3488793.0
2025-10-21,217.21,217.7,215.55,217.26,2137116.0
2025-10-22,216.69,217.4,213.8,216.59,2811648.0
2025-10-23,216.4,219.3,216.25,217.77,3045779.0
2025-10-24,219.04,221.74,218.51,221.35,2975713.0
2025-10-27,222.78,223.58,221.82,223.0,3068149.0
2025-10-28,224.36,225.56,222.6,223.33,4166407.0
2025-10-29,221.36,221.9,212.5,213.58,13093833.0
2025-10-30,210.01,210.28,200.02,200.08,11640971.0
2025-10-31,201.25,202.6,198.3,201.02,5812729.0
2025-11-03,202.04,205.66,201.58,204.55,4154467.0
