date,open,high,low,close,volume
2025-02-26,51.73,52.12,51.37,51.99,1377561.0
2025-02-27,51.57,52.44,51.53,52.06,1401814.0
2025-02-28,52.11,52.87,52.04,52.69,1623972.0
2025-03-03,52.52,53.24,51.81,52.14,1731993.0
2025-03-04,52.29,52.66,50.99,51.03,1856588.0
2025-03-05,51.35,52.15,51.1,51.87,1034354.0
2025-03-06,51.52,52.21,51.09,52.18,1210864.0
2025-03-07,52.18,54.49,51.92,54.26,1210592.0
2025-03-10,54.0,55.3,53.76,53.97,1199536.0
2025-03-11,54.07,54.15,52.06,52.31,1438192.0
2025-03-12,51.88,52.0,50.85,51.27,1043472.0
2025-03-13,51.5,52.04,50.75,50.97,862599.0
2025-03-14,51.39,51.94,51.09,51.89,919045.0
2025-03-17,52.01,52.92,51.83,52.28,853615.0
2025-03-18,52.15,52.43,51.44,51.9,1726987.0
2025-03-19,51.81,52.12,51.28,51.84,1420450.0
2025-03-20,51.62,52.11,51.44,51.57,1704119.0
2025-03-21,51.02,51.19,50.34,50.69,1255585.0
2025-03-24,50.85,51.28,49.97,50.78,1193352.0
2025-03-25,50.91,51.22,50.06,50.38,1190890.0
2025-03-26,50.46,51.36,50.3,51.31,1024514.0
2025-03-27,51.44,52.23,51.15,52.06,943404.0
2025-03-28,51.98,52.19,51.18,51.46,960548.0
2025-03-31,51.24,52.25,51.06,52.07,1011134.0
2025-04-01,52.07,52.48,51.79,52.4,890982.0
2025-04-02,51.86,52.36,51.58,52.31,1032869.0
2025-04-03,50.15,51.16,50.04,50.5,1077089.0
2025-04-04,49.91,50.1,48.51,48.6,1385472.0
2025-04-07,47.11,48.96,46.14,47.17,2141998.0
2025-04-08,47.88,48.14,44.35,44.94,2458519.0
2025-04-09,44.65,47.13,43.51,46.68,5257972.0
2025-04-10,46.31,46.68,44.75,45.96,2333222.0
2025-04-11,45.8,48.48,45.54,48.09,1807731.0
2025-04-14,48.69,48.93,48.15,48.8,999787.0
2025-04-15,48.44,48.85,47.54,47.6,693378.0
2025-04-16,48.08,48.09,46.8,47.07,544448.0
2025-04-17,47.06,47.82,46.93,47.38,3939683.0
2025-04-21,46.99,47.4,46.71,47.3,1504060.0
2025-04-22,47.87,48.71,47.47,48.37,1371653.0
2025-04-23,48.64,49.69,48.12,48.5,1223396.0
2025-04-24,48.91,50.69,48.32,50.52,1227906.0
2025-04-25,50.38,50.82,50.06,50.56,1112398.0
2025-04-28,50.49,50.95,49.82,50.51,907791.0
2025-04-29,50.68,52.65,50.67,52.39,1593051.0
2025-04-30,52.21,52.67,51.35,51.94,1096920.0
2025-05-01,51.41,51.85,51.14,51.22,1133408.0
2025-05-02,51.84,52.04,51.13,51.66,1383605.0
2025-05-05,51.42,52.1,51.19,51.85,1400961.0
2025-05-06,53.29,53.99,51.61,51.68,2393550.0
2025-05-07,52.6,52.6,50.65,50.66,1256785.0
2025-05-08,51.18,52.15,50.88,51.78,800457.0
2025-05-09,51.49,52.23,51.45,52.13,944006.0
2025-05-12,53.69,54.09,52.52,53.23,1888582.0
2025-05-13,53.38,53.67,52.51,52.79,1398828.0
2025-05-14,53.4,53.4,52.52,52.9,1702754.0
2025-05-15,52.91,53.41,52.35,53.37,866041.0
2025-05-16,53.13,53.79,53.12,53.77,881536.0
2025-05-19,53.23,54.4,53.04,54.33,1299128.0
2025-05-20,54.07,54.48,53.77,54.33,1762697.0
2025-05-21,53.94,54.39,53.55,53.83,2359021.0
2025-05-22,53.76,53.76,52.3,53.32,3003343.0
2025-05-23,52.86,52.98,51.64,51.76,1917757.0
2025-05-27,52.16,53.42,52.0,53.36,1411906.0
2025-05-28,53.31,53.49,52.74,52.85,1539172.0
2025-05-29,53.06,53.58,52.87,53.55,1156535.0
2025-05-30,53.3,53.94,52.94,53.58,1138902.0
2025-06-02,52.91,53.24,51.68,52.15,1175886.0
2025-06-03,51.96,53.55,51.74,53.46,1257250.0
2025-06-04,53.46,53.85,53.16,53.24,967169.0
2025-06-05,53.46,53.77,52.9,53.49,856019.0
2025-06-06,53.84,54.22,53.4,53.73,570947.0
2025-06-09,53.49,54.56,53.08,54.23,996118.0
2025-06-10,54.44,55.36,54.17,55.02,1150757.0
2025-06-11,54.81,54.98,54.35,54.93,1315765.0
2025-06-12,54.62,55.39,54.46,55.15,780539.0
2025-06-13,54.52,54.91,54.08,54.37,704032.0
2025-06-16,55.07,56.13,54.64,56.0,1068017.0
2025-06-17,55.71,55.91,55.2,55.31,1164172.0
2025-06-18,55.22,56.56,54.92,55.83,1094356.0
2025-06-20,55.95,56.5,55.52,56.23,1911769.0
2025-06-23,56.04,56.88,55.79,56.68,901717.0
2025-06-24,56.95,57.19,56.49,56.98,1128164.0
2025-06-25,56.43,56.91,55.98,56.75,1012143.0
2025-06-26,57.1,57.65,56.87,56.99,1303333.0
2025-06-27,57.21,57.21,56.25,56.41,1084297.0
