date,open,high,low,close,volume
2025-02-26,35.94,36.26,35.01,35.26,4237281.0
2025-02-27,35.05,35.56,34.75,35.1,2386933.0
2025-02-28,34.95,35.17,34.0,34.51,2770562.0
2025-03-03,34.87,35.25,34.3,34.86,2441430.0
2025-03-04,34.87,35.31,34.59,34.79,2724671.0
2025-03-05,34.85,35.45,34.76,35.16,1662997.0
2025-03-06,35.25,35.47,34.72,35.44,1595473.0
2025-03-07,35.34,36.64,35.06,36.57,2944950.0
2025-03-10,36.69,37.74,36.36,36.56,3393539.0
2025-03-11,36.44,36.57,35.68,35.85,2048397.0
2025-03-12,35.49,35.77,34.21,34.41,4111887.0
2025-03-13,34.22,34.84,34.05,34.55,3272428.0
2025-03-14,34.63,35.02,34.21,34.59,1773922.0
2025-03-17,34.42,35.03,34.4,34.85,2167176.0
2025-03-18,34.9,34.93,34.41,34.51,2036941.0
2025-03-19,34.38,34.55,33.84,34.09,3303389.0
2025-03-20,34.08,34.16,33.37,33.44,3327694.0
2025-03-21,33.22,33.64,33.0,33.19,3556660.0
2025-03-24,33.3,33.88,33.3,33.6,2197322.0
2025-03-25,33.76,33.85,32.8,32.94,1894459.0
2025-03-26,32.96,33.53,32.8,33.36,1547142.0
2025-03-27,33.68,33.91,33.31,33.7,1588771.0
2025-03-28,33.6,34.01,33.48,33.75,1484138.0
2025-03-31,33.63,34.52,33.63,34.23,1820849.0
2025-04-01,34.11,34.29,33.8,34.02,1805576.0
2025-04-02,33.72,33.83,33.42,33.65,1314251.0
2025-04-03,33.3,33.6,31.29,31.35,3854627.0
2025-04-04,30.73,31.19,28.69,28.79,3908969.0
2025-04-07,28.35,29.31,27.12,28.64,5223120.0
2025-04-08,29.37,29.53,27.51,27.97,4188576.0
2025-04-09,27.3,30.82,26.25,30.75,8240793.0
2025-04-10,30.09,30.25,27.61,28.14,4376664.0
2025-04-11,28.26,28.26,26.78,27.84,4625054.0
2025-04-14,28.38,28.7,28.06,28.38,2420109.0
2025-04-15,28.29,28.5,27.52,27.8,2248673.0
2025-04-16,27.87,28.59,27.56,27.82,3812977.0
2025-04-17,27.97,29.1,27.92,28.89,3577108.0
2025-04-21,28.75,28.81,28.27,28.54,2610257.0
2025-04-22,28.89,29.14,28.5,28.62,2696974.0
2025-04-23,29.24,30.3,29.17,29.6,2775728.0
2025-04-24,29.72,30.48,29.49,30.41,2118162.0
2025-04-25,30.22,30.43,29.96,30.22,1981024.0
2025-04-28,30.31,30.82,30.09,30.53,2642360.0
2025-04-29,30.52,31.35,30.41,30.98,2190992.0
2025-04-30,31.11,31.38,30.63,31.17,2946985.0
2025-05-01,32.15,32.6,30.52,30.67,4748330.0
2025-05-02,31.06,31.25,30.23,30.71,2441266.0
2025-05-05,30.32,31.08,30.18,30.43,2323524.0
2025-05-06,30.31,30.51,29.86,29.93,1905350.0
2025-05-07,29.99,30.9,29.86,30.72,2014027.0
2025-05-08,30.9,32.07,30.81,31.2,2594085.0
2025-05-09,31.29,31.49,30.85,30.9,1505750.0
2025-05-12,31.56,32.68,31.56,31.88,4318598.0
2025-05-13,31.64,31.66,30.91,31.15,3639892.0
2025-05-14,30.96,31.03,30.23,30.32,1924082.0
2025-05-15,30.36,31.07,30.04,31.04,1714015.0
2025-05-16,31.07,31.7,30.91,31.66,1829887.0
2025-05-19,31.23,31.63,31.03,31.47,1736324.0
2025-05-20,31.3,31.62,31.25,31.46,1175955.0
2025-05-21,31.48,31.5,30.4,30.43,1738224.0
2025-05-22,30.16,30.52,30.07,30.27,1694922.0
2025-05-23,29.85,30.23,29.72,30.12,1249301.0
2025-05-27,30.76,30.95,30.4,30.87,1671606.0
2025-05-28,30.93,31.04,30.48,30.58,1536797.0
2025-05-29,30.66,30.79,30.1,30.7,1846364.0
2025-05-30,30.36,30.69,29.93,30.5,1989560.0
2025-06-02,30.34,30.49,29.3,29.55,2418586.0
2025-06-03,29.31,30.14,29.15,30.09,1858498.0
2025-06-04,30.11,30.23,29.68,29.97,2335419.0
2025-06-05,30.13,30.5,29.68,30.15,2685153.0
2025-06-06,30.52,30.71,30.01,30.26,1491088.0
2025-06-09,30.42,31.19,30.18,30.85,1812207.0
2025-06-10,31.19,31.75,30.97,31.72,3040269.0
2025-06-11,31.72,32.04,31.14,31.4,2662803.0
2025-06-12,31.24,31.65,31.11,31.36,1384634.0
2025-06-13,30.95,31.33,30.53,30.62,1784009.0
2025-06-16,30.75,30.98,30.33,30.82,1860035.0
2025-06-17,30.46,30.71,29.84,29.92,2143794.0
2025-06-18,29.87,30.1,29.54,29.8,2019947.0
2025-06-20,29.93,30.19,29.78,29.99,2026317.0
2025-06-23,29.78,30.1,29.31,29.99,1860666.0
2025-06-24,30.12,30.63,29.96,30.59,2133567.0
2025-06-25,30.58,30.8,30.36,30.61,2090097.0
2025-06-26,30.66,30.84,30.37,30.5,1855704.0
2025-06-27,30.6,30.64,30.2,30.39,1950234.0
2025-06-30,30.45,30.54,30.12,30.28,1676901.0
2025-07-01,30.06,31.76,30.06,31.23,2511586.0
2025-07-02,31.42,31.44,30.65,31.13,1852553.0
2025-07-03,31.1,31.22,30.88,31.01,898600.0
2025-07-07,30.87,31.0,29.57,29.69,3449101.0
2025-07-08,29.69,30.93,29.69,30.66,4362697.0
2025-07-09,30.96,31.15,29.68,29.81,5040904.0
2025-07-10,29.73,30.72,29.37,29.7,4515951.0
2025-07-11,29.26,29.52,28.5,28.7,4705089.0
2025-07-14,28.54,28.93,28.4,28.53,4637818.0
2025-07-15,28.71,28.9,28.15,28.25,2317811.0
2025-07-16,28.41,28.48,28.11,28.37,3155007.0
2025-07-17,28.35,28.42,27.63,27.89,3797189.0
2025-07-18,28.05,28.23,27.61,27.77,2429342.0
2025-07-21,28.0,28.05,27.37,27.37,2710511.0
2025-07-22,27.53,28.18,27.36,27.51,4745177.0
2025-07-23,28.09,28.71,27.92,28.56,4360584.0
2025-07-24,28.31,29.15,28.27,28.77,3257716.0
2025-07-25,28.76,29.31,28.69,29.22,2579608.0
2025-07-28,29.04,29.35,28.48,28.52,4634323.0
2025-07-29,28.37,29.0,28.32,28.84,4856431.0
2025-07-30,28.83,28.94,27.9,28.05,5064507.0
2025-07-31,23.76,24.16,21.47,21.76,33316978.0
2025-08-01,21.51,22.36,21.33,21.96,16256833.0
2025-08-04,21.83,22.76,21.8,22.44,7866224.0
2025-08-05,22.6,23.23,22.44,22.84,8420933.0
2025-08-06,22.93,22.98,22.28,22.5,7288212.0
2025-08-07,22.9,23.66,22.8,23.54,9206259.0
2025-08-08,23.53,23.86,23.28,23.69,7489438.0
2025-08-11,23.56,23.84,23.28,23.46,5090323.0
2025-08-12,23.67,24.07,23.46,23.98,3478127.0
2025-08-13,24.08,24.39,23.9,24.11,6053894.0
2025-08-14,23.98,24.49,23.71,24.45,2453801.0
2025-08-15,24.67,24.85,24.03,24.18,4704520.0
2025-08-18,24.2,24.41,23.45,23.61,5259365.0
2025-08-19,23.72,24.48,23.68,24.33,2555764.0
2025-08-20,24.39,24.89,24.22,24.27,3757915.0
2025-08-21,24.12,24.3,23.82,23.85,4383321.0
2025-08-22,24.1,24.61,23.88,24.54,4680476.0
2025-08-25,24.51,24.62,24.29,24.56,3129721.0
2025-08-26,24.51,24.64,24.33,24.5,2521208.0
2025-08-27,24.46,24.7,24.31,24.53,2535127.0
2025-08-28,24.54,24.54,24.15,24.4,2741977.0
2025-08-29,24.25,24.72,24.22,24.69,2114130.0
2025-09-02,24.41,24.6,23.8,24.17,5334013.0
2025-09-03,23.99,24.28,23.36,23.54,5031671.0
2025-09-04,23.54,23.73,23.11,23.58,3814965.0
2025-09-05,23.78,24.59,23.6,24.42,4864123.0
2025-09-08,24.25,24.36,23.78,24.09,3688263.0
2025-09-09,24.09,24.58,24.02,24.45,2912714.0
2025-09-10,24.42,24.63,23.97,23.98,2841927.0
2025-09-11,23.94,24.52,23.9,24.49,2804940.0
2025-09-12,24.32,24.42,23.91,23.99,4433850.0
2025-09-15,24.01,24.18,23.58,23.8,5201308.0
2025-09-16,23.85,24.09,23.77,23.87,4045100.0
2025-09-17,23.93,24.11,23.1,23.2,3315080.0
2025-09-18,23.47,23.81,23.34,23.69,2032104.0
2025-09-19,23.71,23.75,23.02,23.02,4141310.0
2025-09-22,23.0,23.06,22.8,22.81,2834995.0
2025-09-23,22.81,23.16,22.74,22.86,3246076.0
2025-09-24,22.73,22.91,22.52,22.56,4000296.0
2025-09-25,22.34,22.43,21.59,21.71,5267773.0
2025-09-26,21.75,22.05,21.68,21.98,8248159.0
2025-09-29,22.0,22.59,21.79,22.38,4516765.0
2025-09-30,22.35,22.86,22.07,22.77,3837369.0
2025-10-01,22.95,23.45,22.75,23.36,4105441.0
2025-10-02,23.19,23.63,23.01,23.23,2693048.0
2025-10-03,23.37,24.27,23.26,23.86,4356155.0
2025-10-06,23.9,23.92,23.11,23.15,4153570.0
2025-10-07,23.27,23.28,22.88,22.9,3272081.0
2025-10-08,22.71,22.92,22.55,22.75,3027029.0
2025-10-09,22.94,23.04,22.42,22.51,3362077.0
2025-10-10,22.65,22.83,21.63,21.95,3939421.0
2025-10-13,22.04,22.39,21.94,22.11,2758006.0
2025-10-14,21.99,22.87,21.88,22.82,4289949.0
2025-10-15,22.77,23.3,22.6,22.75,2697929.0
2025-10-16,22.59,23.32,22.54,22.97,3848941.0
2025-10-17,22.93,23.09,22.57,23.09,2399746.0
2025-10-20,23.24,23.6,23.11,23.13,3088836.0
2025-10-21,23.03,23.14,22.57,22.75,4583303.0
2025-10-22,22.89,23.49,22.84,22.93,2884540.0
2025-10-23,22.97,23.11,22.53,22.99,3905002.0
2025-10-24,23.24,23.28,22.94,23.02,2221890.0
2025-10-27,23.26,23.35,23.01,23.17,4412005.0
2025-10-28,23.04,23.21,22.77,22.86,4041516.0
2025-10-29,22.74,22.92,22.34,22.42,4891685.0
2025-10-30,18.95,19.81,18.42,19.16,18571726.0
2025-10-31,18.81,18.95,18.44,18.47,8513203.0
2025-11-03,18.3,18.4,18.04,18.21,8045507.0
2025-11-04,18.18,18.32,17.74,17.94,8437073.0
2025-11-05,17.87,18.08,17.46,17.95,7830572.0
2025-11-06,17.94,18.17,17.51,17.98,7027105.0
2025-11-07,17.95,18.12,17.78,18.0,5095952.0
2025-11-10,17.98,18.0,17.57,17.75,5667873.0
2025-11-11,17.83,18.31,17.7,18.25,9471583.0
2025-11-12,18.3,18.92,18.27,18.7,9484165.0
2025-11-13,18.63,18.92,18.52,18.7,7465138.0
2025-11-14,18.6,18.69,18.3,18.47,5432553.0
2025-11-17,18.38,18.47,17.75,17.77,5289418.0
2025-11-18,17.69,18.22,17.4,18.15,7213642.0
2025-11-19,18.14,18.17,17.53,17.69,5484973.0
2025-11-20,17.66,17.86,17.4,17.42,6083264.0
2025-11-21,17.58,18.61,17.55,18.31,5658822.0
2025-11-24,18.31,18.46,18.1,18.18,4905815.0
2025-11-25,18.34,18.72,18.2,18.66,4197644.0
2025-11-26,18.59,18.95,18.53,18.91,5169311.0
2025-11-28,18.72,18.84,18.61,18.74,2685800.0
2025-12-01,18.62,19.2,18.54,19.08,7243896.0
2025-12-02,18.99,18.99,18.59,18.84,6202786.0
