date,open,high,low,close,volume
2025-02-26,183.36,183.97,180.72,182.14,772432.8376858678
2025-02-27,181.67,181.79,179.12,179.4,1022206.6724978132
2025-02-28,180.19,181.59,177.38,180.49,1168470.5735349243
2025-03-03,181.27,184.0,180.4,182.83,814050.9808821692
2025-03-04,183.27,184.13,179.29,179.48,813186.3051355741
2025-03-05,178.71,180.96,177.91,179.36,1309222.791453205
2025-03-06,179.31,180.92,178.09,180.34,1303824.8156941147
2025-03-07,179.06,184.49,178.49,183.7,1095356.7412220417
2025-03-10,182.86,188.34,181.53,182.03,1804309.6338872921
2025-03-11,181.37,181.92,178.71,180.0,993653.6298887917
2025-03-12,180.0,181.92,178.88,179.12,1141104.5857803323
2025-03-13,178.18,179.81,177.67,178.3,2020728.476821192
2025-03-14,178.04,181.24,177.64,180.85,685694.1147069848
2025-03-17,180.67,183.1,180.07,182.33,1051155.8165687867
2025-03-18,182.8,186.29,181.2,185.77,1476773.7098588028
2025-03-19,185.02,186.88,184.12,185.5,1513027.6146445083
2025-03-20,185.47,186.53,184.48,185.55,1079321.5044358366
2025-03-21,184.94,185.09,182.41,184.25,1963061.3519930025
2025-03-24,184.2,184.73,182.48,183.42,607144.8206922404
2025-03-25,184.01,185.53,181.25,182.53,820109.958765463
2025-03-26,182.59,183.84,181.32,182.47,723162.5640384855
2025-03-27,183.4,184.83,182.07,183.04,943145.0705985256
2025-03-28,182.96,183.27,181.07,182.07,1193022.6165188055
2025-03-31,181.66,183.91,180.16,183.32,1171796.8261901787
2025-04-01,183.07,183.27,180.5,180.9,1112494.0647257278
2025-04-02,179.88,181.51,178.9,181.2,1037023.616143946
2025-04-03,181.03,181.41,176.26,177.34,1917482.1941771836
2025-04-04,175.68,176.43,164.02,165.93,5500867.174809447
2025-04-07,163.89,167.72,159.56,164.13,2538696.7387229786
2025-04-08,168.18,169.5,158.24,160.72,1668598.0257403473
2025-04-09,158.47,168.02,154.48,167.54,1724389.603898538
2025-04-10,165.21,165.87,155.37,159.36,1928965.3879795077
2025-04-11,159.73,162.75,157.31,161.48,1011866.7999500188
2025-04-14,163.76,165.13,161.97,164.63,1001158.315631638
2025-04-15,165.18,165.49,161.23,161.69,2003090.091215794
2025-04-16,162.52,164.15,159.31,160.38,1196581.2820192426
2025-04-17,159.66,161.08,158.78,159.03,3495195.5516681243
2025-04-21,159.03,159.03,155.11,157.35,1389790.0787204797
2025-04-22,158.97,160.35,157.98,159.96,985814.0697238535
2025-04-23,162.12,166.49,160.9,161.92,1993732.3503686117
2025-04-24,162.17,164.0,160.86,163.62,828541.7968261902
2025-04-25,163.6,164.37,161.65,164.13,1111555.6666250157
2025-04-28,165.04,165.65,162.77,163.77,939441.4594527052
2025-04-29,164.06,165.79,163.31,165.21,653201.2995126827
2025-04-30,164.97,165.92,162.87,165.73,1545507.9345245531
2025-05-01,150.32,150.46,135.67,135.68,10907283.518680494
2025-05-02,137.06,137.06,132.94,135.07,9373036.361364488
2025-05-05,134.79,136.08,132.45,133.65,3082995.1268274398
2025-05-06,133.39,133.68,130.71,132.17,2776972.3853554917
2025-05-07,133.46,134.2,131.23,133.76,2446907.4097213545
2025-05-08,133.76,136.44,132.95,134.41,3204709.483943521
2025-05-09,134.85,136.32,133.55,133.83,3326857.4284643256
2025-05-12,137.12,140.4,136.53,140.32,3556712.482818943
2025-05-13,140.05,142.29,137.89,140.32,2752246.6575034363
2025-05-14,139.89,139.89,136.47,136.87,2477923.278770461
2025-05-15,137.11,138.0,135.27,137.87,3272155.4417093587
2025-05-16,137.85,140.6,137.3,140.38,1370043.7335999
2025-05-19,139.76,141.81,138.5,141.69,2484480.8196926154
2025-05-20,141.32,141.73,140.55,141.39,2192795.201799325
2025-05-21,140.85,141.45,138.4,138.56,1732195.426714982
2025-05-22,136.88,138.87,136.7,137.9,1504513.3075096838
2025-05-23,136.46,137.78,135.73,137.16,1234568.2868924153
2025-05-27,138.41,140.48,137.68,139.66,1341453.2050481068
2025-05-28,140.13,141.2,138.39,138.46,1145025.6153942272
2025-05-29,138.83,139.63,137.56,139.11,1527889.5414219666
2025-05-30,138.88,139.09,137.37,138.12,1396844.9331500686
2025-06-02,137.0,137.53,134.43,135.57,1996839.9350243658
2025-06-03,135.03,137.19,134.39,136.58,1179177.8083218792
2025-06-04,136.72,137.7,135.92,136.8,1703874.7969511433
2025-06-05,137.48,138.56,136.55,136.88,1600852.1804323378
2025-06-06,137.58,139.32,137.32,138.81,1264409.5964013494
2025-06-09,139.24,139.8,137.73,138.06,2419880.0449831313
2025-06-10,138.78,139.8,137.52,139.56,2032550.293639885
2025-06-11,139.65,140.74,137.58,138.23,861158.3156316382
2025-06-12,137.98,140.24,137.41,139.62,959468.949144071
2025-06-13,138.48,141.12,137.55,137.82,1593456.2039235285
2025-06-16,137.95,138.8,136.73,137.73,1499986.255154317
2025-06-17,137.61,137.61,135.9,136.0,2014518.3056353866
2025-06-18,135.81,136.53,134.79,134.92,1260269.8987879546
2025-06-20,135.5,136.02,134.51,134.79,1745176.8086967387
2025-06-23,134.58,136.56,134.05,135.83,1632534.0497313507
2025-06-24,136.33,137.6,135.41,137.31,1274015.994002249
2025-06-25,136.92,137.76,136.0,136.77,1376496.313882294
2025-06-26,136.64,136.75,135.16,136.03,1882706.4850680993
2025-06-27,136.36,137.87,135.88,136.74,1896341.3719855053
2025-06-30,136.54,138.18,136.12,137.85,1575098.0882169185
2025-07-01,137.82,143.35,137.11,142.19,1971995.5016868673
2025-07-02,142.08,142.52,140.52,141.87,2429051.605647882
2025-07-03,142.6,142.69,140.79,140.98,747498.4380857178
2025-07-07,141.08,142.29,137.92,138.41,1781327.0023741096
2025-07-08,138.29,140.57,138.05,139.76,1060282.3941022116
2025-07-09,140.05,140.56,138.47,140.45,1545589.1540672248
2025-07-10,140.52,143.86,139.76,142.05,1824793.202549044
2025-07-11,141.03,141.24,139.15,140.83,1757778.3331250781
2025-07-14,140.02,141.89,138.11,141.73,5169271.523178807
2025-07-15,141.72,144.59,140.9,142.7,4812966.387604648
2025-07-16,142.7,143.34,140.82,142.67,2922459.0778458077
2025-07-17,142.67,144.89,141.73,144.77,3026578.782956391
2025-07-18,145.25,145.33,142.42,143.13,2604663.2512807697
2025-07-21,143.13,143.72,140.3,140.32,2223577.408471823
2025-07-22,141.0,145.36,140.92,145.08,1150717.2310383606
2025-07-23,146.94,147.56,144.17,146.12,1738339.3727352242
2025-07-24,145.88,148.34,145.12,146.96,1085240.53479945
2025-07-25,147.54,148.79,146.79,148.31,824352.1179557666
2025-07-28,147.97,148.41,146.31,146.41,1266192.6777458452
2025-07-29,146.16,146.88,145.4,145.96,732396.601274522
2025-07-30,145.84,146.17,144.32,145.29,1139259.0278645507
2025-07-31,144.45,145.86,142.65,142.65,1871803.0738473071
2025-08-01,141.95,142.01,139.64,141.15,3902782.706485068
2025-08-04,141.09,143.68,141.09,143.17,1332289.1415719106
2025-08-05,143.17,143.8,140.94,141.57,2243814.819442709
2025-08-06,141.56,141.97,137.81,137.98,3165016.868674247
2025-08-07,149.94,152.15,147.42,150.2,3427984.505810321
2025-08-08,149.55,155.16,149.55,154.86,2263197.5509184054
2025-08-11,154.9,155.59,152.47,154.06,1597868.2993877295
2025-08-12,154.86,156.05,153.97,156.03,2221864.3008871675
2025-08-13,156.23,157.07,155.21,156.83,1693689.8663001375
2025-08-14,156.34,156.51,154.78,156.06,1210969.6363863552
2025-08-15,156.86,157.65,155.77,156.81,1249357.7408471822
2025-08-18,156.71,158.0,156.02,156.06,941455.7041109584
2025-08-19,155.91,158.67,155.47,158.48,1207588.4043483692
2025-08-20,158.51,160.24,158.03,159.42,1876731.2257903286
2025-08-21,158.83,159.14,157.15,157.36,682092.9651380732
2025-08-22,158.32,160.23,157.84,159.79,961971.7605897788
2025-08-25,159.5,159.64,155.28,155.78,691968.0119955017
2025-08-26,155.32,156.24,154.86,155.31,900096.2139197801
2025-08-27,154.97,156.58,154.97,156.38,690531.050855929
2025-08-28,156.3,156.3,152.65,153.06,945450.4560789703
2025-08-29,153.47,154.49,152.86,154.44,722652.7552167936
2025-09-02,154.25,155.25,150.48,150.58,975691.6156441334
2025-09-03,149.3,151.75,147.03,151.74,1629436.4613270024
2025-09-04,151.36,153.34,149.9,153.07,763714.8569286517
2025-09-05,152.86,154.44,152.72,153.97,635266.7749593902
2025-09-08,152.84,153.57,150.3,153.32,1804528.3018867923
2025-09-09,152.92,153.91,152.2,152.45,771661.8767962015
2025-09-10,151.46,152.02,149.62,150.8,986482.5690366112
2025-09-11,151.18,153.11,150.58,152.51,689901.2870173685
2025-09-12,151.98,151.98,149.53,149.53,538976.6337623391
2025-09-15,149.77,151.24,148.44,148.65,807211.0458578033
2025-09-16,148.46,150.49,148.18,149.02,600958.3906035237
2025-09-17,149.5,152.07,149.42,150.11,598775.4592027989
2025-09-18,150.3,151.29,149.68,150.75,554410.8459327752
2025-09-19,150.59,151.14,148.54,149.69,1253573.659877546
2025-09-22,149.1,149.88,147.94,149.3,646571.2857678371
2025-09-23,149.1,150.58,148.7,149.27,675640.3848556791
2025-09-24,148.7,149.82,148.07,148.9,507688.36686242657
2025-09-25,148.18,148.54,142.54,144.53,1117625.8902911409
2025-09-26,144.88,147.83,144.7,147.74,780259.9025365488
2025-09-29,147.74,147.74,146.06,147.26,655791.5781581907
2025-09-30,147.18,149.85,146.41,149.79,854062.2266650005
2025-10-01,150.3,153.37,149.19,152.81,1106470.0737223541
2025-10-02,151.3,153.4,151.21,153.34,739382.7314756965
2025-10-03,153.47,156.32,153.22,154.95,490416.0939647632
2025-10-06,155.19,155.19,152.61,153.65,546936.1489441459
2025-10-07,154.1,154.95,153.27,154.08,401838.0607272273
2025-10-08,154.07,155.34,153.54,155.2,683190.0537298513
2025-10-09,155.36,155.8,150.5,151.32,798889.1665625391
2025-10-10,151.58,152.08,148.94,149.3,542752.7177308509
2025-10-13,149.56,151.46,148.86,149.38,481770.58603023866
2025-10-14,148.46,151.09,148.46,150.74,699696.3638635512
2025-10-15,150.13,151.71,148.83,149.47,582109.2090466075
2025-10-16,146.3,148.35,143.18,148.27,2427136.07397226
2025-10-17,148.29,151.67,147.69,151.34,1333252.5303011371
2025-10-20,151.48,154.8,151.48,152.86,1270396.1014619516
2025-10-21,153.69,154.19,150.11,151.28,1613105.0855929025
2025-10-22,151.08,152.19,149.96,150.54,1582990.1287017367
2025-10-23,150.92,151.18,148.74,149.28,1207043.6086467574
2025-10-24,150.4,150.88,148.62,148.72,1088535.5491690615
2025-10-27,148.86,150.14,148.07,149.69,2190902.161689366
2025-10-28,149.73,149.74,147.38,147.42,763331.2507809572
2025-10-29,146.72,146.72,144.92,145.27,1020614.7694614519
2025-10-30,144.87,145.49,143.09,143.56,1688138.198175684
2025-10-31,142.81,143.5,140.53,143.02,1530173.6848681744
2025-11-03,142.92,142.92,140.08,141.89,2397677.1210795953
2025-11-04,141.73,144.21,140.05,143.29,2515604.148444333
2025-11-05,142.13,142.89,139.36,141.16,3337858.3031363236
2025-11-06,131.65,142.17,129.88,141.97,5264642.009246533
2025-11-07,141.62,143.3,139.82,142.33,1936268.8991628138
2025-11-10,141.51,145.65,140.79,145.37,1602830.1886792453
2025-11-11,146.21,151.31,145.96,151.27,1867640.8846682494
2025-11-12,152.15,154.15,151.3,153.75,1867904.5357990754
2025-11-13,153.41,156.65,152.95,154.49,1712841.4344620768
2025-11-14,154.49,155.66,153.47,154.49,2484148.444333375
2025-11-17,153.86,156.28,152.19,152.84,2179948.7692115456
2025-11-18,153.03,155.37,151.86,153.92,1223050.1062101712
2025-11-19,153.9,154.66,150.86,153.03,1038255.6541297013
2025-11-20,151.57,153.69,150.49,151.72,1822151.6931150819
2025-11-21,151.99,157.15,151.76,154.23,2220221.1670623515
2025-11-24,154.35,154.91,152.68,152.83,994162.1891790578
2025-11-25,153.63,156.51,153.03,156.45,1360089.9662626514
2025-11-26,156.12,156.68,154.72,155.18,665165.5629139072
2025-11-28,154.92,155.85,154.54,155.27,280156.1914282144
2025-12-01,154.75,155.87,153.23,153.51,713861.0521054604
2025-12-02,154.15,154.15,151.61,152.43,842100.4623266275
2025-12-03,153.14,155.03,152.63,154.91,618473.0725977758
2025-12-04,155.11,155.34,153.73,155.07,696513.8073222542
2025-12-05,155.03,156.95,155.0,155.23,1008228.1644383356
2025-12-08,153.66,154.58,151.59,151.66,832075.4716981131
2025-12-09,151.98,153.11,150.87,151.11,791165.8128201924
2025-12-10,151.6,159.81,151.14,158.78,1803081.344495814
2025-12-11,159.05,160.47,158.37,160.4,970755.9665125577
2025-12-12,160.44,162.26,158.78,160.77,1648135.6991128325
2025-12-15,160.77,162.01,158.87,160.13,1264163.4387104835
2025-12-16,160.24,160.71,156.15,157.17,815464.2009246532
2025-12-17,156.88,158.84,156.02,156.35,819695.1143321254
2025-12-18,156.14,157.64,155.47,155.82,898925.4029738847
2025-12-19,155.5,157.5,155.33,156.53,1446677.4959390229
2025-12-22,156.92,158.54,156.75,157.45,755485.4429588903
2025-12-23,157.15,157.15,155.91,156.59,598216.9186555041
2025-12-24,156.86,157.43,156.26,156.95,212973.88479320254
2025-12-26,156.92,157.85,155.95,157.12,415365.48794202175
2025-12-29,157.03,157.25,155.71,156.19,477894.5395476696
2025-12-30,155.91,157.0,155.71,156.57,396847.43221292016
2025-12-31,156.48,156.89,155.29,155.31,394443.3337498438
2026-01-02,155.49,156.69,154.04,156.01,629017.8682993877
2026-01-05,155.35,160.69,154.94,159.23,1202157.9407722105
2026-01-06,158.68,164.96,158.6,164.35,1136110.2086717482
2026-01-07,164.38,165.56,161.68,162.23,1279698.8629264026
2026-01-08,161.09,165.65,161.09,164.21,757181.0571035862
2026-01-09,164.84,165.17,161.18,162.26,752825.1905535423
2026-01-12,162.3,162.92,161.14,162.25,716260.1524428339
2026-01-13,162.19,162.98,158.81,161.28,545185.5554167187
2026-01-14,161.51,166.17,160.71,166.0,703666.1252030488
2026-01-15,165.29,167.48,164.52,166.74,1371661.8767962013
2026-01-16,165.73,167.36,165.38,165.75,835224.2908909159
2026-01-20,163.89,165.13,162.56,162.77,829056.6037735848
2026-01-21,164.12,166.09,163.36,165.01,892956.3913532424
2026-01-22,164.9,166.14,163.49,164.89,1345323.0038735473
2026-01-23,164.46,164.48,156.56,161.49,2150918.4055979005
2026-01-26,162.24,164.45,161.86,162.8,611659.3777333499
2026-01-27,161.45,164.21,161.0,162.78,1143188.8041984255
2026-01-28,163.3,166.46,160.36,161.6,1008513.0576033987
2026-01-29,160.43,161.71,159.26,160.93,718506.8099462701
