date,open,high,low,close,volume
2025-02-26,33.0,33.13,32.66,32.96,2299461.0
2025-02-27,32.7,33.13,32.43,33.07,2010205.0
2025-02-28,33.07,33.48,32.92,33.11,1994058.0
2025-03-03,32.95,33.49,32.51,33.04,1907768.0
2025-03-04,33.09,33.52,32.65,32.69,3065223.0
2025-03-05,35.3,36.19,34.73,35.99,3960595.0
2025-03-06,34.65,35.89,34.27,35.78,2656132.0
2025-03-07,35.65,37.32,35.42,36.93,3207756.0
2025-03-10,37.14,38.85,37.0,37.96,3497427.0
2025-03-11,37.94,37.96,35.61,36.03,1877645.0
2025-03-12,35.24,35.36,33.33,34.2,2590325.0
2025-03-13,34.27,35.02,34.27,34.75,1928317.0
2025-03-14,35.07,35.2,34.68,34.79,1529323.0
2025-03-17,35.09,36.22,35.01,35.77,1349021.0
2025-03-18,35.68,35.76,35.17,35.29,1186145.0
2025-03-19,35.05,35.33,34.62,34.86,1216646.0
2025-03-20,35.08,35.34,34.82,34.92,1138327.0
2025-03-21,34.71,35.31,34.58,34.65,1771572.0
2025-03-24,34.17,34.68,33.59,33.84,1449134.0
2025-03-25,33.96,34.19,33.64,33.7,1447494.0
2025-03-26,33.56,34.36,33.56,34.18,1507884.0
2025-03-27,34.13,34.85,34.06,34.49,935792.0
2025-03-28,34.59,35.02,34.13,34.42,1086244.0
2025-03-31,34.4,34.73,33.89,33.94,2007984.0
2025-04-01,33.89,34.15,33.1,33.5,1993829.0
2025-04-02,33.53,34.84,33.14,34.51,1784746.0
2025-04-03,34.68,34.94,32.73,32.91,2811584.0
2025-04-04,32.7,32.73,31.73,32.02,2320178.0
2025-04-07,31.71,34.54,31.44,32.76,5499042.0
2025-04-08,33.38,33.38,30.92,31.46,2399907.0
2025-04-09,31.3,34.46,31.21,34.12,2243496.0
2025-04-10,33.81,34.08,32.7,33.64,1679841.0
2025-04-11,33.64,34.44,33.13,34.31,1294724.0
2025-04-14,34.37,34.84,34.07,34.45,1085168.0
2025-04-15,34.19,34.25,33.31,33.44,949002.0
2025-04-16,33.54,33.73,32.86,33.02,933955.0
2025-04-17,33.28,33.87,33.08,33.79,903332.0
2025-04-21,33.41,34.27,33.03,34.19,1225654.0
2025-04-22,34.48,34.96,34.38,34.71,1115785.0
2025-04-23,35.0,35.35,34.16,34.58,952079.0
2025-04-24,34.53,34.85,34.13,34.61,974191.0
2025-04-25,34.42,34.66,33.51,33.96,1081281.0
2025-04-28,34.03,34.63,33.78,34.11,1460768.0
2025-04-29,33.85,34.39,33.68,34.34,822299.0
2025-04-30,34.44,34.85,34.15,34.84,811945.0
2025-05-01,34.74,34.74,34.03,34.16,1092169.0
2025-05-02,34.53,34.89,34.34,34.5,789749.0
2025-05-05,34.4,34.81,34.23,34.4,876628.0
2025-05-06,34.34,34.78,34.18,34.4,1010057.0
2025-05-07,34.46,34.58,33.91,34.46,872560.0
2025-05-08,34.39,35.16,34.33,34.77,1108196.0
2025-05-09,34.55,34.98,34.49,34.66,1056521.0
2025-05-12,35.25,35.91,34.82,35.28,1216847.0
2025-05-13,35.25,35.55,34.89,34.94,1661492.0
2025-05-14,34.8,34.99,34.34,34.83,1901630.0
2025-05-15,34.76,35.72,34.6,35.58,873086.0
2025-05-16,35.71,36.15,35.58,36.09,786927.0
2025-05-19,35.77,36.18,35.36,35.65,1106940.0
2025-05-20,35.69,36.11,35.31,35.38,848642.0
2025-05-21,35.42,35.44,34.69,34.71,1131306.0
2025-05-22,34.53,34.6,34.06,34.23,844710.0
2025-05-23,33.88,34.14,33.53,33.94,818143.0
2025-05-27,34.26,34.65,34.03,34.56,1119249.0
2025-05-28,34.42,34.66,33.81,33.86,1458384.0
2025-05-29,34.15,34.44,33.67,34.09,1774670.0
2025-05-30,33.97,34.14,33.32,33.34,1816829.0
2025-06-02,33.11,33.22,32.54,33.2,2075357.0
2025-06-03,32.87,33.42,32.54,33.21,2226303.0
2025-06-04,33.28,33.5,32.99,33.2,4463997.0
2025-06-05,27.43,28.4,27.03,27.25,15701998.0
2025-06-06,27.59,28.28,27.59,28.11,9318553.0
2025-06-09,28.18,28.32,26.93,27.66,6496482.0
2025-06-10,27.89,28.6,27.62,27.77,4018657.0
2025-06-11,27.76,27.99,27.43,27.5,4811678.0
2025-06-12,27.22,27.42,26.72,27.29,5900784.0
2025-06-13,27.11,27.16,26.32,26.44,4930065.0
2025-06-16,26.75,26.84,25.56,25.92,6659942.0
2025-06-17,25.9,26.16,25.53,25.81,4333902.0
2025-06-18,25.72,26.18,25.58,25.65,4229449.0
2025-06-20,25.75,26.23,25.63,25.68,4894685.0
2025-06-23,25.86,26.64,25.61,26.48,5413828.0
2025-06-24,26.57,26.68,26.27,26.29,3119978.0
2025-06-25,26.04,26.29,25.8,26.06,2070659.0
2025-06-26,26.05,26.34,25.98,26.19,4428687.0
2025-06-27,26.38,26.57,26.15,26.46,2265678.0
