date,open,high,low,close,volume
2025-02-26,87.19,88.16,86.18,86.34,2257767.0
2025-02-27,86.7,87.99,86.45,86.89,1618304.0
2025-02-28,87.2,88.95,87.06,88.95,2603356.0
2025-03-03,89.59,90.34,87.7,88.35,2139635.0
2025-03-04,87.44,87.87,84.3,85.54,2802953.0
2025-03-05,85.66,87.18,85.18,86.56,2279735.0
2025-03-06,85.53,86.05,84.04,84.69,2026673.0
2025-03-07,84.31,86.14,83.89,85.84,3846823.0
2025-03-10,83.92,86.58,83.36,84.24,2807215.0
2025-03-11,83.87,84.19,80.79,81.05,4078694.0
2025-03-12,82.0,82.07,79.24,80.76,2966581.0
2025-03-13,81.08,81.08,79.25,79.66,2492746.0
2025-03-14,80.36,81.95,79.91,81.75,2496542.0
2025-03-17,81.69,83.23,81.43,82.42,2663155.0
2025-03-18,82.39,83.02,81.95,82.64,1857059.0
2025-03-19,82.8,84.44,82.19,83.9,1884222.0
2025-03-20,83.26,84.37,83.15,83.93,1595895.0
2025-03-21,83.62,84.14,82.67,83.55,2290958.0
2025-03-24,84.6,85.42,84.26,84.7,1252123.0
2025-03-25,85.15,85.95,84.59,85.25,1203152.0
2025-03-26,85.62,86.07,84.63,85.09,1220002.0
2025-03-27,84.94,85.22,83.86,84.48,1727038.0
2025-03-28,84.24,84.85,82.48,82.71,1337533.0
2025-03-31,81.81,84.31,81.34,83.87,1903888.0
2025-04-01,83.73,84.15,82.58,83.77,1614961.0
2025-04-02,83.01,84.55,82.56,84.22,1638073.0
2025-04-03,81.23,81.95,79.78,79.91,3074172.0
2025-04-04,77.04,78.73,72.93,73.31,3721644.0
2025-04-07,71.34,76.31,70.46,74.09,3993793.0
2025-04-08,76.96,77.66,72.13,73.5,2771899.0
2025-04-09,72.11,80.16,72.11,79.35,3828682.0
2025-04-10,77.63,78.52,74.63,76.61,2989490.0
2025-04-11,73.61,78.67,72.5,77.67,4031450.0
2025-04-14,78.02,79.05,76.92,77.52,2622607.0
2025-04-15,78.23,79.06,77.44,77.77,1824349.0
2025-04-16,77.68,77.84,75.21,75.73,2932207.0
2025-04-17,75.95,77.5,75.26,76.34,2633026.0
2025-04-21,75.39,75.73,73.55,74.04,1517704.0
2025-04-22,75.4,76.71,75.35,76.31,2017051.0
2025-04-23,77.91,79.68,77.48,77.73,1943516.0
2025-04-24,77.69,79.22,77.49,78.72,2629817.0
