date,open,high,low,close,volume
2025-02-26,43.9,44.43,43.29,43.51,2499917.0
2025-02-27,43.99,44.56,43.51,43.58,2390150.0
2025-02-28,43.44,44.68,42.97,44.59,2979041.0
2025-03-03,45.07,45.3,43.08,43.6,5108289.0
2025-03-04,43.0,43.6,41.61,42.86,5993677.0
2025-03-05,42.59,42.71,41.56,42.32,5357914.0
2025-03-06,41.77,42.23,41.36,41.9,4811397.0
2025-03-07,42.21,43.45,41.85,42.89,5969162.0
2025-03-10,42.7,42.91,40.5,41.16,5972724.0
2025-03-11,41.74,42.37,41.27,41.85,4872789.0
2025-03-12,41.88,43.14,41.85,42.48,3954038.0
2025-03-13,42.32,42.92,41.51,41.74,3195561.0
2025-03-14,42.22,42.97,41.91,42.84,2305858.0
2025-03-17,43.06,44.08,43.06,43.88,2522324.0
2025-03-18,44.0,44.26,43.37,43.7,2633647.0
2025-03-19,43.67,45.07,43.65,44.6,3852349.0
2025-03-20,44.62,45.0,44.08,44.69,2414585.0
2025-03-21,44.17,44.68,43.68,44.11,5188004.0
2025-03-24,44.8,45.18,44.43,44.6,4375435.0
2025-03-25,44.84,45.22,44.7,45.18,4588040.0
2025-03-26,45.25,45.36,43.84,44.02,3300891.0
2025-03-27,44.24,44.28,43.35,43.63,2213199.0
2025-03-28,43.57,43.76,42.74,43.08,2066183.0
2025-03-31,42.73,44.04,42.53,43.95,4485261.0
2025-04-01,43.77,44.82,43.53,44.8,3997004.0
2025-04-02,44.19,45.0,44.02,44.92,4099556.0
2025-04-03,42.45,42.61,40.38,40.86,6751372.0
2025-04-04,39.31,39.68,35.27,35.41,14391640.0
2025-04-07,34.64,37.28,33.6,35.71,11485049.0
2025-04-08,36.56,37.07,34.25,35.0,7878146.0
2025-04-09,34.63,39.38,34.06,38.75,10300750.0
2025-04-10,37.41,37.49,35.85,36.66,7531245.0
2025-04-11,36.87,38.11,36.01,37.93,4929975.0
2025-04-14,38.54,38.55,37.35,37.81,3189541.0
2025-04-15,37.78,38.52,37.73,38.16,2608836.0
2025-04-16,37.99,38.82,37.75,38.13,3477168.0
2025-04-17,38.77,39.48,38.64,38.91,2954545.0
2025-04-21,38.32,38.52,37.39,37.8,3303141.0
2025-04-22,37.88,38.76,37.23,38.36,5692966.0
2025-04-23,36.8,38.16,35.72,35.89,8455793.0
2025-04-24,36.25,36.45,35.5,36.38,5970688.0
2025-04-25,35.94,36.5,35.63,36.45,3865205.0
2025-04-28,36.5,36.68,35.93,36.21,3862412.0
2025-04-29,36.08,36.16,35.48,35.92,4455066.0
2025-04-30,35.43,35.53,34.56,35.4,5979718.0
2025-05-01,35.15,36.63,35.09,36.19,5575215.0
2025-05-02,36.74,37.15,36.18,37.1,4211396.0
2025-05-05,36.44,36.93,36.13,36.75,4202131.0
2025-05-06,36.8,36.9,36.22,36.4,5337916.0
2025-05-07,36.61,36.79,36.15,36.31,4373883.0
2025-05-08,36.66,37.35,36.19,36.25,10216338.0
