date,open,high,low,close,volume
2025-02-26,58.16,58.42,57.22,57.38,4383321.0
2025-02-27,57.34,58.82,56.96,58.8,6171262.0
2025-02-28,58.97,59.74,57.92,59.62,8823922.0
2025-03-03,59.75,59.92,59.01,59.87,6762860.0
2025-03-04,59.96,60.69,59.28,59.44,11136663.0
2025-03-05,59.43,60.26,59.38,59.82,6312563.0
2025-03-06,59.94,60.7,59.03,60.18,6682856.0
2025-03-07,60.45,63.11,60.27,61.09,12549581.0
2025-03-10,60.95,63.16,60.72,63.11,13495097.0
2025-03-11,62.8,63.33,61.22,61.51,10257323.0
2025-03-12,60.72,60.82,59.52,59.81,6774435.0
2025-03-13,59.99,60.76,59.79,60.28,5258083.0
2025-03-14,59.8,59.99,58.71,59.01,6768546.0
2025-03-17,59.16,60.13,58.36,59.99,5702053.0
2025-03-18,59.88,60.26,59.53,59.9,6805703.0
2025-03-19,59.86,60.55,59.46,60.08,5381106.0
2025-03-20,59.86,61.07,59.78,60.42,6759593.0
2025-03-21,60.23,61.34,59.84,61.07,6966545.0
2025-03-24,60.79,61.25,59.97,61.05,6913514.0
2025-03-25,61.21,61.49,59.18,59.19,6724272.0
2025-03-26,59.32,59.69,58.53,59.21,6524090.0
2025-03-27,59.18,59.56,58.77,58.9,4200151.0
2025-03-28,59.4,60.11,58.23,60.02,7123965.0
2025-03-31,59.8,61.64,59.37,60.99,6021060.0
2025-04-01,60.77,61.1,59.23,59.55,6461554.0
2025-04-02,59.81,60.24,59.15,59.6,5021415.0
2025-04-03,60.6,60.8,57.66,57.82,8111576.0
2025-04-04,56.82,57.17,54.72,55.3,9004050.0
2025-04-07,53.9,55.3,52.69,55.19,11143207.0
2025-04-08,55.17,55.77,52.16,53.07,10415644.0
2025-04-09,51.2,54.05,49.92,53.74,15634974.0
2025-04-10,53.33,53.42,48.82,50.46,15350166.0
2025-04-11,50.47,51.01,49.29,50.71,8010774.0
2025-04-14,51.53,51.6,50.55,51.34,8580249.0
2025-04-15,51.22,51.5,49.66,50.0,9466909.0
2025-04-16,50.1,50.4,48.84,49.36,7998256.0
2025-04-17,49.18,50.09,49.06,49.23,8707955.0
2025-04-21,49.35,49.67,48.16,48.94,6548990.0
2025-04-22,49.31,50.06,48.88,49.82,6521461.0
2025-04-23,47.63,49.33,47.54,48.53,16240332.0
2025-04-24,47.94,48.85,46.93,48.69,13488372.0
2025-04-25,48.87,48.95,46.96,47.9,10843692.0
2025-04-28,48.31,48.86,47.92,48.46,9875352.0
2025-04-29,48.33,49.48,48.15,49.22,11192222.0
2025-04-30,50.19,50.36,49.15,50.2,8210751.0
2025-05-01,49.61,50.18,48.69,49.61,10772626.0
2025-05-02,50.11,50.65,49.68,50.57,7705752.0
2025-05-05,50.47,50.6,49.34,50.06,6800573.0
2025-05-06,49.74,49.8,47.4,47.57,12395757.0
2025-05-07,47.78,48.2,47.28,47.62,10124914.0
2025-05-08,47.0,47.4,46.52,46.88,14865589.0
2025-05-09,46.9,47.12,46.32,46.45,10887693.0
2025-05-12,46.2,48.42,45.5,48.18,17851120.0
