date,open,high,low,close,volume
2025-02-26,25.85,25.91,25.1,25.36,3384807.0
2025-02-27,25.1,25.58,25.03,25.57,2464533.0
2025-02-28,25.83,26.07,25.43,25.54,2508721.0
2025-03-03,25.62,26.08,25.43,26.05,3076073.0
2025-03-04,26.12,26.68,25.44,25.47,3645333.0
2025-03-05,25.44,25.79,25.17,25.39,2687134.0
2025-03-06,25.59,26.06,25.49,25.98,2549305.0
2025-03-07,25.99,27.86,25.99,27.23,8446440.0
2025-03-10,27.64,28.52,27.47,27.62,6682571.0
2025-03-11,27.74,27.74,26.66,26.71,3235854.0
2025-03-12,26.35,26.53,25.77,25.91,4021246.0
2025-03-13,26.02,26.4,25.72,25.81,2521236.0
2025-03-14,25.65,25.9,25.51,25.65,2421658.0
2025-03-17,25.7,26.3,25.56,26.07,2701883.0
2025-03-18,26.18,26.4,25.96,26.0,2566534.0
2025-03-19,25.85,26.03,25.73,25.9,3008910.0
2025-03-20,25.93,26.02,25.66,25.9,3253238.0
2025-03-21,25.87,26.27,25.52,25.68,5885129.0
2025-03-24,25.64,25.85,25.47,25.73,3077124.0
2025-03-25,25.74,25.74,25.2,25.35,2953305.0
2025-03-26,25.35,26.06,25.35,25.92,3259796.0
2025-03-27,26.19,26.57,26.01,26.46,2856199.0
2025-03-28,26.72,26.77,26.37,26.55,3498525.0
2025-03-31,26.71,27.08,26.54,26.67,5348670.0
2025-04-01,26.88,26.88,26.26,26.6,3030016.0
2025-04-02,26.7,26.74,26.03,26.38,5570544.0
2025-04-03,27.0,27.65,26.2,26.78,8260437.0
2025-04-04,26.7,27.68,26.53,26.68,7908008.0
2025-04-07,26.34,26.94,25.96,25.99,6309209.0
2025-04-08,26.19,26.25,24.85,24.99,4821073.0
2025-04-09,24.72,25.91,24.51,25.69,4323975.0
2025-04-10,25.6,26.09,25.12,25.48,3549565.0
2025-04-11,25.46,26.08,25.31,25.98,3818504.0
2025-04-14,26.0,26.34,25.77,26.19,2920021.0
2025-04-15,26.14,26.29,25.49,25.55,2554194.0
2025-04-16,25.74,25.76,24.82,24.9,2428398.0
2025-04-17,24.88,25.4,24.86,25.33,2086443.0
2025-04-21,25.2,25.45,25.15,25.39,2279310.0
2025-04-22,25.41,25.78,25.23,25.48,1958739.0
2025-04-23,25.51,25.58,25.02,25.22,2937349.0
2025-04-24,25.26,25.27,24.81,24.92,2854532.0
2025-04-25,24.98,25.12,24.24,24.45,4238971.0
2025-04-28,24.19,24.32,24.02,24.08,4393189.0
2025-04-29,24.01,24.39,23.82,24.34,3042733.0
2025-04-30,24.58,24.8,24.33,24.71,3314128.0
2025-05-01,24.43,24.64,24.16,24.18,2916074.0
2025-05-02,24.25,24.3,23.67,23.86,3542058.0
2025-05-05,23.76,23.79,23.32,23.51,3499441.0
2025-05-06,23.42,23.57,23.28,23.35,2495562.0
2025-05-07,23.36,23.39,22.87,23.0,5273199.0
2025-05-08,22.95,23.37,22.78,23.22,6051706.0
2025-05-09,23.25,23.4,23.06,23.09,5520845.0
2025-05-12,23.16,23.47,22.96,23.31,6465009.0
2025-05-13,23.25,23.32,22.62,22.83,5146895.0
2025-05-14,22.75,22.81,22.38,22.45,4284995.0
2025-05-15,22.62,22.79,22.45,22.77,3230294.0
2025-05-16,22.79,22.99,22.66,22.98,5831220.0
2025-05-19,22.91,23.1,22.76,23.01,4723105.0
2025-05-20,23.04,23.37,22.99,23.09,4323466.0
2025-05-21,23.06,23.06,22.4,22.48,5368739.0
2025-05-22,22.39,22.41,21.98,22.31,7602024.0
2025-05-23,22.35,22.46,22.0,22.4,4667058.0
2025-05-27,22.58,22.93,22.48,22.9,4048745.0
2025-05-28,22.89,23.09,22.65,22.71,3266657.0
2025-05-29,22.62,22.92,22.44,22.67,4896878.0
2025-05-30,22.67,22.98,22.53,22.89,3340928.0
