date,open,high,low,close,volume
2025-02-26,67.81,68.34,66.09,66.1,2632257.0
2025-02-27,65.7,66.08,63.94,64.08,2273519.0
2025-02-28,64.03,64.86,63.68,64.8,3593987.0
2025-03-03,65.5,65.5,62.86,63.26,2326503.0
2025-03-04,62.15,63.16,60.17,62.07,3436071.0
2025-03-05,65.45,66.45,63.57,64.87,3682724.0
2025-03-06,64.43,65.56,64.06,65.37,2801235.0
2025-03-07,65.32,67.59,64.77,67.39,4209600.0
2025-03-10,66.1,68.62,66.09,67.05,3428624.0
2025-03-11,66.99,67.32,65.14,65.65,3266286.0
2025-03-12,66.22,66.54,65.29,65.43,2076187.0
2025-03-13,65.06,66.31,64.13,64.25,4073473.0
2025-03-14,65.47,66.78,65.15,66.53,2218185.0
2025-03-17,66.49,67.81,66.48,67.63,1624637.0
2025-03-18,67.37,67.42,66.68,67.3,1712014.0
2025-03-19,67.27,68.26,66.98,67.68,1920371.0
2025-03-20,66.93,67.53,65.75,66.43,1959608.0
2025-03-21,65.76,66.22,65.09,66.17,2497194.0
2025-03-24,67.17,68.05,66.85,67.96,1712580.0
2025-03-25,68.01,68.6,67.57,68.11,1508691.0
2025-03-26,68.2,68.49,66.66,66.97,1713935.0
2025-03-27,66.86,66.86,65.55,65.67,2072839.0
2025-03-28,65.63,65.86,63.26,63.33,2182702.0
2025-03-31,62.72,63.86,61.77,63.4,2168769.0
2025-04-01,63.24,64.08,62.28,63.54,2018625.0
2025-04-02,62.75,65.22,62.51,65.04,1669153.0
2025-04-03,63.0,63.81,60.59,60.72,3019840.0
2025-04-04,58.9,59.1,55.87,57.18,4031565.0
2025-04-07,56.36,59.48,54.22,56.83,3478541.0
2025-04-08,58.21,58.96,54.54,55.55,3701143.0
2025-04-09,55.29,61.31,54.79,60.77,5925475.0
2025-04-10,59.13,59.66,57.08,59.05,4614386.0
2025-04-11,58.62,59.8,57.79,59.26,4247541.0
2025-04-14,60.26,61.33,59.31,60.59,3263646.0
2025-04-15,60.59,61.27,60.07,60.47,2618714.0
2025-04-16,59.48,60.58,58.6,59.19,2225832.0
2025-04-17,59.74,60.4,59.24,59.9,2388017.0
2025-04-21,59.28,59.48,57.42,58.18,2943182.0
2025-04-22,58.17,59.76,58.17,59.47,1825288.0
2025-04-23,60.28,60.88,58.57,58.6,4640583.0
2025-04-24,59.2,60.57,59.0,60.31,2965264.0
2025-04-25,60.15,60.6,59.68,60.06,2042079.0
2025-04-28,60.21,61.21,59.77,60.49,1746779.0
2025-04-29,60.26,61.47,60.24,60.82,2989328.0
2025-04-30,60.6,62.67,60.08,62.54,4828192.0
2025-05-01,67.72,70.31,66.07,69.8,6576792.0
2025-05-02,70.0,71.75,69.34,71.53,3674988.0
2025-05-05,71.25,71.91,70.65,70.81,2734816.0
2025-05-06,69.85,70.74,69.61,70.19,1982549.0
2025-05-07,70.45,70.96,69.26,69.99,2895243.0
2025-05-08,70.71,71.78,70.34,70.5,3411562.0
2025-05-09,71.03,71.54,70.69,71.44,3978037.0
2025-05-12,74.05,74.4,72.84,73.44,3485580.0
2025-05-13,74.11,75.08,73.65,74.65,3737383.0
2025-05-14,74.24,74.85,73.24,73.36,2230669.0
2025-05-15,73.13,73.6,73.09,73.48,1992392.0
2025-05-16,74.11,75.65,73.76,75.62,4818207.0
2025-05-19,74.34,76.3,73.76,75.83,4094939.0
2025-05-20,75.85,76.63,74.45,74.95,2722345.0
2025-05-21,73.81,74.1,71.92,72.09,2748211.0
2025-05-22,71.98,72.31,71.32,71.77,2321696.0
2025-05-23,70.64,71.38,70.25,70.98,2556594.0
2025-05-27,72.17,72.35,70.89,72.33,1920557.0
2025-05-28,72.43,72.52,70.97,71.04,1539652.0
2025-05-29,71.63,71.65,70.76,71.41,1838838.0
2025-05-30,71.3,71.53,70.57,71.2,1817617.0
2025-06-02,70.71,70.85,69.31,70.34,2127034.0
2025-06-03,70.45,70.89,69.94,70.8,1658440.0
2025-06-04,71.27,71.91,70.99,71.39,1706515.0
2025-06-05,71.68,71.92,70.68,71.4,1744798.0
2025-06-06,71.75,71.94,70.68,71.04,2599887.0
2025-06-09,71.29,71.91,71.05,71.65,1825229.0
2025-06-10,72.0,72.27,71.45,71.75,2516591.0
2025-06-11,72.14,72.68,71.57,72.48,3020475.0
2025-06-12,72.29,72.81,71.95,72.48,2228710.0
2025-06-13,71.41,71.97,71.01,71.24,1803086.0
2025-06-16,71.55,71.77,70.49,71.04,2468427.0
2025-06-17,70.37,70.82,69.49,69.78,2659204.0
2025-06-18,69.83,70.6,69.54,69.86,1954185.0
2025-06-20,70.48,70.86,69.88,70.47,2527452.0
2025-06-23,70.4,71.85,70.05,71.78,1508162.0
2025-06-24,72.24,72.54,71.79,72.46,1748661.0
2025-06-25,72.45,72.69,72.0,72.43,1830105.0
2025-06-26,72.51,73.31,72.19,72.59,2228547.0
2025-06-27,73.25,74.27,73.02,73.67,2406984.0
2025-06-30,73.62,73.73,72.99,73.19,2255531.0
2025-07-01,72.6,74.88,72.31,74.3,2786448.0
2025-07-02,74.31,75.32,74.04,75.26,1904710.0
2025-07-03,75.51,75.83,75.25,75.65,685117.0
2025-07-07,75.55,75.72,74.28,74.64,1278344.0
2025-07-08,74.71,75.41,74.36,74.9,2283625.0
2025-07-09,75.41,76.02,74.75,75.89,2307720.0
2025-07-10,76.0,77.28,75.5,76.77,1925519.0
2025-07-11,75.85,76.91,75.76,76.62,2258921.0
2025-07-14,76.29,76.78,75.99,76.61,1282568.0
2025-07-15,75.95,76.66,75.36,75.38,1777620.0
2025-07-16,75.41,75.64,74.08,75.43,1995088.0
2025-07-17,75.4,77.0,75.14,76.93,1545186.0
2025-07-18,77.19,77.26,76.41,76.63,2237027.0
2025-07-21,76.8,76.96,75.96,75.97,2760474.0
2025-07-22,75.82,76.52,75.44,76.42,1875624.0
2025-07-23,77.9,80.74,77.81,79.61,4348662.0
2025-07-24,79.81,80.65,79.44,79.44,2180401.0
2025-07-25,79.79,80.81,79.51,80.73,1773642.0
2025-07-28,80.92,81.09,80.02,80.18,4288637.0
2025-07-29,73.88,74.74,70.99,71.67,8863077.0
2025-07-30,71.45,71.46,67.74,68.2,6784338.0
2025-07-31,68.0,69.61,68.0,68.62,4244226.0
2025-08-01,68.0,68.0,66.44,66.92,2964521.0
2025-08-04,66.71,67.35,66.16,66.54,2637833.0
2025-08-05,66.86,66.89,65.75,66.38,1876338.0
2025-08-06,66.56,66.56,65.64,66.11,1744844.0
2025-08-07,66.91,67.0,66.09,66.36,1797374.0
2025-08-08,66.51,66.89,65.96,66.03,1925679.0
2025-08-11,65.87,65.94,64.54,64.88,3110657.0
2025-08-12,65.35,66.13,65.01,65.73,1709451.0
2025-08-13,66.02,67.23,65.5,67.05,2215372.0
2025-08-14,66.39,66.63,65.49,65.76,1611662.0
2025-08-15,66.03,66.21,65.33,65.4,1624975.0
2025-08-18,65.34,66.57,65.3,66.49,1811576.0
2025-08-19,66.49,67.81,66.07,66.98,3316538.0
2025-08-20,66.82,67.19,66.4,66.84,3733355.0
2025-08-21,66.6,66.7,64.9,65.01,4874907.0
2025-08-22,65.34,67.98,65.05,67.75,3066629.0
2025-08-25,67.42,67.75,65.96,66.0,2097103.0
2025-08-26,66.12,66.56,65.25,66.48,2678185.0
2025-08-27,66.46,68.06,66.35,67.59,3771958.0
2025-08-28,67.8,67.93,65.94,66.17,1635050.0
2025-08-29,66.37,66.5,64.89,65.2,3905292.0
2025-09-02,64.16,64.5,62.73,63.5,3708928.0
2025-09-03,63.46,63.71,61.76,62.47,3693265.0
2025-09-04,62.88,63.68,62.45,63.54,2611798.0
2025-09-05,64.35,65.64,64.18,65.51,2641945.0
2025-09-08,65.62,66.14,65.06,65.61,3169898.0
2025-09-09,64.4,64.86,62.45,63.47,3676995.0
2025-09-10,63.84,64.8,60.1,62.5,7943682.0
2025-09-11,62.0,63.26,61.65,62.3,4442179.0
2025-09-12,61.77,62.53,61.38,61.67,2979646.0
2025-09-15,61.9,62.0,60.68,61.24,4679243.0
2025-09-16,61.68,61.9,60.87,60.93,2703723.0
2025-09-17,61.21,62.38,60.23,60.72,4148796.0
2025-09-18,61.14,61.69,60.71,61.1,2703537.0
2025-09-19,61.2,61.28,60.36,60.39,2094893.0
2025-09-22,60.0,60.47,59.66,60.31,2466997.0
2025-09-23,60.52,60.81,59.43,59.74,2915271.0
2025-09-24,59.5,60.05,58.96,58.99,2342805.0
2025-09-25,58.56,59.28,58.32,58.75,2944835.0
2025-09-26,58.9,59.28,58.59,58.84,3947876.0
2025-09-29,59.64,59.64,58.75,59.13,2427398.0
2025-09-30,59.0,59.81,58.94,59.7,3360774.0
2025-10-01,59.4,59.81,59.2,59.46,1929923.0
2025-10-02,59.33,60.06,58.73,58.9,2244107.0
2025-10-03,58.93,59.95,58.7,59.65,3482337.0
2025-10-06,60.35,60.77,59.55,59.81,2760191.0
2025-10-07,59.83,60.1,59.03,59.18,3688978.0
2025-10-08,59.05,60.52,58.61,59.8,4501762.0
2025-10-09,60.07,60.49,57.66,58.1,3628242.0
2025-10-10,58.55,59.26,56.57,56.66,3433416.0
2025-10-13,57.43,57.71,56.7,56.87,1902587.0
2025-10-14,55.53,57.88,55.33,57.5,4212109.0
2025-10-15,57.44,58.3,56.77,57.21,4411768.0
2025-10-16,57.32,57.38,56.3,56.75,4762203.0
2025-10-17,56.82,57.0,56.14,56.2,3667919.0
2025-10-20,56.79,57.69,56.79,57.67,3583945.0
2025-10-21,57.34,59.97,57.15,59.82,3656640.0
2025-10-22,60.17,60.58,56.61,56.74,6363551.0
2025-10-23,56.99,57.51,56.6,57.12,2264070.0
2025-10-24,57.91,58.39,57.65,57.84,2374796.0
2025-10-27,58.44,58.93,57.85,58.29,3598950.0
2025-10-28,60.0,60.56,58.44,58.74,5845908.0
2025-10-29,57.8,62.33,57.5,60.75,7981413.0
2025-10-30,60.07,61.0,58.35,58.85,6499868.0
2025-10-31,58.65,59.82,57.93,59.49,2664531.0
2025-11-03,58.94,59.43,57.56,57.86,2578119.0
2025-11-04,57.36,57.91,56.84,57.55,2810892.0
2025-11-05,57.16,57.74,56.62,56.85,3317560.0
2025-11-06,56.71,57.72,56.43,56.57,2646434.0
2025-11-07,55.97,57.52,55.59,57.51,2568878.0
2025-11-10,57.71,57.8,56.14,57.33,2326843.0
2025-11-11,57.57,57.6,56.63,56.97,1840659.0
