date,open,high,low,close,volume
2025-02-26,78.36,78.66,77.48,77.78,1269201.0
2025-02-27,78.42,79.96,78.02,79.58,1163476.0
2025-02-28,79.46,81.63,78.21,81.02,1984297.0
2025-03-03,81.7,82.28,77.5,77.97,1627264.0
2025-03-04,77.5,77.75,75.05,75.28,2202124.0
2025-03-05,75.7,77.16,74.53,76.31,1551074.0
2025-03-06,76.42,78.15,76.34,76.61,1738134.0
2025-03-07,77.02,78.72,75.25,77.13,1876241.0
2025-03-10,77.23,78.42,76.6,77.1,1126035.0
2025-03-11,77.27,78.64,76.33,76.83,1778679.0
2025-03-12,77.11,79.07,76.61,77.71,1248924.0
2025-03-13,76.74,78.35,75.55,76.82,1462928.0
2025-03-14,77.16,77.8,75.97,76.63,1420675.0
2025-03-17,76.55,78.13,76.5,77.73,1006855.0
2025-03-18,77.95,78.47,75.6,76.4,1093523.0
2025-03-19,76.82,78.2,76.36,77.37,1153701.0
2025-03-20,77.02,77.82,75.87,76.92,876747.0
2025-03-21,76.68,77.13,76.01,76.78,1802784.0
2025-03-24,76.88,77.27,75.59,76.83,696377.0
2025-03-25,76.68,77.1,73.7,75.03,1824414.0
2025-03-26,75.0,76.88,74.93,76.64,1041665.0
2025-03-27,76.45,78.08,76.0,77.98,614990.0
2025-03-28,77.89,78.05,76.87,77.39,576925.0
2025-03-31,76.68,78.68,76.2,78.15,752866.0
2025-04-01,78.45,79.64,77.23,79.59,915743.0
2025-04-02,79.0,79.83,78.9,79.83,979921.0
2025-04-03,76.96,81.24,76.83,79.86,2249685.0
2025-04-04,78.46,78.46,72.08,73.07,2200562.0
2025-04-07,72.33,75.61,70.51,72.04,1671641.0
2025-04-08,73.89,73.93,67.34,68.47,3137011.0
2025-04-09,67.86,73.18,67.49,70.5,3049776.0
2025-04-10,70.24,71.16,68.9,69.97,2118512.0
2025-04-11,69.02,73.21,69.02,72.0,1640936.0
2025-04-14,72.51,72.9,71.46,72.41,1237541.0
2025-04-15,72.09,73.75,72.09,73.12,1205032.0
2025-04-16,73.42,75.3,73.28,74.1,1977072.0
2025-04-17,74.34,75.39,74.34,74.9,1427705.0
2025-04-21,74.48,75.97,74.07,75.13,806029.0
2025-04-22,74.83,75.66,73.56,75.54,935183.0
2025-04-23,76.13,77.01,74.79,75.89,739790.0
2025-04-24,77.02,77.54,76.16,77.3,938125.0
2025-04-25,77.23,78.59,76.79,78.47,1003349.0
2025-04-28,78.65,80.68,78.47,79.64,995320.0
2025-04-29,79.33,80.49,79.0,79.79,874263.0
2025-04-30,77.51,78.66,75.92,78.37,1182517.0
2025-05-01,78.54,80.77,77.72,79.62,1478215.0
2025-05-02,80.4,80.75,79.07,80.6,1198244.0
2025-05-05,80.19,81.55,79.92,80.92,824406.0
2025-05-06,81.2,82.5,80.63,81.98,1303107.0
2025-05-07,81.51,82.43,80.05,80.69,2058892.0
2025-05-08,84.21,85.05,79.02,81.32,2236043.0
2025-05-09,81.91,82.61,78.85,82.41,1314597.0
2025-05-12,83.52,85.01,82.61,84.39,1622575.0
2025-05-13,85.29,88.42,84.32,87.73,1870312.0
2025-05-14,87.97,88.07,85.06,85.97,997072.0
2025-05-15,85.35,86.4,84.18,86.23,1262737.0
2025-05-16,86.5,87.93,85.76,87.78,786258.0
2025-05-19,87.43,87.96,85.58,87.59,1121831.0
2025-05-20,87.88,88.29,87.16,87.92,1244975.0
2025-05-21,87.44,89.78,86.79,89.35,1531383.0
2025-05-22,89.07,89.78,88.2,88.91,1068210.0
2025-05-23,88.61,89.29,88.3,88.89,544642.0
2025-05-27,88.85,91.67,88.85,91.54,1050777.0
2025-05-28,91.59,91.84,90.57,91.53,795024.0
2025-05-29,91.32,91.32,89.11,90.11,897740.0
2025-05-30,89.97,90.78,89.23,90.71,1023055.0
2025-06-02,91.33,93.26,90.13,92.97,1355346.0
2025-06-03,92.63,92.63,91.06,92.32,1318871.0
2025-06-04,92.66,93.48,91.36,91.63,915158.0
2025-06-05,92.09,92.59,91.31,92.28,632943.0
2025-06-06,91.96,92.74,91.4,92.14,750321.0
2025-06-09,92.79,94.48,92.59,92.85,897790.0
2025-06-10,93.0,93.64,91.47,92.13,799983.0
2025-06-11,92.56,95.55,90.74,95.24,1782877.0
2025-06-12,93.24,94.5,92.46,93.83,1187458.0
2025-06-13,96.26,100.48,96.26,99.93,3262766.0
2025-06-16,101.0,104.45,100.1,100.74,2896709.0
2025-06-17,102.0,102.88,100.82,102.48,1495099.0
2025-06-18,101.31,102.55,99.57,100.31,2737500.0
2025-06-20,100.23,100.4,98.34,100.36,1867808.0
2025-06-23,100.6,101.14,96.12,96.53,2584217.0
2025-06-24,93.6,95.31,92.91,94.68,1643577.0
2025-06-25,94.58,94.65,91.36,91.4,1776066.0
2025-06-26,91.44,92.23,90.48,90.69,1493431.0
2025-06-27,90.65,91.11,90.08,90.99,1328737.0
2025-06-30,90.71,92.32,90.08,92.0,1097362.0
2025-07-01,91.87,93.1,91.62,92.49,822911.0
2025-07-02,93.27,94.34,92.91,93.85,946526.0
2025-07-03,93.61,94.96,93.61,94.65,627948.0
2025-07-07,94.28,95.3,93.88,95.19,1077930.0
2025-07-08,96.82,98.71,95.91,97.12,1398647.0
2025-07-09,96.76,99.16,96.1,98.75,1123763.0
2025-07-10,97.46,97.77,95.51,95.76,1030053.0
2025-07-11,95.5,98.33,95.46,98.24,1719695.0
2025-07-14,98.44,99.39,97.26,97.41,747615.0
2025-07-15,97.41,97.98,95.31,95.9,770253.0
2025-07-16,95.81,96.4,92.51,92.6,1382150.0
2025-07-17,91.92,92.55,91.47,91.79,1150115.0
2025-07-18,92.01,93.92,91.85,92.63,879204.0
2025-07-21,92.45,92.62,90.46,90.99,901811.0
2025-07-22,91.12,92.27,90.91,91.72,833024.0
2025-07-23,92.09,94.17,92.09,93.71,945830.0
2025-07-24,93.57,94.09,93.2,93.5,891093.0
2025-07-25,93.4,93.65,92.64,93.3,670855.0
2025-07-28,93.79,93.79,91.8,92.53,574113.0
2025-07-29,93.62,95.06,92.74,94.91,985798.0
2025-07-30,93.76,94.37,92.0,92.64,1044918.0
2025-07-31,91.73,92.95,91.6,92.83,833477.0
2025-08-01,92.8,92.9,90.01,91.56,768199.0
2025-08-04,91.94,94.12,91.34,93.65,979419.0
2025-08-05,93.65,94.08,90.66,92.72,1132318.0
2025-08-06,91.74,93.29,89.9,89.9,1718589.0
2025-08-07,84.2,85.35,79.63,82.89,4961651.0
2025-08-08,83.27,83.71,80.31,80.91,3387668.0
2025-08-11,81.48,83.67,81.47,82.63,1702412.0
2025-08-12,82.88,84.28,81.93,82.9,1658373.0
2025-08-13,85.08,86.44,84.0,86.42,1611838.0
2025-08-14,84.59,85.36,83.57,85.27,1345774.0
2025-08-15,84.62,86.39,84.62,85.9,1205522.0
2025-08-18,85.69,86.0,83.57,84.45,1594904.0
2025-08-19,84.49,84.79,83.69,84.0,946454.0
2025-08-20,84.97,85.6,84.15,85.43,902708.0
2025-08-21,85.55,86.64,85.55,86.36,777261.0
2025-08-22,86.42,87.28,86.04,86.51,904821.0
2025-08-25,86.68,88.84,85.78,86.17,1328462.0
2025-08-26,85.88,86.64,85.05,86.63,1096029.0
2025-08-27,86.38,87.15,86.1,86.35,1133839.0
2025-08-28,86.57,87.32,84.9,87.31,1310392.0
2025-08-29,87.31,87.49,86.24,86.63,654199.0
2025-09-02,86.59,87.51,86.0,87.43,1054266.0
2025-09-03,86.75,87.61,84.73,84.77,1094992.0
2025-09-04,83.8,84.31,81.72,84.18,1774919.0
2025-09-05,84.0,84.68,83.28,84.48,1198619.0
2025-09-08,85.19,85.19,83.53,84.5,891571.0
2025-09-09,84.97,85.39,84.37,84.66,1245966.0
2025-09-10,84.53,87.31,84.53,86.9,1135854.0
