date,open,high,low,close,volume
2025-02-26,44.71,45.47,44.5,44.99,2178755.0
2025-02-27,45.13,45.94,44.85,45.17,1624126.0
2025-02-28,45.49,46.13,45.0,45.77,1559275.0
2025-03-03,45.9,46.37,44.6,45.05,1755908.0
2025-03-04,44.26,44.61,42.15,43.59,4534181.0
2025-03-05,43.47,43.96,42.76,43.34,3343533.0
2025-03-06,42.92,42.98,41.98,42.37,2362112.0
2025-03-07,42.26,42.35,40.57,41.64,3098341.0
2025-03-10,40.63,40.98,39.12,39.81,4412931.0
2025-03-11,39.66,40.44,39.1,39.91,7168986.0
2025-03-12,40.54,40.75,39.63,40.47,4100700.0
2025-03-13,40.66,40.78,39.62,39.73,3786496.0
2025-03-14,40.17,40.75,39.91,40.7,2889129.0
2025-03-17,40.51,41.06,40.12,40.86,2160751.0
2025-03-18,41.0,41.27,40.58,40.96,2418446.0
2025-03-19,41.01,41.8,40.66,41.36,1759775.0
2025-03-20,40.89,41.72,40.85,40.99,1969451.0
2025-03-21,40.66,41.42,40.35,41.19,4136126.0
2025-03-24,41.9,42.51,41.61,42.24,2214622.0
2025-03-25,42.42,42.65,42.13,42.27,1925430.0
2025-03-26,42.47,43.04,41.84,41.99,1797604.0
2025-03-27,42.0,42.17,41.24,41.25,1566719.0
2025-03-28,41.1,41.56,39.92,40.25,2178521.0
2025-03-31,39.8,41.13,39.56,40.97,2197254.0
2025-04-01,40.67,40.94,40.14,40.59,2309407.0
2025-04-02,40.05,41.68,40.05,41.66,1819691.0
2025-04-03,39.5,39.5,36.2,36.22,4300839.0
2025-04-04,34.25,34.9,32.6,34.27,5879844.0
2025-04-07,33.5,36.37,32.77,34.84,4933629.0
2025-04-08,36.27,36.72,33.77,34.4,3589008.0
2025-04-09,33.59,38.12,32.83,37.47,7008364.0
2025-04-10,36.37,36.48,33.71,34.79,5924125.0
2025-04-11,34.4,35.17,33.73,34.82,4567431.0
2025-04-14,35.58,35.85,34.87,35.59,5330388.0
2025-04-15,35.87,36.56,35.85,36.1,4865744.0
2025-04-16,35.98,36.62,34.88,35.46,6122761.0
2025-04-17,35.73,36.01,35.41,35.45,2862575.0
2025-04-21,35.13,35.3,33.95,34.49,3272867.0
2025-04-22,34.98,35.88,34.92,35.82,2884647.0
2025-04-23,37.01,38.05,36.29,36.49,2636722.0
2025-04-24,36.37,37.53,36.28,37.44,2558891.0
2025-04-25,37.03,37.37,36.83,37.06,1995562.0
2025-04-28,37.13,37.58,36.81,37.34,1949772.0
2025-04-29,37.07,37.75,36.94,37.55,1982009.0
2025-04-30,36.14,37.0,35.9,36.89,2299010.0
2025-05-01,36.99,37.81,36.71,37.29,1783522.0
2025-05-02,38.1,38.76,37.88,38.65,2740275.0
2025-05-05,38.17,39.22,38.17,38.71,2693746.0
2025-05-06,38.19,38.67,38.04,38.2,2463607.0
2025-05-07,38.54,38.93,37.93,38.08,1763962.0
2025-05-08,38.74,39.36,38.44,39.0,1933971.0
2025-05-09,39.09,39.28,38.83,39.12,1929382.0
2025-05-12,41.21,42.1,41.16,41.59,3714019.0
2025-05-13,41.68,42.19,41.5,41.87,2691959.0
2025-05-14,41.78,41.97,41.43,41.59,1826427.0
2025-05-15,41.61,41.95,41.28,41.72,2206664.0
2025-05-16,41.59,42.03,41.35,41.82,1666502.0
2025-05-19,41.22,41.77,41.11,41.58,1365701.0
2025-05-20,41.45,41.64,41.17,41.3,1242597.0
2025-05-21,40.88,41.2,39.62,39.64,2154085.0
2025-05-22,39.51,40.08,39.42,39.77,2096556.0
2025-05-23,38.81,39.75,38.79,39.57,2027454.0
2025-05-27,40.17,40.47,39.72,40.42,2545421.0
2025-05-28,40.46,40.54,39.67,39.73,3675455.0
2025-05-29,40.1,40.28,39.69,40.26,2464753.0
2025-05-30,40.16,40.47,39.8,40.35,3198198.0
2025-06-02,40.17,40.2,39.4,40.06,3226994.0
2025-06-03,40.0,40.9,39.79,40.83,2901971.0
2025-06-04,40.8,41.15,40.14,40.17,2246148.0
2025-06-05,40.21,40.6,39.69,40.27,3226204.0
2025-06-06,41.05,41.44,40.86,41.37,2368435.0
2025-06-09,41.58,41.9,41.29,41.35,2219819.0
2025-06-10,41.31,42.12,41.15,41.97,3218518.0
2025-06-11,42.25,42.5,41.34,41.4,3935829.0
2025-06-12,41.13,41.22,40.6,41.17,3975456.0
2025-06-13,40.75,41.01,40.16,40.33,2977039.0
2025-06-16,40.82,41.35,40.55,41.01,3339691.0
2025-06-17,40.61,41.13,40.25,40.45,2628973.0
2025-06-18,40.41,41.64,40.41,41.32,3043624.0
2025-06-20,41.47,41.9,41.37,41.71,2913783.0
2025-06-23,41.45,42.55,41.37,42.5,2624620.0
2025-06-24,42.81,43.5,42.71,42.92,2730947.0
2025-06-25,42.9,43.18,42.67,43.12,1877388.0
2025-06-26,43.38,44.23,43.33,44.12,2986957.0
2025-06-27,44.19,44.6,44.03,44.43,4500036.0
2025-06-30,44.7,45.15,44.58,44.75,4823253.0
2025-07-01,44.7,46.16,44.64,46.1,4154636.0
2025-07-02,46.19,47.08,46.0,47.03,3151928.0
2025-07-03,47.5,47.93,47.24,47.72,1869649.0
2025-07-07,47.45,47.85,46.75,47.06,3055877.0
2025-07-08,47.42,48.08,47.06,47.53,5452835.0
2025-07-09,48.12,48.16,47.05,47.38,5077668.0
2025-07-10,47.5,48.13,47.28,47.9,3202533.0
2025-07-11,47.49,47.89,47.27,47.67,1648368.0
2025-07-14,47.57,47.92,47.35,47.88,3372002.0
2025-07-15,47.72,47.91,46.64,46.69,3353205.0
2025-07-16,47.07,47.14,46.08,46.97,4083680.0
2025-07-17,47.29,49.4,46.94,48.82,9677310.0
2025-07-18,49.68,49.68,48.43,48.58,6369458.0
2025-07-21,48.65,49.24,48.51,48.6,3247946.0
2025-07-22,48.59,49.27,48.18,49.13,3750084.0
2025-07-23,49.24,49.96,48.85,49.88,4155589.0
2025-07-24,49.98,49.98,49.15,49.28,1532440.0
2025-07-25,49.34,49.53,48.4,49.49,2710312.0
2025-07-28,49.45,49.6,49.07,49.33,1910851.0
2025-07-29,49.74,49.75,48.89,49.09,1488054.0
2025-07-30,49.19,49.45,48.28,48.69,1906841.0
2025-07-31,48.0,48.31,47.63,47.72,2413919.0
2025-08-01,47.17,47.19,45.9,46.82,3831366.0
2025-08-04,47.01,47.66,46.7,47.58,3115014.0
2025-08-05,47.79,47.87,46.62,47.3,3027115.0
2025-08-06,47.4,47.65,46.92,46.93,2208324.0
2025-08-07,47.43,47.43,46.53,46.64,2193194.0
2025-08-08,47.06,47.46,46.62,47.28,1819747.0
2025-08-11,47.36,47.56,46.79,46.93,2026711.0
2025-08-12,47.35,48.18,47.21,48.14,2133430.0
2025-08-13,48.4,48.65,47.9,48.55,2131898.0
2025-08-14,48.04,49.25,47.92,49.21,2114123.0
2025-08-15,49.37,49.43,48.27,48.28,1331068.0
2025-08-18,48.19,48.58,48.01,48.54,1330138.0
2025-08-19,48.43,49.01,48.24,48.39,1397735.0
2025-08-20,48.38,48.92,48.05,48.81,3058728.0
2025-08-21,48.53,48.75,48.15,48.46,1809165.0
2025-08-22,48.77,50.79,48.68,50.77,3638054.0
2025-08-25,50.64,50.88,50.37,50.69,1869360.0
2025-08-26,50.5,51.4,50.47,51.31,1855403.0
2025-08-27,51.06,52.03,51.06,51.9,1825339.0
2025-08-28,52.12,52.2,51.74,52.16,2071330.0
2025-08-29,52.19,52.53,51.99,52.28,1338996.0
2025-09-02,51.4,51.87,50.99,51.6,2639080.0
