date,open,high,low,close,volume
2025-02-26,109.98,110.0,108.42,108.59,796048.0
2025-02-27,108.0,109.73,107.21,109.37,449943.0
2025-02-28,110.62,111.36,109.16,111.2,635907.0
2025-03-03,110.84,112.14,110.06,112.06,769142.0
2025-03-04,113.0,114.6,110.6,110.71,753335.0
2025-03-05,110.83,112.24,110.24,110.66,633999.0
2025-03-06,110.66,111.7,110.28,110.89,921124.0
2025-03-07,110.75,113.85,110.3,112.33,815570.0
2025-03-10,113.39,116.46,112.94,113.2,947071.0
2025-03-11,112.75,113.28,111.55,112.19,633670.0
2025-03-12,110.23,110.77,108.56,109.03,726619.0
2025-03-13,109.09,110.4,108.69,109.76,578986.0
2025-03-14,108.95,109.54,108.17,109.1,380658.0
2025-03-17,108.85,110.24,108.56,109.32,679731.0
2025-03-18,109.06,109.19,107.25,107.38,490577.0
2025-03-19,107.22,108.24,106.8,108.03,463000.0
2025-03-20,107.99,108.44,107.11,108.07,590554.0
2025-03-21,108.35,109.17,106.57,107.15,934279.0
2025-03-24,106.8,107.92,105.95,106.9,736928.0
2025-03-25,106.87,107.1,104.23,104.73,415947.0
2025-03-26,104.84,106.55,104.84,106.31,491719.0
2025-03-27,107.39,108.54,106.35,108.39,479469.0
2025-03-28,109.07,109.49,108.16,109.11,591854.0
2025-03-31,109.51,110.22,108.93,110.09,1654426.0
2025-04-01,110.59,111.0,108.38,109.47,838534.0
2025-04-02,109.65,110.04,107.74,108.32,1111954.0
2025-04-03,109.78,112.35,109.38,110.76,1512204.0
2025-04-04,111.68,113.91,105.86,106.09,1773910.0
2025-04-07,103.61,106.17,101.89,102.55,1400324.0
2025-04-08,104.02,104.84,100.91,101.6,1226872.0
2025-04-09,100.83,104.64,100.0,101.91,1076562.0
2025-04-10,102.56,104.63,101.24,103.77,1138570.0
2025-04-11,103.12,105.23,102.06,104.35,616111.0
2025-04-14,104.54,106.21,103.16,105.58,716809.0
2025-04-15,106.95,107.05,104.25,105.07,1419853.0
2025-04-16,105.63,106.12,102.56,102.96,555273.0
2025-04-17,103.5,105.87,103.09,105.37,795213.0
2025-04-21,105.0,105.53,102.38,103.14,1144160.0
2025-04-22,103.16,104.21,101.76,103.85,922062.0
2025-04-23,102.95,103.64,100.58,102.13,1538880.0
2025-04-24,101.05,101.56,99.25,100.21,1480185.0
2025-04-25,101.09,101.29,98.35,99.31,1440528.0
2025-04-28,99.16,99.79,98.35,98.81,1199340.0
2025-04-29,98.18,99.27,97.54,99.01,1454635.0
2025-04-30,99.99,100.04,97.69,99.34,1236098.0
2025-05-01,92.98,93.93,91.76,92.38,2629817.0
2025-05-02,92.75,93.99,92.31,92.94,1648141.0
2025-05-05,93.28,93.66,91.92,92.78,956928.0
2025-05-06,91.69,92.54,91.07,92.07,954661.0
2025-05-07,92.01,92.72,91.54,91.99,878948.0
2025-05-08,91.68,93.47,91.43,92.18,960889.0
2025-05-09,91.78,92.43,91.44,91.57,973094.0
2025-05-12,91.25,95.45,90.99,95.18,1790063.0
2025-05-13,94.84,94.93,93.12,94.1,1741630.0
2025-05-14,93.66,93.83,92.05,93.16,1249810.0
