date,open,high,low,close,volume
2025-02-26,98.83,99.91,98.03,98.18,453716.0
2025-02-27,98.96,101.29,98.63,99.24,887744.0
2025-02-28,99.33,101.75,99.33,101.62,499678.0
2025-03-03,101.9,102.33,100.01,100.37,392193.0
2025-03-04,100.34,100.54,98.06,98.35,739847.0
2025-03-05,98.09,99.3,97.6,97.91,607937.0
2025-03-06,97.88,98.82,96.96,98.12,482938.0
2025-03-07,97.8,103.21,97.68,102.45,964362.0
2025-03-10,101.8,105.27,101.42,101.56,1117382.0
2025-03-11,101.71,102.44,97.45,98.05,615249.0
2025-03-12,98.32,98.36,95.08,96.18,596686.0
2025-03-13,96.97,97.56,96.02,96.32,530063.0
2025-03-14,96.5,98.52,95.95,98.38,578082.0
2025-03-17,98.57,101.32,98.13,101.0,493652.0
2025-03-18,100.77,100.99,99.67,100.06,441104.0
2025-03-19,99.89,100.07,98.38,99.31,503598.0
2025-03-20,98.65,99.36,97.16,99.3,737139.0
2025-03-21,98.45,100.28,98.11,99.95,1453966.0
2025-03-24,100.18,100.96,99.92,100.48,638752.0
2025-03-25,100.4,101.03,99.31,100.0,638078.0
2025-03-26,100.26,102.2,100.26,101.88,467786.0
2025-03-27,101.88,102.93,101.05,101.68,609180.0
2025-03-28,101.98,102.53,100.77,101.13,668537.0
2025-03-31,100.83,102.85,100.62,102.4,830205.0
2025-04-01,101.84,102.96,100.79,102.76,700173.0
2025-04-02,102.49,103.0,101.36,102.82,630778.0
2025-04-03,100.44,101.71,94.11,94.77,755044.0
2025-04-04,93.26,94.23,90.83,90.94,646590.0
2025-04-07,89.2,92.16,86.46,89.17,1155478.0
2025-04-08,90.76,91.17,85.78,86.97,726641.0
2025-04-09,85.88,93.47,84.67,91.94,1573235.0
2025-04-10,90.76,91.19,87.83,90.27,541828.0
2025-04-11,89.55,92.19,88.68,91.26,508537.0
2025-04-14,92.41,93.16,91.28,92.37,266807.0
2025-04-15,92.52,93.7,91.44,91.56,448828.0
2025-04-16,90.87,91.64,89.1,89.86,350940.0
2025-04-17,90.47,91.84,90.18,91.14,362089.0
2025-04-21,90.09,90.41,88.27,89.27,469180.0
2025-04-22,90.25,90.91,89.41,90.28,496340.0
2025-04-23,91.89,93.13,90.07,90.61,492707.0
2025-04-24,90.71,92.15,90.51,92.03,363128.0
2025-04-25,90.79,91.35,88.79,89.75,464042.0
2025-04-28,89.7,90.67,88.75,89.08,596864.0
2025-04-29,88.79,89.09,87.74,88.33,1002799.0
2025-04-30,88.09,89.22,86.71,89.22,988736.0
2025-05-01,87.61,92.65,87.13,90.28,887881.0
2025-05-02,91.33,92.79,89.95,90.83,650321.0
2025-05-05,90.7,91.12,89.55,89.94,461706.0
2025-05-06,89.01,89.47,88.0,88.32,398284.0
2025-05-07,89.35,89.5,86.58,87.54,763987.0
2025-05-08,88.12,90.01,87.41,89.58,479953.0
2025-05-09,90.0,90.0,88.65,88.97,286025.0
2025-05-12,93.38,96.01,93.04,95.95,1120082.0
2025-05-13,96.3,96.96,95.55,96.28,718549.0
2025-05-14,96.45,98.11,95.99,98.03,1245865.0
2025-05-15,98.11,99.41,97.71,98.75,823404.0
2025-05-16,99.81,100.76,99.35,100.28,742210.0
2025-05-19,99.29,100.4,98.96,100.08,498737.0
2025-05-20,99.7,101.07,99.49,100.07,624562.0
2025-05-21,99.12,99.57,97.08,97.18,528886.0
2025-05-22,96.89,96.96,95.41,96.52,504159.0
2025-05-23,95.57,96.18,95.3,95.75,402513.0
2025-05-27,96.76,97.46,95.75,97.3,290331.0
2025-05-28,97.51,97.53,95.38,95.58,464494.0
2025-05-29,95.86,96.36,95.1,96.1,471810.0
2025-05-30,96.1,96.36,95.28,95.97,531052.0
2025-06-02,96.07,96.33,94.15,96.12,505958.0
2025-06-03,95.4,97.0,94.81,96.29,657201.0
2025-06-04,96.5,96.89,95.82,96.16,211112.0
2025-06-05,96.39,96.52,95.42,95.51,248726.0
2025-06-06,96.03,96.82,95.57,95.8,247800.0
2025-06-09,96.04,96.5,95.49,95.74,273218.0
2025-06-10,95.72,96.57,94.69,96.17,246455.0
2025-06-11,96.6,96.64,93.92,94.58,529785.0
2025-06-12,94.38,95.04,93.93,95.0,451652.0
2025-06-13,94.36,95.04,93.35,93.54,462160.0
2025-06-16,94.54,95.19,93.71,93.86,508644.0
2025-06-17,93.84,94.29,93.08,93.59,437837.0
2025-06-18,93.55,94.5,93.29,93.41,548340.0
2025-06-20,93.88,94.26,92.38,92.63,481956.0
2025-06-23,92.65,93.99,92.36,93.95,236219.0
2025-06-24,94.31,94.64,93.15,94.28,630875.0
2025-06-25,94.13,94.13,92.36,92.71,342063.0
2025-06-26,93.12,93.84,92.79,93.19,295507.0
2025-06-27,93.47,96.87,93.47,96.66,829529.0
2025-06-30,96.61,96.76,95.04,95.95,348634.0
2025-07-01,96.45,99.64,96.23,98.31,517319.0
2025-07-02,98.6,99.34,98.0,99.14,301745.0
2025-07-03,99.29,99.87,97.78,98.03,175340.0
2025-07-07,97.77,98.13,96.34,96.73,549931.0
2025-07-08,96.73,98.57,96.73,98.33,578173.0
2025-07-09,98.74,99.8,98.2,99.12,444979.0
2025-07-10,99.62,102.58,99.62,100.84,354303.0
2025-07-11,100.88,102.0,99.14,99.4,292758.0
2025-07-14,98.79,99.18,97.45,98.02,460983.0
2025-07-15,98.0,98.27,96.99,97.06,305821.0
2025-07-16,98.08,98.49,97.31,97.94,417126.0
2025-07-17,97.96,99.32,97.73,98.53,472347.0
2025-07-18,99.52,99.65,96.78,97.48,364508.0
2025-07-21,97.29,97.98,96.27,96.82,297011.0
2025-07-22,97.05,99.1,97.05,98.94,424845.0
2025-07-23,99.45,100.84,98.91,100.59,499394.0
2025-07-24,100.6,103.27,100.35,103.17,907658.0
2025-07-25,103.72,103.78,101.87,102.71,691411.0
2025-07-28,102.27,102.76,101.24,101.49,535169.0
2025-07-29,101.0,101.0,98.58,99.79,679528.0
2025-07-30,99.89,100.17,96.88,97.65,1135603.0
2025-07-31,110.47,116.16,104.95,115.32,3579928.0
2025-08-01,114.18,115.0,111.74,113.86,1052503.0
2025-08-04,113.93,116.28,113.4,115.03,605900.0
2025-08-05,115.48,116.48,114.64,116.32,517931.0
2025-08-06,115.65,117.93,115.38,117.74,652965.0
2025-08-07,118.41,119.2,117.49,117.82,554007.0
2025-08-08,118.21,118.99,116.73,116.78,512858.0
2025-08-11,116.78,116.97,115.71,116.24,547269.0
2025-08-12,116.79,118.89,116.65,118.77,562508.0
2025-08-13,119.23,121.04,118.21,120.99,882456.0
2025-08-14,120.54,121.84,119.65,121.52,724189.0
2025-08-15,121.61,122.05,120.56,121.24,548195.0
2025-08-18,121.42,123.15,121.0,122.97,520091.0
2025-08-19,123.34,124.94,122.77,123.82,560528.0
2025-08-20,123.06,123.79,120.99,121.08,662976.0
2025-08-21,120.9,123.11,120.65,122.8,748614.0
2025-08-22,123.22,126.85,122.5,125.18,898627.0
2025-08-25,124.82,126.68,124.11,126.41,668572.0
2025-08-26,125.71,127.34,125.6,126.9,751126.0
2025-08-27,126.32,128.46,125.97,128.06,1076777.0
2025-08-28,128.0,129.59,126.91,129.29,865457.0
2025-08-29,129.4,131.17,127.91,128.7,896456.0
2025-09-02,128.03,129.05,127.51,128.89,581043.0
2025-09-03,128.36,129.39,127.35,128.79,372374.0
2025-09-04,128.47,129.23,127.17,127.84,606870.0
2025-09-05,126.97,127.8,124.15,126.13,573742.0
2025-09-08,126.39,126.78,125.23,125.9,440036.0
2025-09-09,125.63,126.59,125.12,126.05,374145.0
2025-09-10,125.35,127.83,125.3,127.64,513315.0
2025-09-11,127.24,131.18,126.9,131.02,769811.0
2025-09-12,130.6,132.92,130.45,132.41,752733.0
2025-09-15,132.71,134.91,132.02,133.27,814462.0
2025-09-16,133.24,134.04,132.04,133.77,742406.0
2025-09-17,133.79,137.03,133.25,135.09,1212834.0
2025-09-18,136.2,137.91,136.06,137.09,877679.0
2025-09-19,137.25,138.0,134.91,136.07,1133139.0
2025-09-22,136.02,136.22,132.97,133.98,954643.0
2025-09-23,133.7,136.31,133.57,134.24,867526.0
2025-09-24,134.79,135.53,131.6,133.3,1360933.0
2025-09-25,133.08,134.5,132.4,133.84,1044035.0
2025-09-26,134.02,134.59,131.63,131.81,869309.0
2025-09-29,133.07,133.39,130.52,131.87,657541.0
2025-09-30,131.45,132.49,130.26,132.4,684396.0
2025-10-01,132.63,133.45,131.79,132.66,705343.0
2025-10-02,132.89,135.38,132.89,134.77,506318.0
2025-10-03,135.0,137.77,134.86,135.4,578432.0
2025-10-06,134.65,135.28,133.68,134.36,440115.0
2025-10-07,134.67,134.96,133.3,133.79,296201.0
2025-10-08,132.56,134.81,130.55,134.04,830021.0
2025-10-09,133.56,133.7,128.69,128.9,927937.0
2025-10-10,129.38,130.5,125.03,125.31,1262454.0
2025-10-13,125.72,126.33,124.34,124.39,448050.0
2025-10-14,124.46,128.13,123.64,127.98,797316.0
2025-10-15,128.81,129.21,127.28,128.01,529186.0
2025-10-16,129.36,129.86,125.76,125.99,721756.0
2025-10-17,126.24,127.91,125.83,127.39,575051.0
2025-10-20,127.78,128.6,126.43,127.46,577047.0
2025-10-21,127.46,130.16,127.36,128.28,533592.0
2025-10-22,128.31,129.22,126.89,127.15,641325.0
2025-10-23,126.95,127.71,125.35,125.41,734319.0
2025-10-24,126.86,127.31,125.41,126.06,702949.0
2025-10-27,126.96,129.18,126.17,129.06,861557.0
2025-10-28,129.83,130.07,127.35,128.07,738718.0
2025-10-29,127.19,131.1,126.83,129.38,1416704.0
2025-10-30,149.61,158.7,149.22,154.88,3179232.0
2025-10-31,154.48,156.23,150.93,153.99,1053520.0
2025-11-03,152.21,153.54,150.31,152.15,790893.0
2025-11-04,151.95,154.68,151.85,152.91,869316.0
2025-11-05,151.34,154.41,151.34,153.13,538062.0
2025-11-06,152.77,153.74,148.19,148.23,766474.0
2025-11-07,147.99,152.26,146.96,149.44,719540.0
2025-11-10,149.63,152.4,148.76,151.72,463498.0
2025-11-11,150.37,152.93,150.05,150.7,739156.0
2025-11-12,150.78,153.89,150.13,152.99,660420.0
2025-11-13,153.4,153.76,151.24,151.66,665246.0
2025-11-14,150.14,153.46,149.08,152.8,568235.0
2025-11-17,152.77,154.84,151.5,152.64,569417.0
2025-11-18,152.31,153.0,150.76,151.69,626318.0
2025-11-19,152.38,152.38,150.68,151.36,350804.0
2025-11-20,153.14,153.74,148.49,148.57,429490.0
2025-11-21,148.94,152.41,148.85,151.68,624949.0
2025-11-24,151.45,156.19,151.11,154.56,737390.0
2025-11-25,154.6,158.11,154.6,157.35,774687.0
2025-11-26,156.63,160.27,156.63,159.54,441984.0
2025-11-28,159.9,160.3,158.7,158.87,206402.0
2025-12-01,158.62,162.79,158.36,160.32,683557.0
2025-12-02,159.79,161.18,159.26,159.63,412773.0
2025-12-03,159.42,161.16,158.46,159.54,739896.0
2025-12-04,159.03,159.96,157.78,158.05,546505.0
2025-12-05,156.86,158.65,154.42,157.22,572524.0
2025-12-08,156.36,156.54,152.85,153.41,846282.0
2025-12-09,152.77,154.99,151.64,152.52,577854.0
2025-12-10,152.06,159.3,151.64,158.34,782491.0
2025-12-11,157.37,161.21,157.37,159.8,678510.0
2025-12-12,160.19,161.58,156.4,157.09,566069.0
2025-12-15,157.17,158.03,156.0,157.61,464179.0
2025-12-16,159.61,160.54,157.19,159.04,723538.0
2025-12-17,158.4,161.11,158.01,160.1,860180.0
2025-12-18,160.19,165.92,159.78,165.03,1340811.0
2025-12-19,164.62,167.1,164.49,166.46,2032267.0
2025-12-22,166.81,167.9,163.95,164.99,658229.0
2025-12-23,164.99,166.12,163.87,164.59,510400.0
2025-12-24,165.28,166.06,164.69,164.95,209513.0
2025-12-26,164.41,165.33,163.8,164.63,168922.0
2025-12-29,164.49,165.09,163.09,163.94,380762.0
2025-12-30,163.44,163.46,161.82,161.96,196293.0
2025-12-31,161.91,161.93,160.53,160.76,300978.0
2026-01-02,161.37,164.0,160.01,163.72,429238.0
2026-01-05,163.88,167.57,163.29,167.21,733462.0
2026-01-06,166.98,168.17,165.79,167.66,589082.0
2026-01-07,167.48,167.6,161.95,166.73,1144413.0
2026-01-08,165.85,168.32,165.51,166.01,1302772.0
2026-01-09,165.92,170.81,165.92,170.77,1016579.0
2026-01-12,168.99,172.88,168.76,172.54,623691.0
2026-01-13,172.25,174.25,171.84,173.42,752839.0
2026-01-14,172.84,173.98,171.5,172.31,833833.0
2026-01-15,173.51,175.45,171.59,175.33,764776.0
2026-01-16,174.73,176.17,173.22,175.77,829407.0
2026-01-20,174.68,178.13,172.16,175.1,991551.0
2026-01-21,175.77,180.21,175.5,179.38,649508.0
2026-01-22,179.68,179.91,177.19,177.9,823278.0
2026-01-23,179.01,179.77,175.53,176.66,801424.0
2026-01-26,176.9,178.38,175.75,178.11,731088.0
2026-01-27,178.82,181.14,175.43,180.43,1289091.0
2026-01-28,180.19,184.87,179.8,184.28,1628969.0
2026-01-29,192.54,200.33,186.24,193.72,3066081.0
2026-01-30,191.92,195.82,189.81,194.95,1396843.0
2026-02-02,194.2,198.82,193.87,198.5,1549121.0
2026-02-03,199.0,202.8,198.94,199.71,1801050.0
2026-02-04,201.62,202.06,193.38,198.74,1311724.0
2026-02-05,197.73,199.63,195.7,197.44,1037026.0
2026-02-06,198.68,203.34,197.54,200.59,1460485.0
2026-02-09,201.3,202.93,199.36,200.31,799941.0
2026-02-10,199.3,200.99,195.47,196.61,754814.0
2026-02-11,197.7,200.53,196.07,196.33,934630.0
2026-02-12,196.63,196.84,149.36,167.78,11977023.0
