date,open,high,low,close,volume
2025-02-26,358.25,360.63,351.18,353.48,332384.0
2025-02-27,354.25,362.46,353.66,359.04,297974.0
2025-02-28,363.15,368.55,360.38,363.57,470459.0
2025-03-03,362.87,376.24,360.6,370.66,649639.0
2025-03-04,376.48,377.49,361.86,368.36,485394.0
2025-03-05,368.2,380.29,367.69,378.42,409648.0
2025-03-06,378.89,384.95,375.67,382.94,652248.0
2025-03-07,381.95,391.61,371.03,379.52,731130.0
2025-03-10,378.5,385.64,362.66,373.52,917451.0
2025-03-11,371.33,376.52,355.78,355.87,585780.0
2025-03-12,353.73,354.5,338.54,349.75,893770.0
2025-03-13,348.03,354.52,344.41,345.4,463025.0
2025-03-14,350.58,355.0,345.18,351.5,432064.0
2025-03-17,348.34,357.45,347.74,354.08,322098.0
2025-03-18,353.67,356.59,349.73,354.45,331962.0
2025-03-19,353.65,357.01,349.89,353.02,379554.0
2025-03-20,351.88,363.57,351.75,362.58,430430.0
2025-03-21,359.1,364.58,356.04,363.81,611408.0
2025-03-24,365.59,371.98,364.33,367.5,378034.0
2025-03-25,365.81,375.53,365.81,375.01,359359.0
2025-03-26,375.87,386.98,374.15,384.77,567551.0
2025-03-27,385.49,388.02,379.23,382.02,626072.0
2025-03-28,384.91,384.91,368.75,369.02,499929.0
2025-03-31,368.76,370.29,361.43,368.53,1198541.0
2025-04-01,366.1,374.01,363.4,370.91,398826.0
2025-04-02,370.8,379.96,370.13,379.27,311510.0
2025-04-03,378.28,385.88,368.06,368.4,674570.0
2025-04-04,365.0,368.92,337.54,338.29,791630.0
2025-04-07,332.87,351.99,324.08,332.89,666907.0
2025-04-08,337.17,346.97,318.85,321.68,884928.0
2025-04-09,317.19,350.73,312.38,346.98,1934873.0
2025-04-10,340.36,341.72,325.1,335.47,722482.0
2025-04-11,335.7,338.47,327.96,334.38,534688.0
2025-04-14,335.9,343.38,335.48,340.4,577346.0
2025-04-15,341.18,350.05,339.68,343.18,378075.0
2025-04-16,340.79,343.99,330.14,332.5,364934.0
2025-04-17,335.21,342.22,334.07,338.96,319883.0
2025-04-21,335.28,338.0,319.65,322.43,479888.0
2025-04-22,325.75,331.7,325.35,331.34,351507.0
2025-04-23,336.52,345.05,335.68,337.51,581045.0
2025-04-24,324.99,339.22,318.43,335.33,1015500.0
2025-04-25,359.5,374.21,356.45,373.65,1238978.0
2025-04-28,373.65,385.48,372.88,376.87,700715.0
2025-04-29,378.79,387.54,378.63,386.33,663045.0
2025-04-30,387.26,392.91,377.6,391.86,495876.0
2025-05-01,389.48,392.57,382.67,383.0,625321.0
2025-05-02,386.17,387.48,383.2,385.0,806627.0
2025-05-05,385.07,399.94,382.94,394.24,538230.0
