date,open,high,low,close,volume
2025-02-26,80.88,82.1,79.62,80.77,1209268.0
2025-02-27,82.21,82.25,77.78,78.03,1036269.0
2025-02-28,77.27,79.66,75.61,79.57,1985505.0
2025-03-03,79.5,80.55,73.42,74.69,2139041.0
2025-03-04,73.13,75.74,70.47,74.31,2166191.0
2025-03-05,73.85,75.32,72.75,75.25,1086569.0
2025-03-06,72.24,72.97,67.99,68.43,1899841.0
2025-03-07,68.63,69.07,64.65,68.93,2077178.0
2025-03-10,65.83,66.92,64.01,65.53,2574585.0
2025-03-11,61.78,66.48,59.31,63.95,5768305.0
2025-03-12,66.21,67.17,64.26,66.4,1992380.0
2025-03-13,65.75,66.11,60.77,62.31,2002810.0
2025-03-14,64.05,64.68,62.64,63.84,2170556.0
2025-03-17,63.36,66.26,63.36,65.68,992145.0
2025-03-18,64.83,65.29,63.65,64.33,934841.0
2025-03-19,64.67,66.72,64.23,65.9,840465.0
2025-03-20,64.99,66.75,64.99,65.63,590471.0
2025-03-21,64.6,65.62,63.74,65.56,1079752.0
2025-03-24,69.08,69.68,67.5,69.53,852689.0
2025-03-25,69.28,70.57,69.0,69.42,1155233.0
2025-03-26,69.1,69.56,65.26,65.76,1358441.0
2025-03-27,64.81,65.64,62.49,62.86,2285134.0
2025-03-28,62.65,63.31,61.0,61.56,1305826.0
2025-03-31,59.68,60.65,58.04,60.43,2150729.0
2025-04-01,60.51,61.58,59.16,61.54,1220618.0
2025-04-02,59.99,66.77,59.99,65.03,2363394.0
2025-04-03,59.61,61.28,56.07,56.19,1557858.0
2025-04-04,52.76,54.43,49.21,53.5,3725979.0
2025-04-07,50.17,58.79,50.15,55.22,1911480.0
2025-04-08,57.49,59.18,52.98,54.03,1603912.0
2025-04-09,53.65,63.69,53.18,61.99,2127306.0
2025-04-10,59.59,60.64,56.37,58.36,1124708.0
2025-04-11,57.86,59.6,56.75,58.78,1234629.0
2025-04-14,61.22,61.86,58.18,58.5,716523.0
2025-04-15,58.51,60.23,58.34,59.38,689906.0
2025-04-16,57.54,59.91,57.54,58.87,528536.0
2025-04-17,59.75,60.67,58.76,60.14,1139288.0
2025-04-21,59.01,59.44,56.94,57.84,606161.0
2025-04-22,58.64,60.1,58.64,59.5,663296.0
2025-04-23,63.77,66.68,62.31,62.59,1681107.0
2025-04-24,62.74,64.98,62.42,64.29,463552.0
2025-04-25,64.2,66.04,63.98,65.94,979805.0
2025-04-28,65.41,67.49,65.41,66.48,1034007.0
2025-04-29,66.36,67.56,66.19,67.36,766397.0
2025-04-30,65.06,67.26,64.7,67.16,1001399.0
2025-05-01,69.5,72.73,69.06,71.43,2009929.0
2025-05-02,72.23,73.85,72.23,72.85,1125016.0
2025-05-05,71.68,73.93,71.3,72.91,844983.0
2025-05-06,70.9,73.11,70.66,72.66,609258.0
2025-05-07,72.63,73.85,71.9,73.34,958104.0
2025-05-08,74.47,75.68,73.68,74.78,939617.0
2025-05-09,75.38,75.81,73.71,74.74,445793.0
2025-05-12,78.58,79.68,77.16,79.01,830013.0
2025-05-13,79.05,81.41,78.62,80.59,809581.0
2025-05-14,80.98,81.48,78.84,79.53,1092202.0
2025-05-15,78.67,80.57,78.46,79.8,810411.0
2025-05-16,80.08,81.3,79.44,81.24,661721.0
2025-05-19,79.5,81.34,79.0,80.99,355497.0
2025-05-20,80.9,81.09,80.26,81.05,399692.0
2025-05-21,79.93,82.21,79.6,79.92,722418.0
2025-05-22,80.18,81.25,79.66,80.12,494634.0
2025-05-23,78.01,80.53,77.14,80.22,295923.0
2025-05-27,83.13,83.49,81.67,82.35,726686.0
