date,open,high,low,close,volume
2025-02-26,91.69,92.0,90.0,90.17,2092689.0
2025-02-27,89.96,91.07,89.6,90.2,1784846.0
2025-02-28,91.04,91.94,90.06,91.17,1851859.0
2025-03-03,90.99,92.81,90.93,92.81,1987577.0
2025-03-04,93.27,95.22,91.02,91.06,2942171.0
2025-03-05,90.4,92.21,90.33,91.75,1660134.0
2025-03-06,91.8,93.48,91.4,93.29,2623292.0
2025-03-07,92.84,98.34,92.84,96.74,6038766.0
2025-03-10,97.34,100.18,97.19,97.5,5408351.0
2025-03-11,96.22,96.73,93.93,94.1,3275095.0
2025-03-12,92.6,93.21,90.23,90.82,5986924.0
2025-03-13,90.96,91.61,90.28,90.52,2630357.0
2025-03-14,89.73,90.35,89.18,89.82,2136907.0
2025-03-17,90.19,91.38,89.75,90.71,2306003.0
2025-03-18,90.55,90.82,89.38,89.49,1613584.0
2025-03-19,89.38,90.54,89.19,90.44,3594869.0
2025-03-20,90.55,90.77,89.14,90.28,2650127.0
2025-03-21,90.11,91.36,89.99,90.3,3822500.0
2025-03-24,90.08,91.38,90.08,90.9,1861591.0
2025-03-25,90.97,90.98,89.04,89.59,2571900.0
2025-03-26,89.83,92.27,89.6,92.03,2144854.0
2025-03-27,92.87,93.28,91.93,93.19,1346558.0
2025-03-28,93.9,93.9,92.22,92.82,1508559.0
2025-03-31,93.26,94.33,93.06,93.7,2980552.0
2025-04-01,94.24,94.62,93.18,93.9,2800032.0
2025-04-02,93.99,94.24,92.6,93.55,1893230.0
2025-04-03,95.26,97.24,94.8,96.0,3144424.0
2025-04-04,96.95,97.73,91.32,91.66,4109113.0
2025-04-07,89.75,91.21,88.05,89.19,4038509.0
2025-04-08,90.3,90.62,87.72,88.6,3190297.0
2025-04-09,87.73,91.73,87.48,90.23,4291754.0
2025-04-10,90.14,92.71,89.52,91.8,3243049.0
2025-04-11,91.44,94.53,91.28,94.0,3127588.0
2025-04-14,94.04,95.31,93.49,94.98,1739895.0
2025-04-15,94.98,95.58,94.21,94.26,1706900.0
2025-04-16,94.91,95.0,93.21,93.49,1976936.0
2025-04-17,93.39,96.03,93.28,95.5,4434983.0
2025-04-21,95.8,96.23,94.16,94.7,4685263.0
2025-04-22,94.4,95.98,93.79,95.81,2757833.0
2025-04-23,95.0,95.0,92.71,93.89,5329628.0
2025-04-24,93.08,93.46,91.87,92.7,7874887.0
2025-04-25,95.49,95.81,91.84,93.91,5976208.0
2025-04-28,93.64,93.91,90.8,90.96,4596596.0
2025-04-29,90.69,92.62,89.83,92.33,3231570.0
2025-04-30,93.15,93.74,91.36,92.19,2392036.0
2025-05-01,91.16,91.92,90.43,90.69,1894729.0
2025-05-02,91.07,91.59,89.75,90.48,2775064.0
2025-05-05,90.94,91.05,90.2,90.74,1826937.0
2025-05-06,90.51,91.57,89.97,91.0,1750733.0
2025-05-07,90.69,91.42,90.1,90.88,1603134.0
2025-05-08,90.72,91.88,90.5,90.83,1542501.0
2025-05-09,90.66,90.96,89.71,89.81,1648067.0
2025-05-12,88.99,89.55,87.63,89.14,3167476.0
2025-05-13,88.98,88.98,86.94,87.88,2876887.0
2025-05-14,87.63,87.89,87.06,87.57,1973837.0
2025-05-15,87.97,89.68,87.95,89.63,2286255.0
2025-05-16,90.0,91.36,89.6,91.23,2711795.0
2025-05-19,91.5,91.85,90.57,91.74,2064319.0
2025-05-20,91.71,92.16,91.44,91.99,2130706.0
2025-05-21,91.33,91.94,91.03,91.67,2629755.0
2025-05-22,91.07,91.98,90.47,90.9,2507449.0
2025-05-23,91.93,92.74,90.71,92.59,4279633.0
2025-05-27,92.61,93.6,92.06,92.43,3817633.0
2025-05-28,92.15,93.42,91.65,91.76,2618884.0
2025-05-29,91.33,92.32,91.06,92.3,2620972.0
2025-05-30,92.75,93.48,92.27,92.94,2026586.0
2025-06-02,92.22,92.69,91.2,91.93,1615234.0
2025-06-03,91.71,91.72,90.43,90.62,2231531.0
2025-06-04,90.7,91.29,89.96,90.2,2027646.0
2025-06-05,90.23,90.36,89.43,90.15,2927632.0
2025-06-06,90.28,90.71,90.0,90.24,2817209.0
2025-06-09,89.76,91.37,89.71,90.87,3442964.0
2025-06-10,91.18,92.24,90.86,91.94,2477575.0
2025-06-11,91.86,92.63,91.51,92.11,2770430.0
2025-06-12,92.18,93.17,91.95,93.14,2667400.0
2025-06-13,92.87,93.05,90.09,90.26,2599382.0
2025-06-16,90.7,91.42,90.02,90.11,3148589.0
2025-06-17,90.28,90.28,88.53,88.63,2914083.0
2025-06-18,88.75,88.93,87.64,88.19,2592092.0
2025-06-20,88.03,88.68,87.76,87.78,3128771.0
2025-06-23,87.87,88.71,87.39,88.67,2863724.0
2025-06-24,88.4,88.75,87.4,88.18,2332992.0
2025-06-25,87.38,88.27,87.07,87.8,1688403.0
2025-06-26,87.87,88.35,87.43,87.79,3439452.0
2025-06-27,87.87,88.9,87.74,88.71,2353857.0
2025-06-30,88.54,91.25,88.5,90.9,3727189.0
2025-07-01,91.1,92.42,90.82,92.04,3558854.0
2025-07-02,91.83,92.43,91.36,92.4,2584308.0
2025-07-03,92.8,93.12,91.9,92.78,1903472.0
2025-07-07,92.72,94.19,92.66,93.33,3195823.0
2025-07-08,92.67,93.11,92.13,92.14,3459432.0
2025-07-09,92.15,92.53,91.08,91.58,3345888.0
2025-07-10,91.32,91.66,90.61,90.62,2322692.0
2025-07-11,90.06,90.27,89.1,89.58,2265542.0
2025-07-14,89.53,89.53,87.73,88.85,1940380.0
2025-07-15,88.85,89.69,88.07,88.15,2026475.0
2025-07-16,88.08,88.52,87.17,87.66,1922568.0
2025-07-17,87.66,88.33,86.95,87.24,1933554.0
2025-07-18,86.7,87.51,86.5,86.84,2566860.0
2025-07-21,86.64,87.21,86.57,86.64,1768261.0
2025-07-22,86.91,88.73,86.7,88.7,3057117.0
2025-07-23,88.86,88.87,88.18,88.79,1967436.0
2025-07-24,88.86,89.16,88.24,88.45,1199005.0
2025-07-25,88.39,88.81,87.49,87.93,1624455.0
2025-07-28,87.8,87.88,86.37,86.47,2267543.0
2025-07-29,86.88,88.02,86.46,86.86,2209935.0
2025-07-30,87.08,87.45,85.56,85.8,2495908.0
2025-07-31,85.53,85.65,83.53,83.85,4891424.0
2025-08-01,84.02,86.23,82.7,83.51,5953854.0
2025-08-04,83.39,84.0,82.4,83.36,3128895.0
2025-08-05,83.01,83.88,82.89,83.06,3430470.0
2025-08-06,83.16,84.91,82.58,84.61,3122606.0
2025-08-07,84.58,84.99,84.12,84.71,1999208.0
2025-08-08,84.46,85.14,84.32,84.69,1857963.0
2025-08-11,84.74,85.02,84.16,84.45,1793143.0
2025-08-12,84.55,85.0,84.18,84.97,2334481.0
2025-08-13,85.17,87.01,85.11,86.34,1662264.0
2025-08-14,85.65,85.78,84.46,84.65,1726511.0
2025-08-15,85.01,85.32,84.57,85.07,2209027.0
2025-08-18,85.25,85.33,84.25,84.26,2203440.0
2025-08-19,84.47,86.07,84.42,85.85,2717193.0
2025-08-20,86.19,87.95,85.45,86.05,3375444.0
2025-08-21,85.59,86.3,85.3,86.28,2717190.0
2025-08-22,86.57,87.33,85.32,85.94,2130053.0
2025-08-25,86.05,86.05,84.0,84.06,2268397.0
2025-08-26,84.0,84.84,83.85,84.14,1878065.0
2025-08-27,84.15,84.46,83.77,84.45,2120996.0
2025-08-28,84.28,84.68,83.22,83.42,2748172.0
2025-08-29,83.63,84.3,83.22,84.07,2119422.0
2025-09-02,84.17,84.59,83.57,84.39,2473351.0
2025-09-03,84.52,84.75,82.65,83.81,2299010.0
2025-09-04,84.1,84.1,83.02,83.67,3208215.0
2025-09-05,83.47,85.76,83.12,85.13,3565848.0
2025-09-08,84.92,85.08,83.97,84.19,1746026.0
2025-09-09,84.07,84.69,83.8,84.28,1821149.0
2025-09-10,83.71,84.09,82.29,83.2,2347058.0
