date,open,high,low,close,volume
2025-02-26,156.59,157.98,151.98,153.3,657326.0
2025-02-27,152.49,155.1,151.29,154.38,891930.0
2025-02-28,155.97,157.0,153.68,156.39,568650.0
2025-03-03,155.0,157.87,154.38,155.89,781621.0
2025-03-04,157.23,158.91,150.63,150.77,1214899.0
2025-03-05,150.75,152.41,149.46,149.76,659599.0
2025-03-06,149.62,150.33,146.7,148.37,943455.0
2025-03-07,148.08,152.73,147.9,151.03,2078677.0
2025-03-10,152.35,153.9,147.76,148.06,1110628.0
2025-03-11,147.5,150.06,146.44,148.43,955128.0
2025-03-12,146.79,147.99,145.1,147.5,876416.0
2025-03-13,147.58,148.41,146.19,146.95,776797.0
2025-03-14,146.12,147.61,145.51,147.16,533721.0
2025-03-17,147.26,148.88,146.78,148.43,381571.0
2025-03-18,147.76,148.47,144.63,144.88,734032.0
2025-03-19,144.5,145.36,143.95,145.16,429293.0
2025-03-20,145.44,146.17,144.59,145.34,550449.0
2025-03-21,145.53,147.29,144.32,144.84,644936.0
2025-03-24,145.1,146.68,143.69,143.91,920580.0
2025-03-25,143.81,144.0,140.94,141.76,790101.0
2025-03-26,141.45,143.94,141.23,142.98,763656.0
2025-03-27,144.0,145.94,142.72,145.63,570054.0
2025-03-28,146.52,146.78,145.56,146.28,475780.0
2025-03-31,146.23,148.48,146.23,147.25,401653.0
2025-04-01,148.08,148.08,146.51,147.91,429728.0
2025-04-02,148.05,148.34,146.05,147.62,300617.0
2025-04-03,148.47,150.6,148.04,148.69,491270.0
2025-04-04,148.72,150.84,143.31,143.86,1086759.0
2025-04-07,142.04,143.33,137.58,138.9,866809.0
2025-04-08,140.99,141.12,135.51,136.4,698882.0
2025-04-09,135.95,140.98,133.82,139.82,866789.0
2025-04-10,140.38,142.64,138.12,140.9,614851.0
2025-04-11,139.65,142.26,137.71,141.44,604369.0
2025-04-14,142.43,142.43,138.37,140.94,644334.0
2025-04-15,140.99,141.25,139.33,139.46,433916.0
2025-04-16,139.93,140.61,136.54,136.8,437984.0
2025-04-17,137.29,140.33,137.29,139.78,445866.0
2025-04-21,139.57,139.96,136.71,138.64,606589.0
2025-04-22,138.05,142.14,138.05,142.03,420401.0
2025-04-23,140.23,141.41,137.73,139.11,629774.0
2025-04-24,137.81,138.95,136.31,137.57,600237.0
2025-04-25,138.5,138.86,136.03,138.27,318301.0
2025-04-28,138.09,139.44,137.5,138.78,511510.0
2025-04-29,138.05,143.96,137.01,141.2,1080376.0
2025-04-30,141.96,142.38,139.04,142.3,594617.0
2025-05-01,140.93,141.5,138.31,138.54,916806.0
2025-05-02,139.7,140.25,138.26,139.08,538533.0
2025-05-05,139.19,139.35,137.82,138.39,781393.0
2025-05-06,134.0,135.85,129.74,135.05,1913559.0
2025-05-07,135.05,136.97,134.81,136.48,841674.0
2025-05-08,136.15,138.94,136.12,137.81,655262.0
2025-05-09,137.84,138.21,134.46,134.76,890752.0
2025-05-12,135.86,138.23,134.6,138.06,695215.0
2025-05-13,137.78,138.04,135.87,136.33,604379.0
2025-05-14,136.0,136.19,133.31,133.41,729442.0
2025-05-15,134.38,135.18,133.6,134.99,897605.0
2025-05-16,135.27,136.33,134.71,136.27,1151619.0
2025-05-19,135.99,136.37,134.1,134.84,1032704.0
2025-05-20,134.83,136.69,134.73,135.51,888162.0
2025-05-21,135.0,135.64,131.69,131.87,962180.0
2025-05-22,131.76,132.0,130.12,130.9,880424.0
2025-05-23,131.34,131.48,129.68,130.88,676945.0
2025-05-27,131.56,131.61,129.96,130.36,1001351.0
2025-05-28,130.72,131.88,129.78,130.16,663904.0
2025-05-29,130.14,131.66,129.9,130.99,622749.0
2025-05-30,131.0,131.97,130.76,131.88,903089.0
2025-06-02,130.78,131.26,129.66,130.29,678916.0
2025-06-03,130.03,130.65,129.03,130.09,704999.0
2025-06-04,130.09,131.14,129.57,129.65,539914.0
2025-06-05,129.1,129.31,126.99,127.3,973295.0
2025-06-06,127.78,128.33,127.0,127.69,466343.0
2025-06-09,127.32,128.2,126.4,127.5,666005.0
2025-06-10,127.89,128.32,126.56,126.89,665780.0
2025-06-11,127.14,127.44,125.77,126.26,611607.0
2025-06-12,126.39,127.32,126.0,127.28,772931.0
2025-06-13,126.44,127.1,122.83,123.07,860372.0
2025-06-16,123.52,124.67,123.07,123.93,1099277.0
2025-06-17,123.31,124.11,121.98,122.1,521095.0
2025-06-18,121.97,122.68,120.69,120.93,898146.0
2025-06-20,120.92,122.0,120.33,120.77,969138.0
2025-06-23,120.95,122.49,120.71,122.3,843954.0
2025-06-24,122.3,122.77,121.22,122.02,584416.0
2025-06-25,121.0,121.45,119.41,119.48,824693.0
2025-06-26,119.67,119.75,117.35,118.01,1003701.0
2025-06-27,118.5,119.34,118.14,119.14,1128096.0
2025-06-30,119.1,120.18,118.67,120.07,1047898.0
2025-07-01,120.51,124.1,120.51,123.54,1239591.0
2025-07-02,124.15,124.79,122.63,124.66,1078985.0
2025-07-03,124.84,125.63,124.32,124.84,514319.0
2025-07-07,124.23,125.32,123.53,124.55,768380.0
2025-07-08,124.17,127.12,123.69,125.96,1161114.0
2025-07-09,126.0,126.3,124.53,126.0,707313.0
2025-07-10,125.73,128.79,125.09,127.84,772870.0
2025-07-11,127.01,127.66,126.27,126.54,695473.0
2025-07-14,125.99,127.54,125.2,127.4,862776.0
2025-07-15,126.84,127.52,123.81,124.17,868586.0
2025-07-16,123.79,127.16,123.76,126.9,734967.0
2025-07-17,126.9,129.81,126.5,129.26,1024735.0
