date,open,high,low,close,volume
2025-02-26,33.52,33.57,32.79,32.88,23264589.026473098
2025-02-27,32.87,33.24,32.79,33.15,14652342.015371477
2025-02-28,33.43,33.81,33.28,33.61,16068054.013663534
2025-03-03,33.6,33.96,33.49,33.71,12208473.526900085
2025-03-04,33.87,34.02,33.04,33.26,21956158.198121265
2025-03-05,33.09,33.43,32.76,33.31,17200842.22886422
2025-03-06,33.3,34.04,33.12,33.98,17042443.424423568
2025-03-07,33.8,35.24,33.79,35.21,26898008.112724166
2025-03-10,35.05,35.58,33.75,33.83,30806652.43381725
2025-03-11,33.79,34.02,33.24,33.68,22283120.19641332
2025-03-12,33.5,33.61,32.69,32.97,15332057.002561912
2025-03-13,32.95,33.65,32.47,32.51,26319555.935098205
2025-03-14,32.9,33.34,32.46,33.19,18846466.695132364
2025-03-17,33.19,33.65,33.11,33.49,10358550.384286935
2025-03-18,33.56,33.85,33.32,33.73,10225748.29205807
2025-03-19,33.77,33.93,33.66,33.81,10803637.916310845
2025-03-20,33.68,34.37,33.59,34.19,10737734.84201537
2025-03-21,33.92,34.55,33.8,34.43,20204112.93766012
2025-03-24,34.46,34.55,34.17,34.29,12010447.267292911
2025-03-25,34.17,34.61,33.65,34.61,13958028.394534586
2025-03-26,34.66,35.34,34.53,35.01,15155694.918872757
2025-03-27,34.91,35.26,34.7,35.01,13659986.122971818
2025-03-28,35.0,35.11,34.28,34.31,11898509.820666097
2025-03-31,34.5,34.7,34.05,34.57,16262975.021349274
2025-04-01,34.61,34.79,34.21,34.4,16093664.6029035
2025-04-02,34.01,34.33,33.83,34.3,13113060.418445772
2025-04-03,34.33,34.34,33.35,33.46,19339613.578138344
2025-04-04,32.72,33.12,31.23,31.27,27158651.793339025
2025-04-07,30.89,32.26,30.33,31.35,34795966.054654144
2025-04-08,31.35,32.13,30.45,30.76,24655863.578138344
2025-04-09,30.45,33.02,30.16,32.96,30855084.329632793
2025-04-10,32.58,32.69,31.0,31.55,24511983.34756618
2025-04-11,31.79,31.85,31.12,31.59,19157348.420153715
2025-04-14,31.27,32.27,31.15,31.99,14954250.640478224
2025-04-15,32.22,32.56,32.09,32.23,11669038.215200683
2025-04-16,32.13,32.28,31.25,31.43,13551275.61912895
2025-04-17,31.71,32.13,31.54,31.86,12160784.585824082
2025-04-21,31.62,31.86,31.15,31.48,16956347.139197268
2025-04-22,31.69,32.09,31.6,32.04,16905722.67292912
2025-04-23,32.37,32.82,32.22,32.29,21901231.853116993
2025-04-24,29.96,31.24,29.45,31.09,36223926.131511524
2025-04-25,31.41,31.79,31.03,31.76,21729250.640478224
2025-04-28,31.72,32.08,31.5,31.64,15253410.546541417
2025-04-29,31.52,31.91,31.48,31.79,12775322.374039283
2025-04-30,31.64,32.1,31.05,32.04,14364693.63791631
2025-05-01,31.69,32.07,31.54,31.68,14975285.012809563
2025-05-02,31.85,32.35,31.83,32.28,18916636.421861656
