date,open,high,low,close,volume
2025-02-26,250.33,250.92,247.24,247.99,803028.0
2025-02-27,248.4,251.9,247.08,249.85,732435.0
2025-02-28,251.62,254.4,249.66,253.77,725510.0
2025-03-03,253.9,257.78,253.78,256.88,776368.0
2025-03-04,257.73,258.78,251.33,251.98,1004479.0
2025-03-05,252.36,257.11,251.88,254.48,1181165.0
2025-03-06,253.84,254.34,249.51,254.04,1105463.0
2025-03-07,252.78,256.5,250.51,254.57,1590757.0
2025-03-10,254.57,262.51,254.3,262.28,2392805.0
2025-03-11,262.77,263.65,257.24,260.43,2206429.0
2025-03-12,258.43,258.89,251.5,256.72,2405918.0
2025-03-13,255.93,261.08,254.96,259.84,1722197.0
2025-03-14,259.7,260.03,256.16,258.68,894309.0
2025-03-17,261.09,264.41,258.63,263.58,1153082.0
2025-03-18,263.5,266.63,262.96,266.49,1410291.0
2025-03-19,264.79,267.91,264.01,265.47,1402372.0
2025-03-20,265.0,267.58,264.45,266.54,1015358.0
2025-03-21,266.3,267.78,263.02,263.35,1693126.0
2025-03-24,263.23,263.8,260.81,262.94,837239.0
2025-03-25,262.17,263.43,259.89,262.06,1326334.0
2025-03-26,262.61,263.36,261.01,262.72,764781.0
2025-03-27,263.08,264.31,261.57,261.85,981533.0
2025-03-28,262.56,263.83,261.75,262.22,912076.0
2025-03-31,262.71,265.79,261.74,265.29,986909.0
2025-04-01,263.99,264.66,261.98,262.24,769528.0
2025-04-02,261.41,265.56,261.07,262.54,1072601.0
2025-04-03,264.99,271.22,263.48,268.36,2588590.0
2025-04-04,269.44,273.42,254.19,254.46,3348576.0
2025-04-07,254.07,259.42,250.16,252.37,3293439.0
2025-04-08,256.8,258.85,252.0,255.03,3380834.0
2025-04-09,252.79,259.38,248.53,254.13,3341649.0
2025-04-10,256.8,260.62,252.87,258.39,1391815.0
2025-04-11,259.05,264.45,258.89,261.54,1338777.0
2025-04-14,260.98,265.25,257.61,263.69,1100056.0
2025-04-15,264.12,265.51,262.16,262.87,719894.0
2025-04-16,263.32,264.94,260.71,261.39,894085.0
2025-04-17,262.07,265.21,261.44,262.53,734480.0
2025-04-21,263.28,264.38,257.89,260.33,925310.0
2025-04-22,261.89,265.9,260.78,265.56,1026180.0
2025-04-23,256.69,262.01,251.9,261.48,1751748.0
2025-04-24,261.48,266.34,258.63,263.27,1044135.0
2025-04-25,263.02,266.46,261.3,266.3,773891.0
2025-04-28,266.83,268.92,265.75,267.92,700215.0
2025-04-29,268.24,272.89,267.39,272.36,609466.0
2025-04-30,272.2,278.16,270.24,277.08,701524.0
2025-05-01,275.21,278.35,273.91,277.11,961477.0
2025-05-02,278.11,282.1,277.75,280.45,1057537.0
2025-05-05,280.42,283.11,278.64,282.56,555314.0
2025-05-06,282.28,285.94,281.0,282.98,685755.0
2025-05-07,282.42,286.48,281.85,284.82,533434.0
2025-05-08,283.7,285.11,281.66,281.99,648360.0
2025-05-09,282.44,284.66,281.96,284.35,363266.0
2025-05-12,280.46,280.85,267.06,270.47,2531869.0
2025-05-13,270.01,272.41,268.18,268.34,1482366.0
2025-05-14,268.76,269.27,265.72,266.28,1119315.0
2025-05-15,268.07,274.24,266.85,274.0,900998.0
2025-05-16,274.63,276.56,273.43,276.29,661158.0
2025-05-19,277.29,279.87,276.37,277.94,690414.0
2025-05-20,278.27,278.42,275.81,277.87,558881.0
2025-05-21,277.21,282.2,276.81,281.74,960062.0
2025-05-22,281.93,284.04,280.38,282.0,821230.0
2025-05-23,281.8,285.87,280.39,284.07,965656.0
2025-05-27,283.69,284.91,281.37,284.36,679075.0
2025-05-28,284.58,287.05,284.0,285.98,819621.0
2025-05-29,284.97,287.1,284.24,285.87,515439.0
