date,open,high,low,close,volume
2025-02-26,72.65,73.36,72.57,73.2,1620555.0
2025-02-27,72.57,73.35,72.26,72.34,1291467.0
2025-02-28,72.92,73.34,72.04,73.05,1235367.0
2025-03-03,72.71,74.19,72.68,74.06,1301019.0
2025-03-04,74.44,75.06,72.82,72.87,1364979.0
2025-03-05,72.27,73.05,71.95,72.38,1141679.0
2025-03-06,72.32,72.49,71.28,71.64,902914.0
2025-03-07,71.71,73.46,71.5,73.08,1841847.0
2025-03-10,73.37,74.88,73.0,74.01,1598065.0
2025-03-11,73.8,74.23,72.05,72.08,1564853.0
2025-03-12,71.5,72.02,70.94,71.18,1308907.0
2025-03-13,71.51,72.04,71.06,71.88,778705.0
2025-03-14,71.61,72.89,71.51,72.77,830798.0
2025-03-17,73.0,73.84,72.71,73.26,912916.0
2025-03-18,72.78,73.63,72.7,73.5,920173.0
2025-03-19,73.31,73.99,73.05,73.71,891889.0
2025-03-20,73.86,73.9,73.19,73.69,613511.0
2025-03-21,73.85,74.31,73.02,73.5,2087799.0
2025-03-24,73.45,74.13,73.09,73.14,1335850.0
2025-03-25,73.0,73.31,71.49,72.04,1277766.0
2025-03-26,72.21,73.52,72.05,73.31,792412.0
2025-03-27,73.54,73.75,73.03,73.15,551842.0
2025-03-28,73.78,74.73,73.02,74.18,1450253.0
2025-03-31,74.47,75.52,74.34,75.11,1566706.0
2025-04-01,74.9,75.3,74.31,75.14,1339073.0
2025-04-02,75.2,75.45,74.47,74.66,914986.0
2025-04-03,75.67,76.45,74.67,75.51,2295731.0
2025-04-04,76.38,76.38,72.38,72.69,2344254.0
2025-04-07,71.66,72.91,70.5,70.94,2236968.0
2025-04-08,71.79,72.46,69.45,70.19,1493777.0
2025-04-09,69.75,71.94,68.15,71.13,2475235.0
2025-04-10,71.13,72.2,70.02,71.55,1492002.0
2025-04-11,71.47,72.29,69.7,71.82,1906333.0
2025-04-14,72.0,73.75,71.6,73.53,1162254.0
2025-04-15,73.67,73.98,72.68,72.71,1327900.0
2025-04-16,73.29,73.43,71.86,72.17,839367.0
2025-04-17,72.62,73.96,72.27,72.91,1319627.0
2025-04-21,72.74,73.09,71.47,72.1,2471429.0
2025-04-22,72.64,73.83,72.46,73.7,2642557.0
2025-04-23,73.72,73.82,72.46,73.5,3101279.0
2025-04-24,73.64,75.5,73.46,74.14,3345548.0
2025-04-25,74.61,74.61,72.07,72.18,1701395.0
2025-04-28,72.24,72.67,71.81,72.51,1488983.0
2025-04-29,72.35,73.79,72.06,73.63,2661416.0
2025-04-30,74.04,74.2,72.41,73.65,1911304.0
2025-05-01,73.5,73.99,72.85,72.97,1524291.0
2025-05-02,73.24,73.53,72.31,72.91,1027306.0
2025-05-05,72.65,73.29,72.25,73.04,1088561.0
2025-05-06,72.92,74.18,72.7,73.37,1790541.0
2025-05-07,73.28,74.41,73.21,73.95,1345159.0
2025-05-08,73.65,73.95,72.45,72.6,1089254.0
2025-05-09,72.32,72.35,71.25,72.28,1253408.0
2025-05-12,71.22,71.55,69.79,70.08,1189007.0
