date,open,high,low,close,volume
2025-02-26,60.79,60.87,56.39,56.9,3589263.0
2025-02-27,57.6,59.21,57.41,58.19,3070051.0
2025-02-28,57.98,58.52,57.07,58.16,2514585.0
2025-03-03,58.33,58.93,57.83,58.59,2218629.0
2025-03-04,58.33,59.36,57.87,57.87,2265131.0
2025-03-05,58.02,59.59,57.79,59.0,2819555.0
2025-03-06,58.9,59.69,58.2,59.45,2234944.0
2025-03-07,59.16,60.88,58.96,60.03,3748680.0
2025-03-10,60.29,61.35,59.33,59.44,4091782.0
2025-03-11,59.68,59.69,56.99,58.57,3653377.0
2025-03-12,58.17,60.96,56.91,58.45,3997299.0
2025-03-13,58.33,58.85,57.31,57.96,2399634.0
2025-03-14,57.94,58.56,57.46,58.19,2736987.0
2025-03-17,57.84,59.45,57.8,59.24,1723757.0
2025-03-18,59.28,59.75,58.84,59.66,1504412.0
2025-03-19,59.58,60.0,58.51,59.23,1230568.0
2025-03-20,59.03,59.75,58.63,59.62,1136837.0
2025-03-21,59.48,59.81,58.47,58.9,2254818.0
2025-03-24,58.97,59.98,58.47,59.34,1210760.0
2025-03-25,59.76,59.83,58.51,58.94,1541736.0
2025-03-26,59.12,61.08,59.02,60.54,1871247.0
2025-03-27,59.5,61.0,58.52,60.23,2056344.0
2025-03-28,60.76,61.07,59.9,60.04,1259098.0
2025-03-31,60.1,61.1,59.7,60.71,1994321.0
2025-04-01,60.65,61.13,60.17,60.45,1045768.0
2025-04-02,59.93,60.81,59.79,60.73,1238394.0
2025-04-03,60.89,64.59,60.63,64.29,5384571.0
2025-04-04,64.26,65.9,61.88,61.93,5095564.0
2025-04-07,61.64,62.65,59.66,61.35,3939242.0
2025-04-08,66.03,66.03,61.92,62.4,3730220.0
2025-04-09,61.63,63.97,60.91,62.63,3204290.0
2025-04-10,62.87,63.56,61.18,62.39,3514335.0
2025-04-11,62.36,63.94,61.94,63.86,2185033.0
2025-04-14,63.61,63.86,62.08,63.01,1657960.0
2025-04-15,62.88,63.03,62.08,62.28,1430052.0
2025-04-16,62.69,63.15,61.61,61.98,1715855.0
2025-04-17,58.7,61.57,58.53,60.7,3480018.0
2025-04-21,60.71,60.94,57.84,58.01,2516679.0
2025-04-22,58.75,60.25,57.82,60.23,1965090.0
2025-04-23,60.22,62.42,59.91,62.12,2285306.0
2025-04-24,61.87,62.02,59.71,61.58,2887006.0
2025-04-25,58.4,58.9,56.06,57.69,5298397.0
2025-04-28,57.95,59.82,57.71,59.47,4084270.0
