date,open,high,low,close,volume
2025-02-26,97.3,97.4,95.22,96.13,3530978.0
2025-02-27,97.2,98.99,96.31,97.37,3537586.0
2025-02-28,97.13,99.19,96.09,99.15,3927528.0
2025-03-03,99.75,99.76,91.56,92.63,8011389.0
2025-03-04,91.06,92.11,88.47,90.64,9160705.0
2025-03-05,88.83,89.4,86.81,88.88,8082937.0
2025-03-06,88.8,89.64,87.92,88.6,5639940.0
2025-03-07,89.39,91.07,89.39,90.63,5427185.0
2025-03-10,91.45,94.03,90.65,92.9,6805096.0
2025-03-11,92.9,96.14,92.9,95.41,8416447.0
2025-03-12,95.34,97.79,95.01,97.75,6210555.0
2025-03-13,97.0,99.37,96.14,96.19,7225326.0
2025-03-14,96.94,99.64,96.22,98.95,4350318.0
2025-03-17,99.25,100.52,99.02,99.36,4347890.0
2025-03-18,100.46,100.93,98.73,100.53,4670161.0
2025-03-19,100.5,102.66,100.27,101.33,4652721.0
2025-03-20,101.15,102.63,100.84,102.31,6392689.0
2025-03-21,102.41,102.96,101.34,101.92,8402873.0
2025-03-24,102.03,102.93,101.57,102.19,3156710.0
2025-03-25,102.61,103.35,101.42,102.55,3291116.0
2025-03-26,103.65,104.87,102.61,103.2,3612727.0
2025-03-27,102.9,103.84,102.23,102.82,2467765.0
2025-03-28,102.44,103.26,101.61,102.37,2014117.0
2025-03-31,102.22,105.46,102.01,105.02,3413823.0
2025-04-01,104.91,105.71,104.02,105.39,3907841.0
2025-04-02,104.4,106.2,104.24,106.1,2925515.0
2025-04-03,100.33,101.44,95.12,95.25,7770058.0
2025-04-04,92.1,92.65,85.55,86.29,8946608.0
2025-04-07,84.01,89.42,81.72,85.67,8253303.0
2025-04-08,87.15,88.28,81.27,82.66,6851435.0
2025-04-09,81.11,92.47,79.88,91.51,10929635.0
2025-04-10,88.5,88.65,80.8,83.29,9818868.0
2025-04-11,83.3,86.98,82.46,86.39,5983800.0
2025-04-14,88.6,88.63,85.59,86.45,3729404.0
2025-04-15,86.6,87.71,85.47,85.72,3097371.0
2025-04-16,86.38,88.36,86.01,86.36,3500673.0
2025-04-17,87.81,90.48,87.69,88.98,4865343.0
2025-04-21,87.26,87.86,86.33,87.55,3796136.0
2025-04-22,88.89,90.47,87.82,89.76,3168108.0
2025-04-23,90.78,91.67,89.08,89.93,4670970.0
2025-04-24,90.75,92.21,90.13,91.8,3783014.0
2025-04-25,90.65,92.01,90.61,91.72,2586043.0
2025-04-28,91.62,93.34,91.62,92.93,2653315.0
2025-04-29,90.95,92.61,90.39,91.88,2581619.0
2025-04-30,90.73,90.75,88.07,89.12,3819708.0
2025-05-01,88.43,91.38,88.25,90.65,4622638.0
2025-05-02,91.76,92.44,89.7,91.41,3410279.0
2025-05-05,89.81,89.81,87.55,87.61,5459486.0
2025-05-06,88.52,89.57,87.58,87.63,5726181.0
2025-05-07,88.2,88.32,86.88,87.71,5568920.0
2025-05-08,89.19,92.26,88.69,88.82,8131682.0
2025-05-09,90.89,91.07,88.3,88.59,4415619.0
2025-05-12,93.39,94.22,92.08,92.27,4512923.0
2025-05-13,92.73,95.08,92.29,94.17,4656623.0
2025-05-14,93.01,93.82,92.37,92.57,4296054.0
2025-05-15,90.91,93.08,90.73,92.96,3984746.0
2025-05-16,93.57,93.62,91.51,92.43,3958485.0
2025-05-19,91.75,91.9,90.0,90.41,4034240.0
2025-05-20,90.16,90.43,89.22,89.69,3232727.0
2025-05-21,89.56,89.56,87.04,87.15,4342025.0
2025-05-22,86.38,86.57,84.86,86.13,3308564.0
2025-05-23,85.04,85.72,84.77,85.19,3102904.0
2025-05-27,85.65,85.79,84.55,85.55,3921528.0
2025-05-28,86.52,86.61,84.28,84.58,4188822.0
2025-05-29,84.8,85.61,84.33,85.6,3601029.0
2025-05-30,84.95,86.05,84.54,85.35,4960533.0
2025-06-02,87.05,87.56,85.86,86.72,5473751.0
2025-06-03,86.66,88.6,85.38,87.91,3177183.0
2025-06-04,87.95,88.87,85.8,85.95,4319171.0
2025-06-05,86.84,86.84,85.23,85.35,2874514.0
2025-06-06,86.75,87.79,86.72,87.22,2943155.0
2025-06-09,87.8,88.81,87.02,88.04,3459688.0
2025-06-10,89.33,91.69,89.08,91.18,5996755.0
2025-06-11,91.82,93.82,91.14,93.35,4572233.0
2025-06-12,92.7,94.76,92.13,94.69,4185993.0
2025-06-13,96.53,98.25,95.46,96.96,11143364.0
2025-06-16,96.12,96.92,94.01,95.0,6152740.0
2025-06-17,95.93,96.75,94.82,95.5,5754727.0
2025-06-18,95.52,96.15,93.31,93.8,4748253.0
2025-06-20,94.35,95.18,93.69,94.69,5420900.0
2025-06-23,96.25,96.31,91.15,91.71,5445096.0
2025-06-24,90.24,91.65,89.03,89.39,6098564.0
2025-06-25,89.31,90.02,88.8,89.0,4284663.0
2025-06-26,89.28,90.91,89.21,90.89,3718963.0
2025-06-27,90.9,90.95,89.8,90.17,2559163.0
2025-06-30,89.51,90.19,89.1,89.74,3345139.0
2025-07-01,89.86,92.33,89.2,91.99,3172802.0
2025-07-02,93.12,94.48,91.91,94.44,3256071.0
2025-07-03,93.95,94.77,93.55,93.68,1666102.0
2025-07-07,93.35,93.72,91.24,92.55,3250967.0
2025-07-08,92.55,96.92,92.52,95.79,5289783.0
2025-07-09,95.22,95.79,94.4,94.53,2767173.0
2025-07-10,94.1,95.54,93.2,95.37,2207089.0
2025-07-11,94.7,96.19,94.66,95.61,2404092.0
2025-07-14,94.96,95.66,93.81,94.17,2917873.0
2025-07-15,94.27,94.56,92.47,92.55,2048303.0
2025-07-16,92.41,93.0,91.1,91.51,1975589.0
2025-07-17,91.1,92.97,90.77,92.81,2715184.0
2025-07-18,93.37,93.75,90.92,91.64,4686329.0
2025-07-21,91.74,92.15,90.9,91.0,2503279.0
2025-07-22,91.25,93.3,91.15,92.98,3346046.0
2025-07-23,93.54,95.28,93.15,95.04,3737775.0
2025-07-24,94.4,95.79,94.3,95.62,2574449.0
2025-07-25,95.7,96.01,94.73,94.95,2586043.0
2025-07-28,95.69,97.32,95.69,97.02,2705221.0
2025-07-29,97.31,98.07,96.65,97.99,2690557.0
2025-07-30,97.39,97.45,95.87,96.67,3500120.0
2025-07-31,95.26,96.95,95.1,95.34,2626893.0
2025-08-01,94.94,95.49,92.38,92.76,3336549.0
2025-08-04,92.25,93.87,92.1,92.85,2562018.0
2025-08-05,93.15,93.52,91.95,93.2,2319248.0
2025-08-06,94.59,95.7,92.57,93.11,3716255.0
2025-08-07,92.04,95.14,91.18,92.6,5647146.0
2025-08-08,93.56,94.93,91.7,93.91,5059315.0
2025-08-11,94.61,95.5,92.87,93.53,3290430.0
2025-08-12,94.39,96.78,93.53,94.59,4004024.0
2025-08-13,94.4,95.88,94.26,95.88,2718279.0
2025-08-14,95.6,95.78,94.29,95.65,2010774.0
2025-08-15,95.45,96.43,94.73,95.33,4201961.0
2025-08-18,94.46,94.6,93.34,94.0,2438878.0
2025-08-19,93.54,94.56,93.19,93.76,2118753.0
2025-08-20,94.0,95.2,93.95,94.89,2671217.0
2025-08-21,94.76,95.37,93.81,94.78,3217171.0
2025-08-22,95.23,97.4,95.18,96.78,3636608.0
2025-08-25,96.79,98.22,96.2,98.18,2927310.0
2025-08-26,97.63,98.0,96.38,97.05,2216410.0
2025-08-27,97.1,98.63,96.77,97.9,3041455.0
2025-08-28,98.07,98.66,96.83,98.45,1815680.0
2025-08-29,98.29,99.32,98.06,98.97,2189467.0
2025-09-02,99.1,99.65,97.78,98.99,2521701.0
2025-09-03,97.63,98.28,94.33,94.65,5966555.0
2025-09-04,94.55,96.17,93.98,95.77,3028462.0
2025-09-05,94.13,94.87,92.13,92.95,4228812.0
2025-09-08,93.03,93.23,90.5,91.4,5810896.0
2025-09-09,92.31,93.66,91.45,91.86,2985295.0
2025-09-10,91.86,94.33,91.69,94.32,2321068.0
2025-09-11,92.83,94.16,92.67,94.13,2310626.0
2025-09-12,94.76,95.07,92.42,92.43,2374698.0
2025-09-15,92.7,93.05,91.69,92.33,2705361.0
2025-09-16,93.08,95.1,92.65,94.54,4874589.0
2025-09-17,94.02,95.2,93.14,93.82,4239128.0
2025-09-18,93.6,94.4,92.91,93.48,1975703.0
2025-09-19,93.79,93.83,91.36,91.92,4505178.0
2025-09-22,91.5,92.83,91.08,92.01,2612809.0
2025-09-23,92.6,95.53,92.6,93.47,4018801.0
2025-09-24,94.49,96.65,94.0,95.63,3855985.0
2025-09-25,95.2,97.07,95.2,96.81,4393896.0
2025-09-26,97.06,99.65,96.86,98.48,3839841.0
2025-09-29,97.2,97.4,94.66,95.85,3835794.0
2025-09-30,94.61,95.07,93.55,94.59,3870650.0
2025-10-01,94.27,95.94,93.83,95.46,2412093.0
2025-10-02,95.0,96.14,93.12,93.38,2932775.0
2025-10-03,93.66,94.71,93.48,94.16,2062495.0
2025-10-06,94.78,95.42,94.34,94.91,1511357.0
2025-10-07,94.61,95.28,92.63,95.23,2092820.0
2025-10-08,95.19,95.21,93.29,93.75,2932855.0
2025-10-09,93.92,95.02,91.82,91.95,4421046.0
2025-10-10,90.92,91.0,87.64,87.64,4679991.0
2025-10-13,88.36,88.98,87.58,88.78,3492129.0
2025-10-14,86.9,88.89,86.75,88.17,3113787.0
2025-10-15,88.93,88.99,86.59,87.74,3479515.0
2025-10-16,87.62,88.43,85.6,86.91,4827308.0
2025-10-17,86.93,87.49,86.13,86.48,3232802.0
2025-10-20,86.7,87.25,86.2,87.06,2497332.0
2025-10-21,87.25,87.68,86.24,86.41,3407217.0
2025-10-22,87.27,87.76,86.52,87.41,4159681.0
2025-10-23,89.71,90.99,89.15,90.08,4325313.0
2025-10-24,90.49,90.6,87.93,88.03,5408770.0
2025-10-27,88.7,89.39,88.31,88.69,3213467.0
2025-10-28,88.3,88.36,86.69,86.79,2828426.0
2025-10-29,86.85,88.41,86.74,88.08,2473554.0
2025-10-30,87.93,89.26,87.29,88.14,2965635.0
2025-10-31,87.91,89.61,87.53,88.86,2640322.0
2025-11-03,88.7,88.83,87.39,88.57,2986855.0
2025-11-04,87.37,88.07,87.01,87.91,2486485.0
2025-11-05,87.61,88.71,87.56,87.7,2733012.0
2025-11-06,87.0,88.36,85.57,85.66,7839112.0
2025-11-07,86.1,87.38,85.59,86.83,4158893.0
2025-11-10,87.33,88.55,86.4,88.23,3081441.0
2025-11-11,89.12,91.39,88.8,90.69,3439429.0
2025-11-12,89.33,90.26,88.94,89.07,2915154.0
2025-11-13,89.54,90.66,88.63,89.42,3017052.0
2025-11-14,90.24,91.82,88.67,91.37,4228558.0
2025-11-17,90.53,90.72,88.1,88.72,3869682.0
2025-11-18,88.4,90.35,88.1,89.68,2587419.0
2025-11-19,88.0,88.5,87.04,87.98,2336868.0
2025-11-20,88.49,90.59,87.43,87.47,2755707.0
2025-11-21,87.4,88.49,86.54,87.37,3753485.0
2025-11-24,87.1,88.13,86.32,87.56,2781353.0
2025-11-25,86.66,86.98,85.7,86.62,3495471.0
2025-11-26,86.45,87.64,86.4,87.09,2048317.0
2025-11-28,87.09,89.39,86.88,88.69,1846933.0
2025-12-01,89.13,91.18,88.78,90.26,3617708.0
2025-12-02,90.08,90.4,88.58,89.29,2442267.0
2025-12-03,90.02,91.84,89.96,91.81,2983089.0
2025-12-04,91.64,93.2,91.63,93.12,3769978.0
2025-12-05,92.27,95.07,92.08,93.69,5258337.0
2025-12-08,92.53,94.24,92.26,92.88,3838747.0
2025-12-09,92.63,93.63,92.18,93.43,3335749.0
2025-12-10,93.73,97.41,93.56,96.8,5699071.0
2025-12-11,96.16,97.71,95.91,96.71,4629862.0
2025-12-12,97.44,97.66,95.24,95.54,2915848.0
2025-12-15,95.54,95.6,93.31,94.36,3267841.0
2025-12-16,93.33,93.41,90.76,90.77,3869716.0
2025-12-17,91.93,95.12,91.8,94.96,4885178.0
2025-12-18,94.25,94.49,92.16,92.23,3270039.0
2025-12-19,92.45,93.4,91.6,91.94,4451384.0
2025-12-22,93.11,94.53,92.57,93.31,2493529.0
2025-12-23,93.35,93.78,92.44,92.73,2077385.0
2025-12-24,92.75,93.16,91.69,91.8,1476904.0
2025-12-26,91.91,92.48,90.75,91.54,2627742.0
2025-12-29,92.0,92.73,91.7,92.63,2767104.0
2025-12-30,93.35,94.31,93.11,94.1,2487046.0
2025-12-31,94.45,94.59,93.42,93.61,1429704.0
2026-01-02,93.61,96.94,93.13,96.7,3575482.0
2026-01-05,101.2,102.98,97.11,99.2,9504110.0
2026-01-06,100.2,100.31,96.98,97.11,4608615.0
2026-01-07,97.19,97.24,93.91,93.94,4120463.0
2026-01-08,94.4,99.86,94.33,98.72,5624467.0
2026-01-09,99.14,100.3,97.28,97.51,5394652.0
2026-01-12,98.61,98.73,94.68,95.5,5812831.0
2026-01-13,97.0,97.75,95.9,96.46,4517187.0
2026-01-14,96.6,101.92,96.6,100.34,7686854.0
2026-01-15,98.99,100.52,98.16,98.93,3600581.0
2026-01-16,97.5,98.95,97.12,98.19,4318903.0
2026-01-20,97.88,98.67,94.97,95.52,6694639.0
2026-01-21,97.04,97.92,96.38,97.15,6461393.0
2026-01-22,97.01,97.01,95.97,96.88,4503219.0
2026-01-23,98.38,99.41,97.69,98.35,3943141.0
2026-01-26,99.55,99.7,97.77,98.45,3545180.0
2026-01-27,98.75,99.93,98.29,99.87,3916068.0
2026-01-28,100.43,101.52,99.84,101.39,3331098.0
2026-01-29,104.3,105.72,102.69,102.8,7671397.0
2026-01-30,102.31,104.27,101.72,104.23,4123220.0
2026-02-02,101.51,103.06,100.5,101.79,3700014.0
2026-02-03,102.42,105.23,101.75,104.91,4565080.0
2026-02-04,105.47,108.34,105.46,107.59,4832337.0
2026-02-05,106.95,108.44,103.15,104.98,4362676.0
2026-02-06,105.25,108.13,105.12,107.62,3152470.0
2026-02-09,107.6,108.89,107.06,108.7,2867978.0
2026-02-10,108.55,108.68,107.11,107.5,2787215.0
2026-02-11,108.5,111.44,108.43,111.21,5374586.0
2026-02-12,111.21,111.98,108.7,110.83,7378736.0
2026-02-13,110.39,112.07,110.39,111.43,3742896.0
2026-02-17,111.66,112.97,107.87,108.78,3646356.0
2026-02-18,109.92,110.81,108.84,110.52,4916880.0
2026-02-19,112.0,113.8,111.07,111.59,5071150.0
2026-02-20,111.22,111.44,109.58,110.53,2918937.0
2026-02-23,110.7,111.91,109.68,109.88,2263280.0
2026-02-24,110.24,110.9,108.4,110.59,2068801.0
2026-02-25,110.99,111.53,108.66,110.01,2379531.0
