date,open,high,low,close,volume
2025-02-26,101.35,103.6,101.35,102.33,3249984.0
2025-02-27,100.45,104.19,99.68,101.5,5635825.0
2025-02-28,101.51,102.93,99.81,102.52,3419449.0
2025-03-03,103.95,104.25,99.43,99.97,2465733.0
2025-03-04,97.02,98.72,92.71,96.31,7156600.0
2025-03-05,98.81,103.34,98.11,102.74,6538623.0
2025-03-06,101.71,102.37,98.38,98.78,3364813.0
2025-03-07,98.55,98.7,94.15,97.51,5598448.0
2025-03-10,92.4,94.57,91.9,93.77,7697611.0
2025-03-11,93.91,96.6,92.17,94.63,7773368.0
2025-03-12,96.22,98.9,96.2,98.38,4877889.0
2025-03-13,97.65,98.22,94.45,94.6,2744047.0
2025-03-14,95.71,97.1,94.9,97.02,3716017.0
2025-03-17,96.13,98.01,96.13,97.33,3591740.0
2025-03-18,96.8,96.91,95.26,96.14,3565892.0
2025-03-19,96.23,99.83,95.97,98.76,4471386.0
2025-03-20,97.98,99.91,96.88,97.59,4953143.0
2025-03-21,95.84,96.3,92.85,94.65,14817725.0
2025-03-24,96.48,98.26,96.06,98.13,5324543.0
2025-03-25,97.93,98.77,96.99,98.61,3956826.0
2025-03-26,97.89,98.61,94.58,94.58,2301392.0
2025-03-27,93.9,94.03,91.83,92.14,3251377.0
2025-03-28,91.06,91.29,87.55,88.14,4691321.0
2025-03-31,85.76,88.42,84.96,87.97,3935562.0
2025-04-01,87.49,88.96,86.55,88.85,2897839.0
2025-04-02,88.32,91.34,87.88,90.63,3040071.0
2025-04-03,84.65,87.84,84.23,86.35,5860368.0
2025-04-04,80.66,82.69,78.74,80.87,6293391.0
2025-04-07,78.66,84.91,76.75,81.22,4685419.0
2025-04-08,84.78,85.2,78.7,80.35,3925114.0
2025-04-09,79.81,89.82,77.78,89.03,6988882.0
2025-04-10,84.12,85.42,81.31,83.26,5351732.0
2025-04-11,84.19,85.38,82.21,84.74,3487836.0
2025-04-14,86.46,87.01,85.05,85.78,2543156.0
2025-04-15,86.49,87.0,85.56,85.95,1942973.0
2025-04-16,86.06,86.63,84.02,85.02,2058651.0
2025-04-17,84.6,85.83,83.47,84.75,2817654.0
2025-04-21,84.33,85.17,81.6,82.71,1799643.0
2025-04-22,83.56,86.13,83.19,85.72,3497187.0
2025-04-23,88.88,90.17,87.71,87.81,3214453.0
2025-04-24,88.11,92.07,87.53,91.35,3386658.0
2025-04-25,92.51,93.38,91.77,92.44,3969974.0
2025-04-28,92.45,93.68,92.35,93.04,2219068.0
2025-04-29,93.0,93.75,91.34,93.46,1973335.0
2025-04-30,92.81,95.61,92.13,95.42,3316565.0
2025-05-01,96.79,97.82,96.24,96.28,3087523.0
2025-05-02,97.93,99.12,97.23,98.51,2970234.0
2025-05-05,97.71,98.67,97.15,98.25,3160956.0
2025-05-06,94.38,95.62,93.79,93.95,4718934.0
2025-05-07,94.53,94.63,91.42,91.82,5716423.0
2025-05-08,92.88,95.14,92.44,93.94,3159795.0
2025-05-09,94.5,94.87,93.76,94.59,2011807.0
2025-05-12,99.26,100.01,97.55,98.73,3334046.0
2025-05-13,99.7,100.41,97.98,98.16,2949378.0
2025-05-14,99.4,99.4,97.31,97.47,1877343.0
2025-05-15,96.3,97.9,96.3,97.83,1553580.0
2025-05-16,97.59,99.08,97.43,98.94,1605292.0
2025-05-19,97.19,98.79,96.72,98.65,3105330.0
2025-05-20,98.58,98.62,96.61,96.72,1916686.0
2025-05-21,96.06,96.79,94.98,95.08,2267730.0
2025-05-22,94.02,95.82,93.7,95.16,1938943.0
2025-05-23,92.95,94.75,92.8,94.09,2103745.0
2025-05-27,95.12,95.7,94.56,95.21,2256122.0
2025-05-28,94.48,94.7,91.8,91.96,1726783.0
2025-05-29,92.68,92.75,91.13,91.96,4240445.0
2025-05-30,90.23,91.42,89.29,91.16,3921937.0
2025-06-02,90.64,91.0,88.85,90.99,2544585.0
2025-06-03,90.56,91.76,90.35,91.12,2426536.0
2025-06-04,91.3,91.79,90.82,90.88,1701098.0
2025-06-05,92.06,93.22,90.74,92.8,2240186.0
2025-06-06,93.34,93.71,92.01,92.54,1098211.0
2025-06-09,92.49,93.53,91.92,93.18,2116852.0
2025-06-10,93.26,93.76,92.42,92.9,2062356.0
2025-06-11,93.14,93.24,90.67,91.08,2445835.0
2025-06-12,90.59,93.42,90.36,92.61,2081024.0
2025-06-13,89.84,91.39,89.69,90.04,1627320.0
2025-06-16,90.89,91.72,90.19,90.51,2534320.0
2025-06-17,90.61,90.65,89.58,89.81,1556418.0
2025-06-18,89.0,90.79,88.92,89.03,2223861.0
2025-06-20,87.56,88.94,87.39,88.15,4553119.0
2025-06-23,87.62,89.93,86.82,89.93,2701405.0
2025-06-24,90.99,91.68,90.02,91.52,2316379.0
2025-06-25,91.15,91.46,88.64,88.67,1987061.0
2025-06-26,88.36,89.49,86.97,89.07,3581822.0
2025-06-27,90.17,91.97,89.63,91.52,3011751.0
2025-06-30,91.54,92.34,91.22,91.8,2098593.0
2025-07-01,91.81,94.73,91.43,93.3,2397869.0
2025-07-02,94.07,94.53,93.37,94.47,2090103.0
2025-07-03,95.26,95.67,94.73,94.94,2030968.0
2025-07-07,95.0,95.56,93.7,94.34,1578568.0
2025-07-08,94.67,95.09,94.01,94.65,1349655.0
2025-07-09,95.66,96.54,94.44,96.47,1952775.0
2025-07-10,96.08,96.56,95.61,95.89,2157781.0
2025-07-11,95.45,95.54,94.65,95.24,1240911.0
2025-07-14,94.43,94.96,94.01,94.84,1395828.0
2025-07-15,96.94,96.95,94.02,94.19,1836904.0
2025-07-16,94.18,94.25,91.22,92.88,3391598.0
2025-07-17,92.61,93.22,91.26,92.94,2520343.0
2025-07-18,93.4,94.07,92.66,94.06,1716056.0
2025-07-21,94.25,94.95,93.89,94.25,1584924.0
2025-07-22,93.8,95.86,93.71,95.54,1397299.0
2025-07-23,96.22,97.03,95.86,96.83,2053718.0
2025-07-24,95.85,97.35,95.61,97.17,1923341.0
2025-07-25,96.77,100.23,96.77,100.06,4143593.0
2025-07-28,100.02,100.02,98.18,98.54,2587032.0
2025-07-29,100.17,100.17,97.23,97.24,1747383.0
2025-07-30,97.54,98.02,96.11,96.52,1783759.0
2025-07-31,95.33,96.11,94.5,95.45,1684386.0
2025-08-01,94.29,95.78,93.58,95.24,1590797.0
2025-08-04,96.04,98.64,95.78,98.22,2518521.0
2025-08-05,97.72,98.08,95.9,97.95,2023798.0
2025-08-06,97.55,98.51,97.0,97.6,2697428.0
2025-08-07,106.14,107.2,104.5,106.92,6210196.0
2025-08-08,107.0,109.99,106.91,109.3,4994930.0
2025-08-11,108.35,108.76,106.43,107.42,2555466.0
2025-08-12,108.26,112.19,107.88,112.03,3655249.0
2025-08-13,112.97,113.95,111.59,113.65,3228565.0
2025-08-14,112.89,113.13,111.47,111.75,1801832.0
2025-08-15,112.38,112.41,110.73,110.84,1384695.0
2025-08-18,110.98,111.71,110.11,111.53,1705290.0
2025-08-19,112.1,113.43,111.82,112.44,2520571.0
2025-08-20,111.65,112.31,109.8,110.77,2275872.0
2025-08-21,109.85,111.15,109.69,110.72,1028819.0
2025-08-22,110.69,113.57,110.57,113.33,1780009.0
2025-08-25,113.3,113.63,112.54,112.59,972066.0
2025-08-26,111.64,114.4,111.47,114.27,2259989.0
2025-08-27,113.82,114.27,113.24,113.24,1848414.0
2025-08-28,113.36,113.7,112.37,113.19,1481492.0
2025-08-29,113.1,113.32,111.67,112.95,2146450.0
2025-09-02,109.19,111.45,108.86,111.28,2217106.0
2025-09-03,111.67,111.99,110.42,111.91,1209688.0
2025-09-04,111.71,112.08,110.32,111.61,1740791.0
2025-09-05,112.14,112.78,110.7,112.36,1936265.0
2025-09-08,111.51,113.06,109.39,112.06,2063641.0
2025-09-09,112.32,112.32,110.54,110.72,1430618.0
2025-09-10,111.03,111.76,110.69,111.26,2175576.0
2025-09-11,112.14,114.55,111.64,114.47,2432037.0
2025-09-12,114.07,114.83,113.38,113.39,1457587.0
2025-09-15,113.79,114.47,112.95,113.24,1154617.0
2025-09-16,113.92,114.05,112.08,112.53,1503217.0
2025-09-17,112.74,114.04,110.68,111.25,1383316.0
2025-09-18,111.6,112.9,110.95,112.46,1324695.0
2025-09-19,113.13,113.42,112.21,113.09,1620419.0
2025-09-22,113.22,115.09,112.91,114.72,2061548.0
2025-09-23,114.48,116.36,113.5,114.1,3033408.0
2025-09-24,114.03,114.56,111.89,112.6,2000527.0
2025-09-25,109.21,111.9,109.21,111.78,1950893.0
2025-09-26,112.7,114.24,111.62,113.67,1939289.0
2025-09-29,113.51,114.72,111.15,114.59,2343176.0
2025-09-30,120.95,121.66,118.23,119.9,4067946.0
2025-10-01,119.36,121.88,119.31,119.85,3164623.0
2025-10-02,120.09,121.36,119.48,121.14,2490008.0
2025-10-03,121.14,121.24,119.42,119.96,1752910.0
2025-10-06,120.19,120.27,117.96,118.14,2109792.0
2025-10-07,118.47,118.8,115.83,116.34,1946797.0
2025-10-08,117.66,118.57,116.54,117.85,1227291.0
2025-10-09,118.56,118.81,117.03,117.61,1003086.0
2025-10-10,118.0,118.73,116.0,116.03,1077732.0
2025-10-13,116.73,118.71,116.71,117.54,903426.0
2025-10-14,117.0,120.4,116.85,120.12,1263143.0
2025-10-15,120.54,121.2,117.56,118.58,1307478.0
2025-10-16,119.02,119.27,116.87,116.94,1287360.0
2025-10-17,116.37,117.73,116.05,117.46,1834810.0
2025-10-20,118.29,118.41,116.72,117.43,997099.0
2025-10-21,116.66,118.95,116.1,118.25,1522509.0
2025-10-22,118.82,119.76,116.8,116.98,1745732.0
2025-10-23,116.42,118.33,116.16,117.87,1040174.0
2025-10-24,119.66,120.94,119.22,120.17,1546164.0
2025-10-27,121.07,121.99,119.95,120.95,1609026.0
2025-10-28,120.87,121.47,119.68,119.94,1178907.0
2025-10-29,119.94,120.65,117.36,118.48,1654342.0
2025-10-30,117.51,118.86,116.49,117.23,1677626.0
2025-10-31,117.05,119.17,116.64,119.1,1751788.0
2025-11-03,119.24,119.5,117.51,118.4,2322707.0
2025-11-04,115.98,118.16,115.96,117.32,1632633.0
2025-11-05,116.74,117.44,115.17,115.67,4378496.0
2025-11-06,113.21,116.5,111.93,114.78,2573708.0
2025-11-07,113.06,114.05,112.13,113.0,1465863.0
2025-11-10,114.25,114.96,113.45,113.98,1317257.0
2025-11-11,114.24,114.54,112.49,112.65,1560680.0
2025-11-12,113.43,115.08,112.67,113.4,1551107.0
2025-11-13,112.82,113.98,110.81,111.16,1622170.0
2025-11-14,109.86,110.69,109.01,109.57,1695789.0
2025-11-17,109.5,110.84,108.75,109.24,1653861.0
2025-11-18,108.38,109.4,107.22,108.87,2181658.0
2025-11-19,110.41,111.59,109.51,110.15,1793632.0
2025-11-20,111.82,111.94,108.17,108.37,2670901.0
2025-11-21,108.48,110.57,107.6,110.15,2098790.0
2025-11-24,110.79,112.85,110.31,112.64,2221366.0
2025-11-25,114.59,116.94,114.02,116.27,2733356.0
2025-11-26,117.09,120.09,116.75,119.66,2847536.0
2025-11-28,119.4,120.53,119.37,119.96,1185522.0
2025-12-01,118.99,120.89,117.59,119.68,2105183.0
2025-12-02,119.82,120.37,118.39,118.61,1854429.0
2025-12-03,118.43,121.8,118.39,121.36,2529228.0
2025-12-04,119.94,121.58,119.1,121.05,1984644.0
2025-12-05,120.29,121.35,118.59,119.49,5198588.0
2025-12-08,127.0,127.1,124.82,126.54,15044460.0
2025-12-09,125.88,126.29,123.59,123.69,7020576.0
2025-12-10,123.06,125.47,122.27,125.14,4177054.0
2025-12-11,125.78,127.2,124.94,126.99,4445244.0
2025-12-12,126.51,127.44,125.19,126.4,3895765.0
2025-12-15,127.37,128.25,126.62,127.26,4544438.0
2025-12-16,128.0,128.95,126.75,126.92,4138839.0
2025-12-17,125.34,127.11,122.79,123.05,5061889.0
2025-12-18,124.8,127.54,124.55,127.17,5434553.0
2025-12-19,127.4,127.95,124.33,124.42,10591267.0
2025-12-22,125.88,126.66,124.34,126.22,4556938.0
2025-12-23,126.38,126.64,125.14,126.6,2103478.0
2025-12-24,126.59,127.71,125.92,127.54,839947.0
2025-12-26,127.64,129.28,127.1,128.94,1643645.0
2025-12-29,128.91,129.1,126.45,127.35,1875347.0
2025-12-30,127.27,127.32,125.7,125.81,1367825.0
