date,open,high,low,close,volume
2025-02-26,32.05,32.17,31.81,31.98,4829797.0
2025-02-27,31.8,32.25,31.68,32.01,6175083.0
2025-02-28,32.15,32.27,31.61,32.01,7863809.0
2025-03-03,32.15,32.4,31.74,31.93,6875225.0
2025-03-04,31.82,31.91,31.17,31.2,11856352.0
2025-03-05,31.07,31.55,30.61,30.92,14702533.0
2025-03-06,30.95,31.08,30.54,30.93,16912904.0
2025-03-07,30.76,31.4,30.7,31.26,13908337.0
2025-03-10,31.26,31.53,30.56,30.65,14313949.0
2025-03-11,30.71,30.71,29.5,29.52,10169615.0
2025-03-12,29.5,29.74,29.28,29.55,9722736.0
2025-03-13,29.6,29.74,28.98,29.13,11937827.0
2025-03-14,29.35,30.05,29.22,30.01,12294619.0
2025-03-17,29.95,30.4,29.92,30.33,5662662.0
2025-03-18,30.36,30.5,29.99,30.26,6728755.0
2025-03-19,30.22,30.37,29.99,30.07,6894006.0
2025-03-20,29.9,30.17,29.75,29.98,9582071.0
2025-03-21,29.69,29.83,29.46,29.57,13784282.0
2025-03-24,29.82,29.94,29.57,29.85,9131135.0
2025-03-25,29.74,29.84,29.47,29.53,6046011.0
2025-03-26,29.56,29.95,29.26,29.9,9051285.0
2025-03-27,29.87,30.01,29.57,29.92,6912350.0
2025-03-28,29.86,29.93,29.09,29.11,5820918.0
2025-03-31,29.11,29.66,29.01,29.43,10871954.0
2025-04-01,29.12,29.57,29.04,29.54,5632781.0
2025-04-02,29.26,29.76,29.14,29.74,5076442.0
2025-04-03,28.95,28.98,27.9,27.99,15778118.0
2025-04-04,27.57,27.73,26.94,27.21,19306688.0
2025-04-07,27.27,27.99,26.21,27.09,22614789.0
2025-04-08,27.49,27.97,26.31,26.69,15731302.0
2025-04-09,26.43,28.78,26.29,28.66,18335328.0
2025-04-10,28.23,28.36,27.13,27.82,10895169.0
2025-04-11,27.75,28.08,27.35,28.01,10154494.0
2025-04-14,28.1,28.45,27.96,28.27,9294877.0
2025-04-15,28.23,28.45,27.83,27.9,10065758.0
2025-04-16,27.6,27.96,27.16,27.35,18393109.0
2025-04-17,27.29,28.02,27.27,27.68,15850275.0
2025-04-21,27.39,27.54,27.0,27.46,15633304.0
2025-04-22,27.62,27.91,27.47,27.78,9039264.0
2025-04-23,28.2,28.51,27.46,27.59,10254469.0
2025-04-24,27.4,28.18,27.18,28.14,9057121.0
2025-04-25,27.9,28.07,27.67,27.84,9269954.0
2025-04-28,27.84,28.02,27.59,27.87,6015039.0
2025-04-29,27.76,28.11,27.7,28.05,6073724.0
2025-04-30,27.85,28.12,27.51,28.07,6074805.0
