date,open,high,low,close,volume
2025-02-26,27.73,27.73,26.73,26.87,4895040.0
2025-02-27,26.9,26.95,26.36,26.4,6140185.0
2025-02-28,26.38,27.01,26.14,26.99,3392266.0
2025-03-03,27.21,27.35,26.02,26.28,3938063.0
2025-03-04,26.03,26.97,25.47,26.47,6649820.0
2025-03-05,26.0,26.27,25.54,26.1,3924538.0
2025-03-06,25.97,26.15,25.38,25.51,4343992.0
2025-03-07,25.6,26.24,25.5,26.09,5202337.0
2025-03-10,26.21,26.97,26.21,26.75,5803858.0
2025-03-11,26.82,27.29,26.77,26.88,4188871.0
2025-03-12,26.84,27.54,26.79,27.23,3441464.0
2025-03-13,26.93,27.14,26.5,26.72,3342015.0
2025-03-14,26.76,27.75,26.7,27.63,3598348.0
2025-03-17,27.62,28.3,27.57,28.16,4015963.0
2025-03-18,28.52,29.08,28.42,28.77,5147998.0
2025-03-19,28.73,29.4,28.53,29.23,4508081.0
2025-03-20,28.93,29.29,28.83,29.01,5840134.0
2025-03-21,28.92,29.01,28.52,28.72,4207094.0
2025-03-24,28.72,29.55,28.68,29.36,3130994.0
2025-03-25,29.35,29.55,29.12,29.31,3607893.0
2025-03-26,29.67,29.82,28.81,28.87,4678022.0
2025-03-27,28.93,28.95,28.42,28.52,2734808.0
2025-03-28,28.39,28.73,28.21,28.63,1898594.0
2025-03-31,28.66,29.11,28.54,28.9,2399250.0
2025-04-01,28.97,29.21,28.69,29.07,3156953.0
2025-04-02,28.68,29.09,28.58,28.99,2676773.0
2025-04-03,27.4,28.13,27.31,27.36,6559973.0
2025-04-04,26.19,26.38,24.51,25.12,14626907.0
2025-04-07,24.36,25.93,23.83,25.04,7055850.0
2025-04-08,25.87,26.09,24.32,24.6,7511217.0
2025-04-09,24.11,26.31,23.71,25.87,8583445.0
2025-04-10,25.15,25.19,24.07,24.7,5193936.0
2025-04-11,24.73,25.27,24.16,25.16,4937119.0
2025-04-14,25.73,25.73,24.91,25.22,2901033.0
2025-04-15,25.06,25.65,25.05,25.32,2508409.0
2025-04-16,25.42,26.18,25.36,25.63,3028547.0
2025-04-17,26.02,26.28,25.55,25.85,3406546.0
2025-04-21,25.48,25.54,24.61,24.81,2327088.0
2025-04-22,25.12,25.4,24.82,25.08,2699962.0
2025-04-23,25.27,25.74,24.96,25.36,3539912.0
2025-04-24,25.53,25.61,25.2,25.46,3118751.0
2025-04-25,25.06,25.4,25.03,25.37,1944131.0
2025-04-28,25.42,25.76,25.37,25.72,3091194.0
2025-04-29,25.46,25.72,25.24,25.51,3741214.0
2025-04-30,25.1,25.12,24.4,24.56,4130420.0
2025-05-01,24.46,25.11,24.44,24.89,3584700.0
2025-05-02,25.18,25.77,24.74,25.67,5186833.0
2025-05-05,25.27,25.58,25.11,25.27,4839388.0
2025-05-06,24.43,24.5,22.66,22.93,20589878.0
2025-05-07,23.1,23.37,22.46,22.6,8688394.0
2025-05-08,22.7,23.36,22.58,23.12,8392408.0
2025-05-09,23.42,23.46,23.08,23.39,3631840.0
2025-05-12,24.3,24.65,23.85,24.13,8031919.0
2025-05-13,24.22,24.89,24.1,24.76,4748021.0
2025-05-14,24.62,24.99,24.55,24.98,4705406.0
2025-05-15,24.43,24.71,24.15,24.69,4580588.0
2025-05-16,24.84,24.95,24.53,24.8,4804830.0
2025-05-19,24.48,24.64,24.18,24.5,3152720.0
2025-05-20,24.39,25.33,24.38,24.88,9869901.0
2025-05-21,24.88,24.99,24.42,24.49,5183303.0
2025-05-22,24.3,24.55,23.98,24.41,3127180.0
2025-05-23,24.25,24.59,24.16,24.52,2913983.0
2025-05-27,24.77,24.99,24.43,24.86,3633287.0
2025-05-28,25.03,25.06,24.46,24.56,5444279.0
2025-05-29,24.65,25.03,24.59,24.73,5318884.0
2025-05-30,24.5,24.75,24.24,24.31,4307073.0
2025-06-02,24.73,25.25,24.59,25.08,4609667.0
2025-06-03,25.13,25.59,24.76,25.44,3539777.0
2025-06-04,25.38,25.66,24.84,24.89,4148194.0
2025-06-05,25.0,25.08,24.63,24.83,3335847.0
2025-06-06,25.06,25.67,24.98,25.58,2933309.0
2025-06-09,25.66,26.22,25.47,25.95,4382382.0
2025-06-10,26.18,26.34,25.78,25.87,4385919.0
2025-06-11,26.04,26.15,25.63,25.78,5681768.0
2025-06-12,25.69,26.16,25.45,26.14,4243267.0
2025-06-13,26.5,26.73,25.52,26.7,7762025.0
2025-06-16,26.48,26.77,26.16,26.49,4609804.0
2025-06-17,26.79,26.92,26.41,26.69,3530398.0
2025-06-18,26.71,26.99,26.5,26.75,3283931.0
2025-06-20,26.67,27.45,26.67,26.97,6128712.0
2025-06-23,27.19,27.43,26.63,26.71,6658678.0
2025-06-24,26.29,27.08,26.2,26.81,4285998.0
2025-06-25,26.61,26.65,26.07,26.07,4701301.0
2025-06-26,26.08,26.35,25.8,25.95,4395202.0
2025-06-27,25.98,25.99,25.48,25.61,5175236.0
2025-06-30,25.46,25.61,25.28,25.38,3747614.0
2025-07-01,25.28,25.34,24.8,25.09,5641855.0
2025-07-02,25.18,25.23,24.62,25.03,5028848.0
2025-07-03,25.31,25.37,25.01,25.22,2443634.0
2025-07-07,25.06,25.26,24.54,24.82,4916874.0
2025-07-08,24.85,25.62,24.73,25.18,5686487.0
2025-07-09,25.11,25.43,25.03,25.14,4392683.0
2025-07-10,25.03,25.12,24.73,25.1,3665185.0
2025-07-11,25.05,25.44,24.88,25.28,3954410.0
2025-07-14,25.24,25.75,25.03,25.45,3211776.0
2025-07-15,25.42,25.52,24.6,24.64,4312862.0
2025-07-16,24.68,24.78,24.16,24.19,5284273.0
2025-07-17,24.16,24.48,24.08,24.45,3497750.0
2025-07-18,24.72,24.75,24.28,24.39,5454914.0
2025-07-21,24.3,24.33,23.07,23.09,6353170.0
2025-07-22,23.0,23.65,22.95,23.57,6325164.0
2025-07-23,23.6,23.61,23.11,23.42,4670749.0
2025-07-24,23.46,23.84,23.46,23.76,4393590.0
2025-07-25,23.77,23.85,23.53,23.63,2183072.0
2025-07-28,23.85,23.91,23.66,23.81,2978448.0
2025-07-29,23.86,24.31,23.82,24.22,4201025.0
2025-07-30,23.98,24.57,23.9,24.29,5513679.0
2025-07-31,24.02,24.51,24.01,24.39,4790779.0
2025-08-01,24.01,24.19,23.58,23.7,4547016.0
2025-08-04,23.61,24.07,23.6,23.93,6386109.0
2025-08-05,24.53,24.53,23.41,24.32,7370795.0
