date,open,high,low,close,volume
2025-02-26,156.62,156.69,154.4,155.14,3412792.0
2025-02-27,155.69,158.29,154.81,156.67,3901745.0
2025-02-28,156.7,158.67,154.92,158.62,3582446.0
2025-03-03,159.46,160.09,151.76,153.09,4842504.0
2025-03-04,151.21,154.16,150.05,152.0,4635228.0
2025-03-05,150.15,151.37,147.74,150.81,4876734.0
2025-03-06,150.51,153.33,149.47,152.95,3816181.0
2025-03-07,153.95,157.45,153.71,156.34,4607807.0
2025-03-10,157.19,160.37,156.17,157.57,6719020.0
2025-03-11,158.43,158.84,153.79,154.08,5701401.0
2025-03-12,153.58,154.79,152.21,152.67,5566606.0
2025-03-13,152.27,154.43,151.92,153.61,5571529.0
2025-03-14,153.99,157.24,153.01,157.02,3311339.0
2025-03-17,157.22,159.45,156.76,158.72,4181140.0
2025-03-18,159.74,161.09,158.82,160.81,5230924.0
2025-03-19,160.97,164.54,160.9,164.05,6143789.0
2025-03-20,163.13,165.31,162.41,164.77,4723634.0
2025-03-21,164.49,164.89,163.11,164.75,5373907.0
2025-03-24,164.69,166.43,164.31,165.02,4029271.0
2025-03-25,166.08,167.82,165.11,165.94,4274523.0
2025-03-26,167.3,168.96,167.25,167.97,5326641.0
2025-03-27,167.25,168.22,165.85,166.65,3120562.0
2025-03-28,166.7,167.13,165.29,166.09,2443187.0
2025-03-31,166.19,168.92,166.13,167.29,4595630.0
2025-04-01,167.29,168.6,166.16,168.51,2792843.0
2025-04-02,167.4,167.98,165.85,166.47,3409999.0
2025-04-03,160.12,161.35,155.8,156.12,8043809.0
2025-04-04,151.75,152.46,142.75,143.28,10570035.0
2025-04-07,138.73,146.19,137.29,140.15,9587027.0
2025-04-08,144.15,144.49,134.87,136.93,7332122.0
2025-04-09,135.02,147.47,133.88,146.03,9282996.0
2025-04-10,143.22,143.63,133.45,134.98,13565200.0
2025-04-11,135.65,137.13,132.04,135.63,10676999.0
2025-04-14,138.48,138.54,134.1,135.32,5467871.0
2025-04-15,134.32,136.63,134.25,134.54,5467854.0
2025-04-16,135.4,137.55,134.8,135.36,4978523.0
2025-04-17,136.69,140.24,136.45,137.87,4788212.0
2025-04-21,136.02,136.29,132.33,133.73,5301844.0
2025-04-22,135.26,138.24,134.94,137.3,4283535.0
2025-04-23,137.21,138.55,135.15,136.68,5722912.0
2025-04-24,137.92,139.4,137.21,139.07,3735255.0
2025-04-25,138.33,139.05,137.25,138.73,3584436.0
2025-04-28,138.97,140.46,138.68,140.1,3768113.0
