date,open,high,low,close,volume
2025-02-26,57.27,57.65,56.88,57.11,2123843.0
2025-02-27,56.91,57.79,56.46,56.48,3039762.0
2025-02-28,56.4,56.79,55.8,56.62,3433524.0
2025-03-03,56.54,57.21,56.33,56.87,4413895.0
2025-03-04,56.92,57.25,53.7,54.33,5610388.0
2025-03-05,54.03,54.53,53.78,54.1,2454899.0
2025-03-06,54.08,54.35,53.27,53.69,2157120.0
2025-03-07,53.73,55.54,53.53,55.22,3688126.0
2025-03-10,55.49,57.13,55.05,56.54,3682604.0
2025-03-11,56.69,56.97,55.0,55.14,2265086.0
2025-03-12,54.52,54.8,53.52,53.72,3283949.0
2025-03-13,53.92,54.4,53.62,54.09,1876124.0
2025-03-14,53.92,54.8,53.69,54.68,3495824.0
2025-03-17,54.79,55.34,54.3,54.71,2773115.0
2025-03-18,54.45,54.8,53.88,54.77,3085363.0
2025-03-19,54.73,55.17,54.5,54.91,2456278.0
2025-03-20,55.04,55.45,54.75,54.98,2254869.0
2025-03-21,54.8,55.28,54.21,54.55,3048717.0
2025-03-24,54.39,55.23,54.2,54.33,1780847.0
2025-03-25,54.1,54.24,52.65,52.85,2639195.0
2025-03-26,53.12,54.01,52.95,53.86,1691098.0
2025-03-27,53.95,54.58,53.7,54.47,2203482.0
2025-03-28,54.81,55.4,54.53,54.99,1886924.0
2025-03-31,55.45,56.29,55.07,56.07,3863513.0
2025-04-01,56.11,56.28,55.56,56.26,2261882.0
2025-04-02,56.51,56.56,55.87,56.23,1713640.0
2025-04-03,57.0,57.05,55.62,56.25,4245786.0
2025-04-04,56.98,56.99,52.71,52.73,5102657.0
2025-04-07,51.51,52.4,49.85,50.83,4587342.0
2025-04-08,51.13,51.33,49.05,49.66,6415897.0
2025-04-09,49.23,52.42,48.07,52.25,5582916.0
2025-04-10,52.2,52.58,50.77,51.93,3333216.0
2025-04-11,51.96,53.02,51.02,52.74,2930549.0
2025-04-14,53.0,54.26,52.59,54.1,2482664.0
2025-04-15,54.29,54.5,53.62,53.67,2541365.0
2025-04-16,54.1,54.1,52.86,53.06,4099461.0
2025-04-17,52.63,53.98,52.5,53.17,6327122.0
2025-04-21,52.92,53.16,51.41,52.06,2120740.0
2025-04-22,52.6,53.66,52.43,53.4,2692637.0
2025-04-23,53.2,54.5,52.79,53.33,2697494.0
2025-04-24,53.09,53.59,52.76,53.35,2141995.0
2025-04-25,53.24,53.45,52.91,52.95,2851995.0
2025-04-28,52.95,53.84,52.75,53.74,2126843.0
2025-04-29,53.47,54.48,53.37,54.31,3358919.0
2025-04-30,54.32,54.62,53.29,54.38,2918164.0
