date,open,high,low,close,volume
2025-02-26,34.27,34.48,34.03,34.06,1774538.4983261595
2025-02-27,34.05,34.48,33.81,33.84,2142934.0028694402
2025-02-28,34.06,34.22,33.67,34.2,2807625.538020086
2025-03-03,34.36,34.46,32.83,32.97,2393926.351028216
2025-03-04,32.97,33.07,32.31,32.49,3023177.9053084645
2025-03-05,32.76,33.38,32.69,33.24,1996135.8201817311
2025-03-06,33.12,33.28,32.78,32.94,1879196.556671449
2025-03-07,32.76,33.01,32.15,32.68,2915803.4433285506
2025-03-10,32.44,32.95,31.96,32.13,2329024.3902439023
2025-03-11,32.21,32.28,31.71,31.92,4212663.797226207
2025-03-12,32.23,32.24,31.55,31.57,2558055.9540889524
2025-03-13,31.43,31.89,30.97,31.33,3769375.8967001433
2025-03-14,31.8,32.36,31.57,32.24,5531987.087517934
2025-03-17,32.24,32.66,32.22,32.49,2568947.871831659
2025-03-18,32.5,32.52,32.1,32.25,1803677.6661884263
2025-03-19,32.25,32.62,32.17,32.44,1737120.994739359
2025-03-20,32.19,32.44,32.06,32.17,1990958.8713534193
2025-03-21,31.99,31.99,31.22,31.44,3358637.0157819223
2025-03-24,31.8,32.43,31.79,32.23,2186128.6465805834
2025-03-25,32.2,32.29,31.83,31.97,1781116.6905786702
2025-03-26,32.04,32.4,31.91,31.99,1328816.3558106169
2025-03-27,31.77,31.93,31.58,31.77,1862010.9995217598
2025-03-28,31.7,31.78,30.85,30.96,3241226.685796269
2025-03-31,30.75,31.44,30.48,31.23,3164105.6910569104
2025-04-01,31.19,31.59,30.85,31.31,3267604.0172166424
2025-04-02,31.03,31.74,31.03,31.47,1977802.4868483976
2025-04-03,30.32,30.32,28.11,28.35,5757297.943567671
2025-04-04,25.05,25.67,23.49,24.73,17749218.077474892
2025-04-07,23.77,25.24,22.72,24.16,11370810.616929697
2025-04-08,24.9,25.16,22.6,23.06,10638120.51649928
2025-04-09,22.7,26.16,22.49,25.91,9313718.31659493
2025-04-10,24.51,24.88,23.34,24.11,8959741.750358678
2025-04-11,23.94,24.72,23.48,24.63,4789196.556671449
2025-04-14,25.92,26.04,24.77,25.5,7396394.069823051
2025-04-15,25.24,25.51,25.13,25.28,3440492.5872788136
2025-04-16,25.23,25.43,24.56,24.78,4604253.945480631
2025-04-17,24.96,25.57,24.96,25.15,3955805.8345289333
2025-04-21,24.87,25.24,24.46,25.14,4325875.179340028
2025-04-22,25.51,26.1,25.46,25.86,5129041.1286465805
2025-04-23,26.63,27.55,26.35,26.37,7331410.808225729
2025-04-24,26.55,27.8,26.55,27.62,5453479.196556671
2025-04-25,27.31,27.71,27.15,27.47,2922678.144428503
2025-04-28,27.45,27.86,27.13,27.46,3457242.945958871
2025-04-29,27.47,27.67,27.2,27.54,2508495.934959349
2025-04-30,27.15,27.68,26.74,27.6,2303541.3677666187
2025-05-01,27.6,28.02,27.51,27.62,4531987.087517934
2025-05-02,27.51,28.59,27.51,28.12,6445585.844093734
2025-05-05,27.93,28.01,27.3,27.31,3689014.825442372
2025-05-06,27.04,27.43,27.02,27.2,2571857.9626972736
2025-05-07,27.22,27.23,26.8,27.0,2205688.665710186
2025-05-08,27.4,28.13,27.29,27.71,2634258.727881396
2025-05-09,27.93,28.16,27.81,27.92,2073646.5805834527
2025-05-12,29.59,30.37,29.49,29.81,8004182.209469153
2025-05-13,29.81,29.81,29.45,29.53,3023873.744619799
2025-05-14,29.27,29.47,28.5,28.53,5689956.958393113
2025-05-15,28.32,28.52,28.09,28.51,3792470.109995217
2025-05-16,28.47,29.0,28.3,28.99,3161300.8130081296
2025-05-19,28.69,28.86,28.4,28.82,1607147.2979435676
2025-05-20,28.67,28.98,28.56,28.83,2816248.206599713
2025-05-21,28.6,28.85,28.25,28.4,2605518.890483022
2025-05-22,28.25,28.58,28.14,28.44,2082276.4227642275
2025-05-23,27.87,28.32,27.84,28.29,1979552.8455284552
2025-05-27,28.64,28.98,28.54,28.97,2231422.764227642
2025-05-28,29.04,29.06,28.37,28.48,3472180.7747489237
2025-05-29,28.69,28.9,28.43,28.85,5354392.6351028215
2025-05-30,28.46,28.46,27.74,27.94,4879531.324725011
2025-06-02,27.9,27.96,27.15,27.63,4510858.4409373505
2025-06-03,27.61,28.27,27.31,28.2,3222171.2099473933
2025-06-04,28.26,28.49,28.24,28.42,1867871.8316594928
2025-06-05,28.63,28.65,28.13,28.19,2154296.9870875175
2025-06-06,28.45,28.75,28.28,28.49,1741755.1410808223
2025-06-09,28.81,29.14,28.65,28.68,6220174.557627928
2025-06-10,28.8,29.4,28.76,29.34,3065217.5992348157
2025-06-11,29.43,29.48,28.93,29.02,1795186.513629842
2025-06-12,28.8,28.89,28.54,28.62,1796217.1209947392
2025-06-13,28.13,28.52,27.86,27.97,1905564.3232902915
2025-06-16,28.32,28.56,28.2,28.43,1618182.68770923
2025-06-17,28.25,28.47,27.98,28.08,3469213.2950741267
2025-06-18,28.09,28.26,27.92,27.96,1697482.0659971305
2025-06-20,28.35,28.46,27.66,27.68,4768572.453371592
2025-06-23,27.62,28.04,27.43,28.02,1532960.3060736489
2025-06-24,28.25,28.58,28.06,28.53,2288715.9253945476
2025-06-25,28.34,28.57,28.24,28.43,1578644.1893830702
2025-06-26,28.69,29.06,28.62,28.97,2789583.9311334286
2025-06-27,28.99,29.19,28.58,28.81,2270066.953610712
2025-06-30,28.69,28.78,28.32,28.68,1480208.0344332855
2025-07-01,28.7,30.14,28.58,29.88,3956728.8378766137
2025-07-02,30.06,30.54,29.82,30.51,3909538.4983261595
2025-07-03,30.98,31.1,30.6,30.83,2925903.8737446195
2025-07-07,30.62,31.12,30.48,30.52,4842749.880439981
2025-07-08,30.71,31.57,30.71,31.14,3819196.5566714485
2025-07-09,31.5,31.67,31.03,31.59,3094143.9502630318
2025-07-10,31.6,32.11,31.37,31.84,2673703.969392635
2025-07-11,31.54,31.74,31.15,31.57,2151759.923481588
2025-07-14,31.4,31.5,30.98,31.31,4738572.453371592
2025-07-15,31.7,31.74,30.96,30.98,2745626.494500239
2025-07-16,31.11,31.11,30.39,30.93,2195157.8192252507
2025-07-17,30.93,31.31,30.84,31.13,2110767.575322812
2025-07-18,31.44,31.67,31.03,31.6,4661214.729794356
2025-07-21,31.88,32.2,31.66,31.76,2722058.8235294116
2025-07-22,32.06,32.48,31.66,32.43,3881652.3194643706
2025-07-23,32.67,32.67,31.91,32.03,3562027.737924438
2025-07-24,31.68,31.73,31.1,31.28,4365530.846484935
2025-07-25,31.31,31.72,31.09,31.69,2855600.1912960303
2025-07-28,31.71,31.71,31.23,31.39,2038761.3582018171
2025-07-29,31.52,31.54,31.03,31.07,2581513.6298421808
2025-07-30,30.97,31.09,29.97,30.19,5213770.923003348
2025-07-31,29.98,30.3,29.8,30.07,3029313.7254901957
2025-08-01,29.48,29.59,28.85,29.25,6398593.974175035
2025-08-04,29.47,29.66,29.25,29.65,5989426.111908177
2025-08-05,31.67,31.78,29.7,30.36,15621037.780966043
2025-08-06,30.69,30.88,29.47,29.61,6046346.245815399
