date,open,high,low,close,volume
2025-02-26,144.77,149.55,144.57,144.97,2264308.0
2025-02-27,145.76,146.09,138.12,138.49,1641271.0
2025-02-28,138.5,140.13,136.54,139.36,1359339.0
2025-03-03,140.17,141.9,135.8,137.24,1497012.0
2025-03-04,136.21,136.97,131.2,133.78,2002212.0
2025-03-05,134.26,137.5,134.26,136.09,1056529.0
2025-03-06,134.3,137.23,130.76,131.93,1622072.0
2025-03-07,130.48,131.0,122.61,126.72,4127650.0
2025-03-10,124.5,124.8,119.3,121.11,2504404.0
2025-03-11,121.35,124.79,119.81,120.53,1963737.0
2025-03-12,124.2,126.35,121.25,121.58,1825243.0
2025-03-13,121.2,121.57,115.06,117.04,2541939.0
2025-03-14,120.08,120.39,117.17,118.68,1417369.0
2025-03-17,118.09,118.97,115.5,117.48,1525515.0
2025-03-18,117.08,117.96,115.0,115.3,1156250.0
2025-03-19,115.99,119.97,115.99,119.05,1304342.0
2025-03-20,118.2,119.83,115.6,115.67,996617.0
2025-03-21,113.76,118.33,112.1,117.86,2096611.0
2025-03-24,120.36,125.36,120.36,124.68,2264662.0
2025-03-25,124.29,125.71,122.58,122.97,1265462.0
2025-03-26,122.5,122.79,117.54,118.16,1474179.0
2025-03-27,117.21,119.47,115.22,116.95,1491427.0
2025-03-28,115.22,115.32,110.75,111.56,1371869.0
2025-03-31,109.48,112.11,107.37,111.81,1521091.0
2025-04-01,111.39,114.63,111.1,113.35,1249283.0
2025-04-02,111.5,119.19,111.44,117.98,1529333.0
2025-04-03,100.15,102.87,96.8,100.88,6048532.0
2025-04-04,96.34,108.61,93.72,106.02,6057977.0
2025-04-07,102.82,109.29,99.0,106.13,2649052.0
2025-04-08,109.48,110.74,100.37,101.88,1979365.0
2025-04-09,101.84,118.64,101.04,116.06,3215837.0
2025-04-10,112.0,113.42,106.32,109.63,1521805.0
2025-04-11,107.58,109.86,105.54,109.05,1918847.0
2025-04-14,111.79,113.31,105.73,107.15,1123600.0
2025-04-15,106.92,107.2,103.15,104.18,1467209.0
2025-04-16,103.5,105.15,101.69,103.02,1131702.0
2025-04-17,104.15,105.94,103.02,105.67,896702.0
2025-04-21,103.86,104.28,100.25,103.55,659387.0
2025-04-22,104.5,107.52,104.16,106.42,689525.0
2025-04-23,110.22,113.0,106.27,106.66,1217454.0
2025-04-24,107.18,112.33,106.98,110.65,1081820.0
2025-04-25,109.45,110.57,108.33,109.19,1080057.0
2025-04-28,109.0,110.51,107.21,109.15,934853.0
