date,open,high,low,close,volume
2025-02-26,78.16,78.31,73.31,74.19,3341865.0
2025-02-27,73.73,74.67,72.73,73.98,1131724.0
2025-02-28,74.65,74.94,73.13,74.18,1141617.0
2025-03-03,73.57,74.55,71.26,71.89,2026078.0
2025-03-04,70.52,74.02,70.01,72.92,1790075.0
2025-03-05,72.63,73.87,72.52,73.7,1050151.0
2025-03-06,73.73,76.75,73.59,76.24,1599908.0
2025-03-07,75.57,82.62,75.55,81.84,4057356.0
2025-03-10,81.74,85.08,80.59,82.8,4690118.0
2025-03-11,83.09,83.1,77.24,78.64,2463893.0
2025-03-12,79.28,79.35,74.67,74.85,2979138.0
2025-03-13,78.62,81.14,76.44,79.95,5322608.0
2025-03-14,79.91,79.99,77.52,79.02,2981906.0
2025-03-17,79.9,80.8,78.1,79.85,1740087.0
2025-03-18,79.83,81.74,79.09,81.41,1587310.0
2025-03-19,80.97,82.64,80.51,82.33,1628505.0
2025-03-20,82.08,83.21,81.24,81.67,1598871.0
2025-03-21,81.2,84.14,80.51,83.66,2511477.0
2025-03-24,82.48,83.56,81.67,83.16,2125175.0
2025-03-25,83.22,84.23,82.23,82.58,1467305.0
2025-03-26,82.29,85.81,81.75,84.7,2877710.0
2025-03-27,85.33,87.86,85.1,87.54,2728023.0
2025-03-28,87.4,87.75,85.13,86.1,2062196.0
2025-03-31,85.4,88.5,85.4,87.93,3134054.0
2025-04-01,88.48,89.58,86.81,87.6,1901672.0
2025-04-02,87.43,90.55,87.43,90.2,2707403.0
2025-04-03,89.36,95.0,88.3,94.41,7318350.0
2025-04-04,92.26,97.85,92.26,92.62,7206888.0
2025-04-07,92.48,94.65,90.62,92.02,4853739.0
2025-04-08,92.95,93.2,86.78,87.7,4461863.0
2025-04-09,86.99,91.19,84.7,86.02,6182598.0
2025-04-10,86.0,88.89,85.6,87.13,3858482.0
2025-04-11,87.42,89.22,86.38,89.04,2385796.0
2025-04-14,88.85,90.79,87.92,90.31,1599598.0
2025-04-15,90.0,90.47,88.31,88.43,1517453.0
2025-04-16,89.1,89.74,87.25,89.36,1868997.0
2025-04-17,89.05,93.27,89.05,93.07,2410871.0
2025-04-21,93.55,95.95,93.16,95.61,2934309.0
2025-04-22,95.67,96.9,94.12,96.79,2299070.0
2025-04-23,95.88,96.72,93.69,95.43,2104104.0
2025-04-24,95.62,95.66,92.28,93.81,2207578.0
2025-04-25,94.0,94.5,93.26,93.56,1539768.0
2025-04-28,93.31,93.82,91.35,92.46,1718781.0
2025-04-29,93.09,93.48,91.77,93.33,1445827.0
2025-04-30,93.5,94.5,92.02,93.69,1957352.0
2025-05-01,93.01,93.16,89.34,90.55,3020318.0
2025-05-02,91.56,91.67,90.23,90.3,2206977.0
2025-05-05,91.05,92.69,90.45,92.21,1355961.0
2025-05-06,91.9,94.04,91.9,93.66,1500683.0
2025-05-07,93.82,94.11,91.7,92.89,1092412.0
2025-05-08,92.9,93.63,91.72,91.97,1271397.0
2025-05-09,91.61,92.5,91.13,91.66,1163593.0
2025-05-12,90.5,91.39,87.04,89.49,3259365.0
2025-05-13,89.05,89.94,86.69,86.85,2431046.0
2025-05-14,87.42,88.27,86.25,87.7,2258243.0
2025-05-15,87.7,93.01,87.54,92.99,2372181.0
2025-05-16,92.57,93.76,92.11,93.55,1303100.0
2025-05-19,93.64,98.53,93.56,98.18,2917770.0
2025-05-20,99.71,102.69,98.75,102.2,4376954.0
2025-05-21,101.26,102.2,100.28,100.78,1658057.0
2025-05-22,101.02,101.48,99.76,100.64,1461204.0
2025-05-23,100.88,101.98,100.46,101.39,1130651.0
2025-05-27,101.39,101.5,99.68,100.98,1531656.0
2025-05-28,100.82,100.82,97.55,97.77,1572457.0
2025-05-29,97.65,98.04,96.14,97.07,1212649.0
2025-05-30,96.83,98.16,96.52,97.25,2083024.0
2025-06-02,97.3,98.19,96.36,97.17,2382832.0
2025-06-03,106.96,113.61,106.55,112.57,10046206.0
2025-06-04,114.73,114.73,109.8,111.77,3397121.0
2025-06-05,112.05,115.11,111.76,113.84,2571573.0
2025-06-06,112.43,114.11,111.43,113.48,1451814.0
2025-06-09,113.6,114.52,112.44,113.31,1675566.0
2025-06-10,113.4,114.37,109.86,111.24,1782013.0
2025-06-11,111.37,112.24,110.89,111.45,1524168.0
2025-06-12,111.65,111.97,109.82,111.84,1554393.0
2025-06-13,112.18,113.1,111.3,111.68,1160867.0
2025-06-16,111.49,114.59,111.11,113.63,1212616.0
2025-06-17,112.99,113.86,112.02,113.32,1066822.0
2025-06-18,113.24,114.04,111.63,112.31,970563.0
2025-06-20,112.19,112.53,110.32,111.51,1432379.0
2025-06-23,112.29,115.02,111.61,114.95,2560588.0
2025-06-24,111.47,113.86,109.54,113.31,2801367.0
2025-06-25,113.0,114.24,112.26,112.77,2005197.0
2025-06-26,112.96,114.17,112.19,112.63,895376.0
2025-06-27,112.99,114.71,112.99,114.45,1059720.0
2025-06-30,113.85,114.87,112.65,114.38,1442673.0
2025-07-01,114.24,116.25,114.0,115.3,1241373.0
2025-07-02,115.39,116.22,113.95,115.46,1312851.0
2025-07-03,115.49,116.07,112.67,114.11,1021242.0
2025-07-07,114.5,116.3,113.21,116.3,2513720.0
2025-07-08,114.82,115.4,111.94,112.69,1738324.0
2025-07-09,112.74,112.74,111.06,112.35,1172753.0
2025-07-10,111.76,113.57,111.61,112.26,1343015.0
2025-07-11,112.12,113.35,111.91,113.14,864336.0
2025-07-14,113.29,114.69,112.62,114.39,1071574.0
2025-07-15,113.61,114.18,112.97,113.22,1097567.0
2025-07-16,113.36,113.7,111.11,112.57,1097320.0
2025-07-17,111.11,112.0,108.69,109.23,2370689.0
2025-07-18,109.55,110.54,108.82,110.09,1228166.0
2025-07-21,110.09,110.28,107.34,107.6,1363699.0
2025-07-22,108.1,109.97,108.1,109.83,947703.0
2025-07-23,109.5,110.0,107.66,109.24,1097019.0
2025-07-24,109.43,109.6,107.74,107.75,769825.0
2025-07-25,107.82,108.75,107.22,107.56,723088.0
2025-07-28,107.03,107.06,104.7,105.81,1411754.0
2025-07-29,105.88,107.36,105.51,106.85,1105265.0
2025-07-30,106.7,107.27,105.42,105.54,1777593.0
