date,open,high,low,close,volume
2025-02-26,130.67,131.28,127.74,128.54,2455260.0
2025-02-27,127.78,129.36,126.35,126.44,1675713.0
2025-02-28,126.11,127.23,125.11,126.81,2337866.0
2025-03-03,127.0,127.8,124.81,125.68,1849658.0
2025-03-04,124.7,127.36,124.59,125.92,3252935.0
2025-03-05,126.5,129.49,126.4,129.37,1787312.0
2025-03-06,131.22,135.05,129.3,133.96,3804362.0
2025-03-07,133.97,135.09,131.63,133.42,2767875.0
2025-03-10,133.72,138.13,132.68,133.95,3066391.0
2025-03-11,134.06,134.84,131.55,132.53,2645648.0
2025-03-12,132.52,132.76,128.45,128.67,1693908.0
2025-03-13,128.86,129.21,124.86,125.29,1878155.0
2025-03-14,126.5,127.34,125.21,126.78,1558845.0
2025-03-17,127.04,127.7,126.28,127.06,1268180.0
2025-03-18,127.38,128.86,126.9,127.85,871616.0
2025-03-19,127.7,131.18,127.61,130.38,1736554.0
2025-03-20,130.2,133.97,129.78,131.13,2458667.0
2025-03-21,127.34,129.44,125.95,128.84,2007639.0
2025-03-24,129.0,130.83,128.34,130.35,1271205.0
2025-03-25,129.24,132.53,126.81,129.51,1832133.0
2025-03-26,129.34,131.45,128.29,129.38,999776.0
2025-03-27,129.24,131.31,129.0,130.08,898052.0
2025-03-28,131.15,131.15,125.42,125.99,978702.0
2025-03-31,126.28,127.9,124.38,127.13,952624.0
2025-04-01,128.12,128.28,125.55,127.41,1050681.0
2025-04-02,125.25,128.12,124.69,127.97,1915728.0
2025-04-03,124.92,125.56,121.1,122.31,2370920.0
2025-04-04,120.59,131.91,118.0,127.87,5331972.0
2025-04-07,125.45,129.02,120.19,120.81,3532468.0
2025-04-08,123.57,123.57,113.78,115.1,3005309.0
2025-04-09,113.57,123.8,110.44,121.16,3309237.0
2025-04-10,119.3,119.95,114.62,117.87,1972325.0
2025-04-11,117.14,120.0,114.5,119.78,1709914.0
2025-04-14,121.98,122.96,119.02,121.02,1645644.0
2025-04-15,120.53,122.37,118.86,119.81,1673355.0
2025-04-16,119.25,120.52,116.66,117.54,2085623.0
2025-04-17,121.42,123.0,117.54,121.25,3907092.0
2025-04-21,120.36,121.15,117.75,120.76,2452985.0
2025-04-22,121.68,125.29,121.04,124.96,1999069.0
2025-04-23,127.02,129.08,124.47,124.79,1853484.0
2025-04-24,126.03,126.49,123.81,126.04,1349579.0
2025-04-25,125.52,125.78,123.48,124.56,1122141.0
2025-04-28,124.58,125.92,123.85,125.17,993492.0
2025-04-29,124.23,125.3,123.57,124.75,1284912.0
2025-04-30,123.61,126.62,122.28,126.34,1334296.0
2025-05-01,126.45,127.81,124.97,125.55,1259399.0
2025-05-02,126.04,128.07,125.97,127.31,1337249.0
2025-05-05,126.39,127.42,125.33,125.67,1457659.0
2025-05-06,124.47,125.37,121.75,121.88,1710109.0
2025-05-07,122.98,123.62,122.09,122.77,1722313.0
2025-05-08,123.8,125.32,123.24,123.84,2103843.0
2025-05-09,123.91,124.26,121.71,122.03,2239359.0
2025-05-12,126.35,128.36,124.19,126.14,2033400.0
2025-05-13,127.77,128.05,126.09,126.36,1577428.0
2025-05-14,125.9,126.09,121.63,122.07,2202652.0
2025-05-15,122.42,123.4,120.09,123.39,1770889.0
2025-05-16,123.38,125.78,122.87,125.75,1308367.0
2025-05-19,123.08,125.2,122.87,124.93,1032818.0
2025-05-20,124.49,125.43,122.31,122.68,1059500.0
2025-05-21,121.6,122.51,119.17,119.58,2143053.0
2025-05-22,118.73,119.38,117.47,118.9,1781994.0
2025-05-23,117.97,119.3,117.07,118.65,1197926.0
2025-05-27,119.95,121.48,119.12,121.48,1317082.0
2025-05-28,120.75,121.17,117.31,117.39,1758422.0
2025-05-29,118.63,118.98,117.11,118.27,1671009.0
2025-05-30,117.82,118.48,117.0,118.06,2043945.0
2025-06-02,116.99,117.13,114.17,116.89,2230884.0
2025-06-03,116.78,118.65,115.79,118.35,2092633.0
2025-06-04,118.93,124.12,118.65,123.53,1996444.0
2025-06-05,122.97,123.71,121.41,122.74,1180196.0
2025-06-06,122.86,123.44,120.58,120.74,1261091.0
2025-06-09,122.21,123.23,120.17,122.65,1209050.0
2025-06-10,124.48,127.08,123.14,126.94,1914458.0
2025-06-11,128.76,130.27,124.6,124.81,2228980.0
2025-06-12,124.28,126.9,123.1,126.24,1215861.0
2025-06-13,124.81,126.41,122.15,123.08,1780403.0
2025-06-16,124.41,124.63,122.69,123.65,1035973.0
2025-06-17,123.32,126.33,119.53,119.92,1886260.0
2025-06-18,120.47,123.47,119.63,121.28,1587970.0
2025-06-20,121.74,124.5,121.37,124.2,1309795.0
2025-06-23,123.11,128.91,122.83,128.66,2240303.0
2025-06-24,127.8,130.67,126.44,129.63,2499107.0
2025-06-25,128.3,129.32,126.75,127.29,1226437.0
2025-06-26,127.48,127.72,125.04,127.15,1539126.0
2025-06-27,127.53,130.01,127.34,128.69,1401440.0
2025-06-30,128.94,129.46,127.79,128.92,1196563.0
2025-07-01,128.53,136.43,128.0,133.9,3006829.0
2025-07-02,134.42,136.48,133.43,135.61,2498226.0
2025-07-03,136.0,136.38,131.65,131.9,1848194.0
2025-07-07,131.68,132.91,129.53,130.97,1721616.0
2025-07-08,130.43,132.72,130.0,131.37,1583310.0
2025-07-09,132.42,139.06,132.35,138.41,3299086.0
2025-07-10,138.04,141.82,137.47,139.62,4849038.0
2025-07-11,138.1,138.15,136.34,136.82,2509049.0
2025-07-14,136.0,137.09,133.55,136.1,1919428.0
2025-07-15,137.44,137.44,129.73,129.82,3012211.0
2025-07-16,130.5,132.75,129.11,131.51,3517418.0
2025-07-17,131.28,132.13,130.56,131.65,2042242.0
2025-07-18,133.0,133.45,130.05,131.8,3082939.0
2025-07-21,132.23,133.3,129.22,131.22,4198076.0
2025-07-22,144.63,153.75,141.0,153.5,7922737.0
2025-07-23,153.75,154.2,147.61,148.17,3571577.0
2025-07-24,147.5,147.68,144.33,144.7,2686321.0
2025-07-25,145.04,145.59,143.44,145.32,1701866.0
2025-07-28,144.74,147.13,144.02,146.2,1662016.0
2025-07-29,146.06,147.64,145.23,147.35,1757011.0
2025-07-30,146.58,148.09,142.43,143.31,2618234.0
2025-07-31,141.32,144.4,141.07,142.84,1778114.0
2025-08-01,147.2,150.92,145.79,150.3,4377352.0
2025-08-04,150.01,153.63,150.0,153.28,1822025.0
2025-08-05,153.49,157.56,153.41,154.83,2033058.0
2025-08-06,155.0,156.94,154.0,154.06,1850951.0
2025-08-07,154.72,158.22,153.58,153.89,1323253.0
2025-08-08,154.0,156.5,154.0,156.5,1746310.0
2025-08-11,157.0,158.5,152.26,154.96,1520787.0
2025-08-12,157.23,158.9,154.37,158.26,1275045.0
2025-08-13,159.48,167.22,159.14,165.55,2811804.0
2025-08-14,161.01,164.23,159.65,163.9,2234346.0
2025-08-15,169.5,170.0,163.78,165.62,3641042.0
2025-08-18,166.49,167.35,165.16,165.16,2180784.0
2025-08-19,166.41,168.95,166.27,168.11,2823578.0
2025-08-20,168.33,170.48,163.04,163.37,1915634.0
2025-08-21,162.32,163.19,158.27,161.87,2204752.0
2025-08-22,162.52,171.7,161.02,170.68,3202874.0
2025-08-25,170.0,170.17,168.62,168.96,1943115.0
2025-08-26,169.09,169.71,167.46,168.37,1708594.0
2025-08-27,168.0,169.05,166.44,167.5,1371129.0
2025-08-28,168.28,169.15,166.22,168.91,1225272.0
2025-08-29,168.74,169.75,167.95,169.48,1066504.0
2025-09-02,167.68,171.12,167.0,170.26,1685869.0
2025-09-03,169.86,173.84,169.41,172.17,1699562.0
2025-09-04,173.83,177.5,173.07,176.69,1688761.0
2025-09-05,180.45,183.62,179.61,181.8,1805776.0
2025-09-08,180.75,184.55,180.03,184.04,1706324.0
2025-09-09,182.02,183.08,176.21,177.88,2117379.0
2025-09-10,178.78,178.93,174.3,176.13,1844595.0
2025-09-11,176.99,181.47,176.99,181.01,945432.0
2025-09-12,178.61,180.64,177.3,177.87,1149990.0
2025-09-15,177.0,177.05,170.16,172.09,2982954.0
2025-09-16,172.55,172.83,168.02,171.69,1578317.0
2025-09-17,172.58,177.58,168.56,169.98,1856703.0
2025-09-18,169.6,170.65,167.0,169.61,1398132.0
2025-09-19,167.0,170.02,164.76,168.3,2503362.0
2025-09-22,167.15,167.15,162.82,164.23,2012949.0
2025-09-23,165.05,166.35,162.85,166.27,1843593.0
2025-09-24,165.31,168.83,164.49,167.45,1598166.0
2025-09-25,165.29,168.94,164.0,165.0,1293404.0
2025-09-26,165.86,168.38,165.0,167.2,1041381.0
2025-09-29,168.34,170.57,166.56,169.83,731816.0
2025-09-30,168.93,170.12,166.8,169.47,740754.0
2025-10-01,169.89,172.53,169.78,172.44,920783.0
2025-10-02,171.5,172.27,169.19,171.47,1032273.0
2025-10-03,172.03,176.22,171.68,174.95,1129061.0
2025-10-06,175.8,176.05,170.87,171.53,998686.0
2025-10-07,167.03,167.29,160.75,161.16,3144992.0
2025-10-08,161.0,161.0,155.74,158.66,2823481.0
2025-10-09,157.88,157.88,150.88,151.39,3470044.0
2025-10-10,152.3,153.29,149.69,151.58,1706608.0
2025-10-13,151.48,153.38,150.79,152.59,1483645.0
2025-10-14,152.06,158.56,151.81,156.74,1569543.0
2025-10-15,156.06,158.5,154.97,155.24,1419223.0
2025-10-16,155.95,156.0,151.5,152.92,1854197.0
2025-10-17,152.9,154.2,151.38,153.69,1669680.0
2025-10-20,154.57,155.33,153.3,153.76,1172914.0
2025-10-21,150.5,159.53,149.48,158.63,2034195.0
2025-10-22,158.0,161.35,157.12,158.21,1563989.0
2025-10-23,157.79,159.71,156.5,158.55,881621.0
2025-10-24,160.76,161.58,157.93,157.95,1130809.0
2025-10-27,158.25,161.05,157.94,158.86,1217753.0
2025-10-28,148.0,157.99,147.0,153.75,2483157.0
2025-10-29,151.06,154.06,147.32,148.29,2883066.0
2025-10-30,148.0,151.23,147.02,149.29,1216103.0
2025-10-31,147.78,150.35,147.0,149.08,1492704.0
2025-11-03,148.59,148.62,144.21,145.06,2445610.0
2025-11-04,144.93,146.97,144.01,145.59,1003507.0
2025-11-05,145.17,146.65,143.83,145.27,1046634.0
2025-11-06,145.96,145.96,144.39,145.22,1097277.0
2025-11-07,144.24,145.74,142.29,144.77,1317677.0
2025-11-10,144.18,145.18,142.34,144.57,1428805.0
2025-11-11,145.76,147.46,144.97,146.99,873243.0
2025-11-12,146.5,148.22,145.67,146.03,1039171.0
2025-11-13,143.95,146.12,143.12,143.4,1094716.0
