date,open,high,low,close,volume
2025-02-26,76.15,76.49,73.67,74.14,1100864.0
2025-02-27,73.62,74.6,72.09,73.16,1448515.0
2025-02-28,73.45,73.65,72.04,72.86,1029223.0
2025-03-03,72.61,73.42,68.05,68.77,2056624.0
2025-03-04,66.96,68.14,64.3,66.68,2906799.0
2025-03-05,67.39,70.23,66.5,70.16,2681893.0
2025-03-06,70.03,71.53,69.07,69.1,1738479.0
2025-03-07,68.27,70.21,67.61,68.99,1607583.0
2025-03-10,68.99,69.86,66.77,67.44,1447247.0
2025-03-11,67.5,67.75,64.58,65.69,1260600.0
2025-03-12,65.81,66.75,61.8,61.92,2588455.0
2025-03-13,62.47,67.04,62.47,66.0,3404047.0
2025-03-14,66.59,66.7,64.41,64.56,1874253.0
2025-03-17,64.82,66.27,64.78,65.79,1296400.0
2025-03-18,65.65,66.44,64.87,64.98,1013154.0
2025-03-19,64.76,65.5,63.39,64.3,1244484.0
2025-03-20,64.28,66.85,63.6,64.59,1843740.0
2025-03-21,64.12,67.19,63.16,66.75,2367482.0
2025-03-24,67.11,70.19,66.77,69.74,3877503.0
2025-03-25,69.08,70.3,66.5,67.14,2837922.0
2025-03-26,67.15,73.53,65.14,69.21,13013624.0
2025-03-27,70.76,77.07,70.05,76.95,9751036.0
2025-03-28,77.39,78.35,71.95,72.75,6004658.0
2025-03-31,72.53,75.5,71.23,75.07,4342839.0
2025-04-01,75.26,77.11,74.82,75.34,3254939.0
2025-04-02,75.0,79.24,74.67,77.57,3462134.0
2025-04-03,68.89,71.68,67.14,67.22,11837548.0
2025-04-04,61.99,70.74,61.87,67.55,10189481.0
2025-04-07,70.61,75.79,69.54,72.84,7167976.0
2025-04-08,74.52,75.8,68.86,69.7,5626351.0
2025-04-09,69.25,75.27,69.04,72.57,7697924.0
2025-04-10,72.28,75.0,70.25,71.74,4924993.0
2025-04-11,71.59,72.66,68.92,72.11,5892482.0
2025-04-14,73.52,75.28,72.21,73.71,2565157.0
2025-04-15,73.65,73.98,71.59,71.8,2825077.0
2025-04-16,72.07,73.59,70.71,73.21,2988425.0
2025-04-17,73.57,79.24,73.57,79.14,4418695.0
2025-04-21,79.68,80.14,77.98,79.65,3687026.0
2025-04-22,80.31,82.26,79.46,82.16,3220324.0
2025-04-23,84.38,85.55,81.96,83.43,4166930.0
2025-04-24,82.8,83.08,79.81,81.23,2266699.0
2025-04-25,81.7,81.93,79.92,80.57,1849721.0
2025-04-28,80.29,81.57,79.53,80.17,1752342.0
2025-04-29,80.17,81.68,79.81,80.89,1323181.0
2025-04-30,79.96,82.22,78.7,81.77,1666169.0
2025-05-01,81.34,81.98,80.67,81.27,1371209.0
2025-05-02,82.88,85.5,82.83,84.29,3183768.0
2025-05-05,84.35,85.94,83.89,83.95,1700319.0
2025-05-06,83.49,84.76,83.1,83.79,1530540.0
2025-05-07,84.18,85.23,83.8,84.44,1285305.0
2025-05-08,84.89,85.98,83.7,85.38,1547709.0
2025-05-09,85.39,86.28,84.72,85.47,1050355.0
2025-05-12,90.0,90.1,87.49,89.0,3466617.0
2025-05-13,88.78,89.29,85.68,85.71,2085851.0
2025-05-14,85.67,86.82,84.9,86.06,1994547.0
2025-05-15,85.41,86.95,85.09,86.58,1434080.0
2025-05-16,86.56,87.2,86.37,86.51,1362083.0
2025-05-19,85.01,87.43,85.0,86.61,2012806.0
2025-05-20,87.79,90.76,86.78,90.62,2296303.0
2025-05-21,88.74,89.68,87.86,88.92,1781322.0
2025-05-22,88.38,90.83,88.37,89.97,1550308.0
2025-05-23,88.35,88.92,87.55,88.17,1124518.0
2025-05-27,88.72,90.52,87.95,90.36,1445501.0
2025-05-28,90.34,90.77,89.07,89.34,883675.0
2025-05-29,90.0,90.7,88.87,90.58,1499616.0
2025-05-30,90.11,91.48,89.21,90.26,1688162.0
2025-06-02,90.3,92.15,89.13,91.24,2578358.0
2025-06-03,94.25,97.02,92.75,96.72,5676223.0
2025-06-04,90.93,91.03,86.01,88.62,11004905.0
2025-06-05,91.41,97.45,91.19,96.67,7824967.0
2025-06-06,96.31,96.32,93.6,94.5,3194850.0
2025-06-09,94.95,96.45,93.67,93.85,2121272.0
2025-06-10,93.85,94.4,92.53,93.12,1442227.0
2025-06-11,93.43,94.82,93.43,94.21,1380557.0
2025-06-12,93.91,96.14,93.83,96.09,1132680.0
2025-06-13,95.52,96.92,94.81,95.19,1638873.0
2025-06-16,96.3,99.55,95.69,99.0,1716997.0
2025-06-17,98.24,98.97,97.83,98.35,1086293.0
2025-06-18,98.31,99.36,97.2,97.53,1684977.0
2025-06-20,97.54,99.23,97.0,98.71,1696023.0
2025-06-23,98.16,100.74,97.52,100.51,2957944.0
2025-06-24,100.46,100.68,97.52,98.68,1427972.0
2025-06-25,99.29,100.54,98.84,99.45,1352100.0
2025-06-26,99.49,99.73,97.85,99.44,1363563.0
2025-06-27,99.56,101.6,98.63,98.7,2151393.0
2025-06-30,98.65,99.64,97.3,99.04,1399787.0
2025-07-01,99.04,101.77,98.64,101.5,1371710.0
2025-07-02,100.91,103.23,100.91,103.01,1264128.0
2025-07-03,103.17,103.17,101.06,101.91,1074868.0
2025-07-07,101.75,104.37,100.58,104.23,1276751.0
2025-07-08,104.74,106.96,103.35,104.39,1448985.0
2025-07-09,104.44,105.04,102.95,104.75,761688.0
2025-07-10,106.0,108.95,105.72,108.37,1884263.0
2025-07-11,108.29,109.74,107.6,109.36,1518397.0
2025-07-14,109.11,109.18,106.22,108.63,1353599.0
2025-07-15,108.38,108.67,106.24,106.55,1215460.0
2025-07-16,106.89,107.33,104.84,106.62,1162927.0
2025-07-17,106.41,108.33,106.2,108.15,1593459.0
2025-07-18,108.44,111.03,108.3,110.12,2108981.0
2025-07-21,112.46,113.46,110.35,112.31,1799463.0
2025-07-22,112.78,115.2,112.48,114.77,1392038.0
2025-07-23,114.76,115.42,113.45,114.92,1007160.0
2025-07-24,115.0,115.99,114.12,114.21,1526984.0
2025-07-25,114.38,115.3,113.31,114.41,960566.0
2025-07-28,114.49,115.83,114.04,115.43,1485246.0
2025-07-29,115.25,115.25,113.39,114.99,1540395.0
2025-07-30,114.75,115.18,113.51,114.15,1305477.0
2025-07-31,113.47,114.12,112.9,113.55,1690085.0
2025-08-01,113.33,115.02,112.21,114.72,1416909.0
2025-08-04,114.76,116.5,114.18,115.72,1366260.0
2025-08-05,116.0,116.31,114.99,115.66,1221862.0
2025-08-06,115.66,117.81,115.58,116.37,1338246.0
2025-08-07,116.63,117.56,115.36,117.16,889419.0
2025-08-08,117.63,118.06,115.69,116.12,916961.0
2025-08-11,116.12,116.31,114.04,114.29,1154567.0
2025-08-12,114.29,116.69,113.3,114.06,1623474.0
2025-08-13,113.87,115.66,112.44,115.4,1521825.0
2025-08-14,114.21,115.1,112.97,114.63,1870985.0
2025-08-15,114.93,114.93,112.37,113.49,1740048.0
2025-08-18,114.25,114.51,111.82,112.06,1833860.0
2025-08-19,112.23,113.37,111.1,112.48,1070934.0
2025-08-20,112.11,113.73,111.54,113.35,1244422.0
2025-08-21,112.59,112.9,111.11,112.59,1038588.0
2025-08-22,112.88,113.87,111.97,113.32,1101540.0
2025-08-25,113.54,114.5,111.63,111.8,778247.0
2025-08-26,112.97,112.97,111.2,111.98,1243644.0
2025-08-27,112.13,113.72,111.64,112.86,1395191.0
2025-08-28,115.08,115.74,111.77,112.5,1057450.0
2025-08-29,113.45,113.67,108.61,109.17,1678461.0
2025-09-02,108.9,112.13,108.04,111.35,2841493.0
2025-09-03,100.8,104.28,98.0,102.03,10187512.0
2025-09-04,101.61,101.85,98.72,100.25,4891103.0
2025-09-05,100.18,101.24,99.12,101.12,3346884.0
2025-09-08,101.05,101.37,96.96,99.4,4563229.0
2025-09-09,99.01,99.37,95.38,96.3,4510968.0
2025-09-10,97.09,99.77,97.0,98.85,3257194.0
2025-09-11,99.27,101.03,98.69,99.39,2036202.0
2025-09-12,98.94,99.73,96.6,97.45,2251743.0
2025-09-15,97.45,98.69,96.6,97.26,2412663.0
2025-09-16,96.87,97.38,94.9,95.48,2438383.0
2025-09-17,95.7,98.71,95.47,97.78,3001748.0
2025-09-18,96.85,98.54,96.5,98.26,2207737.0
2025-09-19,98.36,98.87,94.64,95.26,3180242.0
2025-09-22,95.3,95.83,93.72,94.48,1873592.0
2025-09-23,95.02,95.22,93.79,94.65,1668058.0
2025-09-24,94.75,96.27,94.24,95.9,1899629.0
2025-09-25,95.9,96.64,93.79,94.03,1649600.0
2025-09-26,94.1,95.53,93.41,95.06,2621422.0
2025-09-29,95.31,95.4,91.71,94.21,3468213.0
2025-09-30,94.18,95.05,93.43,94.37,2056321.0
2025-10-01,93.55,93.81,90.19,90.32,4619705.0
2025-10-02,90.3,90.65,88.07,90.24,3127971.0
2025-10-03,90.39,91.03,89.05,89.98,1928217.0
2025-10-06,90.12,90.24,87.45,87.68,2772997.0
2025-10-07,85.28,86.47,84.71,85.04,2895370.0
2025-10-08,85.91,88.36,85.75,87.83,3580726.0
2025-10-09,88.14,89.27,87.25,89.02,2649831.0
2025-10-10,89.63,93.08,87.56,87.61,3539289.0
2025-10-13,89.03,93.72,88.79,92.59,4694043.0
2025-10-14,92.62,96.18,92.23,95.58,4433603.0
2025-10-15,100.46,100.53,94.78,95.97,5392126.0
2025-10-16,95.48,96.38,92.67,94.03,2858637.0
2025-10-17,94.35,96.69,94.13,96.44,1866875.0
2025-10-20,96.59,99.27,96.47,99.02,2524538.0
2025-10-21,98.6,99.65,97.58,98.95,1355545.0
2025-10-22,98.51,101.44,97.43,100.47,2360256.0
2025-10-23,100.17,102.15,99.69,100.62,1295993.0
2025-10-24,100.6,101.19,98.86,99.05,1166440.0
2025-10-27,100.02,102.99,100.02,102.59,2135059.0
2025-10-28,102.42,104.49,100.14,102.7,1834943.0
2025-10-29,101.72,103.2,100.49,101.33,1295000.0
2025-10-30,101.99,102.01,98.66,98.8,1507459.0
2025-10-31,98.1,99.83,97.72,99.12,1416737.0
2025-11-03,98.63,100.95,97.01,100.85,2272653.0
2025-11-04,101.22,103.0,99.81,102.07,1821025.0
2025-11-05,102.06,105.19,100.59,104.92,1758268.0
2025-11-06,104.07,105.15,100.12,101.97,1940899.0
2025-11-07,101.62,105.98,101.41,105.74,1515671.0
2025-11-10,105.89,107.48,104.56,106.29,1429772.0
2025-11-11,106.06,107.0,104.82,105.98,1718414.0
