date,open,high,low,close,volume
2025-02-26,39.54,39.57,38.54,38.85,4446917.0
2025-02-27,38.75,38.79,38.16,38.43,4809571.0
2025-02-28,37.8,38.31,37.62,38.11,4993281.0
2025-03-03,38.67,38.69,36.01,36.06,7706987.0
2025-03-04,35.89,36.21,35.48,35.62,6115394.0
2025-03-05,36.26,38.03,36.2,37.78,6843111.0
2025-03-06,37.33,37.69,36.72,37.44,6420756.0
2025-03-07,37.19,37.62,36.76,37.45,6067662.0
2025-03-10,37.36,38.37,37.16,37.4,4242392.0
2025-03-11,37.61,37.7,36.17,36.67,4733703.0
2025-03-12,36.8,36.8,35.73,35.75,4913741.0
2025-03-13,35.68,37.2,35.62,36.23,5676980.0
2025-03-14,36.78,37.18,36.66,36.97,3976419.0
2025-03-17,37.01,37.79,37.01,37.51,3199218.0
2025-03-18,37.77,37.8,37.32,37.61,2668781.0
2025-03-19,37.5,37.72,37.04,37.19,3488276.0
2025-03-20,36.76,37.0,36.5,36.61,3178992.0
2025-03-21,36.25,36.36,35.81,36.17,5284073.0
2025-03-24,36.53,36.86,35.97,36.29,4194493.0
2025-03-25,36.29,36.32,35.22,35.32,5109528.0
2025-03-26,35.27,35.78,35.13,35.58,4054525.0
2025-03-27,35.0,35.4,34.61,35.24,4881500.0
2025-03-28,35.06,35.22,34.12,34.36,4909943.0
2025-03-31,34.12,35.21,33.93,34.92,5325422.0
2025-04-01,34.48,34.77,34.09,34.61,4260737.0
2025-04-02,34.32,35.17,34.3,34.89,3192764.0
2025-04-03,33.48,33.64,31.38,31.46,14328384.0
2025-04-04,30.21,30.44,28.04,28.2,14565226.0
2025-04-07,27.22,29.29,26.32,27.52,14867823.0
2025-04-08,29.0,29.0,25.32,25.81,12965634.0
2025-04-09,25.35,30.14,25.06,29.86,14608419.0
2025-04-10,28.8,28.82,26.62,27.29,10872664.0
2025-04-11,27.01,28.51,26.47,28.43,8356192.0
2025-04-14,29.15,29.45,28.26,28.88,7402152.0
2025-04-15,28.03,28.76,27.68,27.7,9131618.0
2025-04-16,27.7,28.18,27.22,27.47,6420635.0
2025-04-17,27.73,28.41,27.73,28.15,6307936.0
2025-04-21,28.17,28.34,27.71,28.12,5758072.0
2025-04-22,28.54,29.35,28.5,29.0,5862135.0
2025-04-23,30.06,30.75,28.73,29.0,7554821.0
2025-04-24,28.52,30.18,28.05,29.76,10079891.0
2025-04-25,29.34,30.08,29.12,30.02,9494532.0
2025-04-28,30.25,30.94,29.71,29.95,6716443.0
2025-04-29,29.8,30.72,29.77,30.65,6791266.0
2025-04-30,30.21,30.64,29.76,30.59,7297609.0
2025-05-01,30.68,30.85,30.27,30.53,4911266.0
2025-05-02,30.86,31.06,30.21,30.42,6122387.0
2025-05-05,29.91,30.0,28.92,28.95,6114310.0
2025-05-06,28.89,29.28,28.63,28.8,5127884.0
2025-05-07,29.0,29.11,28.27,28.45,5597021.0
2025-05-08,28.74,29.74,28.65,29.24,5285366.0
2025-05-09,29.45,29.76,29.2,29.48,5964895.0
2025-05-12,31.65,32.39,30.94,30.98,8177462.0
2025-05-13,30.93,31.22,30.6,30.77,6100403.0
2025-05-14,30.68,30.77,30.05,30.17,3942090.0
2025-05-15,29.8,29.96,29.39,29.9,4441072.0
2025-05-16,29.89,30.3,29.53,30.19,3679873.0
2025-05-19,29.65,30.22,29.4,30.11,4146077.0
2025-05-20,30.14,30.29,29.71,29.79,3641803.0
2025-05-21,29.51,29.67,28.69,28.75,6175835.0
2025-05-22,28.63,28.85,28.32,28.67,5099954.0
2025-05-23,28.25,28.47,27.91,28.32,5119485.0
2025-05-27,28.85,29.04,28.69,28.92,6349815.0
