date,open,high,low,close,volume
2025-02-26,35.83,36.21,35.28,35.46,5772839.0
2025-02-27,35.7,36.69,35.39,35.88,5012031.0
2025-02-28,35.52,36.28,35.21,36.22,5280684.0
2025-03-03,36.49,36.64,33.83,34.41,10137608.0
2025-03-04,33.8,34.97,33.1,34.25,7924441.0
2025-03-05,33.6,33.86,32.7,33.66,6897976.0
2025-03-06,33.5,34.18,33.11,33.87,5498631.0
2025-03-07,34.19,35.21,34.09,34.71,6068319.0
2025-03-10,34.7,34.98,33.53,34.21,6842062.0
2025-03-11,34.6,35.18,34.01,34.41,5534933.0
2025-03-12,34.54,35.28,34.28,34.75,4794517.0
2025-03-13,34.39,34.59,33.42,33.79,5891693.0
2025-03-14,33.61,34.58,33.44,34.55,4735775.0
2025-03-17,34.63,35.38,34.63,35.11,3681340.0
2025-03-18,35.66,35.91,34.82,35.37,4640687.0
2025-03-19,35.28,36.46,35.25,36.05,6706244.0
2025-03-20,35.75,36.34,35.55,36.13,3877473.0
2025-03-21,35.97,36.28,35.77,36.15,3811653.0
2025-03-24,36.25,37.2,36.12,36.96,3135215.0
2025-03-25,37.26,37.77,36.83,36.97,3404345.0
2025-03-26,37.42,37.85,37.2,37.47,4997128.0
2025-03-27,37.29,37.49,36.69,36.88,2738284.0
2025-03-28,36.79,36.99,36.46,36.76,2819351.0
2025-03-31,36.56,37.65,36.54,37.4,4262797.0
2025-04-01,37.5,37.6,36.82,37.57,3548236.0
2025-04-02,37.04,37.96,37.04,37.92,3232406.0
2025-04-03,35.41,35.91,33.04,33.16,11294139.0
2025-04-04,32.0,32.29,29.06,29.31,17254924.0
2025-04-07,28.04,30.16,27.14,28.61,13907171.0
2025-04-08,29.42,29.68,26.41,26.8,12239304.0
2025-04-09,26.05,31.54,25.89,31.07,15162339.0
2025-04-10,29.81,30.06,27.13,27.75,11458638.0
2025-04-11,27.8,28.43,26.76,28.23,9026732.0
2025-04-14,29.24,29.24,28.09,28.73,6449150.0
2025-04-15,28.55,29.48,28.35,28.53,5765406.0
2025-04-16,28.62,29.86,28.61,29.3,7230219.0
2025-04-17,29.69,30.81,29.68,30.31,7366191.0
2025-04-21,29.61,29.75,29.06,29.48,4457562.0
2025-04-22,30.81,31.55,30.44,31.2,8565932.0
2025-04-23,31.74,32.32,30.7,31.08,6205041.0
2025-04-24,31.49,31.66,30.95,31.47,4361319.0
2025-04-25,31.09,31.52,31.01,31.35,3389486.0
2025-04-28,31.36,31.8,31.25,31.55,3186543.0
2025-04-29,31.0,31.44,30.79,31.3,3219949.0
2025-04-30,30.76,30.99,29.94,30.41,4487795.0
2025-05-01,30.32,31.77,30.27,31.16,5631282.0
2025-05-02,31.66,31.86,30.98,31.44,4541616.0
2025-05-05,30.8,31.22,30.45,30.62,5491564.0
2025-05-06,30.93,31.24,30.52,30.59,6306243.0
2025-05-07,30.41,30.82,29.7,30.29,9875674.0
2025-05-08,30.87,32.29,30.75,31.93,6965710.0
2025-05-09,32.54,32.79,32.04,32.53,4575055.0
2025-05-12,34.2,34.65,33.35,33.55,4998705.0
2025-05-13,33.75,34.61,33.6,34.29,4772123.0
2025-05-14,34.05,34.2,33.74,33.96,3078934.0
2025-05-15,33.2,33.51,32.94,33.4,4235885.0
2025-05-16,33.62,33.71,32.87,33.26,3702411.0
2025-05-19,32.75,32.88,32.39,32.69,3102130.0
2025-05-20,32.71,32.74,32.12,32.17,4014696.0
2025-05-21,32.0,32.24,31.5,31.5,4790891.0
2025-05-22,31.17,31.37,30.62,31.14,4365585.0
2025-05-23,30.66,31.24,30.61,31.16,4397547.0
2025-05-27,31.5,31.5,30.9,31.35,4599017.0
2025-05-28,31.66,31.79,30.83,30.86,4598052.0
2025-05-29,31.0,31.17,30.57,31.11,6269318.0
2025-05-30,30.85,30.85,30.24,30.26,5450501.0
2025-06-02,31.18,31.25,30.75,31.14,7074638.0
2025-06-03,31.14,32.3,30.8,32.01,4803922.0
2025-06-04,32.01,32.49,31.48,31.56,4466383.0
2025-06-05,31.89,31.9,31.32,31.42,3338222.0
2025-06-06,31.86,32.43,31.82,32.29,3822599.0
2025-06-09,32.51,33.0,32.29,32.65,3568198.0
2025-06-10,32.99,33.91,32.98,33.47,4359184.0
2025-06-11,33.77,34.71,33.43,34.47,6066028.0
2025-06-12,34.32,34.36,33.67,34.33,4112353.0
2025-06-13,35.26,35.6,34.65,35.11,9061251.0
2025-06-16,34.4,35.19,34.27,34.62,5413256.0
2025-06-17,35.08,35.48,34.57,34.71,6751314.0
2025-06-18,35.0,35.42,33.89,34.04,7411714.0
2025-06-20,34.12,34.39,33.75,34.29,5750235.0
2025-06-23,34.87,35.0,32.71,32.83,11558224.0
2025-06-24,32.13,32.85,32.1,32.35,5541825.0
2025-06-25,32.25,32.52,32.05,32.13,4491235.0
2025-06-26,32.2,32.8,32.18,32.48,4688024.0
2025-06-27,32.4,32.51,32.0,32.25,3575753.0
2025-06-30,32.12,32.15,31.72,31.81,3891691.0
2025-07-01,31.82,32.99,31.49,32.65,5158726.0
2025-07-02,33.21,33.47,32.53,33.41,5124203.0
2025-07-03,33.39,33.53,33.1,33.23,1877915.0
