date,open,high,low,close,volume
2025-02-26,87.68,90.66,86.41,89.91,1485105.0
2025-02-27,89.44,90.0,87.73,87.81,1146827.0
2025-02-28,87.84,88.6,86.79,88.37,1422674.0
2025-03-03,88.71,88.74,85.64,85.99,2020632.0
2025-03-04,85.76,86.14,81.77,82.42,3332223.0
2025-03-05,82.61,83.54,81.5,81.96,1801181.0
2025-03-06,80.44,81.75,79.09,79.51,2897235.0
2025-03-07,79.48,80.32,76.82,77.84,2021031.0
2025-03-10,74.91,74.92,70.47,70.72,4768757.0
2025-03-11,71.15,71.45,69.02,70.26,3337819.0
2025-03-12,71.18,72.3,69.86,70.76,2370324.0
2025-03-13,70.79,70.79,68.3,68.48,1657880.0
2025-03-14,68.59,70.77,68.59,70.69,2723753.0
2025-03-17,70.33,72.2,70.3,71.35,1818270.0
2025-03-18,71.25,71.35,69.92,70.7,1023153.0
2025-03-19,70.71,74.42,70.71,73.38,2026546.0
2025-03-20,72.9,76.27,72.52,75.11,1975896.0
2025-03-21,74.17,74.49,72.73,73.8,2746705.0
2025-03-24,75.05,75.81,74.6,75.32,963860.0
2025-03-25,75.36,76.01,72.52,73.55,1497222.0
2025-03-26,73.25,73.4,71.47,72.13,1806532.0
2025-03-27,72.13,72.47,69.41,69.47,3149771.0
2025-03-28,69.5,69.89,67.37,67.74,2361640.0
2025-03-31,67.22,68.75,66.25,68.29,2443489.0
2025-04-01,67.85,68.4,66.3,67.32,1631394.0
2025-04-02,66.32,68.52,66.32,68.14,1300879.0
2025-04-03,65.01,65.01,61.48,61.8,3095308.0
2025-04-04,59.63,61.05,57.52,59.83,3514473.0
2025-04-07,58.03,62.9,58.0,61.63,4655000.0
2025-04-08,62.47,63.89,59.97,60.69,3037163.0
2025-04-09,60.09,67.63,59.62,66.84,3531545.0
2025-04-10,72.9,73.5,66.46,67.3,5982365.0
2025-04-11,67.23,67.66,64.99,66.14,2324533.0
2025-04-14,67.28,68.07,66.41,67.39,1876835.0
2025-04-15,67.4,69.32,66.97,69.23,2753213.0
2025-04-16,68.84,69.69,67.75,68.73,2228846.0
2025-04-17,66.99,68.78,66.53,68.57,2203031.0
2025-04-21,68.04,68.12,65.11,66.11,2015666.0
2025-04-22,67.09,67.31,65.53,66.33,2039970.0
2025-04-23,68.33,70.21,66.8,66.86,2661167.0
2025-04-24,67.73,70.98,67.54,70.78,1682803.0
2025-04-25,70.85,72.28,70.35,71.66,1171880.0
2025-04-28,72.27,72.6,70.57,71.18,1255878.0
2025-04-29,71.28,71.46,70.29,71.3,1189049.0
2025-04-30,70.67,71.57,69.75,71.38,1237837.0
2025-05-01,71.44,71.71,69.7,70.26,2849756.0
