date,open,high,low,close,volume
2025-02-26,71.11,71.61,68.84,69.14,5262986.0
2025-02-27,64.27,65.81,61.55,63.48,12801178.0
2025-02-28,63.47,64.76,63.07,64.74,4970217.0
2025-03-03,65.01,66.47,64.75,65.22,3241484.0
2025-03-04,65.17,68.04,64.97,66.67,5682738.0
2025-03-05,66.65,67.18,65.19,66.55,2281969.0
2025-03-06,66.21,67.9,66.08,67.87,3155954.0
2025-03-07,67.64,70.72,67.37,70.51,4659942.0
2025-03-10,70.34,71.48,66.82,68.19,6175474.0
2025-03-11,68.23,68.47,65.03,65.22,4049335.0
2025-03-12,65.47,66.37,64.63,65.13,2938970.0
2025-03-13,65.13,65.77,64.07,64.25,1904782.0
2025-03-14,64.68,65.46,64.32,65.28,1600605.0
2025-03-17,65.31,67.88,65.28,67.44,2361327.0
2025-03-18,67.29,67.5,64.88,65.24,2554612.0
2025-03-19,65.5,67.57,65.36,67.2,2863259.0
2025-03-20,66.79,68.0,66.23,66.34,2133986.0
2025-03-21,66.08,66.18,65.21,65.78,3399683.0
2025-03-24,66.55,66.62,64.87,66.54,2087456.0
2025-03-25,66.86,67.2,66.12,66.3,1719398.0
2025-03-26,66.27,66.53,65.08,65.58,2404390.0
2025-03-27,65.68,67.34,65.2,66.81,1957950.0
2025-03-28,67.37,67.86,66.29,67.16,3387870.0
2025-03-31,67.01,68.11,66.24,67.73,2812473.0
2025-04-01,67.58,68.97,67.08,67.8,2994625.0
2025-04-02,67.01,68.24,66.67,67.42,2471367.0
2025-04-03,66.22,68.48,65.24,66.36,3866185.0
2025-04-04,64.68,65.39,62.35,62.4,5082195.0
2025-04-07,61.34,63.75,59.71,61.19,6216277.0
2025-04-08,62.2,63.21,58.71,59.52,4471771.0
2025-04-09,59.31,63.53,58.96,61.96,6500836.0
2025-04-10,61.51,63.28,60.68,62.47,4000590.0
2025-04-11,62.49,65.33,61.74,64.58,3205885.0
2025-04-14,65.04,66.6,64.25,66.07,3161546.0
2025-04-15,66.22,66.98,65.27,65.5,2043743.0
2025-04-16,65.5,67.36,65.17,65.47,4581164.0
2025-04-17,66.1,66.86,65.61,66.26,1697586.0
2025-04-21,66.27,66.82,64.68,65.63,3099497.0
2025-04-22,64.98,67.68,64.93,67.05,3028630.0
2025-04-23,67.53,67.71,65.59,66.63,3048567.0
2025-04-24,66.96,67.45,65.24,67.2,2655932.0
2025-04-25,67.45,68.06,66.81,67.83,2531935.0
2025-04-28,67.92,68.8,66.25,66.32,4677615.0
2025-04-29,65.95,67.74,65.0,67.2,5184358.0
2025-04-30,66.39,68.43,65.23,68.16,5795460.0
2025-05-01,70.05,70.45,67.19,67.67,5973035.0
2025-05-02,68.11,68.88,67.48,68.6,3367459.0
2025-05-05,68.31,70.94,68.15,70.31,3113047.0
2025-05-06,69.64,70.54,69.64,70.36,2121871.0
2025-05-07,70.21,71.16,69.67,69.76,2436930.0
2025-05-08,69.7,71.53,69.4,70.56,4017278.0
2025-05-09,70.58,70.62,69.27,69.51,2099458.0
2025-05-12,70.8,71.09,67.87,69.16,4743831.0
2025-05-13,69.69,70.26,68.6,69.17,2629951.0
2025-05-14,69.01,69.68,68.89,69.15,1859137.0
2025-05-15,69.65,70.8,69.41,70.6,3296339.0
2025-05-16,70.81,71.9,70.41,71.84,2979000.0
2025-05-19,71.1,72.49,70.72,72.43,2441143.0
2025-05-20,72.44,72.94,72.03,72.59,3265284.0
2025-05-21,72.25,72.61,71.43,71.58,1922398.0
2025-05-22,71.0,72.52,71.0,72.15,2271028.0
2025-05-23,71.54,72.65,71.4,71.92,2107892.0
2025-05-27,72.33,72.94,71.68,72.44,2466023.0
2025-05-28,72.48,73.18,71.85,72.4,3424421.0
2025-05-29,72.71,73.09,72.12,72.74,1628876.0
2025-05-30,72.42,73.34,72.33,73.17,2431405.0
2025-06-02,72.84,74.94,72.83,74.53,3151275.0
2025-06-03,74.33,76.06,74.21,75.95,4476350.0
2025-06-04,76.27,77.33,75.96,77.1,4105896.0
2025-06-05,77.25,78.65,77.12,77.74,4499841.0
2025-06-06,78.11,79.5,77.88,78.61,3008469.0
2025-06-09,78.31,79.66,77.78,79.36,2682317.0
2025-06-10,79.33,79.84,78.62,78.77,3246959.0
2025-06-11,78.63,78.77,77.16,77.88,3995194.0
2025-06-12,77.98,78.15,77.08,77.44,2642760.0
2025-06-13,76.85,78.11,76.73,77.36,1671324.0
2025-06-16,77.81,78.1,76.89,77.71,2543026.0
2025-06-17,77.44,77.7,77.03,77.4,2737412.0
2025-06-18,77.48,78.25,76.86,77.53,2936211.0
2025-06-20,77.36,78.19,77.05,77.62,2982167.0
2025-06-23,77.5,77.95,76.4,76.86,3276198.0
2025-06-24,77.05,77.08,74.32,74.35,4982433.0
2025-06-25,74.23,75.46,74.04,74.52,2809113.0
2025-06-26,74.62,74.95,72.84,73.68,4149555.0
2025-06-27,73.91,74.4,73.18,73.76,3802158.0
2025-06-30,74.41,74.6,73.68,74.46,2395878.0
2025-07-01,74.78,77.07,74.66,76.1,3672120.0
2025-07-02,75.87,76.32,75.24,75.78,2007846.0
2025-07-03,76.13,76.8,75.95,76.36,1164547.0
2025-07-07,76.17,76.75,75.28,75.91,1940341.0
2025-07-08,75.69,75.9,75.12,75.33,1370813.0
2025-07-09,75.58,76.33,75.17,76.32,1596271.0
2025-07-10,76.97,77.7,76.08,77.22,2055737.0
2025-07-11,77.31,77.31,76.23,77.11,1880411.0
