date,open,high,low,close,volume
2025-02-26,52.32,52.81,51.78,52.61,3651958.0
2025-02-27,52.19,52.38,50.72,51.34,2546998.0
2025-02-28,51.7,55.39,51.5,54.44,4480148.0
2025-03-03,54.65,56.34,54.45,55.27,3109965.0
2025-03-04,55.43,56.1,54.58,54.82,2050835.0
2025-03-05,55.03,55.5,53.87,55.19,2281139.0
2025-03-06,54.7,55.31,53.81,55.08,1624920.0
2025-03-07,55.07,56.86,54.94,56.4,1991525.0
2025-03-10,56.58,58.17,56.1,56.99,2488864.0
2025-03-11,56.99,57.21,55.16,56.06,2288242.0
2025-03-12,56.38,56.6,54.74,55.48,1524454.0
2025-03-13,55.48,56.38,55.26,55.83,1177945.0
2025-03-14,56.01,57.14,55.6,57.0,2276245.0
2025-03-17,57.23,59.84,56.97,58.96,2409197.0
2025-03-18,58.3,59.61,58.13,58.7,1749687.0
2025-03-19,58.55,58.95,57.84,58.5,1261705.0
2025-03-20,58.36,59.0,58.0,58.92,1093328.0
2025-03-21,58.58,59.14,58.09,58.17,2212375.0
2025-03-24,58.07,59.09,57.85,58.59,980725.0
2025-03-25,58.46,58.5,56.78,57.25,1746770.0
2025-03-26,57.3,58.05,56.97,57.78,1256753.0
2025-03-27,57.81,57.85,57.16,57.29,960981.0
2025-03-28,58.16,58.61,57.14,58.18,1319180.0
2025-03-31,58.32,59.34,58.29,58.92,1276450.0
2025-04-01,59.04,59.13,58.21,58.75,1301873.0
2025-04-02,58.66,60.27,58.43,59.92,1560512.0
2025-04-03,60.49,60.49,58.19,58.38,1182696.0
2025-04-04,58.51,58.55,54.08,54.75,2339024.0
2025-04-07,53.0,54.62,51.26,53.62,2234274.0
2025-04-08,54.29,54.9,51.83,52.5,1825553.0
2025-04-09,51.88,56.21,51.0,56.06,2594457.0
2025-04-10,55.3,56.01,53.81,55.4,1393030.0
2025-04-11,55.42,56.48,54.2,56.1,955623.0
2025-04-14,56.7,57.46,56.0,57.22,836685.0
2025-04-15,57.45,57.9,56.84,56.9,947176.0
2025-04-16,57.0,57.4,56.0,56.33,740135.0
2025-04-17,56.68,58.18,56.56,57.39,1003711.0
2025-04-21,56.88,57.13,55.27,55.81,872237.0
2025-04-22,56.78,58.05,56.52,57.82,1192206.0
2025-04-23,57.94,58.78,57.54,58.16,1061695.0
2025-04-24,58.36,58.63,57.88,58.2,1067280.0
2025-04-25,58.36,58.36,57.46,57.96,905536.0
2025-04-28,57.89,58.41,57.06,58.35,972081.0
2025-04-29,58.0,58.96,57.96,58.73,1419892.0
2025-04-30,58.0,58.45,52.82,53.51,4799078.0
2025-05-01,53.75,55.22,53.65,54.56,2150694.0
2025-05-02,54.79,55.75,54.21,54.88,1417099.0
2025-05-05,54.85,55.37,54.55,54.93,928583.0
2025-05-06,54.56,55.45,54.51,54.83,745542.0
2025-05-07,54.65,56.29,54.64,55.75,1325959.0
2025-05-08,56.01,56.94,55.76,56.13,1091515.0
2025-05-09,56.32,56.85,56.07,56.19,1148537.0
2025-05-12,57.11,57.26,56.01,56.56,1319255.0
2025-05-13,56.55,57.04,55.73,56.18,1262238.0
2025-05-14,56.06,56.62,54.91,56.38,1065678.0
2025-05-15,56.72,57.79,56.44,57.6,1021292.0
2025-05-16,57.87,58.63,57.68,58.63,1174542.0
2025-05-19,57.91,58.31,57.84,58.0,983863.0
2025-05-20,58.0,58.5,58.0,58.31,808564.0
2025-05-21,58.18,58.18,56.86,56.94,1510893.0
2025-05-22,56.35,56.58,55.32,56.22,1000084.0
2025-05-23,56.37,56.81,55.56,56.64,667994.0
2025-05-27,57.34,57.49,56.14,57.1,1028090.0
2025-05-28,57.13,57.47,54.88,55.11,1303376.0
2025-05-29,55.21,55.89,54.88,55.88,1168283.0
2025-05-30,55.6,55.82,55.08,55.65,1678531.0
2025-06-02,55.42,55.5,54.54,55.43,1468634.0
2025-06-03,55.65,56.33,54.9,56.0,1786511.0
2025-06-04,55.99,56.05,53.85,54.36,2525686.0
2025-06-05,54.5,54.64,53.52,53.64,1896157.0
2025-06-06,53.99,54.37,53.35,53.76,1387029.0
2025-06-09,53.1,53.29,48.38,49.42,6336989.0
2025-06-10,49.84,50.65,48.92,50.44,3264103.0
2025-06-11,50.67,50.86,49.37,49.61,4455932.0
2025-06-12,49.6,50.47,49.42,50.37,2943736.0
2025-06-13,49.8,50.09,47.86,48.32,3877019.0
2025-06-16,48.61,49.36,48.01,48.35,3106240.0
2025-06-17,48.05,49.34,47.73,49.2,2294310.0
2025-06-18,49.1,50.59,48.92,50.46,2613381.0
2025-06-20,50.63,51.13,49.56,49.65,2216208.0
2025-06-23,49.65,50.69,49.28,50.16,1805870.0
2025-06-24,50.45,51.55,50.28,51.39,1753017.0
2025-06-25,50.96,51.31,50.41,50.41,1137904.0
2025-06-26,50.82,51.18,50.36,50.81,1324169.0
2025-06-27,50.96,51.05,50.4,50.97,3379296.0
2025-06-30,50.95,51.62,50.62,51.6,2144576.0
2025-07-01,51.83,53.35,51.83,52.88,2991946.0
2025-07-02,52.92,52.98,52.37,52.56,2703067.0
2025-07-03,53.1,53.24,52.06,52.55,1591128.0
2025-07-07,51.34,51.5,50.06,50.51,2279244.0
2025-07-08,50.08,50.8,49.14,50.74,2461474.0
2025-07-09,50.74,50.81,49.88,50.63,5433668.0
2025-07-10,50.58,51.66,50.23,51.29,2396041.0
2025-07-11,51.09,51.4,50.16,51.06,1516959.0
2025-07-14,50.93,51.24,50.37,50.96,1434025.0
2025-07-15,51.2,51.33,50.19,50.42,1339799.0
2025-07-16,50.47,51.27,50.45,50.94,2280318.0
2025-07-17,50.58,51.48,50.58,51.33,2012767.0
2025-07-18,51.5,51.8,50.91,51.14,1446405.0
2025-07-21,51.37,51.5,50.85,50.92,1170380.0
2025-07-22,51.3,52.03,51.14,52.03,1265524.0
2025-07-23,52.36,52.55,51.88,52.3,1685500.0
2025-07-24,52.32,52.44,51.15,51.42,1637036.0
2025-07-25,51.39,53.08,51.22,52.95,2516675.0
2025-07-28,52.78,53.17,52.15,52.27,2372976.0
2025-07-29,52.44,52.62,51.96,52.45,1502259.0
2025-07-30,52.48,53.07,51.38,51.69,2234865.0
2025-07-31,51.54,52.28,51.01,52.12,2761932.0
2025-08-01,52.2,53.47,51.4,53.13,2963280.0
2025-08-04,52.66,55.31,52.66,55.22,3107143.0
2025-08-05,55.48,56.03,54.71,55.28,2815555.0
2025-08-06,55.51,55.83,54.81,54.91,2523425.0
2025-08-07,55.0,55.4,53.53,54.94,2553715.0
2025-08-08,55.0,55.1,52.62,53.77,2946492.0
2025-08-11,54.0,55.47,54.0,55.25,1820910.0
2025-08-12,55.56,56.09,55.32,55.96,1314451.0
2025-08-13,56.04,56.33,55.62,56.28,1067361.0
2025-08-14,55.84,56.31,55.25,56.02,897616.0
2025-08-15,56.24,56.39,55.48,55.5,924661.0
2025-08-18,55.72,56.15,55.35,55.63,1020174.0
2025-08-19,55.83,57.02,55.68,56.35,984016.0
2025-08-20,56.51,57.26,55.85,55.96,1070639.0
2025-08-21,56.13,56.15,53.39,53.81,1839563.0
2025-08-22,54.34,55.73,54.2,55.6,1554109.0
2025-08-25,55.19,55.45,54.38,54.5,1029427.0
2025-08-26,54.57,55.09,54.37,54.92,934319.0
2025-08-27,54.92,55.71,54.88,55.38,1015364.0
2025-08-28,55.31,55.51,54.55,54.72,811671.0
2025-08-29,54.81,57.62,54.81,56.13,1786714.0
2025-09-02,55.51,56.5,54.9,55.79,1465569.0
2025-09-03,56.06,56.43,55.03,55.35,2109274.0
2025-09-04,55.71,55.93,53.41,54.67,2061782.0
2025-09-05,54.7,54.95,54.13,54.45,847418.0
2025-09-08,54.45,55.15,53.0,53.3,1720803.0
2025-09-09,53.34,55.04,52.95,54.77,2191760.0
2025-09-10,54.57,56.42,53.74,55.57,5041189.0
2025-09-11,55.26,57.36,55.24,56.22,2476940.0
2025-09-12,56.08,56.78,55.92,56.2,1180077.0
2025-09-15,56.7,57.0,55.75,55.86,1542576.0
2025-09-16,56.0,56.22,54.88,55.18,1288492.0
2025-09-17,55.6,56.62,55.49,55.56,1268600.0
2025-09-18,55.61,55.82,54.84,55.58,840331.0
2025-09-19,55.86,56.5,55.37,55.64,1902979.0
2025-09-22,55.47,55.47,53.75,54.26,1628338.0
2025-09-23,54.38,56.1,54.35,55.34,1384029.0
2025-09-24,55.36,55.44,54.68,55.04,1011383.0
2025-09-25,54.82,55.05,53.89,54.05,1041304.0
2025-09-26,54.37,55.02,54.16,55.01,1070142.0
2025-09-29,55.18,55.52,54.64,55.23,1229482.0
2025-09-30,55.16,55.78,54.75,55.28,1061816.0
2025-10-01,55.47,56.52,55.31,56.28,1660239.0
2025-10-02,55.06,55.8,53.49,54.49,2776938.0
2025-10-03,54.79,55.75,54.58,55.29,1339241.0
2025-10-06,55.3,55.3,54.04,54.8,2139743.0
2025-10-07,54.46,54.47,52.55,53.69,2236920.0
2025-10-08,53.75,54.13,52.58,53.47,3207555.0
2025-10-09,53.86,53.92,52.35,53.07,1644781.0
2025-10-10,53.57,53.63,52.12,52.12,1421008.0
2025-10-13,52.16,53.9,52.0,53.65,1365878.0
2025-10-14,53.69,56.22,53.59,56.07,1957252.0
2025-10-15,56.5,57.28,56.16,56.74,1213654.0
2025-10-16,57.32,58.07,56.49,56.72,1167672.0
2025-10-17,56.69,57.08,56.22,56.66,904691.0
2025-10-20,57.18,57.76,56.72,57.65,1198603.0
2025-10-21,58.01,58.81,57.62,58.36,950287.0
2025-10-22,58.3,58.56,57.78,58.08,915186.0
2025-10-23,58.72,58.73,57.04,57.27,1444573.0
2025-10-24,57.49,57.93,57.29,57.81,667831.0
2025-10-27,57.04,57.79,56.53,56.91,1655548.0
2025-10-28,56.63,56.64,55.72,56.05,1827852.0
2025-10-29,55.0,56.05,54.2,55.39,2014055.0
2025-10-30,55.07,55.82,54.77,55.64,1448317.0
2025-10-31,55.45,55.61,54.6,55.38,1527878.0
2025-11-03,55.16,55.16,53.56,54.39,1896331.0
2025-11-04,54.61,55.77,54.32,55.7,1224691.0
2025-11-05,56.2,57.19,56.0,56.78,1862084.0
2025-11-06,56.78,57.3,56.34,56.56,1068180.0
2025-11-07,56.37,57.11,56.21,57.04,1001668.0
2025-11-10,57.15,57.66,56.73,57.34,884269.0
2025-11-11,57.76,58.27,57.68,57.87,1528126.0
2025-11-12,57.87,59.07,57.76,58.76,981440.0
2025-11-13,58.39,59.34,58.39,59.08,1089017.0
2025-11-14,59.03,59.25,58.54,58.71,862289.0
2025-11-17,58.06,58.69,56.86,57.76,1775713.0
2025-11-18,57.94,58.98,57.64,58.42,982949.0
2025-11-19,58.6,59.13,57.13,57.5,1302797.0
2025-11-20,58.03,59.73,57.83,58.08,2679653.0
2025-11-21,58.72,59.77,58.3,58.58,2794736.0
2025-11-24,59.0,59.36,57.99,59.18,2391833.0
2025-11-25,59.45,59.8,58.43,58.5,989818.0
2025-11-26,59.09,59.81,58.8,59.11,1203115.0
2025-11-28,59.29,59.47,58.77,58.89,465528.0
2025-12-01,58.85,59.14,57.95,58.13,1027575.0
2025-12-02,58.47,58.54,57.12,57.14,1715506.0
2025-12-03,57.35,57.96,56.73,57.3,1236852.0
2025-12-04,57.35,58.33,56.94,57.55,1112546.0
2025-12-05,57.59,58.29,57.5,58.09,1108559.0
2025-12-08,58.31,58.31,55.84,56.03,2237260.0
2025-12-09,56.25,56.93,56.25,56.63,959879.0
2025-12-10,56.59,57.75,56.56,57.49,2175683.0
2025-12-11,57.71,58.71,57.5,57.93,1553948.0
2025-12-12,58.62,59.2,58.01,58.31,1222625.0
2025-12-15,58.86,59.41,58.39,59.09,1191830.0
2025-12-16,59.26,59.39,57.92,58.32,1207246.0
2025-12-17,58.4,59.99,58.38,59.54,1328788.0
2025-12-18,59.64,60.21,59.57,60.17,1509359.0
2025-12-19,60.04,60.51,59.91,60.1,2098025.0
2025-12-22,60.1,60.65,59.5,60.63,1173007.0
2025-12-23,60.32,60.7,59.96,60.06,954901.0
2025-12-24,60.32,60.4,59.88,60.1,412963.0
2025-12-26,60.18,60.2,59.18,59.51,533639.0
2025-12-29,59.6,60.47,59.53,60.1,928547.0
2025-12-30,60.26,60.52,60.12,60.35,657434.0
2025-12-31,60.36,60.66,60.0,60.02,912374.0
2026-01-02,60.37,61.39,59.56,60.93,1182169.0
2026-01-05,60.83,60.85,59.02,60.62,2282512.0
2026-01-06,60.42,60.72,59.66,60.51,2130704.0
2026-01-07,59.74,60.12,58.43,58.46,1574262.0
2026-01-08,58.22,59.74,58.21,59.61,1320821.0
2026-01-09,59.97,61.31,59.92,60.99,1297089.0
2026-01-12,60.73,61.28,59.79,59.99,1306446.0
2026-01-13,60.0,60.78,59.68,60.68,740542.0
2026-01-14,60.71,62.16,60.71,61.62,1188906.0
2026-01-15,61.6,62.06,61.34,61.52,1459472.0
2026-01-16,61.25,62.62,61.09,62.39,1169042.0
2026-01-20,61.17,61.79,59.81,59.91,2585353.0
2026-01-21,60.74,60.9,59.55,60.42,1821466.0
2026-01-22,60.95,61.54,60.15,60.74,1380378.0
2026-01-23,61.0,61.25,60.16,60.77,1128330.0
2026-01-26,61.32,62.18,61.27,61.64,1208109.0
2026-01-27,61.65,62.69,61.64,62.63,973919.0
2026-01-28,62.49,63.19,62.06,62.25,897620.0
2026-01-29,62.82,63.0,61.65,62.17,1336643.0
2026-01-30,62.16,62.42,61.09,62.28,1100709.0
2026-02-02,62.13,62.26,60.52,60.75,1747664.0
2026-02-03,60.76,61.91,60.75,61.48,1290282.0
2026-02-04,62.01,64.0,61.81,63.46,1351839.0
2026-02-05,63.63,63.98,62.87,63.71,965772.0
2026-02-06,64.22,64.68,63.18,64.01,915346.0
2026-02-09,63.71,64.14,63.12,63.79,901446.0
2026-02-10,64.0,65.82,63.9,65.46,784186.0
2026-02-11,65.73,67.21,65.38,67.06,1018156.0
2026-02-12,67.26,69.63,67.26,69.08,3769073.0
2026-02-13,68.29,71.61,68.1,71.46,2557501.0
2026-02-17,72.34,72.68,71.26,71.42,2124904.0
2026-02-18,71.63,71.85,69.56,69.7,2125793.0
2026-02-19,71.0,73.21,70.21,72.66,2813092.0
2026-02-20,73.03,73.9,72.17,73.74,1365187.0
2026-02-23,73.69,74.81,73.21,74.65,1055963.0
2026-02-24,74.7,75.5,74.05,75.24,1127133.0
2026-02-25,75.07,75.49,73.55,75.2,1062337.0
