date,open,high,low,close,volume
2025-02-26,75.77,75.9,72.56,73.28,1791734.0
2025-02-27,72.9,74.38,72.8,72.97,1147892.0
2025-02-28,72.17,72.48,70.3,71.91,1706359.0
2025-03-03,72.53,73.52,69.39,70.18,1536933.0
2025-03-04,69.49,69.76,67.21,68.09,2122747.0
2025-03-05,69.43,72.18,69.07,71.91,1734372.0
2025-03-06,71.23,72.7,70.78,71.54,1116223.0
2025-03-07,71.06,73.9,70.67,73.31,1711911.0
2025-03-10,73.05,74.84,70.94,72.04,1604008.0
2025-03-11,72.14,72.4,68.97,69.6,1932019.0
2025-03-12,68.45,68.54,65.89,66.44,3139346.0
2025-03-13,66.34,67.61,64.59,64.86,2300692.0
2025-03-14,66.03,66.94,65.01,66.52,2536512.0
2025-03-17,66.76,69.53,66.76,68.89,1437267.0
2025-03-18,68.79,68.99,67.78,68.04,1030365.0
2025-03-19,67.77,68.47,66.86,67.6,1293290.0
2025-03-20,67.0,68.65,67.0,68.02,1215582.0
2025-03-21,67.85,68.23,66.08,66.95,2303976.0
2025-03-24,67.35,68.14,66.84,67.45,1604023.0
2025-03-25,67.2,67.64,65.57,66.08,947577.0
2025-03-26,66.19,66.19,65.22,65.89,1230493.0
2025-03-27,65.75,67.33,65.3,66.95,1997291.0
2025-03-28,66.25,66.78,65.22,65.42,1062462.0
2025-03-31,64.59,66.52,64.24,66.0,1597792.0
2025-04-01,67.1,67.95,66.35,67.87,1873343.0
2025-04-02,67.29,68.98,67.29,68.76,2686354.0
2025-04-03,64.8,65.96,58.12,58.19,7462301.0
2025-04-04,53.25,55.25,51.48,52.93,7575248.0
2025-04-07,50.33,55.23,48.82,52.95,5706981.0
2025-04-08,55.0,55.0,49.21,50.06,3652794.0
2025-04-09,49.48,56.92,48.37,56.16,5822650.0
2025-04-10,55.1,55.1,51.6,53.3,3019384.0
2025-04-11,52.21,55.37,50.61,55.23,2650849.0
2025-04-14,56.89,58.56,55.0,55.59,4525933.0
2025-04-15,54.49,55.07,53.93,54.41,1279503.0
2025-04-16,54.0,54.59,51.97,52.66,1348620.0
2025-04-17,53.36,55.31,53.14,54.47,4215267.0
2025-04-21,54.01,54.52,52.51,54.39,2104983.0
2025-04-22,55.07,56.52,54.75,55.94,1292216.0
2025-04-23,57.86,59.75,56.63,57.26,2010518.0
2025-04-24,57.23,58.88,56.18,58.65,1357621.0
2025-04-25,58.51,59.87,58.07,59.39,1276176.0
2025-04-28,58.6,59.9,58.16,59.14,2614789.0
2025-04-29,58.93,59.78,58.61,59.59,1711167.0
2025-04-30,59.0,60.08,58.41,59.96,2015558.0
2025-05-01,59.15,59.91,57.73,58.89,3397678.0
2025-05-02,60.04,60.75,57.28,59.39,2606374.0
2025-05-05,59.0,59.92,57.5,57.7,2018112.0
2025-05-06,57.09,58.92,56.66,58.53,2032639.0
2025-05-07,58.5,59.55,57.91,59.26,1590373.0
2025-05-08,59.86,62.16,59.26,61.24,2005393.0
2025-05-09,61.35,62.44,60.92,60.99,1586692.0
2025-05-12,64.65,67.7,64.65,65.36,3347230.0
2025-05-13,65.21,65.85,64.65,65.48,1554530.0
2025-05-14,65.02,65.02,63.87,64.11,1511585.0
2025-05-15,62.11,64.09,62.03,63.67,1311986.0
2025-05-16,64.77,65.83,63.72,65.17,2612266.0
2025-05-19,64.46,65.81,64.3,65.35,1910314.0
2025-05-20,65.75,67.26,65.16,66.08,2338879.0
2025-05-21,65.2,66.67,63.45,63.66,3106986.0
2025-05-22,63.3,65.19,63.19,64.42,1608175.0
2025-05-23,63.11,63.93,62.57,63.69,1429799.0
2025-05-27,65.13,67.09,64.53,67.06,2342858.0
2025-05-28,67.05,67.56,66.15,66.27,1444961.0
2025-05-29,67.82,69.49,67.55,68.67,3700932.0
2025-05-30,68.2,68.5,66.91,66.94,1963721.0
2025-06-02,66.51,66.97,65.41,66.65,1246703.0
2025-06-03,66.69,69.12,64.83,68.93,2438615.0
2025-06-04,69.21,70.29,68.82,68.83,1860493.0
2025-06-05,68.82,68.95,67.27,67.45,1251613.0
2025-06-06,68.12,68.57,67.25,68.46,1272055.0
2025-06-09,69.78,70.58,68.96,69.0,2310239.0
2025-06-10,69.69,71.17,69.2,70.46,1719194.0
2025-06-11,70.73,71.86,69.65,69.86,1863604.0
2025-06-12,69.03,70.82,68.79,69.99,1475709.0
2025-06-13,68.77,69.88,67.11,67.31,1831472.0
2025-06-16,68.85,74.6,68.78,74.59,3769992.0
2025-06-17,73.11,75.24,71.74,74.79,3984025.0
2025-06-18,74.78,75.06,73.08,74.72,2261781.0
2025-06-20,75.0,75.42,74.27,75.19,2373541.0
2025-06-23,77.36,79.25,76.5,78.83,4418586.0
2025-06-24,79.65,80.06,76.1,77.05,3522532.0
2025-06-25,76.51,78.06,75.62,77.56,2298239.0
2025-06-26,78.11,79.32,77.44,79.03,2628199.0
2025-06-27,81.5,83.43,79.7,80.09,3848260.0
2025-06-30,80.1,81.23,79.14,80.8,2685739.0
2025-07-01,80.75,85.67,80.4,85.11,3957196.0
2025-07-02,85.08,89.25,84.5,88.58,4781159.0
2025-07-03,89.02,89.86,87.92,88.72,1315615.0
2025-07-07,88.08,88.48,85.27,85.79,2574876.0
2025-07-08,86.0,86.22,84.58,85.56,1698706.0
2025-07-09,86.23,87.22,85.19,86.61,1878927.0
2025-07-10,88.92,92.65,88.92,92.1,3658422.0
2025-07-11,91.05,91.9,90.36,91.08,1499859.0
2025-07-14,90.8,90.81,88.43,89.59,1438440.0
2025-07-15,89.9,90.2,85.74,86.1,2158829.0
2025-07-16,87.38,87.58,84.09,86.4,1540765.0
2025-07-17,86.4,86.87,85.01,86.56,1517040.0
2025-07-18,86.58,87.34,86.18,87.21,999415.0
2025-07-21,87.21,87.98,86.04,86.04,1254398.0
2025-07-22,86.1,89.13,85.83,89.0,1827081.0
2025-07-23,90.2,90.43,88.83,89.68,1879564.0
2025-07-24,88.95,90.5,86.69,86.77,3137534.0
2025-07-25,89.71,90.49,87.03,90.4,5019410.0
2025-07-28,90.38,93.09,90.26,92.52,2266390.0
2025-07-29,92.91,93.66,90.76,91.4,2060168.0
2025-07-30,92.73,94.69,92.06,93.66,3282299.0
2025-07-31,93.12,95.3,92.4,93.34,1859291.0
2025-08-01,90.6,91.23,88.44,91.04,1606311.0
2025-08-04,91.71,93.0,91.3,92.5,1318394.0
2025-08-05,92.61,93.04,90.54,90.92,1277439.0
2025-08-06,91.26,91.53,89.91,90.15,1242557.0
2025-08-07,90.99,91.41,89.49,91.22,1013902.0
2025-08-08,91.06,92.07,90.41,90.69,1214882.0
2025-08-11,90.85,91.8,88.96,89.14,1675107.0
2025-08-12,89.61,92.28,89.29,91.7,1347598.0
2025-08-13,92.2,95.47,91.78,95.26,1909458.0
2025-08-14,92.3,92.3,88.17,89.5,2841067.0
2025-08-15,89.77,91.81,89.27,90.97,2157881.0
2025-08-18,91.0,92.25,88.84,90.74,2481789.0
2025-08-19,91.58,91.61,89.59,89.87,2922998.0
2025-08-20,85.4,89.8,84.42,86.57,7864162.0
2025-08-21,85.17,88.52,84.51,87.72,3269845.0
2025-08-22,88.21,91.94,87.77,91.23,1914648.0
2025-08-25,90.53,91.1,87.97,88.68,1994842.0
2025-08-26,88.89,89.9,88.62,89.82,1566620.0
2025-08-27,89.91,93.25,89.5,92.61,1935268.0
2025-08-28,93.1,93.75,91.39,91.77,837555.0
2025-08-29,90.39,92.33,90.39,91.73,976032.0
2025-09-02,90.14,91.02,89.17,90.79,1294337.0
2025-09-03,90.74,92.02,89.88,91.93,1721506.0
2025-09-04,91.79,92.21,87.13,87.46,1998617.0
2025-09-05,87.46,89.88,86.87,89.2,1910177.0
2025-09-08,89.56,89.62,87.26,88.85,1171767.0
2025-09-09,89.36,89.55,88.31,88.7,888972.0
2025-09-10,87.66,88.4,87.21,87.43,1073655.0
