date,open,high,low,close,volume
2025-02-26,396.73,399.1,384.83,386.13,1455910.0
2025-02-27,388.94,399.43,386.9,392.87,661782.0
2025-02-28,392.37,397.31,389.66,396.88,483608.0
2025-03-03,400.0,403.42,394.78,395.5,490330.0
2025-03-04,395.5,403.82,392.83,397.27,666671.0
2025-03-05,394.48,400.02,393.75,397.47,329363.0
2025-03-06,397.85,404.43,393.06,402.77,678064.0
2025-03-07,400.06,412.88,399.27,409.46,826943.0
2025-03-10,408.84,419.89,408.34,409.55,1005261.0
2025-03-11,425.13,427.53,412.0,422.04,1679571.0
2025-03-12,417.68,420.72,410.65,411.04,859851.0
2025-03-13,412.91,419.24,411.04,417.25,755737.0
2025-03-14,416.82,422.45,414.53,420.94,718325.0
2025-03-17,421.22,431.97,421.22,430.59,714778.0
2025-03-18,433.28,438.14,430.73,436.25,686871.0
2025-03-19,433.31,435.34,424.98,430.48,480060.0
2025-03-20,430.43,436.45,428.23,434.28,569536.0
2025-03-21,432.28,436.33,424.97,427.19,853059.0
2025-03-24,425.99,432.32,424.78,427.23,393178.0
2025-03-25,428.83,428.95,419.53,423.47,499777.0
2025-03-26,424.64,434.6,422.46,430.53,658814.0
2025-03-27,430.04,433.73,424.78,431.95,449372.0
2025-03-28,436.29,436.67,431.47,432.0,549706.0
2025-03-31,434.73,438.57,430.92,434.96,574826.0
2025-04-01,437.94,437.94,431.99,432.68,341460.0
2025-04-02,430.15,432.68,426.31,429.33,413113.0
2025-04-03,433.91,454.46,433.91,452.69,1894803.0
2025-04-04,450.29,458.73,428.47,428.89,2553844.0
2025-04-07,421.42,429.85,412.02,423.14,1015591.0
2025-04-08,455.05,458.75,426.19,430.9,1733461.0
2025-04-09,430.48,442.17,421.05,435.68,1217749.0
2025-04-10,438.19,444.37,428.29,436.37,745669.0
2025-04-11,434.65,442.48,431.73,439.81,621076.0
2025-04-14,439.68,443.29,435.0,441.17,392696.0
2025-04-15,441.47,441.47,434.48,437.77,409336.0
