date,open,high,low,close,volume
2025-02-26,120.58,121.4,119.64,119.86,1365030.0
2025-02-27,120.37,122.13,119.89,120.0,1191642.0
2025-02-28,120.14,121.83,119.12,121.61,900838.0
2025-03-03,122.84,123.03,116.4,117.17,1205171.0
2025-03-04,115.12,116.67,112.63,114.03,2418428.0
2025-03-05,114.74,116.6,113.69,115.84,1188245.0
2025-03-06,114.52,116.87,113.59,116.34,1968519.0
2025-03-07,115.33,118.9,114.94,118.61,2404539.0
2025-03-10,113.1,115.15,110.8,111.83,2919358.0
2025-03-11,112.13,112.24,109.02,110.72,3110601.0
2025-03-12,112.46,113.0,110.4,110.84,1114848.0
2025-03-13,110.56,111.58,108.68,109.2,996663.0
2025-03-14,110.9,112.15,110.03,111.93,1018350.0
2025-03-17,112.1,114.32,111.41,113.59,1296529.0
2025-03-18,112.85,113.31,111.04,111.85,1441433.0
2025-03-19,111.89,112.95,110.9,112.39,2301113.0
2025-03-20,110.87,112.21,109.72,111.8,1684047.0
2025-03-21,110.66,113.13,109.93,113.11,2360238.0
2025-03-24,114.59,115.7,114.3,115.37,1454870.0
2025-03-25,115.61,116.25,114.58,115.3,724233.0
2025-03-26,115.0,116.11,113.03,113.59,1017564.0
2025-03-27,113.6,113.61,111.32,112.08,1461487.0
2025-03-28,111.57,111.85,108.1,108.64,1756286.0
2025-03-31,107.97,110.25,106.49,109.64,1543602.0
2025-04-01,109.35,110.4,108.18,110.0,1322048.0
2025-04-02,108.34,111.99,108.26,111.54,1000081.0
2025-04-03,105.99,107.22,101.45,101.89,2078639.0
2025-04-04,97.05,97.31,92.23,94.57,3769713.0
2025-04-07,94.0,99.91,90.05,96.97,4452147.0
2025-04-08,99.89,100.45,91.94,94.15,2847194.0
2025-04-09,93.29,105.07,92.36,104.43,2543484.0
2025-04-10,101.53,102.32,96.01,99.73,1959821.0
2025-04-11,99.19,101.35,97.61,100.49,2023775.0
2025-04-14,102.16,102.16,99.74,101.04,1893143.0
2025-04-15,100.86,101.65,99.88,100.44,1687870.0
2025-04-16,99.52,100.36,97.71,98.67,1331040.0
2025-04-17,99.2,101.05,99.2,99.57,1704510.0
2025-04-21,97.89,98.54,95.31,96.42,1649415.0
2025-04-22,97.65,100.11,97.6,99.79,1465149.0
2025-04-23,103.31,106.79,100.79,101.07,2262861.0
2025-04-24,101.05,105.24,100.69,105.05,1612763.0
2025-04-25,104.62,105.97,104.52,105.28,1491348.0
2025-04-28,105.12,106.3,103.42,104.5,1456821.0
2025-04-29,104.31,105.4,103.8,105.09,797957.0
2025-04-30,103.89,105.33,102.84,105.11,1320023.0
2025-05-01,105.64,107.02,104.52,105.81,1307492.0
2025-05-02,108.0,109.39,106.51,108.32,1298665.0
2025-05-05,107.1,109.25,106.74,108.38,1283543.0
2025-05-06,107.06,108.56,106.53,107.27,2458103.0
2025-05-07,114.96,115.0,108.37,109.86,2746871.0
2025-05-08,110.52,113.44,109.52,112.38,1786614.0
2025-05-09,113.26,113.54,112.0,112.55,1308279.0
2025-05-12,118.73,120.14,117.01,119.41,2009577.0
2025-05-13,119.85,122.62,119.02,121.49,2110972.0
2025-05-14,121.35,122.24,121.1,121.47,1535871.0
2025-05-15,120.93,121.25,119.59,120.25,1342247.0
2025-05-16,120.2,120.71,119.31,120.61,1361769.0
2025-05-19,118.92,120.12,118.77,119.58,1327587.0
2025-05-20,118.68,119.38,117.46,117.99,1514919.0
2025-05-21,117.07,118.52,116.1,116.15,1143116.0
2025-05-22,115.79,118.25,114.83,117.35,1482565.0
2025-05-23,114.95,118.44,114.91,118.24,2387280.0
2025-05-27,119.97,121.02,118.86,120.97,1203513.0
2025-05-28,121.25,121.49,119.38,119.74,1127350.0
2025-05-29,120.48,120.62,118.87,119.92,877195.0
2025-05-30,119.45,119.65,118.16,119.38,1324599.0
2025-06-02,119.01,119.16,117.16,118.86,1065737.0
2025-06-03,118.95,121.03,118.48,120.39,1323090.0
2025-06-04,121.0,122.17,120.46,121.61,1122967.0
2025-06-05,122.38,123.67,121.56,122.5,1516248.0
2025-06-06,124.07,124.45,122.11,123.51,1313350.0
2025-06-09,124.18,126.48,124.0,125.6,1498804.0
2025-06-10,125.75,127.08,125.17,126.94,1614152.0
2025-06-11,126.45,128.0,125.71,126.49,2066519.0
2025-06-12,125.44,126.86,124.75,126.72,1786100.0
2025-06-13,125.91,126.94,125.25,125.54,1452834.0
2025-06-16,127.26,128.93,126.45,128.68,1231270.0
2025-06-17,128.13,128.87,127.35,127.37,1019157.0
2025-06-18,127.17,130.07,127.01,128.66,1154348.0
2025-06-20,129.45,129.84,127.85,128.33,1438392.0
2025-06-23,128.61,129.57,126.8,129.41,996409.0
2025-06-24,130.29,131.33,129.64,130.73,1152513.0
2025-06-25,130.94,130.99,129.03,129.44,1126002.0
2025-06-26,130.26,133.01,130.02,132.73,1661230.0
2025-06-27,133.41,134.15,132.33,133.17,1859741.0
2025-06-30,133.34,133.56,132.47,133.33,920071.0
2025-07-01,132.94,135.96,132.6,135.51,1321740.0
2025-07-02,135.87,138.12,134.66,137.79,1554159.0
2025-07-03,138.11,139.9,137.86,139.76,741513.0
2025-07-07,139.07,139.66,137.5,138.4,2554148.0
2025-07-08,138.9,139.65,138.32,138.73,1764904.0
2025-07-09,139.7,139.91,138.02,139.8,931340.0
2025-07-10,140.0,142.32,139.59,140.67,1134345.0
2025-07-11,139.89,140.63,139.07,140.1,1043669.0
2025-07-14,139.6,140.07,138.91,139.9,781938.0
2025-07-15,140.84,141.1,139.28,139.69,1184170.0
2025-07-16,140.05,140.86,138.43,140.3,1668160.0
2025-07-17,141.0,144.56,140.5,144.39,1959530.0
2025-07-18,144.97,145.28,143.5,144.23,874337.0
2025-07-21,144.94,144.94,142.86,142.91,1047144.0
2025-07-22,143.04,144.94,141.9,144.34,1540340.0
2025-07-23,145.54,147.02,145.17,146.88,1882176.0
2025-07-24,146.78,147.57,146.19,146.82,1614973.0
2025-07-25,147.49,149.84,146.59,149.63,1364786.0
2025-07-28,149.51,149.83,148.75,149.48,1321930.0
2025-07-29,150.0,150.27,146.14,147.61,1995416.0
2025-07-30,147.65,147.65,145.23,146.06,2204482.0
2025-07-31,146.16,147.25,144.95,145.51,1511329.0
2025-08-01,142.11,142.48,139.82,141.78,2173272.0
2025-08-04,142.49,143.15,141.61,142.62,2435653.0
2025-08-05,142.6,143.14,139.37,140.57,3369351.0
2025-08-06,130.79,134.39,123.71,133.93,8365286.0
2025-08-07,135.75,135.99,131.0,132.83,2889188.0
2025-08-08,133.21,134.17,131.8,132.74,1181265.0
2025-08-11,132.98,133.32,131.73,131.96,1078195.0
2025-08-12,132.2,133.37,131.14,132.95,2033136.0
2025-08-13,133.5,135.14,133.03,135.0,1625682.0
2025-08-14,134.26,135.07,132.86,134.37,1451585.0
2025-08-15,133.92,133.99,131.44,131.75,1742864.0
2025-08-18,131.03,132.34,130.67,131.83,1518658.0
2025-08-19,132.0,132.83,130.55,131.59,742835.0
2025-08-20,131.24,132.03,130.15,130.89,1099857.0
2025-08-21,130.41,131.32,129.9,130.09,1597619.0
2025-08-22,130.94,134.55,130.22,133.77,2275767.0
2025-08-25,133.78,134.14,132.38,132.38,833990.0
2025-08-26,132.35,133.51,132.23,133.35,996244.0
2025-08-27,132.97,133.81,132.55,133.45,1008724.0
2025-08-28,134.0,135.09,133.77,134.55,1864128.0
2025-08-29,133.72,134.65,131.63,132.0,1126059.0
2025-09-02,130.27,131.41,129.08,131.38,1384892.0
2025-09-03,131.35,131.36,128.64,129.5,824079.0
2025-09-04,129.95,133.14,129.56,133.1,1590773.0
2025-09-05,133.58,134.47,130.8,132.55,1907086.0
2025-09-08,133.17,133.82,131.65,132.73,960239.0
2025-09-09,132.62,132.79,131.65,132.05,780878.0
2025-09-10,132.66,135.46,132.4,133.67,1276202.0
2025-09-11,134.01,137.68,133.15,137.47,1415265.0
