date,open,high,low,close,volume
2025-02-26,131.31,131.71,128.6,129.84,1412691.0
2025-02-27,131.02,132.09,129.75,130.61,1333289.0
2025-02-28,128.1,128.82,124.36,126.94,3214166.0
2025-03-03,126.93,126.97,119.37,120.54,4501816.0
2025-03-04,119.14,123.87,117.72,122.11,3541785.0
2025-03-05,120.0,122.26,118.88,121.85,2971652.0
2025-03-06,122.21,123.51,120.63,122.19,2227104.0
2025-03-07,122.99,125.68,122.68,125.26,2546834.0
2025-03-10,126.78,128.81,124.96,125.89,1538623.0
2025-03-11,126.94,127.43,124.28,124.49,2357160.0
2025-03-12,124.05,126.0,123.14,124.27,1674965.0
2025-03-13,123.13,124.58,120.08,121.09,1828472.0
2025-03-14,121.0,124.17,120.25,123.92,1592712.0
2025-03-17,123.8,124.71,123.31,123.58,2019241.0
2025-03-18,124.71,124.75,122.0,122.57,1412072.0
2025-03-19,122.74,125.51,122.74,124.94,1840197.0
2025-03-20,123.95,125.49,123.0,124.3,2197850.0
2025-03-21,123.54,125.17,122.99,125.17,2329358.0
2025-03-24,125.25,129.2,124.95,128.27,1550881.0
2025-03-25,128.4,129.56,127.07,127.38,1618981.0
2025-03-26,128.75,130.52,128.3,129.18,1332403.0
2025-03-27,128.92,129.06,126.43,126.73,893594.0
2025-03-28,126.54,126.95,125.0,126.59,1267753.0
2025-03-31,126.61,129.64,126.48,128.24,1111330.0
2025-04-01,127.76,129.5,127.31,129.3,840548.0
2025-04-02,128.28,130.41,128.28,129.97,796414.0
2025-04-03,122.74,125.29,119.47,119.89,2969683.0
2025-04-04,115.58,116.62,109.19,110.55,5057918.0
2025-04-07,107.28,113.57,105.27,109.03,4418839.0
2025-04-08,110.76,112.01,103.46,104.96,3031604.0
2025-04-09,102.54,115.68,102.54,114.05,6014357.0
2025-04-10,110.0,111.84,102.52,104.61,5144892.0
2025-04-11,105.84,109.62,103.51,108.54,2814612.0
2025-04-14,111.16,111.5,106.12,107.64,2190339.0
2025-04-15,107.74,109.1,107.16,107.48,1627338.0
2025-04-16,107.15,110.16,106.63,108.24,2002695.0
2025-04-17,109.68,112.68,108.81,110.5,2038711.0
2025-04-21,108.58,109.32,107.41,109.11,1361397.0
2025-04-22,110.85,112.46,110.21,111.32,1283533.0
2025-04-23,112.5,113.67,110.02,111.57,1511165.0
2025-04-24,112.83,113.79,111.64,113.46,1001852.0
2025-04-25,112.29,113.53,111.8,113.07,1088971.0
2025-04-28,112.88,114.55,112.7,114.14,883781.0
2025-04-29,113.19,114.04,112.0,112.93,1284328.0
2025-04-30,112.0,112.0,108.54,110.33,2733461.0
2025-05-01,109.53,113.3,109.27,111.68,2363847.0
2025-05-02,111.12,112.14,108.01,110.86,3606564.0
2025-05-05,108.86,109.25,107.02,108.52,3057212.0
2025-05-06,109.49,110.23,107.89,108.72,2562429.0
2025-05-07,109.34,109.34,107.05,107.97,2288105.0
2025-05-08,109.04,112.12,108.61,109.71,3308723.0
2025-05-09,110.48,111.15,109.52,111.12,2322058.0
2025-05-12,116.05,117.17,113.96,114.06,2180070.0
2025-05-13,114.63,117.77,113.97,116.65,2347439.0
2025-05-14,115.28,116.2,114.6,115.59,2094320.0
2025-05-15,113.91,115.98,113.12,115.86,1782329.0
2025-05-16,116.51,116.71,114.87,115.5,1715732.0
2025-05-19,114.25,114.63,112.69,113.95,1499869.0
2025-05-20,114.07,114.32,112.43,112.58,1211569.0
2025-05-21,112.86,113.18,111.15,111.38,1422534.0
2025-05-22,110.41,111.44,108.65,110.79,1749816.0
2025-05-23,109.31,110.6,109.31,110.18,973645.0
2025-05-27,110.61,111.5,109.43,111.23,1305085.0
2025-05-28,112.7,112.7,110.07,110.45,940709.0
2025-05-29,110.46,111.03,109.37,109.88,1781452.0
2025-05-30,108.5,109.51,107.46,108.57,2592284.0
2025-06-02,111.11,111.81,109.7,111.34,2286166.0
2025-06-03,111.36,113.89,110.17,112.82,1687781.0
2025-06-04,112.96,114.53,110.77,110.77,1645666.0
2025-06-05,111.92,112.08,110.43,111.03,1140876.0
2025-06-06,112.69,114.7,112.69,114.05,1393923.0
2025-06-09,114.2,115.28,113.18,114.33,1661297.0
2025-06-10,116.34,119.52,116.0,117.88,2679448.0
2025-06-11,118.95,120.58,117.17,119.92,1882042.0
2025-06-12,119.26,120.76,118.46,120.59,1686780.0
2025-06-13,125.24,125.88,122.5,125.28,4593779.0
2025-06-16,123.39,124.87,121.66,123.18,2651737.0
2025-06-17,124.59,125.96,123.64,124.64,1890102.0
2025-06-18,125.0,126.73,123.14,123.78,2502056.0
2025-06-20,123.99,125.96,123.8,125.32,2206673.0
2025-06-23,126.86,127.81,121.52,121.99,3023640.0
2025-06-24,120.88,122.27,119.8,120.68,1968910.0
2025-06-25,120.24,121.18,119.27,119.82,1283528.0
2025-06-26,120.0,121.16,119.46,121.13,1261230.0
2025-06-27,121.0,121.14,119.89,120.8,1748571.0
2025-06-30,120.0,120.4,118.85,119.61,1614379.0
2025-07-01,119.97,121.65,118.08,121.19,1957359.0
2025-07-02,123.2,123.26,120.67,122.88,1353414.0
2025-07-03,122.87,123.71,122.0,123.15,686783.0
2025-07-07,122.18,122.68,118.07,119.61,1716370.0
2025-07-08,119.72,125.08,119.22,123.95,2042304.0
2025-07-09,122.98,123.94,121.52,121.89,954752.0
2025-07-10,121.13,122.28,119.82,121.73,940987.0
2025-07-11,121.86,123.57,121.11,123.04,1135725.0
2025-07-14,122.61,123.0,121.16,122.6,1693918.0
2025-07-15,122.59,122.82,119.67,119.71,1645422.0
2025-07-16,119.71,120.09,117.7,118.8,1675784.0
2025-07-17,117.22,118.62,117.19,118.43,1419431.0
2025-07-18,118.99,119.69,117.43,117.68,2011874.0
2025-07-21,118.02,118.14,116.49,116.49,1566050.0
2025-07-22,116.71,118.41,116.34,117.93,1094129.0
2025-07-23,118.32,119.05,117.28,118.88,1429717.0
2025-07-24,118.78,119.7,118.07,119.05,1327197.0
2025-07-25,119.06,119.33,117.86,118.39,873399.0
2025-07-28,119.74,121.72,119.45,121.65,1128830.0
2025-07-29,122.0,123.22,120.86,123.15,1686217.0
2025-07-30,122.23,122.86,120.65,121.24,1289715.0
2025-07-31,120.29,122.64,119.76,120.02,1296586.0
2025-08-01,119.46,119.91,115.93,116.6,1321477.0
2025-08-04,115.93,117.57,115.85,117.01,1165318.0
2025-08-05,117.22,118.07,116.3,117.78,1593009.0
2025-08-06,118.96,119.94,116.08,116.59,1384334.0
